F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005292449,0.98834115,1.0136736e-05,0.9160998,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.6023426e-10,2.7826184e-09,8354.883,14341.113,17427.54,18561.621,4.0199877e-05,12570.37,22.572584,35855620.0,-0.66661257,2.3190339,6.564795e-10,8.362954,1.0976272e-08,-5.50862,2.2129395,-1.7401797,0.738599,-3.1445687,4.4604564,5.8350043,6.3553963,0.008050919,1.9502007,6.36923,6.572258,0.7828811,2.2949078
0.0,0.0,0.0,0.0,0.0,-100.0,0.00532115,0.98834115,1.0083598e-05,0.91622573,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.7110666e-10,2.8712084e-09,8584.57,14168.848,17269.629,18532.91,8.003982e-05,12531.64,22.270737,34898908.0,-0.659429,2.3505583,6.5033273e-10,8.357611,1.1220227e-08,-6.068125,1.4883641,-1.8930084,-0.086698495,-2.0916133,8.105018,7.226851,3.5827093,-3.5988467,2.4765282,6.5917015,5.477999,3.000784,3.165568
0.0,0.0,0.0,0.0,0.0,-100.0,0.005178479,0.98834115,9.846764e-06,0.9192491,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.5627215e-10,2.6347904e-09,9015.234,14412.891,17240.918,18518.555,0.00011630194,12702.586,23.674719,33926028.0,-0.7382245,2.4487362,6.6879274e-10,8.464448,1.0809401e-08,-5.9684443,2.4944055,0.10092839,-0.14898293,-0.9141283,4.637119,2.968809,-4.6218743,-6.5110874,3.632188,3.6919444,3.9361584,4.7054667,4.3538766
0.0,0.0,0.0,0.0,0.0,-100.0,0.005046058,0.98834115,9.412515e-06,0.9128244,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.360939e-10,2.5294895e-09,8598.926,14283.691,17269.629,18504.2,0.00011270284,12486.62,26.128593,35256468.0,-0.6669025,2.2988572,5.218508e-10,8.316952,9.477989e-09,-6.3619256,0.5781829,1.5248648,3.5453417,1.7421607,1.7206684,4.4891925,-0.65886325,-3.0612946,8.00283,4.3297977,4.3225293,2.1796293,-0.7811627
0.0,0.0,0.0,0.0,0.0,-100.0,0.0051226155,0.9882644,8.972341e-06,0.90438396,0.1364841,0.27341944,0.42369282,0.5549641,0.66166407,0.774982,0.8610363,0.88819504,0.9537492,1.0215521,1.0857768,1.1670483,1.3007032,1.2721004,1.3005184,1.385509,1.391575,1.4310266,1.4751209,1.40683,1.3809338,1.23591,1.0852699,0.8969064,0.74192923,0.5879743,6.1827415e-10,2.4575195e-09,7550.9766,14025.293,17470.605,18475.488,0.00011277105,12213.22,26.079855,38857356.0,-0.6091983,2.1164641,4.0407633e-10,8.101344,8.709083e-09,-5.5874996,3.817209,3.304717,4.324431,2.1445158,-3.6006405,2.7480612,1.5977134,1.8265262,6.8326774,2.5666304,4.659533,5.661556,1.825703
0.0,0.0,0.0,0.0,0.0,-100.0,0.005073676,0.9836963,8.972341e-06,0.8925422,0.15042831,0.2777155,0.42461482,0.55320615,0.64192694,0.7725484,0.87530637,0.84495735,0.90625376,0.9783215,1.0538559,1.1688513,1.4067546,1.2376558,1.2515571,1.3778988,1.3654732,1.4142307,1.4967884,1.3841215,1.3964502,1.2476332,1.1018367,0.90778947,0.7533557,0.5865734,4.0922873e-10,2.4642774e-09,7235.1562,13723.828,17470.605,18461.133,0.000114817725,12096.388,25.757196,39019710.0,-0.55736554,2.06415,3.7178713e-10,8.0332155,8.284577e-09,-6.7501564,3.8353093,3.3602684,5.85428,4.3420544,4.20289,6.7419753,6.8969517,4.888489,7.27148,2.9593842,5.4648323,6.6751075,1.2189344
0.0,0.0,0.0,0.0,0.0,-100.0,0.00493925,0.97461385,8.913594e-06,0.87830687,0.17016788,0.28910485,0.42244682,0.53721935,0.61005974,0.7677453,0.88322353,0.81931037,0.871564,0.92115045,1.0175251,1.1762189,1.4939798,1.1949601,1.1983196,1.3372205,1.3393122,1.4036392,1.520954,1.3511701,1.3880488,1.243512,1.0996808,0.92358875,0.7584892,0.60134983,4.5917414e-10,2.1331938e-09,7421.7773,13666.406,17571.094,18504.2,0.00011021984,12193.886,25.638308,38649276.0,-0.585612,2.1481395,4.0450235e-10,8.102773,8.4335845e-09,-5.530356,6.1533437,3.2003834,7.1773744,4.3344283,6.9640217,4.595437,7.1059327,5.853676,2.7123902,-0.834233,6.4045997,6.305924,3.96268
0.0,0.0,0.0,0.0,0.0,-100.0,0.004606209,0.95409113,9.544639e-06,0.8270345,0.1896861,0.31034675,0.43841448,0.53458863,0.5920677,0.74255306,0.8338709,0.8179528,0.8612373,0.8548716,0.9857388,1.1605881,1.4160753,1.1054424,1.1574205,1.2746953,1.3406601,1.4242328,1.5251452,1.3302435,1.3099971,1.2116417,1.0756416,0.93574363,0.7451365,0.63237846,5.058463e-10,1.8169293e-09,6546.0938,13580.273,17585.45,18547.266,0.000107249885,11979.892,26.96417,41312430.0,-0.568527,2.0776737,3.10695e-10,7.9572945,7.814359e-09,-4.961291,8.215083,8.00455,9.457086,4.045404,10.84816,2.5717275,-0.028886795,2.8829823,7.1913915,1.4308535,5.8999863,4.3603826,6.3618946
0.0,0.0,0.0,0.0,0.0,-100.0,0.004789863,0.9344206,1.0333308e-05,0.7459057,0.20765889,0.35033903,0.4743817,0.5522745,0.615089,0.71816826,0.75187016,0.7920534,0.83939886,0.7995796,0.9884364,1.1529366,1.2718024,1.0351348,1.1575394,1.2579979,1.3426433,1.4536384,1.4903542,1.3005024,1.2259036,1.177982,1.0434867,0.9236873,0.7167763,0.65530056,8.4817303e-10,1.9516935e-09,4766.0156,13163.965,17729.004,18590.332,0.00010096142,11430.929,25.789017,48022300.0,-0.44162783,1.7942404,1.181129e-10,7.555471,8.510618e-09,-3.03858,11.093085,11.926883,12.84784,3.784887,4.160005,-0.94878405,-3.6856985,3.4174774,11.560532,1.8508056,5.113129,5.1288395,9.171807
0.0,0.0,0.0,0.0,0.0,-100.0,0.005151872,0.9384308,1.0616441e-05,0.6511716,0.22480935,0.40601727,0.55060434,0.6518156,0.7277007,0.7279746,0.6842027,0.7512395,0.80380744,0.76905984,1.012268,1.1672611,1.172814,0.9897156,1.1680146,1.3038381,1.3471413,1.477513,1.4516779,1.2759982,1.2024318,1.1935405,1.0636574,0.91928387,0.7030866,0.65372753,2.0061444e-09,2.1744082e-09,3933.3984,13321.875,17700.293,18504.2,0.00011844054,11266.211,22.272852,50950624.0,-0.46202207,1.6997126,1.4470174e-10,7.4335523,9.57633e-09,-1.8484644,13.49028,12.758614,11.753936,3.4320076,-0.8704529,-2.9985847,-9.829238,3.449309,10.544621,1.7522583,7.2279983,8.517695,7.4902577
