F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.71792585,0.0,0.0,0.0,-100.0,0.061853215,0.98834115,0.0034369936,0.15457295,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.144643e-05,2.3026521e-05,143.55469,1464.2578,11843.262,12948.633,0.009568533,5212.604,5.9552994,44926030.0,4.428535,88.042114,-3.946521e-05,3.4318478,1.2687683e-05,15.366127,2.9306052,2.5461938,-0.47262982,6.013307,6.277941,11.654096,15.011054,4.3081226,7.2239265,1.7447071,-4.5076876,-8.44901,7.2554913
0.0,0.74004,0.0,0.0,0.0,-100.0,0.30218625,0.98834115,0.011231025,0.10229277,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.015292384,0.0030913083,114.84375,803.90625,6215.918,6919.336,0.14352854,2787.6726,4.9540553,22607018.0,6.036677,118.67852,-0.008269414,1.8914243,0.008626793,23.39019,1.3805627,0.2653912,-3.5452626,8.115413,6.552817,9.262586,10.157469,7.8437104,4.6301494,1.6613737,-3.1529524,-1.6207098,9.459071
0.0,0.7616551,0.0,0.0,0.0,-100.0,0.5718035,0.98834115,0.02892898,0.042831946,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.060890656,0.0072650597,100.48828,157.91016,473.73047,717.77344,0.3716408,313.9675,3.6641724,245491.69,10.099565,256.52112,-0.047871545,0.30674225,0.062743224,32.35967,3.2732754,4.520149,-3.2463732,12.750339,8.049699,7.644215,3.0751336,-1.6113529,-1.4024698,0.64990616,-1.6508087,3.340763,7.840737
0.0,0.0,0.0,0.0,0.0,-66.30056,0.81987834,0.98834115,0.047890227,0.019526329,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.15871976,0.011379386,100.48828,143.55469,330.17578,488.08594,0.5656121,237.58815,3.1386192,84352.77,11.185681,411.31778,-0.123379745,0.2420758,0.16921307,35.59419,7.3955464,10.557574,-0.6111477,12.4281645,8.085396,8.920115,-1.2897966,-12.849777,-3.961261,6.290972,4.340143,2.9736557,4.2964516
73.6588,0.7606152,0.0,0.0,0.0,-32.60111,0.88997144,1.1272583,0.07085856,0.011463844,0.16316235,0.36246738,0.5865031,0.7106698,0.79451126,0.8690489,0.924846,1.032967,1.1304649,1.2321576,1.1809177,1.2208222,1.3429843,1.5047632,1.4949188,1.5591396,1.6279774,1.6178025,1.649724,1.637962,1.5882678,1.4122338,1.1706356,1.007416,0.8182253,0.6681246,0.43037298,0.0110288225,114.84375,172.26562,215.33203,287.10938,0.69090414,190.26472,2.7264645,31386.447,15.284989,725.45264,-0.2440464,0.2013634,0.35341927,38.01463,12.702305,17.143019,2.8315594,16.183496,8.661037,8.576034,-2.858982,-25.85198,-9.84859,0.85917217,2.013284,0.5618115,-4.3451734
73.68273,0.7582733,0.0,0.0,0.0,4.35758,0.9261217,1.2688644,0.0852383,0.010456034,0.20915556,0.5149446,0.9049519,0.9003574,0.92978215,0.9599428,0.96207005,1.1310872,1.2709394,1.4106488,1.2218103,1.2439985,1.4409131,1.7736883,1.6247314,1.7259766,1.8697034,1.7966684,1.8381346,1.8368353,1.8328921,1.5911607,1.2362367,1.117726,0.90457845,0.74154043,0.62522864,0.009506113,114.84375,186.6211,215.33203,258.39844,0.5572085,187.3561,2.609608,20434.08,17.887705,1060.8657,-0.3438394,0.20014828,0.62509525,39.4543,14.544907,18.948223,4.631209,15.25758,10.159056,5.694755,-5.542448,-22.787409,-12.97237,-0.9832384,2.4301274,-0.19048055,-7.262783
85.92626,0.75862247,0.0,0.0,0.10290735,7.341635,0.9409593,1.405563,0.0912953,0.010078105,0.25376108,0.6658128,1.2762736,1.0899984,1.0520097,1.0415459,1.0152868,1.2198902,1.4028462,1.5468999,1.2992266,1.2601638,1.5000631,2.0015683,1.689324,1.8483781,2.1666229,2.0178473,2.0017104,2.0434418,2.041571,1.7586637,1.2955195,1.2338886,1.007373,0.81495357,0.78470486,0.008513085,143.55469,215.33203,229.6875,258.39844,0.52190614,199.49219,2.5531414,17923.62,18.400063,1084.8202,-0.37050414,0.21414982,0.8370177,38.956814,15.927078,19.282335,2.2188303,15.541282,13.854218,2.2414608,-9.494653,-21.218275,-14.139622,-6.744175,-2.2528155,-1.540823,-7.403421
92.06126,0.7547655,0.5227079,0.0,0.10290735,-26.35781,0.9260482,1.3923153,0.08884201,0.010078105,0.2578592,0.7240031,1.4802041,1.1152653,1.0490807,1.0109384,1.0123376,1.153251,1.325271,1.4478941,1.3364056,1.2172818,1.3925005,1.9111289,1.5476714,1.778421,2.2475784,2.089635,1.9711432,2.0556438,1.9755772,1.7383512,1.266487,1.24907,1.039519,0.80767506,0.7446289,0.007594349,157.91016,215.33203,229.6875,258.39844,0.47297302,197.66685,2.5113447,16543.18,22.740402,1623.0057,-0.38293847,0.2124157,0.84419185,38.4778,17.462334,20.47256,3.578243,14.125454,11.959667,-0.38670114,-11.98771,-15.567239,-11.15659,-4.2139626,-7.001749,-3.7126236,-5.362518
0.0,0.0,0.0,0.0,0.0,-27.328485,0.8771643,1.3523506,0.081638135,0.010078105,0.24463744,0.6999096,1.4794792,1.0757452,1.0241445,0.9803464,1.0531693,1.046503,1.1979643,1.3351965,1.4079252,1.2085247,1.2666429,1.6954209,1.450552,1.6884222,2.2761242,2.133424,1.8999845,2.0582244,1.8560365,1.6623386,1.2891178,1.2667341,1.0755194,0.7890248,0.6796085,0.007017983,157.91016,215.33203,229.6875,258.39844,0.5649579,199.81468,2.4724548,16976.63,23.359926,1614.8175,-0.32547408,0.21481647,0.73226136,37.833893,18.61747,19.733627,2.6129048,14.454129,11.837353,-0.9024706,-13.120537,-13.35126,-7.470738,-3.9147995,-13.453313,-4.7819347,-7.0569057
73.62294,0.74861974,0.0,0.0,0.0014175348,-28.02339,0.8677869,1.3010286,0.079420246,0.009952129,0.22400369,0.6689119,1.391859,1.0105237,0.9825573,0.9425611,1.0845642,0.91733986,1.0610272,1.2804712,1.3884932,1.1859329,1.1665252,1.4788237,1.4251941,1.6242447,2.2383788,2.0568538,1.8055696,2.0673463,1.7846146,1.5736648,1.345349,1.2779075,1.0761197,0.7679055,0.65803105,0.008668922,157.91016,215.33203,215.33203,258.39844,0.60732144,200.10284,2.3703184,15041.626,29.63574,2435.1428,-0.35477015,0.21542172,0.633334,37.66969,19.157297,20.878088,3.640356,14.02594,9.6429205,1.4907519,-14.950213,-16.28195,-8.370556,-2.720752,-13.044288,-6.0366783,-10.077955
