F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.6256965,0.0,0.0,0.0,-100.0,0.4566203,0.98834115,0.00526895,0.11929957,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0018951269,0.0030812474,215.33203,602.9297,1952.3438,5038.7695,0.02814675,1618.8241,5.624742,6090470.0,2.5343614,9.708793,-0.0011518245,1.2016479,0.002682593,7.7427163,3.9399538,3.5927398,12.87399,3.8674984,-7.9578967,2.7118766,0.23234002,-2.2302876,-0.7719149,5.7856584,3.830415,2.9448738,-1.5998386
0.0,0.63508874,0.0,0.0,0.0,-100.0,0.5636432,0.98834115,0.007303218,0.11715797,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0018996898,0.0076165814,459.375,990.52734,2095.8984,5254.1016,0.061234538,1886.4398,5.917291,6189010.0,2.4020097,9.02813,-0.0018747243,1.3953251,0.004710752,6.1789956,-1.209908,-0.69941974,10.405812,7.6159987,-4.389564,6.2334533,1.7158475,-5.2461376,-2.114424,7.5636888,6.8853097,5.0984464,-2.411091
0.0,0.64805084,0.0,0.0,0.0,-100.0,0.6941733,0.98834115,0.010190383,0.11211892,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0028825507,0.0128893405,445.01953,947.46094,1952.3438,4450.1953,0.12939991,1747.3384,5.6366086,5456561.5,2.7286384,11.849827,-0.0050336146,1.2936877,0.0067771845,6.256864,-3.1429746,-0.9981362,13.0144205,12.726329,1.8006421,6.310844,1.1772207,-4.067263,-0.9998643,8.974322,6.8878694,2.818137,-1.665377
0.0,0.6690518,0.0,0.0,0.0,-100.0,0.7954402,0.98834115,0.012757193,0.10972538,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0037635576,0.019170372,545.5078,1019.2383,1808.7891,4277.9297,0.16998766,1740.3607,5.666373,5476351.5,2.8400164,12.422886,-0.006452661,1.2912331,0.010791202,6.3014007,-4.793885,-0.70102936,15.046599,14.097537,1.3568662,8.338229,2.7423408,-2.6271894,-5.4057198,-0.1487592,2.663039,-3.9845695,-0.26364303
0.0,0.6635144,0.0,0.0,0.0,-100.0,0.90620345,1.0339239,0.01506897,0.10493827,0.1367157,0.2889543,0.47155404,0.5767519,0.67529505,0.77903175,0.8965935,0.9593571,1.0235877,1.1119208,1.1447469,1.2574122,1.3325807,1.3246325,1.3687788,1.440991,1.4736714,1.559004,1.5147938,1.4717368,1.3745378,1.2927276,1.1127124,0.9239805,0.74792576,0.6220247,0.0064986893,0.033147063,330.17578,904.39453,1737.0117,3603.2227,0.20707436,1544.7189,5.480536,4836132.0,3.037906,13.932252,-0.00982711,1.156941,0.019813394,7.3882217,-3.8740318,0.7612551,17.967688,15.654767,4.493142,4.1069837,-1.8282748,-1.5613993,-9.964244,-5.508142,3.3693478,-4.7047048,-0.5881892
0.0,0.6755224,0.0,0.0,0.0,-100.0,1.0013309,1.1195961,0.01696111,0.102166794,0.15102938,0.31752673,0.56617856,0.6231866,0.69865966,0.7981866,1.0086786,1.0434769,1.09755,1.2461287,1.2518588,1.4473534,1.5142856,1.3884336,1.4189266,1.5675842,1.5931053,1.7695031,1.5743593,1.5566491,1.4203382,1.3691212,1.199543,1.0213774,0.79178745,0.6746693,0.0074292864,0.044851538,330.17578,1205.8594,1894.9219,4306.6406,0.2027113,1731.3297,5.8335285,5145638.5,2.692257,11.366216,-0.011532508,1.2965449,0.027049266,6.763809,-5.333136,-3.5733669,16.190521,15.772756,5.0449195,6.0701966,-3.4570177,0.37950706,-12.193112,-8.526822,-0.43963274,0.46199736,-2.1948214
0.0,0.6697504,0.0,0.0,0.0,-100.0,1.0723612,1.2371119,0.018524593,0.09863945,0.16777843,0.34575966,0.6662536,0.6857826,0.73127514,0.83593506,1.1371592,1.1881927,1.2432435,1.4378635,1.4034089,1.7037956,1.7314839,1.4836642,1.4746386,1.7396517,1.7630051,2.023606,1.633917,1.7034807,1.496006,1.4753218,1.3134633,1.1704495,0.8678596,0.741914,0.008749963,0.055446833,157.91016,1062.3047,1679.5898,3718.0664,0.19381034,1509.9391,5.6202283,4470357.5,2.9022224,12.761245,-0.014634711,1.146504,0.02984836,7.829502,-4.2505813,-3.609252,17.908186,18.17777,8.132821,4.6036916,-4.6512547,0.55130035,-9.712407,-3.299339,3.0946434,4.885765,-2.6849406
0.0,0.6898067,0.0,0.0,0.0,-100.0,1.0935024,1.3218161,0.019864252,0.09423029,0.1869278,0.36769882,0.7088027,0.7310433,0.7823295,0.9143328,1.2191839,1.314154,1.3641958,1.56346,1.559959,1.8625234,1.8147006,1.5574121,1.51156,1.8475056,1.8714179,2.139332,1.6573806,1.8533655,1.5769118,1.4971629,1.4036914,1.3159155,0.9442213,0.8020286,0.009217715,0.0531062,129.19922,1033.5938,1708.3008,4120.0195,0.18981236,1530.1527,5.662294,4783692.0,2.755603,11.613683,-0.015266694,1.1555406,0.026998622,7.6847463,-3.1949809,-4.583674,17.434662,15.753678,6.841654,7.528094,1.1984686,3.1205003,-5.9641404,-0.45647064,-3.7310884,0.17796548,-0.6875245
0.0,0.6912915,0.0,0.0,0.0,-100.0,1.1193036,1.3700671,0.021381563,0.09057697,0.20797284,0.39405465,0.6949177,0.72878,0.8339765,1.0554273,1.2567223,1.422914,1.4305453,1.53991,1.6431853,1.8661714,1.7924057,1.6369624,1.5901386,1.91864,1.8722762,2.1547475,1.7127508,1.9954253,1.6349545,1.5210508,1.4780897,1.3929602,1.003448,0.8433163,0.010075663,0.048644993,129.19922,717.77344,1392.4805,3373.5352,0.23176396,1290.7212,5.161644,4129682.2,3.104263,14.4629545,-0.022282531,0.9737684,0.025731472,7.9461384,-1.3518234,-0.989471,16.168467,13.88259,6.683129,11.8244295,7.820254,3.8367164,-6.1635585,2.7692509,0.5143085,-2.39682,0.44959888
0.0,0.7018678,0.0,0.0,0.0,-65.77236,1.1124622,1.383823,0.02261618,0.08553792,0.22940505,0.42557552,0.6690604,0.70984155,0.8867226,1.2090133,1.2909817,1.4772491,1.397046,1.383684,1.5911399,1.7567033,1.7219548,1.7123966,1.6877545,1.95891,1.781031,2.1622715,1.8161112,2.0834255,1.6893501,1.5473346,1.5161973,1.4060348,1.0159374,0.85427123,0.011155332,0.042338308,100.48828,588.5742,1449.9023,3459.668,0.26982293,1258.6871,5.0769434,4038166.2,3.018508,14.077526,-0.022179285,0.9380334,0.024613699,7.9405923,-0.42238918,1.2556179,13.4612875,10.969719,1.9146996,15.255994,13.748794,7.048027,-7.884693,2.4025059,-1.7644066,-0.8920007,0.90252113
