F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005771695,0.98834115,1.41135415e-05,0.8367347,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.821558e-10,3.328429e-09,10824.023,15015.82,17197.852,18346.29,5.8189227e-05,13282.151,15.0552,29491090.0,-1.0263432,3.1414459,1.852093e-09,8.871028,2.0334193e-08,-6.350739,2.9600022,-2.2808077,6.0540214,7.4093614,6.6575947,7.971367,9.480655,6.28109,3.2188118,-1.0161048,2.1096659,3.0999594,-1.3141376
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058167404,0.98834115,1.3959904e-05,0.8393802,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.979032e-10,3.4946295e-09,10938.867,14900.977,17140.43,18375.0,0.00011410473,13322.876,14.859899,28093730.0,-1.0347471,3.2063477,1.9261934e-09,8.911702,2.096256e-08,-7.612658,1.1273872,-2.6023521,4.656615,3.5533473,3.6126862,8.5885725,12.832646,11.114385,9.379669,3.8880405,2.0419486,2.128629,-1.2202488
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058266483,0.98834115,1.4229147e-05,0.8382464,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.8064354e-10,3.5213654e-09,10780.957,14944.043,17298.34,18360.645,0.00016678976,13294.985,14.837483,29029814.0,-1.0269467,3.1454117,1.907863e-09,8.881397,2.1043641e-08,-7.7888513,0.83092195,-1.8337616,3.7090452,2.8528306,0.5315796,9.168595,17.156656,14.423306,14.521327,9.840566,-0.4399465,-0.5545297,-2.986119
0.0,0.0,0.0,0.0,0.0,-100.0,0.005718952,0.98834115,1.4301994e-05,0.8230033,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.538863e-10,3.2770882e-09,10938.867,15633.105,17470.605,18418.066,0.00016366209,13579.937,14.854817,29227230.0,-1.0801953,3.2356942,2.1743922e-09,9.017762,2.0197817e-08,-7.6981063,0.9706562,-3.0371933,3.6915467,2.190459,-1.9360594,9.490551,15.942746,14.142826,8.925729,9.586982,1.6383486,1.8987342,1.4079847
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055771866,0.9808267,1.4115852e-05,0.808264,0.13419533,0.26677218,0.42227435,0.5869449,0.6533575,0.74828225,0.82796144,0.91779095,0.9622722,1.0221732,1.0895393,1.140839,1.1996396,1.2634474,1.2816137,1.3700857,1.4115299,1.473598,1.4673284,1.4187802,1.3306519,1.2423221,1.0667045,0.8993357,0.7279401,0.57611215,5.6520205e-10,3.2251606e-09,10752.246,15704.883,17470.605,18446.777,0.00016902255,13429.827,15.544869,32060658.0,-1.0477606,3.0837843,1.9615187e-09,8.896599,1.8823378e-08,-6.9857864,2.929774,1.7623738,4.377537,5.285105,0.8781212,9.544253,11.814605,15.905586,6.027788,8.318471,2.4133236,3.5756629,2.2295148
0.0,0.0,0.0,0.0,0.0,-100.0,0.005499196,0.9695966,1.3326492e-05,0.7799194,0.14799803,0.2764801,0.4464092,0.65229553,0.62316924,0.7141526,0.81044936,0.90755314,0.9632332,0.99795055,1.0837275,1.1218811,1.1541086,1.21813,1.1985017,1.3819157,1.4178408,1.4928511,1.4803671,1.3965358,1.2657295,1.2446233,1.0628527,0.8888313,0.7138269,0.548096,5.268961e-10,3.197403e-09,10737.891,15618.75,17269.629,18489.844,0.00017118442,13205.224,15.237355,33913492.0,-1.0349246,3.006675,1.8351972e-09,8.765342,1.8897035e-08,-5.2443786,4.1704803,2.774361,5.767999,6.3520875,5.92145,9.558385,6.751402,15.698104,5.350075,4.4200077,1.283671,5.0292025,6.0162926
0.0,0.0,0.0,0.0,0.0,-100.0,0.005602548,0.9626381,1.281791e-05,0.7388511,0.17000155,0.31055415,0.5063382,0.7619299,0.5723099,0.6613135,0.79408115,0.8995487,0.975913,0.96137905,1.1039311,1.1179246,1.0980735,1.1408907,1.0990113,1.4384645,1.4429021,1.5411714,1.5082945,1.3460488,1.2003818,1.2320218,1.0428348,0.8719395,0.70306945,0.5282597,8.56715e-10,3.345167e-09,8196.973,14441.602,17025.586,18403.71,0.00016681035,12071.426,15.773557,40409652.0,-0.7795739,2.371493,7.895995e-10,8.061492,1.6922014e-08,-3.7187319,6.957669,7.17704,9.270974,9.472219,12.023692,5.9246984,4.6870723,13.664201,5.465965,-2.156307,-4.406141,3.4798405,6.021219
0.0,0.0,0.0,0.0,0.0,-100.0,0.005807981,0.974673,1.3567768e-05,0.67724866,0.19541818,0.37779483,0.6290617,0.8781821,0.54413956,0.64235085,0.79440016,0.91490793,1.0336956,0.96703166,1.1916674,1.1367046,1.0487269,1.0750861,1.0340372,1.5040334,1.4671129,1.5688802,1.5552694,1.3028575,1.1916946,1.1930166,1.0148872,0.8375568,0.6948431,0.54813886,1.6411189e-09,3.4196581e-09,6531.7383,14240.625,17226.562,18360.645,0.000152823,11667.622,15.705539,44295228.0,-0.6728997,2.0812914,5.139518e-10,7.787365,1.7530343e-08,-0.9985959,8.370644,4.742213,10.091422,10.342258,12.956352,2.8717444,4.1775036,5.1707673,3.0870564,-4.668669,-5.104054,-0.88802886,5.966209
0.0,0.0,0.0,0.0,0.0,-100.0,0.005985429,1.0034279,1.4333262e-05,0.59662384,0.21710527,0.45176756,0.8033664,0.9811098,0.55500335,0.6804213,0.8240628,0.97201246,1.10033,0.992836,1.2726169,1.175872,1.0443319,1.0607201,1.0334488,1.5352155,1.4558438,1.5915176,1.584588,1.26907,1.232489,1.161116,0.9936002,0.8132636,0.6926543,0.59475994,2.1668345e-09,3.468493e-09,3287.4023,13939.16,17456.25,18317.578,0.00015043475,11039.414,15.684387,51336336.0,-0.47768113,1.6786972,-4.0933628e-11,7.3252006,1.745103e-08,0.2584813,10.096955,6.6845994,9.8678665,8.308415,9.632025,3.4856546,6.7345567,6.585219,1.8159022,-6.3846364,-4.221876,-2.4896266,4.0392494
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062818974,1.0439224,1.5280038e-05,0.52267575,0.2370501,0.53486246,0.99328154,1.0459684,0.63989013,0.7821141,0.8597025,1.0698808,1.1532278,1.0444318,1.2970148,1.1967872,1.0843023,1.1182264,1.0921913,1.5240697,1.4182549,1.6080292,1.6052608,1.2747905,1.2873732,1.1647251,0.9892222,0.80260944,0.68767136,0.63104576,3.1322875e-09,3.8344568e-09,1937.9883,12417.48,17039.941,18188.379,0.00016063885,10237.149,14.442441,55291500.0,-0.3074754,1.511137,-1.0503678e-09,6.7866325,1.9730459e-08,2.9866905,11.206376,7.21874,8.754821,6.6536307,6.396832,5.62809,8.638209,5.3126903,2.0698469,-0.7486868,-0.67048484,-3.9507682,2.1449025
