F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
124.82657,0.754261,0.0,0.0,0.0,2.1177886,0.14762536,0.98834115,0.00433396,0.23116653,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.469112e-05,0.0009659117,2052.832,6962.4023,12245.215,14140.137,0.022967597,7567.4565,7.3615685,36405800.0,1.0518705,5.7327266,-0.00018111365,5.0199857,0.00011660359,-5.7453666,-10.241236,0.61399215,14.8751135,7.8228683,-10.7528715,-11.403033,-8.192002,1.2285271,6.96859,1.9466372,7.548162,3.2287514,2.2082822
124.77591,0.7625397,0.0,0.0,0.0,1.3155249,0.6833547,0.98834115,0.016924577,0.1786344,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.04943974,0.07064886,1306.3477,4091.3086,6948.047,8555.859,0.2285714,4596.208,6.628742,20843278.0,2.4737747,13.2980585,-0.018419707,3.1376927,0.036759477,2.6877224,-10.292506,-2.5896595,13.037361,8.20543,-10.618909,-5.991722,-10.393174,-2.412917,4.9664216,-0.4735014,5.602134,4.2634006,-0.15889807
124.65505,0.7731913,0.0,0.0,0.0,2.329191,1.2901849,0.98834115,0.033828467,0.10821366,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.17802978,0.16091846,502.4414,976.1719,1435.5469,2756.25,0.4489622,1393.526,5.6101093,4396565.0,4.6684937,35.511517,-0.069599666,1.0845591,0.14589305,14.604358,-9.034606,-1.9619507,13.020591,8.831657,-6.85245,0.44205523,-10.820863,-3.2325637,1.4809784,-4.1139607,-2.7678554,2.9855716,-2.5876915
124.539,0.78435856,0.0,0.0,0.23671237,3.8832693,1.7828056,0.98834115,0.047235448,0.06979088,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.3076733,0.250874,315.8203,674.70703,1177.1484,1751.3672,0.590516,966.6924,5.102291,1861891.9,5.3388953,47.143646,-0.10500976,0.8101519,0.24512072,20.211432,-9.257571,-1.300721,4.627552,1.0805469,-11.884595,-9.174163,-9.77027,1.1933812,5.8687725,-2.947776,-7.8280683,3.6317272,2.3325546
124.51715,0.7902557,0.00072740886,0.0,0.25125897,6.141478,1.8107525,1.1032397,0.049992055,0.049382716,0.1495544,0.32384023,0.50323266,0.65258914,0.8337083,0.93736315,1.0215985,1.0546075,1.0503248,1.1682755,1.2521602,1.333696,1.3252025,1.3838962,1.4320902,1.5324101,1.5837106,1.6406498,1.6345625,1.628615,1.4586172,1.2553124,1.1670899,0.9583723,0.7659361,0.6368153,0.32149267,0.26282457,258.39844,445.01953,1105.3711,1579.1016,0.52983236,790.2685,4.887533,1029288.7,5.4549136,51.786564,-0.117177255,0.67576224,0.27028567,21.993134,-8.103549,2.997182,6.7861876,2.9956226,-6.549284,-9.474093,-7.9915376,6.3340793,3.455498,-4.289432,-13.080197,0.6860731,-0.17480914
124.55459,0.79123217,0.0013276014,0.0010718561,0.25126377,5.9597077,1.7375289,1.2033398,0.04778288,0.04900479,0.17669825,0.40377024,0.60663116,0.72137433,0.94169086,1.1151472,1.2148199,1.1779113,1.1058954,1.286871,1.3880221,1.5107099,1.4257216,1.4602062,1.4809119,1.6633166,1.7557484,1.8480002,1.7888936,1.8187176,1.4960326,1.215519,1.2448041,1.0034655,0.77497816,0.6609802,0.2650101,0.24767585,244.04297,416.3086,1205.8594,1579.1016,0.3861961,795.3426,4.8280964,943574.0,5.1998425,49.813747,-0.101443835,0.6811738,0.23128195,22.059286,-8.535486,2.0318902,6.86838,4.927403,-3.0487425,-9.03058,-6.975157,10.121868,1.6353788,-6.940431,-14.173836,-0.6889887,-3.6703281
124.5527,0.7919356,0.0014262641,0.0013288656,0.16173105,6.058271,1.6780434,1.2805618,0.047135312,0.04749307,0.19784553,0.46206734,0.6903124,0.77101207,1.0161241,1.2792026,1.3700031,1.2786683,1.1641885,1.402349,1.5163814,1.6675752,1.5297228,1.5071892,1.4898611,1.7482983,1.8973116,2.0281029,1.8860441,1.9942824,1.5037271,1.1348333,1.2954813,1.0325198,0.7650277,0.66647714,0.23142482,0.24711604,244.04297,416.3086,1234.5703,1579.1016,0.40180275,786.5378,4.8089004,860787.75,5.0722604,50.577595,-0.09532226,0.67587894,0.22711205,23.053602,-9.437573,1.0108908,8.24779,6.396318,-2.5787532,-9.239605,-8.51974,10.665223,0.54806143,-4.20048,-14.575181,1.2537556,-5.368038
124.437904,0.7886892,0.0016145082,0.0014179377,0.20712411,6.2951145,1.6879234,1.2254311,0.048635855,0.04900479,0.20121874,0.47597063,0.6915693,0.7239339,0.9267377,1.2547842,1.3214526,1.2205533,1.183735,1.3917484,1.4860121,1.6397218,1.5308949,1.4156843,1.372454,1.6574446,1.8237966,1.9393274,1.7580534,1.9718304,1.3855251,0.99893236,1.2004756,0.977668,0.70276403,0.6089216,0.29450014,0.25358596,229.6875,401.95312,1134.082,1521.6797,0.42835686,710.9047,4.673351,639462.44,5.004032,53.87964,-0.11316856,0.6251878,0.26777148,25.884285,-10.047933,1.6960797,6.532083,7.4099255,-3.291516,-11.772262,-6.5856614,5.80047,2.0740087,-2.9274282,-15.871762,6.2299023,-4.753607
124.28904,0.7826254,0.000945176,0.0012360434,0.29126725,6.7680874,1.6540724,1.1687235,0.05024928,0.048374906,0.19611138,0.44722936,0.6541409,0.73655504,0.931493,1.215093,1.2384533,1.1581391,1.2461036,1.3770914,1.4574399,1.6035786,1.5357475,1.311451,1.2990383,1.5551952,1.6676508,1.7433171,1.6322417,1.9453386,1.3327383,0.89774984,1.0998508,0.91045135,0.6457872,0.5488269,0.3255379,0.24790323,258.39844,445.01953,1134.082,1521.6797,0.49119315,716.99164,4.7110214,550426.2,4.469686,48.15617,-0.1077492,0.63595766,0.28068253,26.485832,-9.731518,0.38906828,4.259234,8.478883,-8.657518,-16.168894,-8.021598,3.3769138,4.065739,4.3515224,-12.819289,12.8387375,-0.34402704
124.22216,0.77240926,0.0012599314,0.0009103008,0.37025368,6.9157653,1.5886564,1.1216899,0.046555463,0.047870997,0.19574714,0.4300147,0.6154127,0.76775676,0.96856624,1.17399,1.1718568,1.086863,1.3133445,1.3480382,1.4129122,1.5662532,1.5138298,1.195954,1.2655758,1.472505,1.5325037,1.5260869,1.5523237,1.8804679,1.2919875,0.8409521,1.0644376,0.88177824,0.59942394,0.49535915,0.27810714,0.21490586,215.33203,445.01953,1091.0156,1492.9688,0.43277,701.4274,4.7307215,576025.56,4.1189423,40.893814,-0.09957012,0.6208785,0.24082725,26.273209,-7.5758514,0.0318075,6.076042,10.624091,-6.7603383,-8.157971,-12.900348,10.9518585,2.214155,3.6499317,-13.918376,10.023835,-0.9867275
