F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
247.53514,0.79380846,0.0,0.0,0.0,12.349744,0.08520291,0.98834115,0.0020110526,0.07029478,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.6227774e-05,4.1483334e-05,200.97656,617.28516,2225.0977,10737.891,0.007779166,2620.8435,5.1896915,22994240.0,2.5896134,11.134305,-2.5521964e-05,1.8407687,1.978596e-05,3.9671795,-2.577449,-13.816649,-15.685028,-9.444598,2.4758828,4.6355586,10.507924,16.599062,16.221472,2.6563845,9.382744,16.47272,10.864385
282.76935,0.7988293,0.0,0.0,0.0,7.3366046,0.38910544,0.98834115,0.008389472,0.06613757,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.019418957,0.013549336,387.59766,631.6406,1650.8789,6273.34,0.1356138,1830.979,4.786344,12358683.0,4.4913898,35.724987,-0.006919095,1.3770685,0.01781308,7.7059484,-5.804109,-16.255323,-19.67925,-8.465312,2.773362,3.5710697,8.0059395,14.4938,13.690192,2.399295,2.6346128,8.326143,0.104803085
318.02283,0.7922797,0.0,0.0,0.0,2.4222279,0.6947603,0.98834115,0.016791161,0.056437388,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.03834958,0.029845381,574.21875,660.35156,1062.3047,1808.7891,0.1861506,1017.84406,4.367087,1562611.9,6.2522655,77.26388,-0.015964223,0.8992958,0.045562413,14.886418,-10.617765,-17.376215,-23.13353,-7.252331,5.7331357,3.7111619,5.1941457,11.529281,12.054833,3.355221,-3.1324074,0.48715544,-7.4204383
318.0539,0.7473708,0.044498555,0.0,0.21221296,-32.86516,0.9218509,0.98834115,0.022118254,0.04547745,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.05196603,0.042449366,617.28516,674.70703,961.8164,1076.6602,0.227512,832.29816,3.8409646,339208.53,7.878542,121.69965,-0.02309907,0.79155827,0.06453034,19.844622,-13.105079,-18.944847,-24.342743,-6.3604245,12.775445,10.941812,5.603329,6.480356,15.210786,8.415272,1.2873708,-2.233572,-12.4817095
0.0,0.7241753,0.0,0.0,0.0,-66.3832,0.8834915,1.0840144,0.021587761,0.03968254,0.1537688,0.30524316,0.4524057,0.6147743,0.75265074,0.86470586,0.99284667,1.0506378,1.1567689,1.2751114,1.2358009,1.2191939,1.2667942,1.456813,1.4798088,1.517068,1.580253,1.5502185,1.5601183,1.5206099,1.429932,1.3080274,1.1221523,0.9307181,0.76559156,0.62235755,0.043941606,0.03935421,631.6406,689.0625,947.46094,1076.6602,0.12788345,802.32,3.8329375,205236.73,8.12997,136.16068,-0.02211725,0.7718994,0.063564874,21.85868,-12.639798,-18.084826,-26.336336,-7.027083,15.609323,13.37035,4.610581,6.966479,18.932304,11.688728,3.2106285,-2.2382581,-8.570416
0.0,0.7020012,0.0,0.0,0.0,-100.0,0.8393921,1.1547312,0.01887534,0.037414968,0.17958035,0.33866096,0.4841648,0.6905884,0.85808545,0.9325506,1.116943,1.1985029,1.2650522,1.4748621,1.3573117,1.2245011,1.2451024,1.6201369,1.5422779,1.5981661,1.7116641,1.6403065,1.6333967,1.5630871,1.4631201,1.3703808,1.1626705,0.9404084,0.77619696,0.63528746,0.03687847,0.031422567,631.6406,674.70703,947.46094,1076.6602,0.115116924,795.54254,3.9610214,260575.7,8.312767,126.80624,-0.017760815,0.7637348,0.048043326,20.969725,-9.106266,-17.72734,-27.989243,-6.9325676,13.636273,10.49258,1.620613,7.810579,16.360317,9.577561,5.8289847,-3.7738733,-8.749846
0.0,0.0,0.0,0.0,0.0,-66.414856,0.89389867,1.2399582,0.028980365,0.032753844,0.2123661,0.3962309,0.5411988,0.8231345,1.0131565,0.9619367,1.1816965,1.3394917,1.3149085,1.6328249,1.4943136,1.2056621,1.1994303,1.7517015,1.5857782,1.6691252,1.8355842,1.807773,1.7651834,1.6391107,1.5746136,1.5127169,1.2938243,0.98598725,0.8272905,0.6738732,0.05073188,0.029587721,502.4414,588.5742,904.39453,1119.7266,0.1644413,752.7922,4.251171,486406.5,7.1370144,89.41691,-0.01922627,0.70692044,0.048112836,19.743086,-4.26047,-12.424904,-25.104876,-3.7531555,12.288739,7.2269726,-5.497853,5.242985,15.238904,11.832908,7.0852456,-4.7062163,-2.0602047
80.656105,0.7454473,0.0,0.0,0.0,-32.780666,1.792399,1.3966541,0.09419336,0.02733686,0.26990807,0.53878826,0.74746466,1.1076139,1.2763171,0.9394781,1.1374753,1.4691448,1.2342426,1.559846,1.6127167,1.2394828,1.2226895,1.8369156,1.7487074,1.80093,1.9255404,2.2287228,2.1788027,1.8863446,1.9050552,1.8027506,1.6659431,1.1572067,1.0194826,0.80143946,1.783628,0.19809894,344.53125,445.01953,732.1289,1004.8828,1.2238015,642.49884,4.394123,636581.6,6.411623,66.217064,-0.59347683,0.59305686,0.78711176,20.324501,3.9465683,-2.0134993,-19.241207,-3.386179,8.7459955,1.0017738,-3.65007,0.18027496,4.353712,6.898878,2.6938722,-3.3723304,4.3898883
80.73505,0.754291,0.0,0.0,0.0,1.5273279,2.5396013,1.890059,0.19176273,0.024187453,0.48399058,1.0392491,1.407639,1.7387905,1.793657,1.0393451,1.2143784,1.7495877,1.2941657,1.5821557,1.920808,1.5588832,1.6428493,2.2411249,2.4572763,2.375226,2.2810097,3.2470562,3.28866,2.6715672,2.7845116,2.4311824,2.578594,1.6315374,1.5493346,1.1389568,2.2106984,0.34912005,172.26562,272.7539,459.375,703.41797,2.6251514,431.65878,3.7640057,576668.4,8.249795,113.186226,-2.2612512,0.39329907,1.0567939,21.071201,10.424009,8.816417,-8.265865,2.4041483,9.619965,3.1042662,1.9084492,2.4556615,1.61846,8.873727,-2.171192,-2.8448353,6.7328854
80.33328,0.7740104,0.0,0.0,0.0,2.9795387,3.1502411,2.7386248,0.27957538,0.023053667,1.0137423,2.0840771,2.6254294,2.6948497,2.504298,1.2597127,1.4272326,2.2013872,1.4918756,1.7295097,2.3575945,2.2284987,2.575239,3.0614955,3.8471234,3.3820922,2.869176,4.8583875,5.1779404,4.0538697,4.0781217,3.2390792,4.0018024,2.411276,2.3840196,1.6464182,2.9961426,0.4780768,114.84375,157.91016,229.6875,373.2422,3.2927513,260.51968,2.8922994,333028.97,10.981648,182.73962,-3.8139172,0.24250935,1.5494453,22.330545,12.660771,15.478284,0.40071473,5.327248,9.440988,3.3540726,9.860185,5.7726555,-8.434417,11.0112505,-3.5438538,-1.4263258,9.076594
