F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057043633,0.98834115,1.6779712e-05,0.7996977,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.537293e-10,3.3866747e-09,13120.898,15877.148,17599.805,18403.71,6.380779e-05,14340.276,12.36737,24080854.0,-1.5127239,4.7347617,4.0863064e-09,9.509926,3.1037278e-08,-6.404356,2.3723075,0.5035796,2.5302007,1.3910803,3.2381618,9.847083,14.527897,8.623363,14.077521,7.4677653,0.22547229,8.951019,7.376616
0.0,0.0,0.0,0.0,0.0,-100.0,0.005716311,0.98834115,1.6589225e-05,0.8017133,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.020235e-10,3.1914007e-09,12647.168,15633.105,17628.516,18432.422,0.0001254874,14174.585,12.639869,25542088.0,-1.4005637,4.353579,3.702948e-09,9.400475,2.9414315e-08,-6.2243094,3.3266194,-0.3086065,2.9491928,3.2674186,0.87475586,10.030044,9.879156,10.2569475,12.3296,5.0183387,1.8921585,8.692952,7.813496
0.0,0.0,0.0,0.0,0.0,-100.0,0.005736997,0.98834115,1.6702528e-05,0.7887377,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.3877186e-10,3.2181278e-09,12044.238,15302.93,17542.383,18317.578,0.00018779235,13863.703,12.824288,26607186.0,-1.2866869,3.976059,3.2161103e-09,9.229047,2.7999889e-08,-6.412024,3.502107,-1.548831,4.2646384,7.731734,4.1954103,10.22207,6.713473,9.30914,10.625184,0.5882702,-2.2205932,4.74265,5.8640466
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056431233,0.98834115,1.6702528e-05,0.7684555,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.6989363e-10,3.1974805e-09,11800.195,15518.262,17642.871,18288.867,0.00018398529,13824.004,13.043298,27094312.0,-1.2665102,3.8421953,3.020504e-09,9.199847,2.6726434e-08,-6.4336624,3.3995914,0.3430337,5.4388385,5.998579,5.0364594,7.4322057,4.054275,8.789177,12.735943,6.0097375,2.535869,5.2558017,5.494934
0.0,0.0,0.0,0.0,0.0,-100.0,0.005608847,0.9853056,1.628839e-05,0.7299068,0.12805659,0.27197063,0.41752982,0.54408437,0.67613846,0.7425948,0.8230529,0.9026246,0.9738383,1.0212473,1.0890654,1.1242938,1.1869731,1.31067,1.3538111,1.3795153,1.4540781,1.4748851,1.4637488,1.4279203,1.3606262,1.2175206,1.0598083,0.8853514,0.73078746,0.59775007,4.4481718e-10,3.3577636e-09,11958.105,15331.641,17456.25,18188.379,0.00018658613,13793.368,13.31339,25142346.0,-1.2808589,3.9626682,2.9134533e-09,9.215187,2.6443331e-08,-7.5041757,2.6589987,2.3880517,5.563242,3.999606,7.8209786,8.619476,6.605742,3.7237985,10.035848,4.2368627,1.3263535,3.311779,5.082096
0.0,0.0,0.0,0.0,0.0,-100.0,0.005556926,0.98034763,1.5028545e-05,0.6927438,0.12779106,0.27355412,0.42452875,0.53105164,0.6779225,0.70388263,0.7901868,0.8877165,0.97853255,0.99199253,1.0640045,1.0837929,1.1326436,1.35984,1.3789903,1.3325616,1.4917154,1.5218738,1.508293,1.4414192,1.3596497,1.1805831,1.0427146,0.8708589,0.7269264,0.6060091,5.0176796e-10,3.2310374e-09,11168.555,15647.461,17614.16,18303.223,0.00018654978,13681.383,14.331656,29171776.0,-1.1965795,3.5811815,2.528114e-09,9.083019,2.4803944e-08,-6.895819,4.3143535,3.2815902,4.8104024,4.977846,7.8938165,4.988787,6.651747,4.575084,5.108338,7.680678,6.233598,4.3284593,6.91066
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056005507,0.97513837,1.469878e-05,0.6334089,0.13026921,0.30371284,0.46345887,0.53324485,0.6971467,0.6456592,0.7512686,0.8880184,0.993912,0.96106696,1.0355054,1.0485605,1.0872175,1.3978723,1.4224116,1.2643336,1.5084761,1.5661526,1.5748439,1.4584068,1.3177679,1.1210805,1.0139865,0.8428674,0.71758026,0.60877484,5.691201e-10,3.4316834e-09,8182.617,15489.551,17513.672,18260.156,0.00018322909,12821.187,15.607235,38382668.0,-0.9459772,2.7727063,1.5616873e-09,8.488893,2.1523086e-08,-4.344784,5.5180707,6.0785556,9.422357,8.502495,11.85448,5.89893,5.3965664,-0.87672967,-1.7704388,1.9986749,-1.4998719,-0.4106144,6.6180005
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058015124,0.98260754,1.5577642e-05,0.5619803,0.1480617,0.3962151,0.55936545,0.56309587,0.685257,0.60265785,0.7588088,0.93313175,1.044012,0.9693083,1.0197673,1.065173,1.0973309,1.373037,1.4479314,1.1850966,1.4797684,1.5800203,1.6469291,1.4948026,1.2485789,1.0910312,1.0071336,0.83056504,0.7109104,0.6098075,7.801277e-10,3.469977e-09,4076.9531,11498.73,17025.586,18202.734,0.00019632936,10646.425,14.342763,51007310.0,-0.4025449,1.8795077,-1.2824307e-09,7.0239697,1.9877453e-08,-1.2697927,9.74636,8.123513,13.00766,15.5903425,17.778978,7.3605676,6.7406807,0.79039097,-6.48189,-0.27305427,-2.5958216,-1.425948,7.547779
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058809654,1.0000902,1.723192e-05,0.49269333,0.18668395,0.5621967,0.7035304,0.6515156,0.6956268,0.5883978,0.7725373,0.98785096,1.0753354,0.99301916,1.0144591,1.0999222,1.1281005,1.3273821,1.4682845,1.1440399,1.4358252,1.5717206,1.6672635,1.519322,1.1761922,1.0785521,1.0121502,0.8266036,0.70516825,0.6106712,1.698278e-09,3.2958958e-09,1047.9492,10206.738,16566.21,18174.023,0.00019606389,9312.695,12.464547,57799650.0,-0.11743864,1.4515657,-2.8822555e-09,6.183478,2.1457714e-08,1.2768222,13.6543045,13.404826,16.994215,13.651389,15.6101885,7.5515857,5.7582264,-2.955918,-5.7296185,-1.5817384,-2.985059,-0.8774479,8.230194
0.0,0.0,0.0,0.0,0.0,-100.0,0.006043054,1.025793,1.8431281e-05,0.43121696,0.2328225,0.75157887,0.8563898,0.79082346,0.7191902,0.60531473,0.78715116,1.0326039,1.0727051,1.0123706,0.9829765,1.098842,1.1813936,1.3232827,1.4564477,1.1700768,1.4268097,1.5624319,1.612019,1.5259876,1.17286,1.1025659,1.031546,0.8307999,0.7059419,0.6256886,2.485215e-09,3.1461642e-09,129.19922,9331.055,16063.77,18016.113,0.00020816216,8765.464,10.691968,57787664.0,-0.030109227,1.3772603,-3.528083e-09,5.8706203,2.514571e-08,1.6754583,16.46441,14.914762,17.118105,12.279136,11.346184,8.659435,5.133516,-3.853137,-4.821549,-3.5758564,4.900923,2.8200233,4.228128
