F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0050785826,0.98834115,9.526725e-06,0.93613005,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.1944812e-10,2.4669602e-09,10407.715,14613.867,17111.719,18561.621,3.6801426e-05,12979.796,23.27421,32436750.0,-0.87158054,2.7088318,8.0554025e-10,8.65323,9.557948e-09,-5.2617493,1.7980776,0.5333659,-0.33542204,-2.9824343,4.4052706,6.533974,4.1317773,-5.860374,3.554723,0.4566978,3.2746212,7.3717847,-4.1267824
0.0,0.0,0.0,0.0,0.0,-100.0,0.004704688,0.98834115,8.717339e-06,0.9351222,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.427143e-10,2.097141e-09,8842.969,13709.473,16953.809,18748.242,7.9508485e-05,12463.065,35.430744,34055470.0,-0.64504427,2.443551,5.7538e-10,8.309253,7.593261e-09,-6.9307933,0.7533968,0.025293589,-2.0797698,-2.3249276,3.4371536,2.492047,2.9893343,-4.8656287,2.779495,-0.6807856,4.1764483,6.160721,-0.2803637
0.0,0.0,0.0,0.0,0.0,-100.0,0.004608003,0.98834115,7.652246e-06,0.9331066,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.2590275e-10,2.233439e-09,6991.1133,13049.121,16437.012,18676.465,0.00010695727,11842.199,39.738693,35649140.0,-0.4867052,2.1886039,3.3250647e-10,7.9263954,6.19884e-09,-7.4160595,-1.0499166,0.49529135,-2.2641847,-0.6168229,3.363856,-0.5189295,7.421229,2.9098206,4.8872457,1.9048939,4.54856,1.3793865,3.1508675
0.0,0.0,0.0,0.0,0.0,-100.0,0.0043832776,0.98834115,7.3073047e-06,0.92819357,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.3987562e-10,1.8055385e-09,6158.496,13120.898,16724.121,18992.285,0.00010030403,11810.708,42.840443,37015572.0,-0.3774842,1.9888319,1.9873175e-10,7.8736634,4.7422133e-09,-8.276317,-0.8819745,-2.2234597,-2.2896898,0.12471851,2.0781386,1.8828255,14.676465,5.0945096,2.5032845,3.1944363,2.0028355,-5.59432,4.0037904
0.0,0.0,0.0,0.0,0.0,-100.0,0.0047937334,0.9936951,8.098484e-06,0.9212648,0.13272649,0.2717571,0.411809,0.54185337,0.6560161,0.769521,0.87618095,0.93360996,0.99310476,1.0318514,1.1283959,1.1724787,1.2118155,1.3169295,1.3377064,1.3518596,1.4002744,1.4462394,1.4856955,1.437801,1.3478523,1.233864,1.0921227,0.90806025,0.74215156,0.604393,2.5957342e-10,2.3169522e-09,7048.535,13853.027,16939.453,18920.508,9.14709e-05,12190.789,30.69455,35882456.0,-0.5096069,2.1272566,3.738668e-10,8.124276,6.827145e-09,-8.1262865,-0.7630184,-2.3431575,0.08346077,0.097288884,4.2714195,5.1422005,16.76835,8.264123,2.709615,3.4139328,2.7655983,-3.573721,6.906906
0.0,0.0,0.0,0.0,0.0,-100.0,0.005014545,1.0244952,9.391545e-06,0.9160998,0.14338857,0.28350875,0.42546618,0.5293693,0.66807824,0.77230686,0.92222786,0.98737115,1.0575757,1.0345705,1.1991512,1.223766,1.2236279,1.370073,1.3859206,1.3952681,1.4232191,1.4349474,1.5462294,1.4695293,1.3623589,1.2708052,1.1408607,0.95065165,0.7799323,0.63667387,2.5108607e-10,2.4705284e-09,9043.945,14944.043,17714.648,18992.285,0.000105087274,13044.597,24.700075,34433180.0,-0.68309855,2.4085207,8.4642154e-10,8.619729,9.744508e-09,-8.388541,0.7022446,-3.3927262,0.7242356,1.0157361,6.282459,6.4079704,11.538737,1.0394963,2.756201,-0.01273338,-0.5597432,0.789336,8.209172
0.0,0.0,0.0,0.0,0.0,-100.0,0.0051589957,1.0631007,9.90423e-06,0.9105568,0.15189965,0.29719615,0.46362582,0.5253478,0.6897424,0.7304352,0.9368761,1.0669962,1.168729,1.0610646,1.2968838,1.2854542,1.2226949,1.378692,1.431365,1.5025581,1.4909254,1.4045817,1.5896521,1.5060172,1.4176363,1.3236861,1.1957918,0.9994318,0.8324507,0.670882,2.551798e-10,2.7584095e-09,9015.234,14585.156,17470.605,18676.465,0.00011681711,12773.669,24.421097,34900132.0,-0.6707397,2.3826106,7.744887e-10,8.470912,1.0208634e-08,-7.7669635,-0.62183577,-1.9979337,0.8106801,5.392074,10.744763,4.489105,2.8273704,-3.4464767,4.140706,-1.4929117,-1.4183561,5.6216073,8.706829
0.0,0.0,0.0,0.0,0.0,-100.0,0.0051627797,1.105348,1.0011968e-05,0.9019905,0.16109796,0.3251702,0.5274765,0.5265234,0.7108173,0.65735406,0.9192786,1.1305671,1.3232266,1.1392708,1.4323125,1.3632492,1.2134544,1.3087972,1.47268,1.6544462,1.6285225,1.3919336,1.5915146,1.5832545,1.4869037,1.3897651,1.2335771,1.022837,0.8681419,0.67687273,2.1692413e-10,2.83859e-09,9058.301,14499.023,17441.895,18575.977,0.00011776449,12712.542,24.479126,35284210.0,-0.68670255,2.3708856,7.516294e-10,8.435321,1.022767e-08,-7.5613937,-0.66812474,-1.286156,1.8299426,11.409417,14.44251,7.8628197,0.7816434,-4.8921657,4.5390363,-5.4853225,-6.852967,2.6444974,7.2525597
0.0,0.0,0.0,0.0,0.0,-100.0,0.0052625686,1.1244409,1.0095744e-05,0.8846057,0.16694826,0.34998515,0.59447193,0.5225461,0.7002673,0.5966326,0.8852692,1.1276485,1.4076144,1.1822729,1.5319096,1.4188498,1.1926398,1.2166145,1.4716746,1.7476095,1.738031,1.3932997,1.5392165,1.6609411,1.5598488,1.422804,1.2635132,1.0188206,0.87302876,0.6530048,3.3238093e-10,2.9922365e-09,8354.883,14025.293,17427.54,18590.332,0.0001191181,12465.031,24.212122,36427268.0,-0.636351,2.2488332,6.347001e-10,8.285587,1.0148692e-08,-7.671778,0.53712463,1.0649608,2.852021,10.878341,11.321704,7.3044696,1.5220569,-0.19602013,5.2681804,-7.036226,-7.2331643,4.616244,5.6806836
0.0,0.0,0.0,0.0,0.0,-100.0,0.005233057,1.1259131,9.810871e-06,0.86155206,0.17415112,0.374794,0.62730354,0.51278347,0.6733261,0.5879836,0.8717909,1.0550507,1.4040275,1.1438979,1.546722,1.4486947,1.2146039,1.2147874,1.4707893,1.7337471,1.7544231,1.4250997,1.4940696,1.7348799,1.5794076,1.4352288,1.2945437,1.0114542,0.8631162,0.6270675,3.1272454e-10,2.9866538e-09,8369.238,14441.602,17628.516,18834.375,0.00012294577,12682.281,23.811386,36619984.0,-0.6769178,2.2745616,7.072954e-10,8.39795,1.0153772e-08,-7.9959054,1.7394117,2.2713118,5.51669,9.904231,6.702315,7.070318,9.25228,1.0304136,1.308258,-3.5271606,-5.324905,0.6117034,4.2094913
