F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0040753237,0.98834115,6.579925e-06,0.96812797,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.946561e-10,1.1411978e-09,9517.676,13809.961,17126.074,19250.684,2.7430911e-05,12728.984,39.866894,32600398.0,-0.60745347,2.4610023,3.444172e-10,8.499333,5.153892e-09,-6.3298855,2.2021234,-5.452539,-1.8397769,-1.7231964,-3.2444546,-1.5661951,1.9999326,-2.8699472,0.5457681,1.6797724,0.8488361,0.32615995,-2.6257138
0.0,0.0,0.0,0.0,0.0,-100.0,0.00373034,0.98834115,6.099303e-06,0.96661633,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.197482e-10,9.792703e-10,7981.6406,13293.164,16838.965,19207.617,5.996886e-05,12232.778,66.36495,34824690.0,-0.48773727,2.2424176,2.4433297e-10,8.172447,3.928216e-09,-6.5936947,0.576276,-3.2341669,-2.6118574,-1.4773097,-2.5401227,-0.009825468,-0.3009181,-1.8672904,1.219786,2.431085,2.7449093,1.7125044,0.1369036
0.0,0.0,0.0,0.0,0.0,-100.0,0.0036472622,0.98834115,5.2326354e-06,0.96548253,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.8367143e-10,1.0520949e-09,6144.1406,12833.789,16379.59,18834.375,7.644251e-05,11580.444,77.219826,37046716.0,-0.379495,1.990343,1.333959e-10,7.7611694,2.8878517e-09,-6.947552,-2.8314078,-0.1711309,-2.6178386,-2.0368454,-1.8726368,4.464798,0.97995406,3.5077913,7.925228,4.2051425,4.1244507,-0.49404612,0.09066391
0.0,0.0,0.0,0.0,0.0,-100.0,0.0035305303,0.98834115,4.8839465e-06,0.9638448,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.468479e-10,9.1009955e-10,5225.3906,12489.258,16307.8125,18489.844,7.017745e-05,11124.3125,83.047935,39706996.0,-0.3178566,1.8291798,1.0597983e-11,7.466226,1.8898583e-09,-5.1221313,-1.9475192,0.0629423,-3.5660007,-3.3397796,-0.23245566,6.0130486,3.747359,5.0134873,11.908059,4.95125,7.2499237,1.0910565,1.7085024
0.0,0.0,0.0,0.0,0.0,-100.0,0.004118001,1.0045851,5.443395e-06,0.9617031,0.13442324,0.27201867,0.41934446,0.5689563,0.67368335,0.7886427,0.8901189,0.92503136,1.0352112,1.0504735,1.1046048,1.1574504,1.2502838,1.2932413,1.3688173,1.3738712,1.4566485,1.4571615,1.4845729,1.4642943,1.3742366,1.2439322,1.081997,0.89841217,0.7493107,0.6024704,3.1198252e-10,1.4713217e-09,5641.699,12991.699,16480.078,18274.512,6.226214e-05,11334.296,55.460144,38970016.0,-0.3678329,1.8584467,6.323444e-11,7.5938625,3.105834e-09,-6.2354913,-1.7809728,-0.29963937,-3.4974353,-5.215842,-0.028755128,7.506246,4.8321624,3.943959,10.299159,7.5364833,8.129852,0.27065572,-0.16794038
0.0,0.0,0.0,0.0,0.0,-100.0,0.0044269846,1.0613772,6.6338785e-06,0.96044344,0.143591,0.2780712,0.4511484,0.60168034,0.7033712,0.83481765,0.9435873,0.9600633,1.1244289,1.0991044,1.1683345,1.1925936,1.3476428,1.3373181,1.4948325,1.4139208,1.5463356,1.5073994,1.5660815,1.5372068,1.4533176,1.3192843,1.1529158,0.9538646,0.81523544,0.64965904,3.506659e-10,1.7204362e-09,7134.668,13537.207,17097.363,18432.422,7.530025e-05,11975.16,41.24397,37519680.0,-0.4809663,2.0200312,2.1477593e-10,7.978634,4.692263e-09,-6.6873784,0.27794087,-1.889122,-1.4311327,-3.5060027,-1.173932,3.6038435,-1.0253382,-0.31696472,7.7973466,5.205793,6.718477,1.5336274,2.3655672
0.0,0.0,0.0,0.0,0.0,-100.0,0.0045421845,1.1333718,7.009154e-06,0.96107334,0.15351462,0.2777973,0.5110607,0.6690754,0.74832845,0.85867715,0.97255045,1.0225061,1.2188832,1.1855961,1.2939025,1.2498752,1.5061188,1.386871,1.6078649,1.4400334,1.6069976,1.5783948,1.6503458,1.6364107,1.5676683,1.426346,1.2570475,1.0478786,0.88800406,0.70591927,3.274425e-10,1.9065383e-09,7263.867,13795.605,17226.562,18662.11,8.246861e-05,12189.727,38.094944,37666864.0,-0.5277072,2.0747106,2.5950472e-10,8.106063,5.1623505e-09,-6.888457,-2.1652992,-3.195142,-1.29157,2.2277381,-5.0935893,0.7335984,-2.03561,-0.57600164,3.988983,5.003729,7.808191,2.863476,3.0721655
0.0,0.0,0.0,0.0,0.0,-100.0,0.0043563913,1.184578,6.5816384e-06,0.9658604,0.15643062,0.27509344,0.57236177,0.6874855,0.7702369,0.84470195,0.9390777,1.065,1.2292318,1.2913033,1.4409026,1.3283025,1.6763948,1.4296745,1.6671988,1.4384979,1.5980037,1.6460705,1.7205395,1.7318922,1.6476436,1.4917027,1.3450336,1.1278855,0.9331692,0.7451938,2.936994e-10,1.7434326e-09,6948.047,13192.676,16953.809,18977.93,8.190264e-05,11922.734,43.56049,38358256.0,-0.4388596,2.0441883,2.046352e-10,7.9360948,4.674551e-09,-6.6907277,-2.0748076,-2.4311378,1.4523836,4.0368056,-2.3914697,-2.4157026,-0.041003864,2.5649834,6.410354,6.637652,5.980087,-1.6302315,2.05474
0.0,0.0,0.0,0.0,0.0,-100.0,0.0043372475,1.1835335,6.176055e-06,0.96976566,0.1570468,0.26741692,0.58099586,0.67066526,0.74794626,0.7938834,0.909766,1.059604,1.1890594,1.3408084,1.509726,1.3659878,1.7302366,1.4417378,1.60494,1.3798918,1.5344719,1.6847509,1.7321411,1.7901083,1.6411127,1.4685014,1.356399,1.1421628,0.91722876,0.7552829,2.342853e-10,1.6973986e-09,6373.828,12661.523,16896.387,19236.328,7.72906e-05,11619.344,45.653095,39409276.0,-0.3132305,1.9378656,1.1153537e-10,7.73795,4.24498e-09,-7.6400604,-1.9242519,-2.401887,-0.96120435,2.7172747,2.1077337,0.10697921,4.9537444,3.7560053,4.410774,7.5743327,8.110864,-0.6161027,2.2942054
0.0,0.0,0.0,0.0,0.0,-100.0,0.0040131654,1.1403939,5.8007804e-06,0.9538927,0.14980246,0.27102563,0.5429645,0.59656185,0.6850833,0.7514591,0.9148086,1.0151652,1.1284567,1.2966413,1.4135252,1.2938026,1.6298409,1.4273453,1.5183905,1.3150822,1.493348,1.7089516,1.7103769,1.815514,1.5360821,1.3646706,1.3112069,1.1078348,0.8911808,0.7611213,1.4026269e-10,1.3800184e-09,6517.383,12503.613,17025.586,19509.082,7.4739306e-05,11640.745,55.601013,38671292.0,-0.2503427,1.8835603,8.22799e-11,7.738907,3.6680188e-09,-8.748649,0.38054958,-1.478508,-1.2008342,-4.1411324,7.2943606,4.362391,6.2746067,1.2365756,0.25569406,4.796403,2.5679605,-6.233546,-2.1070745
