F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.00500532,0.98834115,3.1360396e-05,0.0,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.579866e-10,2.3538327e-09,43.066406,43.066406,43.066406,10465.137,3.4064407e-05,1937.2672,6.9062724,23519474.0,2.4705665,7.7215295,-1.6683272e-08,1.3208387,6.8921246e-09,-2.2488067,8.715805,9.912965,10.621087,4.1748576,9.499057,6.681999,21.757498,24.41022,25.626932,14.740651,11.898999,13.099556,16.33421
0.0,0.0,0.0,0.0,0.0,-100.0,0.005165572,0.98834115,3.134917e-05,0.0007558579,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.4720757e-10,2.5810334e-09,43.066406,43.066406,1349.4141,12790.723,7.285122e-05,2560.307,7.059712,29878232.0,2.0525596,5.905494,-1.5666728e-08,1.7373134,8.797147e-09,-2.7414367,8.704043,8.972415,11.060905,6.9417624,12.526687,9.839189,19.621117,20.430315,23.492838,14.569134,15.06124,17.242119,13.3881035
0.0,0.0,0.0,0.0,0.0,-100.0,0.0052060573,0.98834115,3.1259016e-05,0.0015117158,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.7831833e-10,2.7145484e-09,43.066406,43.066406,2239.4531,15188.086,0.00011777205,3174.789,7.2248573,36556988.0,1.6438861,4.1110926,-1.4588818e-08,2.1444464,1.0865939e-08,-2.9716218,8.20855,8.850797,12.095222,8.665527,18.212265,12.076637,18.119123,13.335433,16.667336,13.620503,16.581732,17.498537,15.329617
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055397972,0.98834115,3.104338e-05,0.0022675737,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.845722e-10,3.3347713e-09,43.066406,43.066406,3373.5352,15661.816,0.00012402642,3535.4902,7.297695,39854860.0,1.4487187,3.4073248,-1.4059077e-08,2.3863652,1.2824707e-08,-3.0866592,6.7432847,9.275719,13.630597,9.419012,21.815948,14.034279,16.534422,14.064011,17.307657,9.748679,10.033084,12.7402115,12.64548
0.0,0.0,0.0,0.0,0.0,-100.0,0.0054565575,1.0010034,3.0677544e-05,0.0025195263,0.12885207,0.28331244,0.43297198,0.54913205,0.6665183,0.7991374,0.89093,0.9142018,0.989527,1.0636603,1.1257092,1.1601542,1.2056652,1.2805282,1.3550488,1.397911,1.4649125,1.4602045,1.4881748,1.4556283,1.3617973,1.2556423,1.0619208,0.895818,0.7371087,0.60162044,7.004776e-10,3.0521425e-09,43.066406,43.066406,4421.4844,15791.016,0.00012702907,3638.752,7.3824916,40862972.0,1.3970556,3.2402222,-1.37469796e-08,2.4559906,1.3640627e-08,-2.270788,8.206806,9.763969,10.402867,6.16419,20.755789,13.018163,18.475433,13.364446,18.583113,10.2898445,8.130716,7.9842362,12.98136
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055808653,1.0143919,3.0326404e-05,0.005542958,0.12816332,0.29195717,0.44202146,0.56354016,0.67054254,0.8765033,0.94316125,0.9045162,0.9933571,1.089173,1.1533369,1.1478472,1.1693591,1.2851962,1.360916,1.4049077,1.5136828,1.4688764,1.5182476,1.4830958,1.3730367,1.2839566,1.0653086,0.8988878,0.7426133,0.60198516,8.884751e-10,3.111057e-09,43.066406,43.066406,6574.8047,15834.082,0.00012627158,3836.2021,7.489553,42034676.0,1.3036741,2.9803143,-1.3242736e-08,2.5943425,1.3959319e-08,-2.2331743,9.114408,8.4638815,7.8101134,6.568499,17.26415,12.540303,15.307836,17.644522,23.172106,13.571521,10.107572,11.124409,8.654391
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056740376,1.034997,3.0011908e-05,0.008818342,0.12704706,0.30291578,0.43831894,0.5864869,0.71092385,1.015522,1.0195211,0.9017849,0.9997139,1.1252466,1.18128,1.1256268,1.1455988,1.288534,1.3573598,1.4235497,1.536137,1.4719921,1.539053,1.5343728,1.4039888,1.3354778,1.0814787,0.90889007,0.7517106,0.59739226,1.0625644e-09,3.1518042e-09,43.066406,43.066406,8024.707,15834.082,0.00012969691,3953.3584,7.641957,42471564.0,1.24125,2.8080978,-1.2772001e-08,2.681073,1.4463953e-08,-1.4750346,9.166453,7.716774,4.6022635,4.390656,14.728124,13.031878,19.73995,17.313524,25.279161,17.595673,12.065529,9.841298,8.734416
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057131215,1.0449513,2.9716584e-05,0.020408163,0.12606493,0.30728102,0.4095204,0.6311648,0.76494473,1.117082,1.0512567,0.9211386,1.0117539,1.125332,1.174356,1.0964378,1.1328737,1.2913011,1.352004,1.4261513,1.4962035,1.4865955,1.5190358,1.556356,1.4411033,1.3434912,1.1198198,0.92110157,0.7595501,0.58681566,8.922752e-10,3.2383944e-09,43.066406,43.066406,7407.422,15747.949,0.00013047938,3880.241,7.7297606,41562136.0,1.2719556,2.9086924,-1.2649179e-08,2.6346219,1.4137303e-08,-1.9249791,8.815202,7.663509,6.981939,3.7341032,15.7540045,15.453117,16.867922,16.827557,20.817762,16.567575,11.922585,13.257459,13.175578
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055765086,1.0493535,2.9669618e-05,0.0335097,0.12554543,0.31894365,0.3932604,0.65639424,0.7935893,1.1143364,1.0335767,0.95527774,1.0321562,1.1471986,1.1901666,1.1112179,1.1642128,1.2929206,1.3799615,1.4365631,1.4291892,1.5012785,1.4789106,1.5392472,1.4524431,1.3227416,1.1451975,0.924309,0.757271,0.5872789,7.860315e-10,3.2158072e-09,43.066406,43.066406,4364.0625,15116.309,0.00012920925,3337.9177,7.7230077,36699344.0,1.548741,3.8600557,-1.3206448e-08,2.271083,1.28379725e-08,-0.8542606,8.336511,7.1471057,10.705211,7.542093,17.565077,12.290896,16.25002,12.281177,20.33851,13.647504,10.838561,9.332671,13.721115
0.0,0.0,0.0,0.0,0.0,-100.0,0.005626121,1.045096,2.9699155e-05,0.058956917,0.125834,0.34034458,0.40015888,0.6574945,0.7818058,0.99952763,0.98379964,0.9705941,1.0745826,1.2042241,1.2156172,1.17426,1.1894428,1.2952106,1.4225469,1.4115738,1.3531607,1.5121616,1.4365846,1.5032076,1.4254745,1.2745429,1.1464032,0.91756225,0.75320226,0.60317916,5.830793e-10,3.4620982e-09,43.066406,43.066406,6617.871,15231.152,0.00013888483,3766.8953,7.6051426,40184984.0,1.4026059,3.5190697,-1.3159852e-08,2.5504196,1.3560427e-08,-1.1296121,8.461926,5.814215,13.975335,13.25966,21.135902,10.516688,12.677138,10.457931,18.18883,14.996373,11.886867,10.509078,11.264229
0.0,0.0,0.0,0.0,0.0,-100.0,0.005980315,1.0513034,3.0692016e-05,0.08238851,0.12653019,0.36670318,0.4288045,0.6448407,0.7694698,0.8838065,0.9587062,0.98765117,1.174534,1.3439909,1.2575997,1.281745,1.2427903,1.3111678,1.4082168,1.3666726,1.3026932,1.4885808,1.4076029,1.4900298,1.3886102,1.2529335,1.1462026,0.92698425,0.75523853,0.6217823,8.8207636e-10,3.7513668e-09,43.066406,43.066406,8096.4844,15274.219,0.00015127451,3993.8496,7.541944,41296332.0,1.3074061,3.2795575,-1.3208594e-08,2.7119305,1.564895e-08,0.47353217,7.9089,1.9045404,11.007702,14.580559,20.434038,10.72211,15.132778,9.831707,15.16525,14.645241,12.447972,9.788398,8.369446
0.0,0.0,0.0,0.0,0.0,-100.0,0.0067135636,1.0936798,3.126409e-05,0.1148904,0.12771541,0.4145296,0.47998032,0.6632581,0.79348356,0.8704327,1.0738039,1.0309973,1.3211095,1.5051622,1.311581,1.3919344,1.3359896,1.400124,1.3940878,1.3663539,1.2964009,1.4747823,1.438414,1.5524515,1.3864135,1.2799358,1.156962,0.9615447,0.7697858,0.63844323,1.7011329e-09,5.1914166e-09,43.066406,43.066406,11269.043,15805.371,0.0001686267,4561.5063,7.4304595,45839300.0,1.0168251,2.2900298,-1.3734419e-08,3.099374,2.012262e-08,1.9141554,8.421196,3.2684984,9.4568815,9.966319,17.560373,13.631053,17.168844,9.836247,9.983798,11.12835,5.7320404,7.4778485,7.326698
