F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99886626,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99622077,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99004793,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9760645,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010447706,0.9903124,5.932919e-07,0.95112115,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4596189,1.436408,1.3656,1.2392782,1.077477,0.90405035,0.74219495,0.6019542,7.618674e-13,5.2598707e-12,1808.7891,3818.5547,5498.1445,6560.449,3.4890145e-06,3665.5547,8.632051e-06,13475561.0,-0.016299335,0.59974927,-2.296915e-14,2.4392068,5.316802e-12,-0.5346884,0.6589944,-0.5606167,0.3279725,-0.10836274,0.007595644,-0.03207693,0.10828695,-0.15256368,0.13119632,-0.069353335,0.014818928,0.0041840477,0.0069177267
0.0,0.0,0.0,0.0,0.0,-100.0,0.0020226652,1.0947238,2.1251649e-06,0.91219455,0.14210023,0.28177902,0.44233665,0.59272397,0.7235358,0.8405447,0.9410545,0.9849806,1.0716066,1.1600007,1.2222959,1.2668734,1.3531195,1.4011008,1.4597287,1.5507827,1.5589308,1.6248918,1.6297032,1.5857038,1.5256017,1.363705,1.1972097,1.0225371,0.8420817,0.677891,6.3531645e-11,5.0850196e-10,3000.293,7866.797,10953.223,12848.145,3.0203388e-05,7270.569,22.413055,28305802.0,-0.08288612,1.151137,-7.763003e-12,4.8408113,7.282311e-10,-2.401017,-1.4026088,-1.5229152,-0.14836143,-1.3613356,1.5850862,0.17791784,1.5133672,3.6787508,3.3602464,4.1405144,0.4316552,0.978808,-0.23146267
0.0,0.0,0.0,0.0,0.0,-100.0,0.0034617286,1.4412478,4.2915603e-06,0.86004037,0.1853009,0.32655045,0.51223475,0.6937402,0.8963793,1.0760813,1.2619921,1.2326434,1.3581823,1.5109905,1.6323334,1.6528034,1.8062315,1.8285708,1.9409829,2.1243992,2.0368035,2.207011,2.1617854,2.0915754,2.0747926,1.8102089,1.5892273,1.3852,1.150701,0.9257231,1.6349073e-10,1.5355246e-09,4163.086,11010.645,16752.832,19695.703,5.5159082e-05,10722.948,35.712467,45768030.0,-0.034875512,1.669387,-5.3895142e-11,7.087751,2.3809468e-09,-4.732002,-2.8023436,-2.5148785,0.31495008,-0.4983963,2.6566525,3.6851702,6.4400635,7.206762,8.421299,3.2148418,-0.051906627,0.54934746,0.6511709
0.0,0.0,0.0,0.0,0.0,-100.0,0.005712664,2.2446072,6.856306e-06,0.7949106,0.282809,0.45270014,0.70265347,0.93427634,1.244295,1.5425997,1.9628247,1.8325958,2.0728343,2.3318567,2.5991228,2.6172736,2.8700573,2.910736,3.190663,3.439965,3.201566,3.5685623,3.335707,3.195214,3.2787392,2.8649101,2.4926536,2.147955,1.8167909,1.4704355,5.2891175e-10,5.9011467e-09,2885.4492,8153.9062,13924.805,18059.18,9.083669e-05,8846.083,44.196323,42101332.0,0.4084369,2.2674305,-7.6500384e-10,5.8716793,5.2074007e-09,-5.3919873,-5.99878,-1.8450738,3.6306317,1.3675321,4.875127,6.6260414,4.74956,5.0293508,6.0239105,0.8546607,0.5317884,-1.8054241,1.4797972
0.0,0.0,0.0,0.0,0.0,-100.0,0.0074254796,3.5310833,9.842809e-06,0.71819097,0.43641058,0.70002776,1.1087908,1.3955585,1.715315,2.1842341,2.9815075,2.7902412,3.316806,3.7388906,4.151402,4.3374543,4.6359835,4.664953,5.516703,5.583406,5.271935,5.691366,5.208538,4.8524694,4.9450774,4.5049543,3.828883,3.213914,2.7561226,2.2772343,2.0062685e-09,1.3774034e-08,2081.543,4895.215,11082.422,16810.254,0.00010702936,6959.408,27.72207,38037540.0,0.91368484,2.8807266,-2.0244444e-09,4.64074,1.0201198e-08,-3.643919,-6.6826453,0.81914455,7.780318,2.9850314,6.5010934,5.3376603,-0.75648755,-1.7258358,1.2712842,-5.331377,-1.8675714,-4.0044894,3.2658727
0.0,0.0,0.0,0.0,0.0,-100.0,0.009597507,4.889773,1.3220863e-05,0.63265306,0.6021514,1.0536523,1.7707199,2.091902,2.1885593,2.675494,3.8081436,3.7629032,4.630432,5.3201795,5.7354245,6.4583974,6.5285096,6.5561295,8.48644,7.7919364,7.6732163,7.8818784,7.373518,6.470026,6.3121796,6.1333156,5.0659685,4.1858134,3.5646794,3.012524,4.7396203e-09,3.3183056e-08,1406.8359,2483.496,6833.203,14427.246,0.0001421417,4974.8394,18.349459,29261210.0,1.460327,4.0767016,-4.965066e-09,3.3778274,2.0767509e-08,-1.8925333,-7.923963,6.055903,12.158542,3.56958,6.6012673,-1.1191292,-9.169559,-6.5959,-6.519018,-3.800872,-2.5275276,-4.639021,6.9806457
0.0,0.0,0.0,0.0,0.0,-100.0,0.011371077,6.02624,1.6443586e-05,0.542706,0.7459913,1.4209751,2.590721,2.9582393,2.6343706,2.9719174,4.2693686,4.4383464,5.6702447,6.6766047,7.0269794,8.669122,8.223653,8.202965,11.320998,9.73309,9.825786,9.745147,9.5651245,7.757239,7.003508,7.1254807,5.8139367,4.8344083,4.062098,3.3959255,6.977473e-09,5.7346625e-08,1378.125,2225.0977,5268.457,12173.4375,0.00017265214,4280.8877,13.518216,24782912.0,1.8997735,6.1277537,-8.580842e-09,2.9026089,3.0983042e-08,-0.9273364,-9.077758,9.068942,13.059196,3.0947053,4.757272,-5.9641623,-8.538621,-3.5620716,-7.050928,-2.3651354,-5.900163,-1.8516003,8.564568
0.0,0.0,0.0,0.0,0.0,-100.0,0.012954327,6.637511,1.9743768e-05,0.4537667,0.87137073,1.7015071,3.0909793,3.6326854,3.1141396,2.9541683,4.216818,4.6557527,5.927401,7.0712185,7.5479093,10.301827,9.268323,9.265237,13.264419,11.025658,11.157779,10.756602,10.9721575,8.555288,7.2168946,7.380918,5.970064,5.101384,4.1594715,3.3952992,8.099405e-09,8.804462e-08,1478.6133,2138.9648,3574.5117,9761.719,0.00021789428,3627.092,10.643046,19272446.0,2.347431,8.375622,-1.371104e-08,2.4512465,4.192188e-08,-1.7084064,-9.40968,13.67883,16.981256,3.9823787,1.5518656,-2.524606,-5.4055495,-2.205156,-3.8525302,0.7093026,-0.56826496,6.0045066,12.250115
0.0,0.0,0.0,0.0,0.0,-100.0,0.0143987825,6.9474626,2.427364e-05,0.3712522,0.9921582,1.9058619,3.2432213,3.9598358,3.6318495,2.8708184,4.0498834,4.6903152,5.8183484,6.853845,7.795605,11.400208,10.033267,10.138738,14.151248,11.979365,11.922005,11.272464,11.5965395,8.989238,7.4098434,7.2016997,6.0577025,5.254865,4.164289,3.2508202,1.3886617e-08,1.2394398e-07,1306.3477,1952.3438,2957.2266,7249.5117,0.0002619863,3069.995,9.518268,14691648.0,2.7418625,10.934799,-2.0439673e-08,2.0946064,6.039809e-08,-0.69661075,-9.722733,13.919337,19.731672,4.486483,1.8376193,-1.8954953,-6.481402,0.90803987,-4.525622,-0.6490342,-1.796556,7.761602,10.815659
0.0,0.0,0.0,0.0,0.0,-100.0,0.016501702,7.005923,3.04318e-05,0.30549255,1.1066307,2.0549543,3.1187828,3.9946516,4.0215898,2.7702024,3.787668,4.618257,5.5903015,6.21903,7.8390965,11.91849,10.5378065,10.443065,13.91789,12.408242,12.408711,11.338521,11.372124,9.097766,7.7576385,7.015018,6.206444,5.339747,4.1610255,3.1103325,2.3334707e-08,1.9026776e-07,1277.6367,1851.8555,2942.871,6646.582,0.00030862392,2910.041,8.358215,12738472.0,2.852115,12.260461,-3.2106502e-08,1.9833001,9.943218e-08,-1.1430405,-8.146026,16.764551,21.225203,7.417603,1.284749,-3.797822,-9.364285,3.2356799,-3.5668871,-1.978282,1.2581432,12.67438,10.795459
0.0,0.0,0.0,0.0,0.0,-100.0,0.019615972,7.0601296,3.8843147e-05,0.2558579,1.1864401,2.2400236,3.2264273,4.0855465,4.312895,2.8067722,3.5996869,4.579186,5.4655356,5.918205,7.9554687,12.169805,10.947055,10.284333,13.110734,12.462224,12.931151,11.414322,11.052739,9.080132,8.202323,7.160832,6.5961404,5.4769692,4.220881,3.077531,5.001947e-08,2.909657e-07,904.39453,1794.4336,2957.2266,5756.543,0.0003971338,2689.0354,7.6492863,10290631.0,2.945237,13.826978,-5.3653093e-08,1.8395413,1.563451e-07,-0.35703865,-6.187334,16.492743,19.409203,8.532443,-0.9365565,-7.92305,-13.718371,4.034636,-4.30646,-7.67399,-1.7763515,7.569925,7.455269
0.0,0.0,0.0,0.0,0.0,-100.0,0.022576317,7.1790433,4.871849e-05,0.22108845,1.2374063,2.4892662,3.579848,4.291929,4.444637,2.9710867,3.6211793,4.5924587,5.4668107,5.9322257,7.95165,12.286628,11.145591,9.791056,12.075263,12.345235,13.447945,11.815311,11.029274,9.477056,8.794501,7.7474465,7.021543,5.600964,4.3544745,3.1443427,6.4860934e-08,4.170456e-07,631.6406,1780.0781,3000.293,5325.879,0.00047538037,2510.3987,7.0025315,8468749.0,2.9392796,15.017338,-8.486064e-08,1.7024088,2.329038e-07,-1.0791898,-4.3795333,20.259228,18.096972,10.817429,0.48448578,-5.2706113,-10.012536,1.2488203,-3.6554985,-10.784785,0.36179948,9.593606,6.8552895
0.0,0.0,0.0,0.0,0.0,-100.0,0.024988255,7.311229,5.874287e-05,0.19967246,1.3400478,2.8380191,3.8709772,4.4396005,4.454265,3.079399,3.8445227,4.851711,5.2639556,6.11873,7.6311135,11.908984,11.0238695,9.440912,11.47329,12.130797,13.738781,12.342578,11.177743,10.235945,9.55767,8.644612,7.268231,5.686184,4.392081,3.3379352,7.485804e-08,5.1936985e-07,215.33203,1248.9258,2670.1172,4493.2617,0.0006259824,2023.3682,6.176634,6719829.5,3.1334016,17.984856,-1.5236164e-07,1.371226,2.8729633e-07,-0.21020834,-2.6915448,22.276192,19.06291,12.288381,4.989301,0.49711356,-2.7450511,0.43268457,-2.929856,-12.996526,-1.1131269,5.1416245,8.02079
0.0,0.0,0.0,0.0,0.0,-100.0,0.0259251,7.2596765,6.619763e-05,0.1893424,1.4583912,3.1527946,3.928982,4.3225484,4.1549273,3.1659544,4.331617,5.236982,4.821038,6.193693,7.0262756,10.749043,10.466972,9.102887,10.844455,11.577783,13.319348,12.584336,11.408543,11.03753,10.01727,9.11505,7.23739,5.623219,4.3414526,3.5331013,7.3891414e-08,5.42343e-07,129.19922,1291.9922,2942.871,4550.6836,0.0007110766,1998.0898,6.011896,6363179.5,2.896184,16.995634,-1.6781026e-07,1.3318471,3.421576e-07,-0.87051266,-0.1668965,23.564804,15.812037,12.21637,8.912741,2.2122545,6.315298,4.952708,-4.443396,-11.852269,-5.58958,1.4332365,7.140373
0.0,0.0,0.0,0.0,0.0,-100.0,0.027037451,6.9517303,7.003149e-05,0.19135803,1.5815405,3.2551215,3.718789,4.079766,3.7436352,3.1981542,4.704424,5.3785934,4.0858827,5.979899,6.249514,8.658104,9.32619,8.544982,10.04873,10.616115,12.224729,12.533879,11.6331215,11.575204,10.143615,9.031909,6.9825883,5.519975,4.2670345,3.66349,1.4859774e-07,6.0542135e-07,114.84375,846.97266,3057.7148,4622.461,0.0008010592,1918.1019,5.761574,6187076.0,2.6705596,15.668453,-2.134193e-07,1.264841,4.0867292e-07,-1.5867304,5.0229793,26.131266,12.80214,9.155292,8.826251,0.44961533,5.341993,4.052839,-2.5561678,-4.991749,-5.8109875,-4.6565604,5.6939507
0.0,0.0,0.0,0.0,0.0,-100.0,0.027322868,6.4544244,7.180521e-05,0.18984632,1.5274683,3.0715644,3.5163078,3.7848415,3.411028,3.3616388,4.6510878,4.8642955,3.3335636,5.6725974,5.5536313,6.3024964,7.7551117,7.7589746,8.896993,9.273653,10.845101,12.188675,11.642349,11.641296,9.97051,8.594144,6.7673874,5.460054,4.2733912,3.6968696,1.5383247e-07,6.107744e-07,157.91016,1780.0781,3718.0664,5426.367,0.00086549856,2449.2898,6.289572,6873544.5,2.0662827,11.376468,-1.8219043e-07,1.5921707,4.5892875e-07,-4.222152,8.355992,27.8667,9.753924,6.5200477,5.6016955,-4.7490463,-1.932391,-0.21028297,0.30758,3.4398878,-2.976196,-11.242602,-4.9359126
0.0,0.0,0.0,0.0,0.0,-100.0,0.028592857,5.930392,7.3913405e-05,0.18946838,1.3491484,2.707924,3.3324387,3.5556571,3.307513,3.3130932,3.983505,3.7758112,2.8223712,5.347526,5.003223,4.383044,6.049576,7.02071,7.646007,8.054479,9.714233,11.807327,11.333661,11.506508,9.800964,8.1534,6.650726,5.5188317,4.408687,3.6438262,1.8029579e-07,7.170991e-07,186.6211,2038.4766,3919.043,5684.7656,0.0008899863,2587.5276,6.268904,6805484.0,1.8321625,10.30351,-2.1007304e-07,1.6755279,5.2711283e-07,-6.4439683,10.686269,30.984816,13.471601,9.244198,7.0754647,-10.101491,-13.305463,-6.2095113,2.5857222,12.700809,1.2792819,-9.858872,-7.319264
0.0,0.0,0.0,0.0,0.0,-100.0,0.029025821,5.452104,7.821792e-05,0.18896449,1.1348087,2.3675737,3.0713131,3.2827518,3.2719584,3.0275564,3.059534,2.6724827,2.5234468,5.144322,4.5918193,3.2528975,4.7850943,6.547817,6.606481,7.135086,8.993913,10.988879,10.499525,10.976449,9.842721,7.7818236,6.517689,5.5909896,4.5142026,3.5735807,1.1965932e-07,6.8637127e-07,186.6211,2555.2734,4220.508,6115.4297,0.0008769745,2720.14,6.251747,7019829.5,1.5726434,8.735484,-2.1970136e-07,1.7629509,5.3261834e-07,-8.249321,10.981926,30.820854,16.416824,12.717519,6.211394,-9.694611,-11.686021,-6.3780417,6.2601776,13.418437,2.8582714,-6.886337,-11.812192
0.0,0.0,0.0,0.0,0.0,-100.0,0.030063525,5.032409,8.2008606e-05,0.19501133,0.99281764,2.0869887,2.6977055,3.001953,3.197971,2.5476332,2.3264148,2.0085013,2.4026892,4.969849,4.3389115,2.7675438,4.0423236,6.313173,5.8402042,6.598453,8.347263,9.891024,9.5796585,10.09405,9.617141,7.327698,6.3610363,5.5302234,4.5141044,3.4473124,1.5282112e-07,7.652339e-07,157.91016,2339.9414,4177.4414,6115.4297,0.00081559486,2629.6199,6.1951947,7171496.0,1.569203,8.317483,-2.4489228e-07,1.7167021,6.0905614e-07,-7.908151,10.951568,29.834135,18.147936,12.782874,7.1999493,-7.4962564,-14.270961,-7.55394,5.01479,17.399567,6.526338,-5.1689043,-4.0572987
0.0,0.0,0.0,0.0,0.0,-100.0,0.03138627,4.682536,8.790739e-05,0.2037037,0.94985867,1.8786821,2.2661521,2.7307832,3.039155,2.224662,1.9568156,1.8913625,2.3221567,4.7221622,4.1442614,2.5783417,3.7148502,6.2512493,5.4464746,6.3581443,7.731849,8.681476,8.726151,8.923106,9.012483,6.897082,6.246104,5.35417,4.3855896,3.312825,1.2802322e-07,8.560684e-07,129.19922,2239.4531,4450.1953,6273.34,0.0008357694,2672.3933,6.1073937,7830454.5,1.4820417,7.2495036,-2.925809e-07,1.7646794,6.9396657e-07,-8.085509,10.722607,28.358292,17.839373,9.196129,6.954678,1.6205215,-9.452912,-3.7493217,6.295811,17.657373,8.002822,-6.5058537,-3.2672672
