F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
62.86011,0.72653884,0.0,0.0,0.0,28.277704,0.1486488,0.98834115,0.0086308075,0.21201813,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0016319612,0.00044590968,1737.0117,10077.539,12245.215,13135.254,0.038772184,7781.605,6.712425,37156296.0,2.0432107,20.749935,-0.00059745467,5.0947556,0.00028918165,3.078955,-4.2337956,-0.26803875,-0.30906597,-7.1392746,-7.9524283,-3.3851602,-6.353807,-5.8329773,0.14664666,-3.5344017,3.8083656,4.5578485,13.976776
68.255394,0.7445249,0.0,0.0,0.0,15.159299,0.5784297,0.98834115,0.029862285,0.15091963,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.08929477,0.007865806,947.46094,5139.258,6258.9844,6962.4023,0.435925,4088.3757,5.1185737,19070820.0,8.040208,167.13936,-0.0753609,2.728689,0.12642026,13.984807,2.7554486,4.080048,-0.5066444,-1.753266,-1.428615,-1.096546,-1.6023451,-3.7600615,-3.7961676,-7.891342,-1.1423453,1.0849901,5.4699426
73.770424,0.7599425,0.0,0.0,0.0,3.3978615,0.93953675,0.98834115,0.051754195,0.07256236,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.30542824,0.013080592,143.55469,215.33203,287.10938,746.4844,0.6653987,384.84924,3.6508133,911081.25,11.46861,263.98514,-0.14625259,0.35656834,0.24263923,28.862549,9.027615,10.815434,-2.460824,4.654035,1.0867939,-0.81355643,4.3118258,-2.5380015,-11.934728,-6.541062,-1.9419502,-4.641327,-2.1128528
74.00064,0.7623029,0.0,0.0,0.2767446,3.0265064,1.1657138,0.98834115,0.060522154,0.0335097,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.3952018,0.019741964,172.26562,215.33203,344.53125,588.5742,0.8479769,306.90906,3.3511822,141597.11,10.845944,273.64914,-0.17639047,0.31650236,0.3467121,36.098976,7.211134,10.553841,-7.3747063,1.1529101,-3.5391493,2.3161106,13.733243,2.1355577,-14.861301,-4.2525573,-3.1256418,-11.297282,-4.999928
74.1788,0.7566059,0.057157263,0.0,0.28701273,4.677069,1.0963794,1.0235204,0.060673673,0.016250946,0.14268933,0.30282405,0.46873406,0.60980505,0.7286802,0.9074028,0.99230367,1.0112745,1.0422907,1.1305588,1.094467,1.211042,1.2976117,1.3564674,1.4073492,1.354973,1.4291974,1.4720298,1.4951006,1.4476336,1.3147337,1.2003917,1.0550112,0.86233336,0.7101224,0.56649953,0.42823187,0.017751507,172.26562,229.6875,358.88672,559.8633,0.6757981,296.358,3.3842952,67694.21,7.467689,196.40196,-0.17526722,0.30951416,0.4094411,40.471756,5.9932747,11.6054735,-7.804876,-0.6936553,-4.5261745,2.0800312,15.967506,1.6106697,-20.300621,-0.54081917,-0.61985344,-13.236447,-5.668339
74.12256,0.74751353,0.0,0.057157263,0.27724993,5.719132,1.0732464,1.0279306,0.060259562,0.015621063,0.15780734,0.33032766,0.51136094,0.670875,0.76571256,1.0457803,1.1145245,1.077057,1.1063789,1.2379282,1.0447909,1.2236924,1.3528956,1.4086394,1.4749216,1.2773532,1.3956677,1.4302722,1.4400616,1.4079074,1.2032028,1.1071826,0.9935439,0.7810943,0.6576785,0.50953966,0.33617806,0.020431062,172.26562,215.33203,358.88672,531.15234,0.62292796,285.07642,3.3383198,66356.13,7.409584,210.49315,-0.174816,0.29700702,0.37466213,40.86987,6.0318527,9.64659,-5.4311223,-0.33289337,-1.3176848,5.819798,14.45475,-0.74676055,-16.501148,-1.2570008,-0.88706714,-11.202783,-8.784629
78.559296,0.7452135,0.08070188,0.0,0.24695086,4.723793,1.0547658,1.0263572,0.060526952,0.015369111,0.170357,0.35775837,0.5426488,0.72381735,0.78816444,1.1534967,1.2267486,1.1289895,1.177306,1.3468294,0.98582965,1.2194462,1.3932762,1.453653,1.5429734,1.2108332,1.3576307,1.385696,1.37052,1.3752912,1.0753369,1.0015516,0.9185698,0.69326943,0.6242921,0.4610013,0.32835248,0.018995343,157.91016,200.97656,287.10938,531.15234,0.5984704,262.60684,3.3124561,62297.875,8.150036,229.4135,-0.17739148,0.2745234,0.35624802,40.629436,7.536203,10.977433,-4.53162,-1.4038706,1.8623414,3.3958752,15.233348,-4.1753993,-19.825394,-0.0012526512,-0.97724026,-11.628081,-8.115457
82.83801,0.74530476,0.08070188,0.057157263,0.21665178,4.1014686,1.0397118,0.9872744,0.055630118,0.018014614,0.17169325,0.34430495,0.51468056,0.7253656,0.7474065,1.089482,1.1756183,1.0861592,1.1881819,1.3674812,0.93372345,1.1631256,1.3424934,1.4077896,1.5320482,1.1628212,1.2968322,1.3192793,1.2949471,1.3254485,0.9942618,0.92980283,0.8515231,0.6426192,0.61830384,0.44374266,0.2872596,0.021496573,129.19922,200.97656,330.17578,588.5742,0.5375571,274.76712,3.4508197,80453.51,7.369175,193.99098,-0.14101674,0.2841352,0.22271417,40.145367,5.1189914,9.826001,-5.63966,0.05159645,0.65154546,3.292611,16.542143,-3.0152245,-17.125513,4.3748693,1.8339764,-9.275917,-3.8413684
87.26908,0.74345446,0.08070188,0.057157263,0.21665178,2.7418034,1.0345036,0.97908276,0.050727222,0.023053667,0.16710657,0.32311523,0.480064,0.71117735,0.7317667,1.0176795,1.1287786,1.0524925,1.1842757,1.3615421,0.9609537,1.1630551,1.3274183,1.3912191,1.5380219,1.1618805,1.2439508,1.32436,1.3549123,1.3282553,1.0011115,0.9409456,0.82929707,0.6483866,0.6294295,0.4549575,0.24573873,0.019832516,143.55469,200.97656,330.17578,631.6406,0.60098714,289.36337,3.425761,86240.234,7.437874,189.14398,-0.11614623,0.2990382,0.22477074,39.470554,4.0144005,9.410048,-7.08999,1.2464536,-2.3642848,-2.0176666,18.00723,-0.92600244,-19.377625,5.29085,0.59338266,-13.534881,-1.4026896
87.26093,0.73641616,0.08070188,0.057157263,0.21665178,3.1282558,1.0536258,0.9812216,0.050248172,0.032375913,0.16079359,0.29080033,0.44865823,0.7072044,0.73780155,0.9844635,1.0946474,1.0323998,1.1730769,1.3473881,1.039761,1.2038928,1.3636752,1.3946439,1.5289751,1.144989,1.1682162,1.3466754,1.4715339,1.3210691,1.0258983,0.9646079,0.8126676,0.67339665,0.6178422,0.45668224,0.28419176,0.02378451,143.55469,229.6875,387.59766,631.6406,0.60016304,303.40067,3.526273,89271.41,6.852988,180.49745,-0.11546936,0.3132502,0.20567173,40.237446,2.8916042,6.4199524,-7.0887527,3.0809696,-3.800163,-2.9602206,16.755201,1.3171403,-17.948397,6.860172,1.7282008,-10.510285,-1.2305382
87.306496,0.740735,0.09722912,0.051127374,0.17174256,4.0112967,1.1007355,0.9975913,0.0509261,0.04295792,0.15379183,0.268886,0.4299251,0.7017207,0.7575307,0.9980596,1.0728902,1.0206932,1.1714882,1.3516582,1.1776547,1.2457557,1.4455,1.4276282,1.504737,1.1673346,1.1224157,1.3982588,1.5382227,1.3051804,1.084834,0.99592924,0.81700975,0.7176487,0.603301,0.45932063,0.3264319,0.026866807,143.55469,229.6875,387.59766,631.6406,0.5721214,308.64902,3.5957642,88232.53,7.2880664,195.43396,-0.12707303,0.31925988,0.25970307,39.830612,2.955745,7.581612,-6.1902084,2.1174655,-3.9033616,-3.6989508,14.242396,1.0817729,-16.666693,6.046084,1.4779553,-12.554635,-5.625216
87.29217,0.75070524,0.11375638,0.04509749,0.12683333,3.8924754,1.1751331,1.0428723,0.049034983,0.054925676,0.14770806,0.2605909,0.4170103,0.71336395,0.7825377,1.0357711,1.0685936,1.0139006,1.1824044,1.3526554,1.3250399,1.2579969,1.5381204,1.500538,1.4833016,1.2895983,1.1730413,1.5116097,1.5928802,1.3731246,1.1987795,1.0867089,0.89569145,0.8061979,0.6257715,0.4817431,0.33760035,0.029536987,143.55469,287.10938,473.73047,689.0625,0.48905668,359.61862,3.8981059,146285.78,6.027687,110.80603,-0.109978594,0.36477306,0.25802568,35.98148,2.376106,8.261497,-9.390846,0.79699403,-7.1512127,-0.059988182,11.562096,3.7267494,-13.186428,7.486384,2.7796323,-8.721664,-3.9691117
87.29907,0.751626,0.09053394,0.06627396,0.16280586,5.056991,1.3404385,1.1500465,0.049189705,0.06349207,0.14713563,0.2610538,0.40841535,0.723766,0.81360227,1.073409,1.0636262,1.0147486,1.1947839,1.3651425,1.4499048,1.2423693,1.5750538,1.584126,1.4955877,1.5589503,1.3718921,1.7263111,1.7465421,1.6921587,1.4933046,1.4250593,1.20634,1.040796,0.70689005,0.5202423,0.3494084,0.040557574,143.55469,258.39844,459.375,703.41797,0.46219388,417.81674,3.9576035,442034.75,5.4530616,76.44394,-0.12602286,0.39025244,0.2874251,29.160063,7.0079846,12.863452,-16.859879,8.572823,-12.138906,7.258604,2.7291987,7.4611373,-11.963493,9.041455,-1.0272889,-9.366641,-3.690995
87.32206,0.7429916,0.05078426,0.09348031,0.24368758,4.5339646,1.4825548,1.3522148,0.04872051,0.06802721,0.14370297,0.2590802,0.38553682,0.72282976,0.83791035,1.0812875,1.0650605,1.0142685,1.1789278,1.3440717,1.5415925,1.2319978,1.5353966,1.5861497,1.5335795,1.9055551,1.6892196,2.1016216,2.1193264,2.4517877,2.164811,2.3127594,1.9629879,1.5329174,0.87653655,0.57867,0.3054786,0.047966693,172.26562,344.53125,559.8633,1751.3672,0.4942396,637.1324,4.2956195,1097956.1,3.9792233,29.294931,-0.10591515,0.5296478,0.25207287,20.999418,10.8502035,13.031991,-27.191366,16.112658,-17.472557,10.843426,-2.0749695,12.968532,-8.391308,8.65399,-3.4004784,-4.286123,0.019037565
87.29951,0.7360844,0.011034585,0.12068666,0.3245693,5.0008917,1.5951122,1.6414627,0.047260407,0.06878307,0.13854246,0.2446418,0.35982993,0.6952384,0.83382183,1.0441788,1.0533067,1.0088786,1.1509022,1.3111718,1.6103911,1.2489313,1.4382367,1.4896654,1.5734677,2.1837237,2.0238364,2.612014,2.6942475,3.627259,3.3421736,3.8203475,3.1714609,2.260813,1.1135718,0.62737495,0.2554604,0.062848225,186.6211,401.95312,1478.6133,3000.293,0.46822333,993.71954,4.6423593,2085046.4,2.258157,8.185737,-0.09553658,0.73012906,0.23526554,15.653541,12.177292,15.672478,-33.52975,23.710632,-19.066526,11.655434,-5.90979,14.74722,-9.150387,8.64014,-6.0739923,-4.777008,-1.2806576
87.22294,0.7310776,0.011034585,0.12068666,0.3245693,3.9958694,1.5701103,1.9053589,0.043605503,0.06349207,0.13187219,0.2309007,0.34345385,0.64699286,0.7850937,0.962131,1.0244969,0.9963481,1.1145457,1.2687759,1.6381656,1.2764697,1.349556,1.3577188,1.6094357,2.26168,2.2390482,3.1402438,3.1828678,4.615969,4.7746263,5.354407,4.339076,2.9155617,1.3246688,0.65522826,0.18828666,0.05651052,172.26562,401.95312,1492.9688,3703.711,0.43877217,1054.7313,4.705835,2319830.8,1.9009972,5.5818024,-0.07928153,0.7643979,0.18709631,14.53712,11.468484,15.692604,-32.55438,26.690928,-19.621965,13.998748,-3.8738432,13.087119,-10.458073,3.1039102,-3.8222742,-5.6670012,-2.33444
81.777855,0.73475724,0.011034585,0.12068666,0.3245693,3.8999472,1.4664392,1.9981871,0.040657137,0.054925676,0.1233618,0.21951811,0.33182192,0.5977013,0.70451325,0.8637212,0.9947627,0.98055965,1.0853685,1.2139698,1.570501,1.2893242,1.2966361,1.2896305,1.6148802,2.1415002,2.2439182,3.3918781,3.3009899,4.850866,5.751818,6.0849214,4.8294806,3.1252308,1.4040438,0.6519436,0.15270571,0.045928914,172.26562,358.88672,1492.9688,2784.961,0.40520558,983.38885,4.5936646,2107765.0,2.1609242,7.0407653,-0.07087537,0.7244732,0.1816066,15.699108,11.740974,15.550721,-31.352493,27.101538,-20.896166,17.46309,-2.0063367,9.797298,-14.934064,0.44143105,-3.259656,-7.934776,-4.604779
77.253746,0.74179906,0.011034585,0.12068666,0.3245693,3.7991192,1.351965,1.8839965,0.041147497,0.044217687,0.11791697,0.22318308,0.34145162,0.57031494,0.6283769,0.7816436,0.95848244,0.96193117,1.071546,1.1869813,1.3948317,1.2744622,1.2678148,1.3077812,1.5871114,1.9476599,2.0903919,3.21016,2.9823818,4.276962,5.720328,5.7186265,4.527736,2.8810053,1.3357855,0.6190395,0.18670708,0.032813113,172.26562,272.7539,531.15234,1636.5234,0.39937177,664.044,4.261601,1312678.5,3.1929662,13.158694,-0.07371106,0.5413846,0.16380005,18.567932,12.184597,13.612943,-26.703371,24.474825,-22.10256,20.11093,-3.7820237,5.3377366,-17.740507,-0.7559585,-1.490316,-5.7129188,-7.027662
72.93689,0.7567422,0.011034585,0.12068666,0.3245693,3.895551,1.2391608,1.643837,0.040299203,0.036659107,0.11558569,0.2279423,0.34875262,0.57629985,0.5874307,0.73856044,0.93768984,0.9488923,1.0543537,1.1487426,1.197138,1.2344385,1.2232214,1.3579079,1.5341877,1.7423763,1.8363056,2.6754045,2.4414783,3.427612,4.8214726,4.626987,3.7779782,2.3929002,1.1832557,0.58284575,0.19055505,0.024672357,157.91016,272.7539,488.08594,918.75,0.38128176,546.79047,4.1073613,871800.75,4.2594705,26.221128,-0.06924649,0.47290555,0.15780619,21.337057,11.800496,12.0506935,-24.887316,20.229345,-23.012314,18.353197,1.1580843,3.3931658,-16.304941,4.4760413,-2.5159059,-5.6308312,-2.4100225
73.088295,0.75920695,0.07193235,0.1420681,0.32037187,4.519832,1.1934372,1.4057719,0.038886007,0.030990174,0.11718377,0.2324769,0.36548385,0.59507614,0.5920455,0.74641806,0.9152806,0.92264223,1.0414394,1.1275874,1.073474,1.1940246,1.167281,1.4374857,1.5207762,1.5626055,1.5627965,2.1015317,1.9836631,2.7096493,3.682018,3.4591095,2.9838989,1.9089667,1.0035243,0.54363006,0.23269331,0.024996,157.91016,229.6875,430.66406,789.5508,0.3633823,422.78305,3.9848692,466553.78,5.4444604,45.53256,-0.07941151,0.39384922,0.14073966,25.789701,9.548442,11.781555,-20.162325,18.767954,-24.571617,15.837306,4.0596757,-0.63634837,-15.175427,8.351722,-0.9337333,-12.31115,-2.3329184
73.16972,0.760616,0.09143818,0.14772253,0.2822641,5.251492,1.1305491,1.2186073,0.039457005,0.027210884,0.12456429,0.23645659,0.38070962,0.60628134,0.6311795,0.7928361,0.88338536,0.88464546,1.0146308,1.0880412,1.0802801,1.1721725,1.1388457,1.5232596,1.5621051,1.3644205,1.3052143,1.6693093,1.6895214,2.1733103,2.779637,2.4907765,2.2740812,1.4745713,0.8220623,0.52149326,0.2321605,0.020578055,129.19922,215.33203,445.01953,645.9961,0.31326655,354.89273,3.9008512,261854.19,6.5193653,70.46171,-0.08360662,0.3466045,0.11931878,28.965164,8.876614,11.6505785,-16.709398,19.41214,-25.510986,9.860574,12.009746,0.5713916,-10.953061,12.215565,1.4162546,-16.99779,0.8024883
73.07205,0.7631459,0.110944025,0.15337697,0.2441564,5.511417,1.0959929,1.0898782,0.04133972,0.024943313,0.13078968,0.2412147,0.3791028,0.5862606,0.67886573,0.8607452,0.85603505,0.8505427,0.98993963,1.054895,1.1642433,1.1497247,1.1388103,1.5785046,1.6080351,1.1919225,1.1244601,1.4118398,1.5362397,1.7773256,2.1868467,1.8480306,1.708928,1.1143118,0.6590976,0.51012516,0.21000098,0.021325136,129.19922,258.39844,531.15234,660.35156,0.3051964,374.03967,3.9378297,208498.67,6.3926396,76.18252,-0.075646095,0.37144122,0.12637137,30.789446,5.930149,9.929733,-17.246153,16.478645,-21.743837,9.057657,13.86407,0.66976136,-6.3527737,11.122451,4.5151577,-18.683905,-1.4888744
73.28507,0.7601958,0.069552094,0.13764995,0.21024613,5.0438066,1.0548134,1.0081683,0.041286003,0.027210886,0.13306381,0.24476807,0.37295833,0.5492879,0.71019506,0.91549414,0.8237336,0.8208361,0.97860116,1.0407802,1.2566894,1.1373922,1.1619114,1.5721855,1.6091708,1.065369,1.0499926,1.2774812,1.4719864,1.5310888,1.7753319,1.4562267,1.328979,0.86316276,0.5529087,0.51278424,0.20109414,0.019709947,129.19922,272.7539,531.15234,660.35156,0.29648635,375.49548,3.902756,197970.17,6.415754,83.22249,-0.06651502,0.37368703,0.12592061,31.218729,4.84181,10.174557,-16.56775,14.61794,-17.061476,2.6681976,15.591713,1.594088,-6.5752616,11.746322,4.099766,-19.829151,0.74630517
72.28354,0.7444897,0.050589304,0.110435836,0.17757197,4.746246,1.0639738,0.9574149,0.04023822,0.033383723,0.13296503,0.24684751,0.35913798,0.51348126,0.716759,0.9359002,0.8136775,0.82803327,0.98060036,1.0372448,1.3530264,1.1419295,1.1775509,1.5197932,1.5570947,1.0023438,1.0455519,1.2132431,1.4377747,1.388019,1.4634739,1.2013954,1.0833997,0.70389056,0.5127046,0.5269499,0.18737394,0.023405582,129.19922,258.39844,473.73047,645.9961,0.35531902,357.44116,3.7768059,166221.23,6.4196143,101.68756,-0.079979904,0.35766014,0.16674389,33.48976,3.5176537,7.7156386,-12.709286,13.259758,-11.979287,2.0030127,17.060608,1.9674015,-7.1945553,10.249173,2.0164402,-20.386623,1.1932694
71.30503,0.7009504,0.031626508,0.08322171,0.14489785,4.6403275,1.057277,0.9288821,0.03978252,0.039052658,0.13081338,0.24867193,0.35958877,0.49744022,0.70708495,0.91787267,0.8206501,0.8619697,0.9980896,1.0536381,1.4554739,1.184557,1.187545,1.5120344,1.5143687,0.9777042,1.0454115,1.1725758,1.4225454,1.2626485,1.1997087,1.035372,0.91036004,0.6130124,0.5233912,0.53840667,0.1903344,0.025117867,143.55469,258.39844,488.08594,645.9961,0.40618494,358.76736,3.8600113,157703.64,6.2929225,108.40011,-0.0796339,0.35896888,0.15193634,35.125942,2.4719062,5.236863,-8.21055,12.244633,-11.949346,-2.273539,18.548332,1.273961,-11.060218,11.574756,0.7797192,-22.778769,4.0479927
71.69971,0.67036635,0.012663717,0.05600759,0.11222371,4.664018,1.0603756,0.9184578,0.042015474,0.045729402,0.12893204,0.24960172,0.373554,0.5091148,0.69290644,0.872083,0.81680304,0.88369566,1.0023912,1.0498751,1.5655419,1.247067,1.2039176,1.5851549,1.5107307,0.9977257,1.0570763,1.1256676,1.4060602,1.1618156,1.0044646,0.9370918,0.8018277,0.58119696,0.5648263,0.550781,0.19742544,0.026405476,157.91016,258.39844,473.73047,645.9961,0.4140295,367.30222,3.8262749,175732.83,6.7305164,126.31374,-0.076560654,0.3653059,0.14420386,34.036755,1.1791428,5.852491,-4.892545,8.231456,-13.261318,-1.4077557,12.907803,-0.76631373,-10.6463175,10.287927,-0.65234673,-19.484655,3.1558418
