F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005774047,0.98834115,1.3186516e-05,0.861552,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.8663846e-10,3.2240681e-09,10709.18,15331.641,17441.895,18461.133,5.0526738e-05,13448.645,15.813907,31215126.0,-0.9453282,2.9665887,1.7986039e-09,8.909972,1.8487945e-08,-6.7742004,3.4359071,-2.4945223,4.211184,7.131714,2.9920702,3.7788503,2.125632,-2.8518813,-0.32776228,-1.3039551,1.8242851,8.544236,-1.3493438
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058092214,0.98834115,1.3266039e-05,0.86167794,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.323825e-10,3.5207925e-09,10824.023,15145.02,17370.117,18446.777,9.8955796e-05,13387.785,15.6937,30428144.0,-0.9721331,3.0182846,1.7827215e-09,8.89479,1.9404007e-08,-7.215761,2.301826,-0.47823095,3.360782,3.6667125,2.9793272,6.987246,3.786134,-1.1254058,1.1453544,-1.1452298,3.960202,10.414585,0.31891647
0.0,0.0,0.0,0.0,0.0,-100.0,0.005832045,0.98834115,1.3384796e-05,0.86142606,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.0475586e-10,3.93618e-09,10364.648,14915.332,17327.05,18375.0,0.00014488114,13113.288,16.166712,31506922.0,-0.9226143,2.845932,1.5043926e-09,8.735611,1.8643478e-08,-6.8626695,1.017516,-0.093940414,2.0754416,0.95434123,2.873744,5.690108,6.4386563,-0.08514372,3.4994333,6.2877502,4.0372553,8.907583,1.2842908
0.0,0.0,0.0,0.0,0.0,-100.0,0.005590378,0.98834115,1.3194595e-05,0.8585286,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.1134536e-10,3.3340326e-09,11197.266,15518.262,17484.96,18389.355,0.00014128139,13606.926,15.927518,30064454.0,-1.1071107,3.3245277,1.9349433e-09,9.0161085,1.8663245e-08,-6.2304077,2.8644297,0.95143676,1.4471741,-2.027482,2.9437473,7.4777303,7.328587,3.4299982,2.0232885,7.3066974,3.6017659,7.7892456,7.7661247
0.0,0.0,0.0,0.0,0.0,-100.0,0.005565128,0.98278874,1.27083795e-05,0.84769464,0.13276918,0.28089136,0.42540845,0.55611116,0.66037005,0.7514491,0.8465262,0.9192228,0.96648645,1.0493097,1.0959557,1.1660728,1.217361,1.247499,1.3378296,1.3430759,1.4048322,1.4509345,1.4754434,1.4190744,1.3213701,1.2109872,1.066672,0.8935215,0.72520655,0.58812445,6.022057e-10,3.4809553e-09,10967.578,15475.195,17585.45,18375.0,0.00014088098,13487.755,16.504944,32402608.0,-1.0665797,3.1605484,1.7425563e-09,8.921113,1.7264115e-08,-5.405781,1.6654444,0.09088826,3.9315941,3.1799917,6.134744,2.9459603,5.0939426,4.3337364,0.057635624,7.7954087,1.5366894,4.5604935,5.11035
0.0,0.0,0.0,0.0,0.0,-100.0,0.005630229,0.9809682,1.2063204e-05,0.82161754,0.13744736,0.2885886,0.45997134,0.56394225,0.64448,0.74049693,0.8471093,0.91082525,0.9511315,1.1141428,1.1487737,1.1760182,1.2371484,1.2154284,1.3362988,1.2819065,1.3866233,1.4490231,1.4910411,1.4139825,1.2743692,1.1965393,1.0593476,0.89265615,0.7068538,0.58102536,7.715914e-10,3.4718344e-09,10063.184,15216.797,17585.45,18346.29,0.0001398724,13169.323,17.217796,34081284.0,-0.9947404,2.994414,1.5027464e-09,8.721301,1.6570555e-08,-4.790673,2.1997674,0.07718297,4.0303464,5.75197,5.3050504,1.9861549,0.8347725,2.843125,-0.076894365,3.5099003,1.1779372,1.978557,4.307368
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059014293,0.9885566,1.1805275e-05,0.7690854,0.143862,0.30868408,0.5140753,0.5782507,0.62760115,0.70805556,0.8563409,0.92024285,0.9636652,1.1970527,1.2419626,1.219185,1.2668675,1.1998903,1.3224162,1.2287282,1.3916935,1.4553257,1.4888388,1.423772,1.2513543,1.2064141,1.0536013,0.8894391,0.6758761,0.56927776,7.963896e-10,4.1788946e-09,7493.5547,14355.469,17413.184,18274.512,0.00013686113,12161.09,18.775103,39595428.0,-0.6891323,2.2170584,6.9666756e-10,8.092196,1.4552039e-08,-3.5967743,1.4573106,1.5181102,5.229731,11.570653,6.9407105,3.0146618,1.5073208,-1.8667045,-2.0880203,1.2139503,-0.18194787,3.5522711,2.7237415
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061316215,1.0160767,1.2238636e-05,0.696901,0.15242322,0.3479974,0.5765249,0.59990746,0.62193614,0.67402464,0.8654205,0.9094232,1.0518602,1.2789823,1.3365759,1.2769159,1.2718736,1.2475017,1.3174192,1.2245103,1.4375423,1.4966574,1.4916182,1.4979633,1.308086,1.2600355,1.0592908,0.89083695,0.6581188,0.5645483,8.382739e-10,4.8138844e-09,6187.207,14412.891,17327.05,18303.223,0.00014075924,11880.591,18.43395,41708890.0,-0.6072491,1.9844561,5.517455e-10,7.8972306,1.5206629e-08,-3.844902,3.24592,4.3836427,4.559488,11.538472,8.657582,4.083773,-0.51871496,-4.0622907,-1.4431877,3.2718976,1.549707,2.3605363,3.1934688
0.0,0.0,0.0,0.0,0.0,-100.0,0.006446637,1.0546998,1.3222646e-05,0.6123709,0.16566928,0.41801396,0.6253881,0.6359091,0.6424119,0.6515658,0.8808198,0.89584976,1.2022151,1.3212571,1.3740759,1.359951,1.2305473,1.305539,1.3137431,1.2780999,1.5134392,1.5885978,1.4853144,1.5987716,1.3978852,1.3069744,1.0999781,0.9003501,0.6533642,0.576463,1.1133136e-09,5.6969847e-09,5340.2344,14341.113,17413.184,18375.0,0.00014937129,11761.409,16.794252,44923840.0,-0.5822831,1.8783249,5.5598076e-10,7.791884,1.7883066e-08,-2.623337,4.2742105,5.1884093,6.7928214,14.312927,13.599048,3.1860707,-3.3011596,-2.823412,-0.84874266,0.7964471,2.4151087,4.3948007,0.09409412
0.0,0.0,0.0,0.0,0.0,-100.0,0.0070249946,1.1081588,1.4937828e-05,0.5288486,0.18157715,0.5040067,0.68804926,0.6961972,0.69894844,0.658596,0.8682399,0.85310656,1.4322958,1.3719121,1.4050077,1.4663763,1.1768641,1.3600297,1.3259064,1.3359352,1.6290941,1.7676481,1.5123439,1.7134007,1.462987,1.3278939,1.1587862,0.92700934,0.6804166,0.6095026,2.8412757e-09,7.86024e-09,4364.0625,13867.383,17398.828,18331.934,0.0001649629,11347.88,14.7890215,47680212.0,-0.48685995,1.7352275,2.142863e-10,7.5042024,2.2823187e-08,-2.003192,6.108593,6.504088,7.7491817,13.332973,14.903796,-4.1197515,-11.426866,-5.7737885,-2.8285084,4.365936,6.9166474,3.0468452,-1.8787274
