F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0011498636,0.98834115,9.688416e-07,0.9963467,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.3425645e-12,1.00749825e-11,3947.754,7852.4414,11699.707,12934.277,5.0744425e-06,7303.5703,70.99128,26902690.0,-0.056327626,1.1973315,-1.7766619e-13,4.870176,1.5089131e-12,-3.46136,4.674665,-6.7265077,2.6945333,-0.74034435,-0.3978653,1.9980307,-2.681051,2.0806463,-0.41827878,-0.107743956,0.39071858,-0.2017542,0.16845037
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014876846,0.98834115,1.0777127e-06,0.99622065,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.2201386e-11,7.6718715e-11,3832.9102,7637.1094,11398.242,13120.898,1.7984987e-05,7335.2476,100.850464,26896650.0,-0.028375594,1.1986569,-6.4527024e-14,4.8801627,8.3426106e-11,-5.216698,2.1159003,-4.2294455,1.1887147,-0.7170585,0.094805,1.3338447,0.47770977,4.097402,4.263304,3.6871068,1.7798157,-1.0882579,-2.677025
0.0,0.0,0.0,0.0,0.0,-100.0,0.001892929,0.98834115,1.3592283e-06,0.9960947,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.1921227e-11,1.5907332e-10,3732.4219,7393.0664,11082.422,13278.809,2.6090216e-05,7370.9624,122.70489,26858368.0,-0.00032626046,1.1999632,1.5276318e-13,4.892875,2.5681487e-10,-6.9589305,-0.66264164,-1.9725714,-0.67652273,-1.2929169,-0.22470236,-0.25761393,1.8172141,3.3554497,5.6423316,5.886068,4.608296,1.8488091,-0.62648124
0.0,0.0,0.0,0.0,0.0,-100.0,0.002165444,0.98834115,1.9525203e-06,0.99596876,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.7135157e-11,1.9639601e-10,5569.922,11068.066,16594.922,19896.68,2.9620342e-05,11060.261,206.62608,40351124.0,-0.00032491292,1.799955,2.2702677e-13,7.340727,3.625685e-10,-9.971053,-0.6860805,-2.7191665,-0.70700574,-1.7132543,-0.2861394,-0.58223635,1.6830778,3.0207357,5.4689984,5.68123,4.601617,1.8480974,-0.55272734
0.0,0.0,0.0,0.0,0.0,-100.0,0.0018365438,0.99397856,1.8436491e-06,0.99622077,0.12791705,0.270625,0.42245388,0.5586391,0.6629049,0.7560504,0.8401792,0.92439455,0.9783563,1.030469,1.0994142,1.1607316,1.2094427,1.2819244,1.3248228,1.3867882,1.4237181,1.4641918,1.4724852,1.4497961,1.3792915,1.2534314,1.0895803,0.9150688,0.75148916,0.6092748,1.8979554e-11,1.3491304e-10,5569.922,11053.711,16580.566,19882.324,2.26587e-05,11065.105,171.73314,40411284.0,-0.00011309239,1.7999548,2.2013851e-13,7.3427815,2.893246e-10,-8.484523,0.5928068,-1.9108809,-0.34644595,-1.7338481,-0.49262342,-0.9626694,0.029294929,-0.115120076,1.0293667,1.845081,3.0681717,2.842757,2.2371705
0.0,0.0,0.0,0.0,0.0,-100.0,0.0018150895,0.98228675,1.6710045e-06,0.99659866,0.12453311,0.27262497,0.4328482,0.56632894,0.6243965,0.72017235,0.8229206,0.9439098,0.9705143,0.99960357,1.067613,1.1379712,1.1709226,1.2971855,1.282393,1.3697119,1.4058603,1.4527706,1.4514755,1.4425105,1.3648709,1.2535766,1.0851033,0.91526246,0.75371534,0.61066025,1.2669091e-11,1.2972898e-10,5555.5664,11082.422,16594.922,19853.613,2.4741452e-05,11063.824,173.74391,40431836.0,-0.00039861538,1.7999773,1.8334368e-13,7.341747,3.4905723e-10,-8.374791,0.8610337,-1.5890993,0.5668468,0.06613477,2.3674867,1.9662997,1.208097,-2.209688,-3.111097,-1.32422,1.3316225,-0.31484067,-2.0837665
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015873527,0.93580645,1.5621334e-06,0.99697655,0.1194579,0.27358642,0.44336239,0.5555387,0.5612806,0.6653237,0.796529,0.92836285,0.93557185,0.9505623,0.98844725,1.0755091,1.0901484,1.2816285,1.1826091,1.2900966,1.3495141,1.37435,1.3656511,1.3874363,1.2833016,1.20914,1.0328404,0.87779754,0.7261879,0.5867318,7.8318714e-12,1.0040364e-10,5569.922,11111.133,16623.633,19810.547,2.6384994e-05,11056.099,89.822716,40396652.0,-0.0009742666,1.7999835,1.0777924e-13,7.3376756,2.478315e-10,-6.784044,1.8229684,-1.3473676,0.9992787,0.20606758,2.513846,2.303159,1.6798319,-2.0361252,-3.428175,-1.3689308,2.2516396,0.026635269,-3.1647701
0.0,0.0,0.0,0.0,0.0,-100.0,0.0017281277,0.8786948,1.5621334e-06,0.9973545,0.115019955,0.2749748,0.44705364,0.5349977,0.5067666,0.61797714,0.77293724,0.9019535,0.90059036,0.91014034,0.9101324,1.007476,1.0138276,1.2522715,1.0774287,1.1894069,1.2839178,1.269811,1.255001,1.3090861,1.1695939,1.1376624,0.9523395,0.8150069,0.6769924,0.54369944,9.966326e-12,1.1712718e-10,5569.922,11111.133,16609.277,19796.191,2.4866233e-05,11049.958,149.46516,40375492.0,-0.0009837005,1.7999883,9.0287986e-14,7.3344245,2.6841732e-10,-7.781816,0.76595396,-2.0046928,0.8052923,0.19885664,2.413785,2.0868704,1.491395,-2.1263735,-3.5449598,-1.54961,2.0684524,-0.1446799,-3.3015327
0.0,0.0,0.0,0.0,0.0,-100.0,0.0017278915,0.8691354,1.5621334e-06,0.99760646,0.11380633,0.26821113,0.45505297,0.5284762,0.5021015,0.61176825,0.79168844,0.8744011,0.8987222,0.9121122,0.9058757,1.0016875,1.0077463,1.2556258,1.0556045,1.1664071,1.283596,1.2413975,1.2279397,1.2986753,1.1383605,1.1248208,0.93270653,0.80060893,0.66636336,0.53376395,1.4733142e-11,1.1504489e-10,5584.2773,11082.422,16580.566,19824.902,2.2052422e-05,11048.075,150.46393,40381796.0,-0.0006533827,1.7999789,4.6083007e-14,7.333327,1.9365694e-10,-7.7992043,0.50138074,-2.366088,-0.0777423,-1.6826082,-0.7768254,-1.4131078,-0.5874577,-1.3080999,-1.2832593,-1.0027833,0.9201994,0.5541629,-0.25666633
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016831135,0.8687932,1.42025e-06,0.9977324,0.11298881,0.25271097,0.46102437,0.5365574,0.5283106,0.6191771,0.810745,0.8540148,0.8958161,0.90615064,0.9412789,1.0234574,1.0147129,1.2381705,1.0686163,1.1842967,1.26443,1.2440792,1.2281437,1.2763053,1.1406325,1.1019841,0.923048,0.7874982,0.65171754,0.522754,1.4417969e-11,1.07509106e-10,5569.922,11053.711,16551.855,19853.613,2.477137e-05,11048.68,150.46393,40429796.0,-7.9049314e-05,1.7999778,4.738388e-14,7.333168,1.8912909e-10,-6.377829,-0.43711504,-1.8612243,-0.47969124,-1.4022037,-0.86174744,-1.4253448,-0.9250562,-1.1469489,-0.7928484,-0.75323457,0.0068610907,0.21339853,0.75058365
