F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0038387654,0.98834115,4.706497e-06,0.9758125,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.1306272e-10,1.055879e-09,5699.121,12589.746,16724.121,19293.75,2.0906986e-05,11540.11,62.144455,38749790.0,-0.28735474,1.9145976,5.6409228e-11,7.6966763,2.7794174e-09,-6.7506385,0.18597023,-1.5372161,-6.0252533,2.897589,-4.3719544,-1.057649,4.406373,8.666714,2.1894424,1.130704,6.1588454,-1.6127967,-3.8889973
0.0,0.0,0.0,0.0,0.0,-100.0,0.0036610484,0.98834115,4.706497e-06,0.9712774,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.6951805e-10,9.1997937e-10,6000.586,12015.527,16824.61,19250.684,4.058686e-05,11436.398,69.89056,38611092.0,-0.22050582,1.9029408,4.3966015e-11,7.629496,2.4616578e-09,-7.2695127,0.38194296,-1.1714324,-5.114066,-1.3962679,-1.3987592,1.3121767,4.4389844,7.4804034,3.3526738,-1.4533535,4.60963,-1.4748901,0.6062336
0.0,0.0,0.0,0.0,0.0,-100.0,0.0034138197,0.98834115,4.627886e-06,0.95578223,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.1775796e-10,7.5505263e-10,6115.4297,11556.152,16795.898,19394.238,5.477705e-05,11308.37,84.450554,38593916.0,-0.13691583,1.8808504,2.9474926e-11,7.540684,2.0246995e-09,-8.325408,-0.030075664,-1.4626975,-3.0752487,-3.4729338,-0.31464145,0.49273077,1.717339,6.9687285,3.7255297,-3.7366283,2.6752732,0.21198909,0.6324304
0.0,0.0,0.0,0.0,0.0,-100.0,0.0033252824,0.98834115,4.355284e-06,0.9353742,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.9808226e-10,6.6796235e-10,5885.742,11168.555,16652.344,19178.906,5.1883224e-05,11067.145,88.502235,39841692.0,-0.11560201,1.8279101,-5.154384e-13,7.3853087,1.7783965e-09,-7.107844,2.431225,-1.323182,-3.9162724,-7.941021,2.3855631,-2.9761944,-2.662039,3.7107308,3.1301115,2.4180176,-0.29697284,1.8490933,3.7640216
0.0,0.0,0.0,0.0,0.0,-100.0,0.0036770145,0.9996336,4.9625555e-06,0.8966994,0.13204706,0.29392788,0.45372272,0.5834817,0.6978228,0.7761345,0.8600704,0.92192143,0.9893872,1.0642452,1.115242,1.1755275,1.2166471,1.2757858,1.3506457,1.3818458,1.406094,1.4399614,1.4855227,1.4658684,1.3533694,1.2042364,1.0776408,0.91061705,0.7532465,0.6054619,3.315932e-10,9.348047e-10,5541.211,11455.664,16422.656,18863.086,5.472916e-05,10946.508,74.79157,40391650.0,-0.16938591,1.822647,-1.5491409e-11,7.3241973,2.3003366e-09,-5.4901614,3.7974317,0.013325055,-1.3020211,-4.9883337,0.38509956,-5.421099,-1.5883384,3.252374,-2.0146315,2.0725563,-3.8998058,0.9615464,0.37243655
0.0,0.0,0.0,0.0,0.0,-100.0,0.004293136,1.052029,5.9793642e-06,0.8481986,0.14935218,0.33898798,0.5296481,0.64460593,0.7605527,0.81793547,0.876112,0.94230247,1.035786,1.1064569,1.1259357,1.2351559,1.3193301,1.3499721,1.4686617,1.4493209,1.4245563,1.4402761,1.6000891,1.5985832,1.3826714,1.2243568,1.1231186,0.9727319,0.8064852,0.6297703,4.533983e-10,1.6623346e-09,5254.1016,11613.574,16408.3,18834.375,6.86659e-05,10936.778,49.69334,41844476.0,-0.2179185,1.7974578,-1.3509593e-11,7.3070626,3.6056338e-09,-5.0269294,5.3478265,4.1870403,1.9998384,-5.5791016,-1.4316992,-1.2932867,3.5250676,0.39057255,-3.8887043,7.731626,-1.7555557,4.8332176,4.270986
0.0,0.0,0.0,0.0,0.0,-100.0,0.0044810544,1.1369107,7.965381e-06,0.79440665,0.19085169,0.42089427,0.6683417,0.7381518,0.8416772,0.8672433,0.9018486,0.97000456,1.139688,1.1264967,1.1340579,1.2766501,1.4309125,1.464879,1.6520977,1.5714978,1.5005687,1.4763775,1.8062071,1.7939905,1.4369354,1.3068118,1.1952094,1.0682069,0.90367216,0.6764057,5.0477494e-10,1.8347172e-09,5038.7695,11369.531,16637.988,18906.152,8.0101425e-05,10833.4795,40.98053,43225710.0,-0.18086483,1.7716309,-3.7873784e-11,7.2190094,4.4646327e-09,-4.9337287,9.178922,8.802478,6.1034946,-2.4278488,2.5394108,0.36041865,2.340494,-2.8693104,-5.6029963,3.236848,-2.2204106,2.0894508,1.1371899
0.0,0.0,0.0,0.0,0.0,-100.0,0.005301134,1.2571119,9.806159e-06,0.72385985,0.26665628,0.55559784,0.86602163,0.8444597,0.8973379,0.92008567,0.9158434,0.9835715,1.2759203,1.1343902,1.1796206,1.3411993,1.5868855,1.6429034,1.8754791,1.7452202,1.6720177,1.6123452,2.0277762,1.9763842,1.5622482,1.5241991,1.3076655,1.1840839,1.0318545,0.7551444,1.4757787e-09,3.0805811e-09,3330.4688,9187.5,16566.21,18934.863,0.00012610196,9705.622,29.41329,48811420.0,0.03878938,1.6693635,-1.2439781e-09,6.43862,8.083348e-09,-4.049337,12.390205,13.376701,11.454501,-0.5569971,6.0788727,1.9737173,-0.8706596,-1.3261608,-2.8662193,3.433361,2.3514938,1.9879704,1.6127287
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057774843,1.3789724,1.2057638e-05,0.64777017,0.3700439,0.74849683,1.0795326,0.99151736,0.9457216,0.9530585,0.93100953,0.9902765,1.3898143,1.1324593,1.2858305,1.3676405,1.6380578,1.7812123,2.0741203,1.9111471,1.9288667,1.8616813,2.1876996,2.094947,1.7089987,1.7333323,1.4278231,1.3000761,1.1689348,0.8509846,2.217943e-09,3.7406673e-09,1765.7227,7235.1562,15920.215,18288.867,0.00015290093,8484.072,24.53421,50895548.0,0.2387433,1.6387377,-1.9029613e-09,5.6497216,1.0529603e-08,-2.1645477,15.89867,17.077097,13.6661,0.74283653,10.585015,0.37229016,-4.8182626,-0.37463275,-3.588977,0.19338441,-1.2522599,-1.0836959,-0.33312288
0.0,0.0,0.0,0.0,0.0,-100.0,0.007183535,1.5396463,1.44434425e-05,0.5521542,0.49932185,1.0268291,1.351611,1.2226887,1.0188293,1.0470632,0.9941077,1.0409746,1.5386719,1.2076912,1.4799309,1.4939846,1.7223445,1.9358441,2.289263,2.0488112,2.2306006,2.2371328,2.308339,2.2032692,1.8863319,1.9462996,1.6013365,1.4391598,1.3009893,0.95937705,6.3149876e-09,6.2372276e-09,129.19922,3703.711,12604.102,17772.07,0.00020569556,6424.481,13.816966,50593268.0,0.6968935,2.0519755,-5.6862555e-09,4.281346,1.6100891e-08,-0.16474064,16.297915,17.53819,16.359097,2.9561949,7.5052457,1.5208435,-3.2388287,1.344737,-4.6148553,0.7131608,2.0405414,-1.4762154,1.6241122
