F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005636813,0.98834115,4.8155212e-05,0.77147895,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.7013578e-10,2.7697113e-09,17212.207,18274.512,19150.195,19710.059,0.00017055956,17571.424,7.2517343,8345393.5,-3.583926,18.929163,6.2890074e-08,11.143451,2.608871e-07,-9.582985,8.090611,2.7437432,8.305749,5.1043983,3.888191,12.136041,13.920372,8.663239,3.7020867,13.059719,13.882802,8.596311,3.4110718
0.0,0.0,0.0,0.0,0.0,-100.0,0.00541375,0.98834115,4.6539673e-05,0.77223486,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6026968e-10,2.381732e-09,17039.941,18245.8,19150.195,19724.414,0.00033656464,17518.807,7.3515778,8522680.0,-3.4333954,17.826792,5.993312e-08,11.121169,2.4493812e-07,-9.8417225,9.3013735,1.9636046,9.466527,3.488884,6.5396996,8.853246,11.619836,6.8991265,7.456061,10.535726,11.836906,9.641786,6.6851897
0.0,0.0,0.0,0.0,0.0,-100.0,0.0054454138,0.98834115,4.4504228e-05,0.77425045,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.107737e-10,2.4141384e-09,17011.23,18174.023,19135.84,19681.348,0.0005111443,17464.686,7.449312,9003136.0,-3.3566487,16.987223,5.6770375e-08,11.093038,2.2813867e-07,-9.513101,9.672126,-0.10100651,6.8407,-0.42224774,8.860645,5.237362,8.459363,8.124999,10.205838,10.003047,13.270733,12.148118,10.553245
0.0,0.0,0.0,0.0,0.0,-100.0,0.0053025433,0.98834115,4.3693366e-05,0.77576214,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0813683e-10,2.4944018e-09,16996.875,18188.379,19164.55,19710.059,0.0005092774,17506.377,7.4729333,8988464.0,-3.3794205,17.200836,5.4188792e-08,11.108701,1.9985633e-07,-9.45432,8.106564,-0.6640634,9.419776,2.0772002,12.808612,2.9748242,9.59616,12.490626,9.384476,7.6219516,9.107709,9.178507,11.8794565
0.0,0.0,0.0,0.0,0.0,-100.0,0.0054743714,0.99013835,4.2786512e-05,0.77614003,0.12936497,0.2775641,0.41617084,0.54762465,0.6505081,0.7739708,0.85405415,0.92182654,0.99008125,1.0476509,1.1195222,1.2206682,1.2197487,1.2851473,1.3537264,1.3679256,1.4427656,1.4453624,1.4536101,1.4066286,1.3157891,1.2254698,1.0600109,0.8961129,0.73315686,0.58913106,4.488072e-10,2.8297833e-09,17025.586,18102.246,19121.484,19695.703,0.00050437375,17439.896,7.5266414,9759203.0,-3.3268135,16.41262,5.0332474e-08,11.0706,1.8773032e-07,-8.62182,6.689316,-1.5733256,10.730236,1.4857949,11.894376,6.311402,7.7611103,13.8513975,8.625278,8.189811,9.851661,9.041974,11.1176405
0.0,0.0,0.0,0.0,0.0,-100.0,0.0052035754,0.9889361,4.290369e-05,0.77714795,0.12985493,0.2932135,0.41296092,0.53926516,0.62637097,0.7928327,0.8489166,0.9076039,0.95677614,1.062368,1.1522169,1.2733568,1.1993169,1.3094957,1.4108672,1.3805162,1.4842838,1.3976849,1.4042674,1.3526287,1.2907538,1.2037162,1.0634063,0.9020613,0.73514587,0.5824564,3.2330197e-10,2.3874869e-09,17011.23,18245.8,19265.04,19753.125,0.0004919987,17507.74,7.483463,9604645.0,-3.2712946,16.185251,5.1484506e-08,11.097797,1.7474474e-07,-9.101678,8.567628,0.35212383,16.585907,2.3892834,9.775529,8.209868,5.743894,11.555385,16.506208,7.936052,1.9187274,5.32221,7.5326004
0.0,0.0,0.0,0.0,0.0,-100.0,0.0052200425,0.97852117,4.386086e-05,0.7779038,0.13005526,0.3219612,0.39533827,0.51733357,0.5848262,0.7822404,0.82766837,0.8616074,0.8877523,1.0819174,1.2030163,1.2947302,1.146778,1.3322917,1.4813347,1.3773614,1.5141721,1.3223712,1.3153554,1.2706676,1.3094193,1.1764551,1.0732905,0.918106,0.73730105,0.578198,2.787557e-10,2.2385171e-09,17183.496,18202.734,19150.195,19753.125,0.0005107717,17525.021,7.356401,9477367.0,-3.318346,16.4696,5.375418e-08,11.105372,2.0389932e-07,-10.074771,9.109668,-0.13953348,16.164473,3.497401,9.904237,11.518659,5.341795,12.324275,19.76866,9.985804,3.8932374,4.264962,5.518533
0.0,0.0,0.0,0.0,0.0,-100.0,0.005086319,0.9637883,4.4850283e-05,0.7790375,0.13041998,0.33238462,0.3789144,0.5165149,0.5788665,0.7529395,0.80404836,0.79546577,0.8012243,1.097191,1.2574726,1.2063266,1.0874218,1.3570236,1.5099626,1.3543072,1.475401,1.2496024,1.2199644,1.2110095,1.414409,1.1720184,1.1076752,0.9323128,0.73168594,0.58393455,3.474476e-10,1.9190336e-09,17154.785,18217.09,19178.906,19681.348,0.00053933664,17566.975,7.340669,8800276.0,-3.4547443,17.813208,5.5895935e-08,11.1336975,2.0672252e-07,-10.242107,10.38346,-0.4609847,14.922503,5.63436,5.7402096,6.3700213,4.706531,8.658609,21.149733,13.115348,7.191424,1.8581008,8.271239
0.0,0.0,0.0,0.0,0.0,-100.0,0.0051910672,0.95053077,4.4388184e-05,0.7771478,0.12920265,0.32416627,0.3673689,0.5184615,0.57930917,0.710388,0.78327984,0.76449805,0.7701281,1.0918646,1.2878159,1.1124715,1.0538616,1.3928175,1.4737582,1.2631941,1.3751475,1.2399594,1.2048367,1.1883321,1.5071644,1.1852406,1.1480098,0.92959875,0.71450067,0.5984249,3.3147873e-10,2.0062292e-09,17226.562,18217.09,19121.484,19609.57,0.0005449818,17577.164,7.3527474,8439645.0,-3.5015185,18.1959,5.6699168e-08,11.142886,2.224209e-07,-10.117161,9.220005,-2.41243,12.503711,7.365847,7.561144,6.7695274,8.866662,8.375882,9.792018,11.744376,14.006004,0.6674494,10.971133
0.0,0.0,0.0,0.0,0.0,-100.0,0.0053618425,0.95998114,4.3565262e-05,0.776896,0.1270052,0.3096136,0.38237977,0.5371936,0.5960119,0.71581,0.804873,0.836163,0.81862944,1.0863991,1.3017634,1.0749397,1.0850033,1.47998,1.391655,1.1675974,1.2668456,1.2914234,1.3003434,1.2297635,1.5453405,1.2235807,1.1852503,0.90212435,0.6898182,0.6100022,4.5206727e-10,2.274409e-09,17212.207,18432.422,19193.262,19537.793,0.00052809686,17609.713,7.401935,8700199.0,-3.4762452,17.75136,5.5254485e-08,11.149582,2.0319247e-07,-8.386764,9.507749,-2.4133873,9.364075,6.915251,6.023987,4.8417325,13.830998,6.7023273,5.937189,6.8349433,9.700046,-2.3841689,10.990016
