F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019761191,0.98834115,2.1625035e-06,0.99521285,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.3746597e-11,1.3181668e-10,5799.6094,12144.727,16996.875,19523.438,7.1579448e-06,11529.78,224.35748,39123536.0,-0.16999944,1.8159379,8.2511775e-12,7.641518,3.5518744e-10,-9.400148,0.755639,-2.0142238,-3.210247,0.43577394,-2.0559704,-1.221224,-1.4830155,-1.5594519,-1.4661741,-1.2687328,-0.56522924,-0.5162854,0.17753977
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016739193,0.98834115,1.807883e-06,0.99533886,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.5096481e-11,9.057968e-11,5656.0547,11584.863,16767.188,19695.703,1.24425305e-05,11291.734,155.81969,39799024.0,-0.08500112,1.8079597,4.157847e-12,7.4885006,2.2079694e-10,-7.8112187,1.5693299,-1.6433158,-1.5986384,-0.23938479,-0.7533315,-0.7858525,-0.7161022,-0.9574449,-0.55093026,-0.63048524,-0.188882,-0.25122324,0.24784939
0.0,0.0,0.0,0.0,0.0,-100.0,0.00170219,0.98834115,1.6539161e-06,0.99521285,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.4799792e-11,9.754294e-11,5440.7227,11039.355,16609.277,19867.969,2.0920246e-05,11057.414,155.27148,40524850.0,-4.867659e-05,1.8060168,1.2964539e-13,7.3363175,2.5833483e-10,-7.311701,1.8132268,-1.705094,-1.8930231,-0.1627789,-0.4611837,-1.0428312,-0.10011405,-1.0264095,-0.0063048005,-0.9951361,0.00846376,-0.557806,0.33527097
0.0,0.0,0.0,0.0,0.0,-100.0,0.001846881,0.98834115,1.8545697e-06,0.99218947,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.321896e-11,1.2294937e-10,5354.59,11068.066,16724.121,19882.324,2.0396998e-05,11063.011,133.4165,40632652.0,-0.00013131328,1.813653,3.0589062e-13,7.3373103,3.1631045e-10,-7.0909095,2.513533,-1.7023128,-4.3196187,0.9739272,-1.4692297,-1.983933,-0.5280265,-1.8495493,-0.02907736,-1.473421,0.68054515,-0.31651044,1.7549976
0.0,0.0,0.0,0.0,0.0,-100.0,0.002255515,1.031139,2.0552234e-06,0.9853868,0.13095945,0.2781304,0.4314358,0.5772206,0.69497937,0.7957716,0.8923637,0.95748615,1.0391637,1.093905,1.1622882,1.211482,1.2655417,1.310617,1.3602023,1.4198784,1.4791389,1.5201621,1.5307354,1.4935352,1.4170943,1.3042754,1.1333613,0.935957,0.7554571,0.6184712,3.32504e-11,1.9595243e-10,5311.5234,11025.0,16925.098,19911.035,2.2930859e-05,11080.757,191.70921,40870900.0,0.005542677,1.821096,7.2184603e-13,7.345009,5.7870225e-10,-8.541457,0.84563094,-3.8110874,-6.332483,1.6216621,-1.4569641,-2.4184492,-2.7637053,-0.11790498,-0.79733056,-2.8719082,1.7799467,-1.7913605,2.280156
0.0,0.0,0.0,0.0,0.0,-100.0,0.0021485295,1.1095473,2.0552234e-06,0.9740489,0.1322502,0.2825857,0.44412792,0.6006491,0.7308926,0.8442974,0.9608323,1.0325866,1.1408631,1.1962996,1.2780496,1.3188748,1.363039,1.3879637,1.4292783,1.5101051,1.6044613,1.6627775,1.662938,1.5850722,1.504055,1.4342319,1.2622705,1.0166317,0.7977331,0.66536194,2.7854755e-11,1.7657524e-10,5354.59,10924.512,17054.297,19882.324,2.2117601e-05,11082.226,207.67204,40953580.0,0.01183337,1.821647,7.108339e-13,7.346271,4.3218384e-10,-8.961549,-0.42678627,-5.41394,-5.5544477,1.4147196,-0.053999502,-1.3797687,-4.476584,2.785042,-0.9771714,-2.5743456,3.391938,-2.3027275,3.0862806
0.0,0.0,0.0,0.0,0.0,-100.0,0.0020662677,1.1678509,2.0552234e-06,0.96220714,0.13098127,0.28186426,0.4480263,0.599234,0.7523732,0.87560934,0.9973585,1.0934137,1.2151693,1.2822995,1.3732518,1.4143356,1.4452138,1.4543418,1.4865726,1.5882674,1.7140102,1.7798878,1.7545805,1.6268868,1.5426855,1.5216923,1.3656878,1.0840759,0.83282757,0.7034734,2.0904318e-11,1.6235674e-10,5455.078,10910.156,16953.809,19853.613,2.1093641e-05,11078.215,221.67076,40829584.0,0.011875313,1.814014,5.7713404e-13,7.3463874,4.4261864e-10,-9.225647,-1.1816175,-5.469874,-3.1480606,0.25993958,0.86901563,-0.7011942,-4.3733835,3.3688982,-1.2760776,-2.7199223,2.2138693,-2.9842694,1.1312305
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023637696,1.2043835,2.9020218e-06,0.9434366,0.13572921,0.30183372,0.4631795,0.6001268,0.788517,0.91618466,1.0174063,1.1569079,1.2435399,1.3551174,1.4122823,1.4889435,1.508769,1.501073,1.5588078,1.6679791,1.8061215,1.8433586,1.7542292,1.6155438,1.5420742,1.5147351,1.3976926,1.1241333,0.8627476,0.73693544,1.4115568e-10,2.5649452e-10,4708.5938,11111.133,17226.562,19523.438,2.9748282e-05,10977.261,194.34145,44894196.0,-0.05355252,1.7006664,-5.1409376e-12,7.2529187,6.744499e-10,-5.924328,1.7900788,-3.2831385,-1.2873331,-2.2017481,1.4849669,-0.5442813,-2.6545866,0.9592163,1.34858,-3.3094368,0.704391,-0.23370822,-0.24865063
0.0,0.0,0.0,0.0,0.0,-100.0,0.0032907603,1.2865154,4.5901147e-06,0.9058957,0.16398184,0.36700964,0.565461,0.7048989,0.9232127,1.0302438,1.1241709,1.2762566,1.2939528,1.4615154,1.455317,1.5864983,1.6463546,1.6336654,1.7510773,1.8228531,1.9272251,1.902599,1.7657372,1.6973814,1.6146597,1.4678534,1.4022597,1.1686782,0.90849096,0.7880444,5.9665123e-10,8.3618223e-10,3933.3984,11570.508,17240.918,19107.129,4.663273e-05,10851.564,124.45042,47268140.0,-0.16336997,1.6220814,-2.7789285e-11,7.184572,2.1351463e-09,-2.4200163,3.2432988,-0.23809998,-0.040332496,-4.56589,-2.3777702,-2.722823,-0.1788338,-4.5029244,-1.1275119,-1.8333648,-1.9163805,1.1541162,0.32031107
0.0,0.0,0.0,0.0,0.0,-100.0,0.004364528,1.5448055,6.645338e-06,0.8500882,0.22607176,0.5201281,0.8693075,1.0349354,1.2542087,1.2791653,1.3852662,1.5704135,1.515839,1.7612253,1.6804914,1.8909758,2.0381584,2.0231051,2.171644,2.2105472,2.2838445,2.1846793,1.9832897,2.0199149,1.9195594,1.546403,1.5265316,1.3322768,1.0299128,0.90705204,1.4146396e-09,1.7459381e-09,3014.6484,11972.461,17183.496,18547.266,6.949435e-05,10650.929,55.32997,49594676.0,-0.2550421,1.5620979,-8.20298e-11,7.0762343,4.2511874e-09,0.52904284,3.653065,2.3464484,2.4078147,-3.462988,-3.4024744,-7.130999,-6.566944,-7.6582875,-6.5106273,-4.802667,-1.7254845,2.887077,-0.9911745
