F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056047197,0.98834115,2.9389708e-05,0.6453767,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.620349e-10,3.7912895e-09,13924.805,15834.082,17327.05,18231.445,0.0001099204,14856.872,8.863996,15769264.0,-2.2833357,8.761258,1.4384704e-08,9.925822,1.01610446e-07,-5.6297326,4.2394176,10.409382,11.805049,0.89681935,-3.5904608,-2.6964452,10.348743,16.461845,5.478409,10.788266,9.618686,6.669744,6.3883457
0.0,0.0,0.0,0.0,0.0,-100.0,0.00570327,0.98834115,2.9263756e-05,0.64033765,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.5277835e-10,3.823616e-09,13680.762,15819.727,17441.895,18260.156,0.00023854298,14781.25,8.859752,16625844.0,-2.1555192,8.126098,1.3859825e-08,9.873929,9.561145e-08,-4.9334598,4.632403,7.5415688,10.60476,1.252966,0.88418704,-1.0718936,11.60764,14.78511,4.0567384,6.649147,10.359981,6.9604,6.386171
0.0,0.0,0.0,0.0,0.0,-100.0,0.005775796,0.98834115,2.9101522e-05,0.63164526,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.319258e-10,3.5683978e-09,13192.676,15618.75,17370.117,18217.09,0.00034730005,14502.724,8.994183,18361378.0,-1.9785534,7.190962,1.1962093e-08,9.712521,8.6437616e-08,-4.6640983,5.017716,2.2440479,9.414428,2.404853,1.7105651,4.656634,13.334534,14.363828,6.8575644,6.9626155,12.568662,9.466647,6.7637725
0.0,0.0,0.0,0.0,0.0,-100.0,0.005787589,0.98834115,2.8756724e-05,0.6232049,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.890502e-10,3.5058365e-09,13264.453,15848.4375,17571.094,18202.734,0.00035155276,14554.919,8.9882965,19892558.0,-1.9436942,6.710289,1.1863542e-08,9.710744,8.141461e-08,-4.411328,5.181805,2.8440485,7.7262254,3.8516915,4.2224813,9.426757,15.364032,12.063321,5.714394,0.6812251,10.236885,10.246789,7.034548
0.0,0.0,0.0,0.0,0.0,-100.0,0.005785149,0.98966223,2.8374967e-05,0.61703205,0.13079563,0.27476177,0.42173994,0.544506,0.66459614,0.7710144,0.85341114,0.9264529,0.9748871,1.0403856,1.0863925,1.1618716,1.2031145,1.255252,1.3323522,1.4002889,1.4195938,1.4402032,1.4516349,1.445426,1.3998489,1.2484565,1.0813361,0.88875073,0.7199578,0.5941854,6.9024625e-10,3.3554557e-09,13307.52,15647.461,17499.316,18130.957,0.00033120104,14458.983,9.04534,20511494.0,-1.9580965,6.6530285,1.1083085e-08,9.657165,8.270404e-08,-5.482615,5.690361,4.2618833,8.309084,5.6240196,1.9093572,11.295082,14.29437,12.614021,11.26561,2.1329954,9.798642,9.8837385,7.548289
0.0,0.0,0.0,0.0,0.0,-100.0,0.005781986,0.9897705,2.850736e-05,0.6162762,0.13291375,0.28142497,0.42370424,0.51924866,0.65644985,0.7446585,0.8084688,0.9342769,0.9739705,1.0418288,1.0737575,1.1464096,1.1725926,1.2260922,1.3326498,1.461331,1.4053526,1.4166632,1.477066,1.462432,1.4747151,1.2809507,1.1046306,0.88793397,0.70085174,0.5936589,4.993611e-10,3.4732894e-09,13809.961,15905.859,17642.871,18145.312,0.0003326066,14712.759,8.892901,19741440.0,-2.081352,7.1428394,1.2840219e-08,9.788526,9.0541015e-08,-6.252653,5.847683,7.0457034,9.2515955,9.909772,7.5798745,10.294168,10.922685,6.1311264,7.2496357,1.5725971,10.052207,10.742686,8.861305
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058463686,0.99142784,2.8220797e-05,0.6247166,0.13542446,0.29115614,0.43169108,0.48535725,0.6322685,0.698927,0.75344545,0.9313653,1.0049715,1.0455769,1.0723292,1.1030326,1.1026338,1.1849296,1.3144648,1.5539502,1.4120878,1.4244413,1.5613536,1.4876677,1.5428871,1.3131809,1.1181473,0.88445383,0.69010544,0.6012743,4.705445e-10,3.7097585e-09,13250.098,15503.906,17700.293,18188.379,0.0003355112,14427.427,8.969805,21472938.0,-1.8878287,6.266601,1.1205143e-08,9.624879,8.501905e-08,-6.559073,6.0991645,6.264791,7.2634835,8.161534,12.347744,10.4747715,10.068404,6.6330733,9.9581,6.1121736,10.516578,8.291047,8.069085
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059582777,0.99786234,2.64508e-05,0.63429075,0.13649835,0.2933024,0.4415665,0.4632837,0.6076746,0.63904494,0.7068999,0.9363179,1.0625547,1.0727826,1.1210573,1.0372926,1.018,1.1666565,1.3049868,1.616943,1.4341253,1.480271,1.6894335,1.5299147,1.5555748,1.3200777,1.1126246,0.88929707,0.6983405,0.6099008,4.3952544e-10,4.2591153e-09,12876.855,15259.863,17815.137,18317.578,0.0003292527,14003.859,9.398954,24734216.0,-1.6726536,5.3550053,8.9795e-09,9.356665,7.277898e-08,-6.8551106,5.0818653,6.505516,5.83478,9.801211,18.452412,11.571195,8.106872,2.322165,4.0487576,4.5061116,7.3846107,7.2301326,10.711433
0.0,0.0,0.0,0.0,0.0,-100.0,0.005960775,1.0065222,2.4492032e-05,0.6427312,0.1368079,0.27955392,0.4601961,0.45172778,0.5629193,0.60128003,0.7178235,0.9605301,1.1020865,1.0846201,1.200095,0.97609156,0.9500151,1.1725298,1.311172,1.6154784,1.4959879,1.5658652,1.797122,1.5872808,1.4992498,1.3122534,1.0962155,0.8911026,0.72402453,0.61754864,4.3975867e-10,4.3439154e-09,12446.191,14771.777,17886.914,18446.777,0.00029704283,13554.051,9.777115,27519920.0,-1.4402742,4.3966804,5.966615e-09,9.092946,5.9787205e-08,-7.835027,4.6164956,6.4662566,6.417328,7.6651635,17.087362,11.08208,10.032765,7.560371,4.7919645,2.6454308,4.3561273,3.444168,10.989452
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059898025,1.0142342,2.4155897e-05,0.64588064,0.13579452,0.25853083,0.46596038,0.43377793,0.521781,0.5943276,0.75974035,0.989314,1.0969523,1.0972062,1.2636728,0.9511983,0.9447945,1.2255415,1.3611816,1.5516567,1.5404185,1.629703,1.8136053,1.6529537,1.4330157,1.2848448,1.1024545,0.9046671,0.7395218,0.61747366,3.8805406e-10,4.420214e-09,12675.879,14872.266,17571.094,18360.645,0.0002918209,13531.45,9.900126,26393730.0,-1.4657564,4.6158633,5.793423e-09,9.101609,6.0474555e-08,-7.987449,2.6171534,5.1598077,8.018224,10.116826,15.612419,13.544239,14.193486,7.0929847,0.91038656,5.9595222,5.1951194,3.1316116,8.63568
