F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0031844229,0.98834115,3.342009e-06,0.9906778,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.297511e-10,6.9812006e-10,5828.3203,11412.598,16566.21,19265.04,1.6664459e-05,11070.642,100.64654,40095996.0,-0.14358896,1.808189,2.2138864e-12,7.390026,1.2674183e-09,-7.1434007,-0.28749168,0.62966365,6.0031915,-1.7303742,-2.3265846,2.3014371,4.095679,12.265433,8.069287,2.8802893,2.3486,6.0304265,2.7499058
0.0,0.0,0.0,0.0,0.0,-100.0,0.0029112294,0.98834115,3.1830368e-06,0.9911817,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.780663e-11,5.49421e-10,5225.3906,11642.285,16437.012,18992.285,2.7176284e-05,10975.836,123.24158,40199308.0,-0.15958847,1.7980305,-1.5381842e-12,7.337757,9.0296853e-10,-6.4800773,-1.4289309,1.9646144,3.338631,2.7448876,-1.5240856,4.8267994,6.9655786,9.587784,8.262866,3.7053306,-0.9185659,5.8616433,4.3342385
0.0,0.0,0.0,0.0,0.0,-100.0,0.0024371205,0.98834115,2.8354946e-06,0.9881582,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.8695838e-11,3.3075018e-10,4593.75,11886.328,16293.457,18676.465,3.4015895e-05,10868.294,168.76604,40415380.0,-0.1771573,1.7880611,-4.1848304e-12,7.277002,4.355671e-10,-5.1322913,-2.509442,5.1841254,1.5809442,9.432759,-3.2850306,4.1322265,6.6114707,4.6952057,8.305843,5.388298,-3.4351795,4.5153937,6.3073945
0.0,0.0,0.0,0.0,0.0,-100.0,0.0022368869,0.98834115,2.5517274e-06,0.95930964,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.4647174e-11,2.6751049e-10,4507.617,12072.949,16164.258,18590.332,2.4342475e-05,10858.923,195.27788,40400164.0,-0.19638,1.7879742,-4.2263814e-12,7.277838,2.4808733e-10,-5.135672,-3.3170223,4.1787367,-0.4695094,8.396794,-1.972839,4.4145246,4.6975036,1.9755154,2.6774042,5.2811656,2.289789,3.1308954,3.3386295
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023095508,0.98642653,2.3631571e-06,0.9085412,0.124103524,0.26316658,0.4387785,0.55915976,0.6774383,0.765547,0.8476081,0.922815,0.99532706,1.047834,1.0888958,1.1129864,1.2188988,1.2863911,1.3205981,1.3551116,1.4558758,1.4749333,1.4460549,1.3890686,1.3369155,1.2329425,1.0794083,0.88954145,0.71793705,0.59975004,4.752132e-11,2.8037916e-10,4809.082,11943.75,16106.836,18805.664,2.473894e-05,10890.071,189.00206,40360930.0,-0.16101353,1.7900931,-3.6184395e-12,7.2867484,4.245819e-10,-5.7873263,-2.3739998,3.5471916,-0.05857392,3.1772633,-2.5334964,3.4946277,-1.9342942,-2.4546652,-0.83229685,0.8686603,5.309253,-0.8051184,2.3441572
0.0,0.0,0.0,0.0,0.0,-100.0,0.0020178675,0.9467172,2.430384e-06,0.83975816,0.11269065,0.24591959,0.45896208,0.56265837,0.6688482,0.73048264,0.820906,0.90719193,0.9639799,1.0405006,1.038078,1.0089886,1.1874237,1.2292119,1.2595938,1.2599071,1.4415265,1.4391941,1.354065,1.2560712,1.2399263,1.177989,1.0438542,0.8532248,0.69382733,0.6196216,4.0271453e-11,2.180582e-10,5914.453,11053.711,16465.723,18934.863,3.2650874e-05,10936.011,180.57866,40403360.0,-0.12815286,1.8030854,-2.3275086e-12,7.315765,4.000811e-10,-5.0487857,-0.14430659,-1.2687911,2.210335,-0.75359875,1.2695442,0.38236365,-2.1572502,-4.31764,-2.0643742,-2.9154167,6.605063,-1.5944284,1.8754708
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023819415,0.9218599,3.5578462e-06,0.7627866,0.10316216,0.24036081,0.5018428,0.5925546,0.69045496,0.71784854,0.8352224,0.92313194,0.938137,1.0683714,1.0161561,0.92929864,1.187322,1.1584892,1.2138351,1.153392,1.4335774,1.4160262,1.2585139,1.110604,1.1388588,1.1167793,1.0074435,0.8265925,0.70779514,0.68258506,1.1037487e-10,3.6095696e-10,5813.965,10838.379,16637.988,18633.398,4.3661654e-05,10863.409,137.94275,41386052.0,-0.17471683,1.7831074,-7.306448e-12,7.2822204,7.5057455e-10,-2.076131,1.2759672,-1.3446007,3.7163956,-1.1166579,-1.318154,-5.3589325,-1.5244894,-0.94014615,1.7623825,-4.697928,2.5008469,-3.9292233,3.0690415
0.0,0.0,0.0,0.0,0.0,-100.0,0.003924282,0.99985677,7.339884e-06,0.6725876,0.12217709,0.31747523,0.62850946,0.69148445,0.83500713,0.860082,1.0069823,1.0457433,0.9985313,1.2601509,1.1638027,1.0619135,1.3124324,1.159932,1.296176,1.1872845,1.5037225,1.4722654,1.2753671,1.087045,1.1452798,1.10141,1.0067908,0.8561221,0.8038352,0.7967527,2.4565665e-09,3.3040128e-09,4206.1523,7364.3555,16838.965,18432.422,0.00010362824,9601.853,100.57538,49146064.0,0.052708615,1.6733607,-1.1065671e-09,6.410145,5.9379346e-09,3.1420848,2.6463795,-1.234049,6.9490676,1.7724746,5.4881244,-5.0029697,3.1864107,1.8700801,6.1262817,-2.1643288,-2.793595,-4.2904897,-2.8279846
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060468926,1.2992622,1.2513049e-05,0.57331824,0.21705593,0.56596726,0.9450423,0.96945715,1.1660699,1.2759223,1.5077162,1.4932798,1.308062,1.7674719,1.5627683,1.4507036,1.6771913,1.4161161,1.625081,1.503396,1.886475,1.8046538,1.54877,1.316187,1.3913234,1.2385136,1.1318177,1.0094799,1.031092,0.97120523,5.7060183e-09,5.4646363e-09,1794.4336,4163.086,12101.66,18116.602,0.00015966647,7285.109,40.697147,50905520.0,0.58379847,2.1496494,-4.9058113e-09,4.846941,1.076033e-08,7.52585,4.8268037,3.8955383,6.4617696,1.5484663,11.416999,3.5922928,5.5718627,2.4471009,3.948858,-4.5625005,-3.7576647,-2.1300519,-4.124917
0.0,0.0,0.0,0.0,0.0,-100.0,0.0079011405,1.9268621,1.7217726e-05,0.48702443,0.4411277,1.0998535,1.514409,1.4910771,1.7710415,2.0494223,2.6190195,2.6341803,2.0533645,2.7688096,2.26902,2.0831683,2.388842,2.0887911,2.325837,2.2827888,2.7754517,2.5159168,2.1668365,1.8020124,1.9264988,1.6186644,1.4531301,1.3395082,1.4041561,1.2154846,7.3238833e-09,9.36496e-09,129.19922,818.2617,7321.289,16867.676,0.00021195957,4886.702,12.121352,48230720.0,1.2033774,2.9752119,-8.032452e-09,3.2719088,2.0598824e-08,11.592692,4.2988772,3.3515399,5.7312903,2.093024,17.118578,14.825317,9.091221,3.1331844,2.7295244,-4.578809,-2.3275127,-1.0881566,-3.941883
