F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99911815,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9977324,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9954648,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99168557,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010447593,0.9902956,3.4253722e-07,0.9778282,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.4354006,1.3641229,1.2397658,1.077778,0.9050574,0.7432522,0.6028902,6.2669395e-13,4.700205e-12,1880.5664,3718.0664,5555.5664,6646.582,3.39345e-06,3682.1777,8.632051e-06,13505573.0,2.7239023e-08,0.5999969,1.2869003e-19,2.4436219,7.27319e-19,-0.56109685,0.7293065,-0.6869388,0.4830952,-0.23336416,0.051767234,0.008163667,0.030581392,-0.09897374,0.1331466,-0.11123433,0.055604648,-0.0062464806,-0.010918114
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014172489,1.0447836,1.4257351e-06,0.9400353,0.13402511,0.28841412,0.44959727,0.5961661,0.71382266,0.79595417,0.87924045,0.9815082,1.0600271,1.1036549,1.1481109,1.2379657,1.2869416,1.3225893,1.3879386,1.423852,1.4662231,1.5027851,1.5257381,1.5130177,1.4463049,1.3199658,1.1460992,0.96553236,0.80374765,0.66514975,3.5883355e-11,5.953569e-11,3488.379,7306.9336,11111.133,12805.078,1.4194154e-05,7251.399,61.61852,28026106.0,-0.07889223,1.1774377,-2.3919553e-12,4.843274,1.1534398e-10,-0.19388998,1.9603643,-2.930206,0.92219347,0.5175907,-0.19255032,-2.9201486,-0.759697,-5.302428,-2.6680832,-2.4235466,1.8427554,2.1666226,1.5798713
0.0,0.0,0.0,0.0,0.0,-100.0,0.0022376822,1.2341574,2.707392e-06,0.8733938,0.15311164,0.3555257,0.5553151,0.7570928,0.87837046,0.93907183,1.0383756,1.2248541,1.34649,1.3458079,1.354783,1.5283498,1.5527738,1.524714,1.613546,1.5930394,1.6291815,1.6924788,1.76832,1.7802931,1.712421,1.554688,1.3041636,1.0874221,0.9607219,0.83718276,2.533969e-10,3.7784734e-10,3933.3984,11441.309,16724.121,19092.773,3.304436e-05,10764.144,84.62148,46349780.0,-0.16238955,1.6675619,-1.8792207e-11,7.176552,1.0919321e-09,2.7437592,1.5130059,-5.611338,-0.081454515,1.6230689,-0.36205187,-7.9606915,3.0099277,-11.520836,-2.2880814,-5.513044,2.8540518,1.4770511,2.1642315
0.0,0.0,0.0,0.0,0.0,-100.0,0.0026125268,1.5604963,3.7350037e-06,0.79113126,0.18834281,0.4707966,0.72871256,1.0382644,1.160133,1.2122897,1.340366,1.6569096,1.8423668,1.7846924,1.7513456,2.0412052,2.032366,1.9084171,2.0265007,1.9153684,1.9340801,2.0312414,2.1664476,2.1863139,2.087868,1.8821169,1.5365502,1.2821838,1.2298695,1.1381537,2.7855826e-10,4.439716e-10,4091.3086,11111.133,16953.809,18805.664,4.8902537e-05,10665.441,144.85902,47797090.0,-0.2070824,1.631441,-2.0971983e-11,7.127224,1.2392274e-09,3.7953694,0.7426352,-8.093433,2.8689222,-1.8248879,2.1617403,-9.515103,3.3804934,-11.250001,-2.702341,-5.0126157,3.0050113,1.6875879,2.8077762
0.0,0.0,0.0,0.0,0.0,-100.0,0.0038305998,2.0573754,5.86509e-06,0.7001764,0.26910487,0.67898506,1.0230678,1.4621342,1.6190487,1.7016159,1.9011521,2.2987955,2.5076072,2.3950632,2.3595831,2.6684597,2.6492054,2.5088084,2.6120365,2.4487135,2.4877112,2.6695817,2.8395185,2.8000717,2.5863123,2.3236427,1.8689519,1.5705676,1.649942,1.592083,1.7292571e-09,1.2826323e-09,2526.5625,8125.1953,15633.105,18662.11,9.1434566e-05,9172.54,90.77306,50373172.0,0.11411578,1.7052633,-7.410936e-10,6.122826,3.6326833e-09,5.683298,4.7556896,-3.711174,1.7487558,-4.861864,8.017121,-8.24929,7.6931853,-5.7637763,0.054947708,-3.3262017,2.1364663,-2.952221,1.3023907
0.0,0.0,0.0,0.0,0.0,-100.0,0.00511518,2.6487236,1.0096047e-05,0.6016629,0.4266696,0.9500489,1.4176241,1.9844102,2.2068403,2.3506458,2.7224665,2.994478,3.0051124,2.9355166,3.043706,3.1684334,3.157301,3.1690571,3.2001922,3.0994215,3.2952585,3.6416004,3.7764168,3.560171,3.1337366,2.86571,2.3730416,2.0481427,2.2370183,2.1037982,5.5512217e-09,2.5073266e-09,2095.8984,4206.1523,13264.453,18159.668,0.000119296245,7438.0063,72.53314,47561104.0,0.5247646,2.0267246,-2.3796478e-09,4.9902816,7.87331e-09,4.63803,11.10423,0.15733369,1.4716071,-6.8938155,9.236632,-5.8089995,5.5240817,4.1218705,-1.57455,-0.5571553,0.3164247,-1.7190329,4.403356
0.0,0.0,0.0,0.0,0.0,-100.0,0.0073025613,3.3916843,1.5653284e-05,0.49962208,0.7240779,1.3355274,2.0775697,2.7316983,2.951833,3.0822642,3.7861404,3.625068,3.350591,3.395696,3.6988966,3.5745523,3.6218824,3.8635633,3.8146265,4.0071588,4.4702,5.0544133,5.0533185,4.6359982,3.9094667,3.6554768,3.2290723,2.8708346,2.9965029,2.667364,1.6969054e-08,5.5586207e-09,114.84375,933.10547,8354.883,15948.926,0.00017076994,4838.8228,15.210041,42230876.0,1.190228,3.2089088,-7.6544735e-09,3.2808619,1.7161033e-08,6.8403354,16.281984,7.6052117,1.4721394,-4.207809,8.4499655,-5.7699656,4.508052,4.5218725,-2.0008748,-2.6097322,-1.3840421,-1.4098514,4.3016057
