F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9987402,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99722856,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9804737,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9399093,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012078369,1.013953,6.8507444e-07,0.86356765,0.13182038,0.27654234,0.42513442,0.56624,0.6771347,0.7776928,0.8497723,0.9178292,0.9822495,1.0430994,1.1020993,1.1608605,1.2438501,1.3190193,1.3856993,1.4403919,1.4769641,1.4808518,1.4578775,1.473239,1.4326944,1.3062556,1.1130521,0.91063887,0.7782347,0.633532,4.770857e-12,2.0642753e-11,1751.3672,3804.1992,5498.1445,6761.426,7.840897e-06,3675.9978,90.504005,13475609.0,-0.003760162,0.6003203,-4.3126178e-14,2.4403613,1.812943e-11,-2.470559,1.5106915,1.6595777,2.703373,-2.9049911,-2.5300105,2.8886213,0.9107426,-4.6077037,5.4423294,-3.1822178,2.6748466,0.17703338,-1.6619915
0.0,0.0,0.0,0.0,0.0,-100.0,0.00207528,1.1549474,1.8716582e-06,0.76946336,0.14336477,0.30543053,0.4584736,0.62605554,0.7413328,0.874943,0.92765903,0.98172253,1.0583081,1.1603204,1.2257918,1.2372373,1.3651136,1.4824902,1.5915837,1.6730982,1.7679367,1.6981497,1.6374165,1.6936798,1.7164878,1.5847864,1.3290168,1.0088989,0.94910145,0.7902317,6.82017e-11,3.8947656e-10,3416.6016,7680.176,10852.734,13120.898,2.9208168e-05,7309.9077,115.68851,27004880.0,-0.038977634,1.1995902,-4.1647558e-12,4.8657126,5.3948773e-10,-4.682903,1.8813189,0.7540253,-0.40786552,-3.2760496,1.1265775,0.040611904,-1.5670422,-3.406367,10.158154,-2.920005,3.5831804,-4.9354734,-2.7320178
0.0,0.0,0.0,0.0,0.0,-100.0,0.004068038,1.5820417,5.4642187e-06,0.6628874,0.19137025,0.41057956,0.5666788,0.7957433,0.9176679,1.111749,1.1807007,1.2487189,1.4286255,1.6563791,1.7605959,1.6652842,1.8326793,1.9480726,2.153185,2.3162298,2.5332556,2.267269,2.2454948,2.3900566,2.4681861,2.2657955,1.8986987,1.3337088,1.373001,1.1733605,1.8343355e-10,4.8531943e-09,3775.4883,8254.395,13982.227,18834.375,7.1922026e-05,9211.083,124.33077,40910516.0,0.33249956,2.1297076,-6.701877e-10,6.1543,3.0260938e-09,-5.1065383,-0.53887445,-0.921635,4.248923,6.6736436,6.4868774,0.5241267,-1.12911,-4.907648,12.472713,-2.5793254,1.7924997,-0.6702461,-1.437694
0.0,0.0,0.0,0.0,0.0,-100.0,0.0069729188,2.5411174,1.0561838e-05,0.5560595,0.3323573,0.69436854,0.82773304,1.1603173,1.3235326,1.620845,1.7466321,1.9169489,2.516919,3.08896,3.326517,2.988571,3.0337763,2.958388,3.1968563,3.6447208,3.9695575,3.4501107,3.7099626,4.00798,3.8827832,3.4838998,3.0681808,2.0859516,2.146244,1.8869389,1.1131209e-09,2.0282195e-08,2397.3633,4952.6367,10895.801,17226.562,0.00012614987,7090.965,37.75743,39058836.0,0.80396706,2.7360117,-3.3156062e-09,4.7839575,1.5398088e-08,-2.0681107,-2.9463441,-3.934541,5.5758934,18.83756,14.414639,-4.980093,-2.4075348,1.7452294,10.9281225,4.1042213,0.051270008,-0.063191175,0.25717056
0.0,0.0,0.0,0.0,0.0,-100.0,0.009463493,4.0700574,1.714111e-05,0.4569161,0.6619204,1.2859546,1.2989239,1.7820555,1.9825433,2.363369,2.682626,3.2209644,4.7237973,5.961721,6.730137,5.722179,5.074801,4.369758,4.441625,5.578024,5.886608,5.274981,5.9377923,6.578446,5.6815276,4.8933353,4.6091957,3.2920828,3.097235,2.6898987,2.6706928e-09,4.547614e-08,760.83984,1464.2578,6029.297,14857.91,0.00018563021,4439.28,15.33799,34326788.0,1.5915419,4.4400315,-9.660335e-09,3.0459518,3.308544e-08,2.4836981,-3.2644103,-3.7461793,10.795319,29.878525,21.503016,-3.4740477,-3.5787086,4.57082,10.31075,3.5737178,-2.9493587,9.311264,1.879661
0.0,0.0,0.0,0.0,0.0,-100.0,0.011042942,5.6911845,2.2355154e-05,0.38158226,1.2087859,2.14911,1.8619131,2.464908,2.7360947,3.0908248,3.7289073,4.999642,7.55106,9.299128,11.317455,9.1988,7.2268167,5.8014054,5.430918,7.3900776,7.4620337,7.1022687,7.761728,9.167835,7.350937,6.041229,5.9278355,4.4767895,3.9354656,3.288819,3.3943846e-09,7.474035e-08,430.66406,1248.9258,3330.4688,10838.379,0.00022727402,3229.76,9.089601,25924666.0,2.2742317,7.6561074,-1.854338e-08,2.2598734,5.0091728e-08,5.2272315,-1.1741198,-5.0627265,9.043445,33.58685,26.30239,-2.65133,-2.1641736,8.643716,13.277173,3.8266325,-2.1388109,7.61126,1.6450073
0.0,0.0,0.0,0.0,0.0,-100.0,0.011912174,6.7675223,2.6899832e-05,0.33043587,1.75557,3.0193298,2.384127,2.9571116,3.459299,3.6803625,4.788422,6.7734184,9.7894335,12.127365,14.843292,11.129017,8.187273,6.6616197,5.7275186,8.235612,8.393647,8.563301,8.518538,10.576316,8.28468,6.554376,6.558642,5.191976,4.342816,3.452507,5.466853e-09,9.860046e-08,129.19922,1076.6602,1335.0586,6991.1133,0.00028322745,2251.1594,7.3468785,18701306.0,2.999591,11.671786,-2.8299269e-08,1.6165167,7.74927e-08,7.8180213,0.70160365,-4.823747,5.324385,32.900494,31.457907,4.3533583,-3.8369274,7.3406334,12.024006,2.81834,-1.8341771,5.3033524,-3.6669657
0.0,0.0,0.0,0.0,0.0,-100.0,0.013183788,7.0610642,3.097011e-05,0.28785586,2.0995057,3.5977724,2.7505052,3.1036043,4.022461,4.047807,5.8201103,7.992003,10.869483,13.727759,15.256104,10.61005,7.7085147,7.125406,5.7769513,8.063156,8.6092005,9.1508875,8.078406,10.480004,8.483856,6.5974183,6.5295205,5.3915544,4.383982,3.3116553,1.132256e-08,1.3798473e-07,129.19922,976.1719,1205.8594,4005.1758,0.00029807075,1774.6881,6.507643,13085519.0,3.6078575,16.302206,-4.1232607e-08,1.3134718,1.1693726e-07,8.801141,2.6848776,-5.4073853,2.5548384,26.343744,29.967516,12.942253,-1.905101,2.582321,9.474151,11.590074,1.5726706,-2.9632912,-9.977824
0.0,0.0,0.0,0.0,0.0,-100.0,0.014244154,6.8830495,3.5787703e-05,0.24703956,2.1348412,3.798422,3.090402,3.1225612,4.8030524,4.612514,6.9504642,8.358773,10.815059,13.806541,12.578357,8.32745,6.491751,7.7652,6.1088233,7.3509574,8.659132,9.328996,7.56411,9.512612,8.153645,6.5761657,6.3053117,5.427588,4.2006636,3.1158915,4.62723e-08,1.205941e-07,129.19922,674.70703,976.1719,2985.9375,0.0003540013,1433.568,6.015838,9868759.0,4.168546,21.99061,-5.3244435e-08,1.0763136,1.5173886e-07,10.807243,6.513349,-0.36769867,-1.2496502,11.917511,21.541449,17.83118,-0.94174194,0.81016606,3.2928922,14.9922285,7.7343593,-8.054579,-13.94823
0.0,0.0,0.0,0.0,0.0,-100.0,0.0148879,6.586778,4.082495e-05,0.20886873,2.0326612,3.7859707,3.528478,3.3555615,5.7991834,5.2048936,7.6572876,7.9013896,9.889084,12.098645,8.969869,6.3117614,5.5554824,8.841782,7.050787,6.7296414,8.560507,9.345515,7.238357,8.493116,7.6218777,6.704271,6.157308,5.503798,3.9788723,2.9401379,7.136065e-08,1.0162668e-07,129.19922,416.3086,717.77344,2727.539,0.00034388376,1222.4404,5.509645,8252558.5,4.450705,25.007599,-6.799905e-08,0.9125652,1.6739908e-07,10.603584,10.171309,6.494814,2.2264707,5.0406175,8.912305,17.762442,2.0613441,-0.21174993,-1.8021975,15.344398,11.0748625,-9.582555,-8.036944
0.0,0.0,0.0,0.0,0.0,-100.0,0.015044914,6.2412357,4.833535e-05,0.17687075,1.9353427,3.7155685,4.02989,3.7819984,6.721476,5.5130486,7.184256,6.6489143,8.129824,8.987048,6.0604415,5.2277036,5.1092086,10.110482,8.31355,6.2804394,8.246423,9.264923,6.9909844,7.6625705,7.1248283,7.0393186,6.1833267,5.424864,3.7614727,2.8242295,9.906854e-08,6.3642126e-08,114.84375,157.91016,416.3086,2239.4531,0.00039606716,939.8776,4.854094,6668250.0,5.0764666,32.67102,-1.0476998e-07,0.6931277,1.339862e-07,9.765479,12.867551,16.172136,11.715664,4.9527926,-2.8386412,14.221466,0.8445632,-1.3612766,-1.5818367,11.701912,15.273503,-8.20475,-5.5083785
0.0,0.0,0.0,0.0,0.0,-100.0,0.015343663,5.832951,5.8146805e-05,0.14575459,1.8954283,3.6625192,4.548731,4.13101,6.964578,5.1230807,5.631391,5.091096,5.9316716,5.947663,4.4113026,4.7437415,4.8945184,10.945237,9.32146,6.161064,7.8610787,9.027989,6.5834064,7.0763927,6.750508,7.254725,6.264832,5.15023,3.5700712,2.71301,1.0595167e-07,8.071248e-08,100.48828,129.19922,272.7539,2196.3867,0.00035026498,809.78564,4.1234965,5872762.0,5.4638367,37.800785,-1.4923421e-07,0.59212047,1.0457379e-07,7.4697533,15.033254,24.23905,21.614138,6.652952,-5.3040338,13.018527,-3.7064822,-5.0385203,0.043185234,12.470435,12.129147,-8.583386,-4.6627607
0.0,0.0,0.0,0.0,0.0,-100.0,0.016345134,5.4264283,6.923972e-05,0.12307886,1.8901337,3.6009514,4.983476,4.1452484,6.368662,4.283116,3.87098,3.6728706,4.1602893,4.1121507,3.663763,4.4202423,4.6806455,11.170819,9.81187,6.4001803,7.5301013,8.491796,6.0418534,6.7060018,6.519257,7.2025657,6.4026656,4.8591704,3.4689648,2.629373,1.7147046e-07,9.9756654e-08,86.13281,129.19922,215.33203,1392.4805,0.00036089393,644.40436,3.5868857,4278756.0,6.1387725,47.503513,-2.1773735e-07,0.48083737,9.0382024e-08,6.706846,17.040365,28.362276,25.346329,5.7051654,-4.279354,15.519512,-9.11067,-7.1701484,1.973128,13.866075,8.556661,-10.7698965,-8.337799
0.0,0.0,0.0,0.0,0.0,-100.0,0.017761132,5.1050515,7.8818826e-05,0.10972536,1.851346,3.4893658,5.3430047,3.926696,5.4667487,3.615324,2.9404297,2.9084463,3.1529553,3.3066292,3.3331928,3.8955219,4.2583256,10.779289,9.658574,6.8404503,7.4564667,7.8487344,5.6887856,6.588165,6.322777,6.8218093,6.4343934,4.7379293,3.4667556,2.5992234,2.6142652e-07,1.15337194e-07,86.13281,129.19922,215.33203,1119.7266,0.00032927943,631.56976,3.4390106,3842500.0,6.10783,48.27124,-2.7119515e-07,0.47615886,2.3877075e-07,6.9614387,19.634384,27.190432,19.841845,0.8553872,0.54081744,19.756865,-5.5287623,-9.66056,-1.5817035,13.351439,0.3186725,-12.562118,-6.430701
0.0,0.0,0.0,0.0,0.0,-100.0,0.020604758,4.9476047,8.832023e-05,0.103174604,1.747673,3.2894337,5.4924603,3.854737,4.786553,3.6094599,3.0104325,2.9106257,2.9824526,3.155473,3.292366,3.3006866,3.7373593,9.927325,9.11867,7.181399,7.368477,7.292511,5.823115,6.796901,6.157961,6.3478007,6.461041,4.7729263,3.563877,2.656001,5.3096284e-07,1.4932618e-07,100.48828,129.19922,244.04297,818.2617,0.00048925536,638.53955,3.5837421,3422970.0,6.0045376,48.486694,-3.4598722e-07,0.48908362,5.880731e-07,8.863044,20.701538,21.74341,10.12038,-2.0527267,3.8541098,19.5698,-3.4671514,-11.389943,-2.542867,15.726243,-1.2966679,-14.386472,-4.2744894
0.0,0.0,0.0,0.0,0.0,-100.0,0.024280617,4.97047,0.00010188535,0.09486017,1.6074148,3.019748,5.374878,4.0677805,4.5462728,4.551751,3.8324196,3.6604125,3.4975345,3.4796765,3.4302332,3.0405197,3.4412422,8.670004,8.247916,7.146105,7.18354,6.950245,6.550307,7.2525687,6.0300574,5.951567,6.403906,4.804505,3.6704028,2.8212082,1.0008312e-06,2.1949404e-07,100.48828,129.19922,358.88672,961.8164,0.0006727604,655.08655,3.7441847,3049036.8,5.7820992,47.240158,-4.7506464e-07,0.512819,9.4805046e-07,10.997619,19.981619,13.869919,0.7937853,-2.8039455,10.153774,14.091793,2.111079,-6.094315,-2.6668699,14.909412,-1.8260411,-12.936508,-2.442813
0.0,0.0,0.0,0.0,0.0,-100.0,0.028683929,5.169377,0.00011805119,0.090828925,1.4651252,2.72774,4.9389243,4.4953017,4.426908,6.4403224,5.046308,4.833378,4.338138,4.382244,3.9009593,3.380272,3.5805032,7.286514,7.29678,6.7926917,7.0192266,6.978405,7.844026,7.679793,5.9611754,5.7385936,6.3460364,4.7442718,3.713749,3.0464027,1.5369229e-06,4.2087686e-07,114.84375,143.55469,488.08594,1105.3711,0.00084556156,687.3825,3.9427807,2689008.0,5.6332498,46.981876,-6.361236e-07,0.5467217,1.556858e-06,12.294464,16.616295,8.333232,-3.4503279,1.199663,12.759551,6.0849423,1.2140408,5.2003713,1.9589688,12.01237,-0.9826806,-16.766062,-2.3181007
0.0,0.0,0.0,0.0,0.0,-100.0,0.03360623,5.490219,0.0001366065,0.090451,1.3578771,2.4844637,4.355346,4.7855277,4.1662374,8.698374,6.222777,5.7064514,4.970244,5.892816,4.9375925,4.5369167,4.1898074,6.2333436,6.520924,6.3134117,7.20476,7.425251,9.354432,7.797626,6.0114703,5.7063217,6.2806716,4.6669793,3.695295,3.23077,1.9347683e-06,9.32673e-07,114.84375,172.26562,602.9297,1421.1914,0.00090347463,734.5862,4.037997,2371654.2,5.181172,42.491642,-8.686088e-07,0.5841072,2.2212816e-06,11.752793,12.25684,5.9557757,-0.7870178,7.469462,14.122104,-1.1612986,2.3145127,17.400656,6.7683086,8.256054,-5.9469166,-22.593592,-4.9779363
0.0,0.0,0.0,0.0,0.0,-100.0,0.038344342,5.8075147,0.00016356715,0.09221467,1.2789173,2.3263216,3.7144787,4.682531,3.701896,10.148892,6.973078,5.9075103,5.043985,6.944454,6.481095,6.6879497,5.219168,6.0016975,6.260161,5.9727798,7.7394853,8.108981,10.588574,7.6122146,6.158067,5.7526593,6.141093,4.617277,3.6368253,3.295284,1.9843408e-06,1.7277871e-06,114.84375,172.26562,875.6836,1722.6562,0.0011130668,795.4519,4.045449,2408479.2,4.7319574,36.072113,-1.1799337e-06,0.6226937,3.2911e-06,10.587394,7.275753,7.9077544,6.374117,10.213336,8.812278,-3.6956809,7.7148056,25.920944,8.646626,4.0966206,-8.63948,-22.43081,-2.6722329
0.0,0.0,0.0,0.0,0.0,-100.0,0.050840348,6.206787,0.00023464025,0.09221467,1.2223483,2.247372,3.2952068,4.5297914,3.563679,10.521754,7.2866044,5.760975,5.0033417,7.188215,8.236797,9.755348,6.9608626,6.7852855,6.8220696,6.3350873,8.5325365,8.856172,11.412338,7.480085,6.3930297,5.83774,5.9095397,4.6334405,3.596567,3.21027,6.8179615e-06,4.8912443e-06,143.55469,258.39844,1134.082,1923.6328,0.002211946,833.4378,4.440748,2011112.0,4.408281,34.529804,-2.6061218e-06,0.65943974,5.0376275e-06,12.413852,1.9207093,8.895654,8.866399,5.057738,1.8526454,-6.53225,9.500605,24.206331,5.0343366,3.7504835,-6.79441,-9.738867,0.7714329
0.0,0.0,0.0,0.0,0.0,-100.0,0.064859055,6.7574744,0.00031913214,0.09070295,1.16828,2.308425,3.287753,4.628475,4.2238183,10.048757,7.1874776,5.820707,5.324743,6.684467,9.261027,12.626157,9.526676,8.314139,7.9632535,7.7301,9.437438,9.866639,11.927943,7.7960935,6.942827,6.112913,5.7005577,4.904103,3.7628882,3.1386414,1.380537e-05,7.668557e-06,157.91016,258.39844,1062.3047,2253.8086,0.0039284336,842.14044,4.450226,2058117.0,4.04759,29.185923,-5.5704804e-06,0.66112405,1.0645314e-05,11.987256,2.7521713,12.323361,9.380351,0.4163376,-4.3822484,-7.895588,4.9982705,17.083155,-1.6180323,1.4775339,-1.6010637,-0.8764842,-3.6908655
