F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9987402,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99420506,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9821113,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.96195513,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0013293637,1.0304875,6.8507444e-07,0.9304611,0.1351757,0.28378153,0.43572024,0.5731109,0.6902535,0.7954457,0.88890976,0.9701478,1.0378312,1.0896177,1.1341996,1.2067839,1.2783237,1.3167043,1.3363272,1.4183213,1.4338926,1.5036608,1.5134768,1.5151783,1.4412489,1.3182853,1.1348395,0.95160913,0.76815444,0.6216746,1.08031145e-11,3.3817043e-11,1622.168,4234.8633,5455.078,6172.8516,1.0661765e-05,3573.738,77.83954,13563275.0,-0.095126726,0.590636,-1.3991892e-12,2.4070761,2.0748835e-11,-0.6078726,1.6928927,-1.9811546,-1.9775428,4.172787,-0.8023219,1.9096556,2.31231,0.2735738,-2.4777105,-1.5098172,1.0818366,1.3487784,-0.5973282
0.0,0.0,0.0,0.0,0.0,-100.0,0.0020199816,1.1885287,2.5296938e-06,0.8769211,0.160653,0.3299098,0.48165217,0.6339803,0.7811354,0.90435386,1.0382413,1.1356393,1.2195293,1.2615277,1.2656425,1.3722216,1.4770204,1.4658095,1.4165983,1.6118255,1.5789114,1.7507067,1.7616124,1.8218254,1.7215859,1.6012913,1.3332584,1.1371331,0.90413195,0.73555136,4.8678978e-11,2.2674179e-10,2799.3164,7838.086,10723.535,12374.414,2.2793523e-05,6910.914,116.68341,28696832.0,-0.09303347,1.1441284,-1.7114631e-11,4.6318283,4.1642786e-10,-1.7170142,3.0365279,-1.6772896,-3.5002048,5.7279587,3.9797027,1.9191123,5.8063045,3.3830748,0.50855637,-0.6651005,3.0266516,3.354069,-1.4739622
0.0,0.0,0.0,0.0,0.0,-100.0,0.0038392758,1.6242386,5.476311e-06,0.7994457,0.23678131,0.47380933,0.6336078,0.798804,1.0586587,1.2455834,1.4938579,1.5699183,1.7042493,1.7569581,1.6591567,1.8354111,1.9727745,1.8934962,1.7287623,2.1897767,2.0690873,2.4611034,2.4718297,2.619214,2.4169104,2.2829702,1.8123093,1.598771,1.24445,1.0019583,7.6745027e-10,1.9541109e-09,3000.293,9058.301,15963.281,18317.578,6.4823e-05,9391.756,125.58722,46852670.0,0.061273396,1.650298,-4.4171902e-10,6.28175,3.6614736e-09,-0.30879387,3.7548647,-0.47749004,-5.986895,7.6699815,6.9516563,4.4685035,7.6513553,7.0736184,1.0568919,0.11255821,0.5258155,1.612486,-4.4024806
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056233755,2.462108,8.301198e-06,0.707357,0.40608987,0.7819012,0.9312682,1.1245726,1.6184998,1.9650437,2.4633102,2.4049056,2.5275524,2.7604072,2.5305853,2.7556617,2.8287914,2.699227,2.4420457,3.2787707,3.1320527,3.8899095,3.9516346,4.0388503,3.6822197,3.428559,2.688246,2.431914,1.8274508,1.4253365,1.510139e-09,4.4147117e-09,1593.457,5928.8086,15001.465,18188.379,9.005771e-05,7974.084,55.11679,50435604.0,0.4273273,1.7483817,-1.1405299e-09,5.2969513,6.7704455e-09,1.2723663,3.1568146,2.393575,-6.866022,8.163665,10.570805,4.6615787,7.5818386,14.784836,5.2670693,3.820551,-2.6576338,-1.4771833,-2.999422
0.0,0.0,0.0,0.0,0.0,-100.0,0.007636212,3.6311996,1.0961953e-05,0.6148904,0.69509333,1.2531091,1.3659405,1.6693598,2.4440272,3.0202167,3.8902407,3.6399848,3.7389793,4.248253,4.0489726,4.1557374,3.8894455,3.8202028,3.6445673,4.8251424,4.9603677,5.838192,5.9869576,5.6654954,5.2196155,4.769602,3.802213,3.4086878,2.509279,1.901504,3.2146168e-09,9.95129e-09,430.66406,2612.6953,10723.535,16566.21,0.00013258195,5767.3535,20.826674,45580016.0,1.0595824,2.9774234,-3.6189423e-09,3.8452978,1.1720762e-08,4.6931,1.8267206,2.3024523,-6.2286515,10.11846,12.643501,8.065959,2.4836328,15.186749,6.7800975,2.4194653,-2.082425,-0.5477152,0.47057438
0.0,0.0,0.0,0.0,0.0,-100.0,0.008852334,4.8254294,1.4532551e-05,0.5180146,1.0691584,1.7621416,1.8478609,2.4012063,3.3829181,4.2655644,5.5566735,5.147447,5.141806,5.9623675,5.8868814,5.7021976,4.98518,5.074263,5.0953827,6.257624,6.860359,7.561976,7.812734,6.9029827,6.4540553,5.8647666,4.8700976,4.227949,3.079897,2.2876775,8.68118e-09,1.5071373e-08,244.04297,1564.7461,5842.676,12374.414,0.00015277743,3900.7375,15.464192,32610294.0,1.9549831,6.6286926,-7.9782625e-09,2.6401045,1.607226e-08,7.023153,1.784118,0.07057508,-4.6658764,8.767676,13.2959175,8.989567,5.100516,16.720947,8.18701,6.160662,1.8991051,0.33574286,3.6832447
