F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99911815,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99823636,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99483496,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.984001,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,3.4253722e-07,0.9608214,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.8452887e-14,2.8839667e-13,1866.2109,3703.711,5541.211,6646.582,8.4057825e-07,3682.1777,8.632051e-06,13505573.0,-1.4972146e-08,0.599997,-4.857744e-21,2.4436214,3.7410623e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014658881,1.0447513,1.2488055e-06,0.9229025,0.1311797,0.28239623,0.43104383,0.5705135,0.6858556,0.7987545,0.8784633,0.9477682,1.027029,1.0890719,1.1410905,1.204688,1.273825,1.3482093,1.3986915,1.4453036,1.5019728,1.5509056,1.551741,1.5293046,1.4705572,1.3271936,1.1646255,0.9694144,0.7992682,0.64466596,9.735267e-12,6.6682763e-11,3675.0,7350.0,10996.289,13135.254,1.3830885e-05,7357.5054,61.173916,26619358.0,-0.0011226551,1.1851513,-1.4703485e-13,4.881353,2.3034974e-10,-3.4331334,0.6875014,-0.6113444,-0.4952042,-0.35005847,-0.37885508,0.75989676,0.04016192,-0.61173326,-1.199973,-0.09908577,0.549195,-1.944262,-2.4703271
0.0,0.0,0.0,0.0,0.0,-100.0,0.0027269123,1.2762562,2.9954092e-06,0.86785084,0.15074953,0.33458945,0.49014255,0.65401286,0.76381904,0.9142553,1.0006605,1.0711178,1.2057093,1.3059057,1.3680128,1.4188799,1.5052887,1.6090072,1.6661619,1.7311506,1.8734398,1.9284488,1.9396925,1.9444294,1.9117454,1.6956472,1.5561224,1.2599163,1.0592476,0.8245078,8.179801e-11,7.998373e-10,5010.0586,9977.051,16049.414,19308.105,4.0404677e-05,10419.159,77.68216,39701804.0,0.12438514,1.8230692,-9.4021346e-11,6.923431,1.4336191e-09,-6.330869,2.1130507,0.34106016,0.79195404,4.90393,1.9706036,0.097233534,-3.3107965,1.1397185,0.39868578,1.1443053,-1.0997614,-1.0219803,-3.3461
0.0,0.0,0.0,0.0,0.0,-100.0,0.004495743,1.8554724,5.6974095e-06,0.797934,0.20086055,0.4478738,0.63750106,0.8643181,0.99318767,1.176168,1.3006797,1.3820496,1.6477755,1.8976294,1.9996786,1.9735454,2.0708208,2.2472396,2.3409073,2.4477327,2.8529232,2.7736018,2.868411,2.960357,2.9546592,2.6253057,2.5578678,2.0380676,1.7097913,1.2733277,2.64637e-10,2.3638664e-09,4493.2617,8512.793,14714.355,18805.664,7.088426e-05,9548.781,87.49114,38246120.0,0.33999524,2.0012596,-3.5485515e-10,6.36546,3.8190424e-09,-9.736057,2.0963175,-1.9295536,1.7216486,5.750933,1.4510574,0.20010066,-8.35296,1.1604434,2.2431495,3.904494,-0.8495143,-0.29278722,-3.3990934
0.0,0.0,0.0,0.0,0.0,-100.0,0.006739389,2.9238083,9.123933e-06,0.7165533,0.29278314,0.6545395,0.9547622,1.2774396,1.4746284,1.6663332,1.8640046,2.018908,2.4025376,2.896465,3.1945171,2.9818199,3.0980072,3.304428,3.5981987,3.8593862,4.7027564,4.3398433,4.508084,4.759189,4.7448387,4.394054,4.399109,3.6203747,2.921861,2.0901387,1.204489e-09,6.281114e-09,3703.711,6804.492,12058.594,17815.137,0.00011070539,8209.28,31.537764,35124950.0,0.72353697,2.6005642,-1.380292e-09,5.4825845,9.876704e-09,-9.390795,3.7333717,-0.65959555,1.875583,3.8422601,0.91964346,0.02078271,-12.825569,3.528188,1.2710329,0.80427486,-4.9055843,1.6425773,-1.082492
0.0,0.0,0.0,0.0,0.0,-100.0,0.008245913,4.219793,1.2672826e-05,0.63151926,0.40373692,0.9287522,1.461689,1.8799225,2.1690447,2.361292,2.6715126,2.9404862,3.1861641,3.9487455,4.645599,4.3361797,4.3883414,4.4613433,5.162864,5.6943803,6.9209647,6.1890693,6.274061,6.6974487,6.7153625,6.5098367,6.5687165,5.8257294,4.362228,3.0111256,2.5667966e-09,9.2344346e-09,3789.8438,6115.4297,10479.492,17398.828,0.00014060778,7642.9585,19.390455,32094016.0,0.8809438,2.9107583,-2.5248967e-09,5.1210666,1.779445e-08,-8.859034,5.288839,-2.007286,1.8386327,-2.131632,-5.560595,0.9545867,-14.251362,6.5544586,-2.5338767,-4.607099,-10.460346,1.459473,-1.2853309
0.0,0.0,0.0,0.0,0.0,-100.0,0.0100327525,5.3742504,1.6172453e-05,0.54749304,0.51662666,1.2149662,1.9556643,2.5084705,2.9737341,3.275325,3.6527884,3.999932,3.7806647,4.5309653,5.6868615,5.4829116,5.492535,5.3068595,6.581698,7.397658,8.802174,8.064614,7.8100533,8.082616,8.195992,8.312865,8.456539,8.084797,5.7239003,3.8392951,5.558327e-09,1.5805556e-08,3445.3125,5799.6094,8641.992,15446.484,0.00019272762,6847.0703,13.044099,27389294.0,1.1021494,3.7388632,-5.294138e-09,4.5947633,2.9213263e-08,-8.071364,9.4894,0.18175644,-0.70253426,-6.7901216,-2.4302795,3.6707907,-9.324624,16.21598,-2.3962247,-3.9953349,-10.076407,2.5784743,1.0748641
