F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
139.66676,0.7339781,0.0,0.0,0.0,2.4584692,0.11014742,0.98834115,0.006467597,0.25598386,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0014047473,0.00035769306,10766.602,12029.883,12790.723,13264.453,0.029521009,11493.687,6.519699,6614992.0,1.030374,81.12246,-0.00034697284,7.436238,0.000105376144,4.5421357,-1.4095854,0.8456114,6.501469,-1.921619,-1.5482626,-5.2351346,6.05974,5.2347984,0.0088818865,-0.823837,-1.4990807,-5.584667,7.1410637
163.09958,0.7508342,0.0,0.0,0.0,2.3495042,0.55032325,0.98834115,0.017873213,0.17649281,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.11465237,0.023481883,5555.5664,6258.9844,6732.715,7192.09,0.24569191,6041.1304,5.572726,3430317.0,3.8820684,101.408714,-0.023649387,4.005409,0.05336262,17.488565,-3.0032034,-3.1352618,-2.7614853,0.56856984,-5.6645947,-10.574491,5.332467,2.9055634,-4.306312,3.3492908,2.1519732,-9.34423,2.3543575
186.51642,0.76960254,0.0,0.0,0.0,0.83811337,0.97026175,0.98834115,0.03191033,0.08717561,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.238079,0.046166677,358.88672,502.4414,660.35156,1119.7266,0.3373486,596.1711,4.492556,226204.44,6.9663873,131.02487,-0.047501683,0.5848678,0.11482068,30.049074,-5.8449225,-12.225495,-13.353251,0.8653815,-16.726143,-16.943907,1.3022918,-1.7794544,-10.23282,4.3941226,-1.0560337,-14.118134,-6.3621707
209.99959,0.78198355,0.0,0.0,0.0,0.84624124,1.3353921,0.98834115,0.0410488,0.039934494,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.54463357,0.0740956,416.3086,531.15234,645.9961,1019.2383,0.44871435,606.7046,4.092789,169897.86,6.564203,111.74249,-0.09736552,0.6046583,0.22289257,29.276278,-6.547058,-18.038252,-19.550478,-1.0070671,-32.09595,-13.82671,-5.6467843,-3.9060676,-6.4396234,0.46717337,-7.131823,-14.562763,-14.184226
210.31523,0.78408045,0.0,0.0,0.0,1.0055281,1.3834454,1.1005305,0.04728052,0.031746034,0.12553082,0.28966454,0.47067365,0.6081989,0.75478953,0.89173794,0.9823187,1.0221025,1.090479,1.1703805,1.2740968,1.2976513,1.3744721,1.452413,1.4716514,1.5741557,1.5496968,1.5059372,1.4993958,1.579617,1.5698972,1.404719,1.2062575,1.0059165,0.8118036,0.6302336,0.58966935,0.099690616,430.66406,545.5078,674.70703,1062.3047,0.38054395,627.6719,4.0036244,152567.08,6.1292477,110.98644,-0.1085004,0.62399864,0.26324502,30.150854,-9.430417,-21.953995,-18.65515,-2.8105402,-37.40504,-13.871188,-7.3241763,-8.057219,-5.3733096,-2.3331492,-13.753559,-15.42392,-17.519796
210.85966,0.786339,0.19925517,0.0,0.36647856,2.157294,1.4693165,1.2180587,0.051365484,0.034391534,0.112454094,0.30495903,0.5287489,0.67288023,0.85886955,1.0246985,1.1236469,1.1156925,1.2046351,1.3214474,1.4922653,1.4639589,1.5187906,1.6846495,1.6311084,1.7679819,1.6671327,1.5203067,1.5029263,1.7201611,1.8047479,1.5719256,1.3584247,1.1241403,0.9056348,0.667337,0.72050136,0.12605217,430.66406,516.7969,645.9961,1091.0156,0.46491885,616.18744,3.8971636,154792.05,5.8811126,100.055,-0.13081329,0.6131162,0.33762446,29.460157,-9.076172,-22.64045,-19.08409,-3.330209,-39.88388,-17.444988,-11.091415,-11.405407,-5.4949017,-0.5646868,-12.803245,-17.3189,-18.203224
211.45833,0.78875256,0.13298693,0.11273885,0.2708334,1.3184403,1.4678766,1.3476071,0.05232492,0.03590325,0.100740224,0.32103193,0.5872229,0.73934823,0.9523392,1.1395378,1.2528867,1.1979065,1.3339696,1.485435,1.7376195,1.6396672,1.6296784,1.9603771,1.8077637,1.985527,1.8160366,1.5493616,1.5368843,1.8894253,2.0742314,1.7550637,1.544361,1.259133,1.0152532,0.7269836,0.543215,0.13705577,430.66406,545.5078,717.77344,1234.5703,0.5057657,656.06696,4.0555477,196928.33,4.998713,68.56542,-0.108243585,0.64076024,0.32033923,27.644287,-9.568948,-22.147408,-17.209162,-2.028905,-35.014767,-16.675535,-10.451159,-12.855195,-6.1980743,-0.2973877,-14.38044,-18.46113,-16.257341
211.99992,0.78833103,0.12681727,0.106333524,0.2692083,-0.4137713,1.4389147,1.359114,0.04965083,0.036659107,0.094295435,0.31535253,0.5868562,0.7410701,0.9447842,1.1056027,1.2313142,1.1577306,1.3418583,1.506204,1.8042153,1.6668862,1.5512573,2.0739832,1.8142382,1.9972862,1.8485237,1.5409628,1.5773358,1.8980659,2.1049771,1.7517395,1.5826434,1.2745861,1.0641135,0.76108307,0.5974172,0.12251717,430.66406,545.5078,660.35156,1205.8594,0.46490097,634.17334,3.9127076,182449.39,5.406481,74.070076,-0.111385465,0.62554014,0.34975198,27.244177,-8.1360445,-22.300573,-18.54215,-3.4255202,-36.508778,-18.574867,-11.788287,-10.092118,-5.2884717,1.204273,-12.054578,-19.171913,-17.08628
212.378,0.78181815,0.12163389,0.09835643,0.17857409,0.74532557,1.3829964,1.3463565,0.048623923,0.038170826,0.09802994,0.30671895,0.570189,0.7187304,0.90280026,1.0467736,1.188939,1.1084496,1.3241261,1.4776568,1.7956463,1.628425,1.4714813,2.115277,1.7720814,1.9826827,1.9014343,1.5675507,1.6377548,1.8837281,2.0911818,1.751239,1.5635738,1.2580214,1.0648128,0.7779687,0.44229007,0.114482425,430.66406,574.21875,775.1953,1234.5703,0.42591274,670.57355,4.076038,198542.88,4.741747,63.990177,-0.08885769,0.6521407,0.2925003,28.366716,-10.472333,-19.928598,-17.08519,-1.6144823,-33.485134,-14.314975,-8.045117,-10.069926,-2.7452881,-1.5008587,-11.176698,-17.85176,-17.56069
212.54912,0.7737773,0.18319012,0.031999044,0.20945694,1.2524132,1.4309162,1.3104553,0.049623173,0.04270597,0.099842586,0.29447672,0.5485092,0.6882455,0.8681855,1.0044909,1.1646273,1.0709445,1.2809625,1.4198866,1.7319931,1.5684319,1.4415388,2.1067972,1.7083316,1.9341091,1.9157346,1.5958577,1.6474199,1.8494596,2.0283206,1.7046849,1.4310817,1.1837411,1.0210811,0.7630829,0.6085627,0.11664122,430.66406,531.15234,703.41797,1191.5039,0.42682076,638.7859,3.9617815,171712.56,5.1054955,73.53318,-0.113068044,0.6287897,0.31687984,28.718933,-11.573311,-20.309692,-19.830149,-5.4282894,-36.219975,-21.765291,-6.2838664,-13.34124,-4.6559186,-2.2417638,-10.355092,-18.318962,-20.508509
