F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.00598993,0.98834115,6.5588305e-05,0.580121,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.8944345e-10,3.611457e-09,14025.293,15805.371,17169.14,18159.668,0.00026699444,14918.46,7.184807,14216204.0,-2.534914,10.428739,7.244622e-08,9.991609,4.6744387e-07,-2.968335,8.9119425,7.5483365,8.906718,5.800299,15.320926,19.578718,11.45665,9.334809,11.257096,9.6241255,9.648341,11.253192,12.913452
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060525388,0.98834115,6.212626e-05,0.5724364,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.1878624e-10,4.187377e-09,13522.852,15360.352,16925.098,18159.668,0.00053694326,14555.792,7.140899,15863221.0,-2.344311,9.326416,5.840212e-08,9.797215,4.1146234e-07,-3.8460226,6.663973,6.9615245,9.600753,9.335862,14.752711,15.417298,10.062481,12.920718,15.801987,11.350865,8.6519575,15.484912,16.213371
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060586794,0.98834115,5.9849805e-05,0.56248426,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.0164445e-10,4.4699457e-09,13049.121,15058.887,16882.031,18073.535,0.0007501175,14317.227,7.2404275,16732575.0,-2.2049859,8.544164,4.730047e-08,9.6735735,3.6419638e-07,-4.695181,4.469815,5.135931,10.085827,11.029091,17.021774,14.525482,9.491667,15.681954,16.802315,15.13399,8.698701,16.071844,14.718147
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059235157,0.98834115,6.0053095e-05,0.5609725,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.7094484e-10,4.2131476e-09,13307.52,15446.484,17140.43,18188.379,0.00071679865,14564.113,7.1647983,16929830.0,-2.3101943,8.955585,5.294305e-08,9.779831,3.692456e-07,-5.136645,4.520432,5.264051,10.2775755,11.568339,17.569008,15.631322,11.905019,17.667673,16.686697,18.028042,8.063119,13.535255,11.869786
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058305846,0.983267,6.214137e-05,0.5534139,0.12980324,0.26949966,0.41702494,0.5240873,0.66110706,0.7755011,0.85260326,0.91762704,0.99502784,1.0536996,1.0860385,1.1283588,1.1931314,1.3026804,1.2980047,1.3810722,1.3856343,1.4666246,1.4633551,1.4341091,1.3478509,1.2085013,1.0569896,0.8919894,0.7312631,0.5933535,3.9642445e-10,3.8455683e-09,13723.828,15948.926,17528.027,18217.09,0.0007052507,14897.274,7.1420403,16820800.0,-2.409454,9.33038,5.9928645e-08,9.935588,3.8851522e-07,-4.756235,4.4241753,3.7139978,8.485068,10.511116,22.180933,19.81096,15.598053,14.699107,14.784035,19.55823,9.228303,10.371253,8.19501
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057141283,0.9719768,6.282851e-05,0.55215424,0.13148433,0.28229317,0.4156874,0.478016,0.6417368,0.7837042,0.860478,0.91091067,0.9881535,1.0445055,1.0598627,1.069978,1.1802735,1.3487483,1.2443198,1.3712908,1.3236761,1.4807959,1.4571161,1.428784,1.3363148,1.1946241,1.0326366,0.873152,0.73422384,0.59863,3.5652784e-10,3.4992815e-09,14125.781,16293.457,17671.582,18331.934,0.0007301143,15113.007,7.037136,17268162.0,-2.479386,9.505582,6.767069e-08,10.0273905,4.1660493e-07,-4.8081336,6.3086762,6.304334,11.812678,13.7387085,19.891489,18.186636,20.59221,16.815474,16.918774,14.793784,7.92137,8.300923,7.1033397
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058836727,0.9629217,6.1441235e-05,0.55429584,0.13586646,0.31014618,0.40522683,0.4416665,0.6205136,0.78433734,0.87635964,0.885593,0.9501335,1.0294559,1.0188615,1.0252172,1.166942,1.4032336,1.1989094,1.3612181,1.2517537,1.5118872,1.4806552,1.429892,1.3430408,1.2157346,1.0002753,0.83652335,0.7432954,0.60922414,3.1717218e-10,4.0838053e-09,13881.738,16121.191,17700.293,18303.223,0.0007358499,14795.043,7.0934124,20913512.0,-2.220711,7.6045403,5.744064e-08,9.8264065,3.6806864e-07,-5.0874863,6.2457423,8.6478,11.707695,13.032254,21.237442,17.385973,22.748964,17.586388,18.173279,16.772928,10.449704,5.6261463,8.196243
0.0,0.0,0.0,0.0,0.0,-100.0,0.005868469,0.9619183,6.1302526e-05,0.5594608,0.14260389,0.34595862,0.3843318,0.44993463,0.61308604,0.75113577,0.9000086,0.85374695,0.8840911,1.0251845,0.963109,1.0261594,1.1762115,1.3906139,1.2043018,1.3665041,1.2307084,1.5464429,1.5178341,1.4118441,1.3753513,1.2809883,0.97673273,0.8078215,0.75960714,0.62556344,3.0574313e-10,3.9256722e-09,13881.738,16221.68,17772.07,18317.578,0.00069617684,14712.628,7.1622844,23119302.0,-2.142309,7.006304,5.6429727e-08,9.753997,3.7704376e-07,-5.541245,7.566132,9.7851095,13.1740675,13.194125,20.755562,18.758684,20.265404,18.063616,20.493301,14.280662,11.277454,9.627641,10.610551
0.0,0.0,0.0,0.0,0.0,-100.0,0.005938604,0.96825165,6.0945913e-05,0.5568153,0.14812009,0.3768724,0.36556348,0.48799005,0.62669015,0.69762295,0.90559965,0.8373311,0.8217928,1.0410262,0.90824795,1.0603302,1.1899487,1.3438555,1.2412714,1.4051851,1.234347,1.5402145,1.5795945,1.37895,1.4258977,1.3580021,0.9800063,0.80653715,0.770417,0.6431291,3.2105033e-10,3.9030312e-09,14140.137,16422.656,17872.559,18375.0,0.00065840315,14937.526,7.11511,22621282.0,-2.2762332,7.6850343,5.3397475e-08,9.859899,3.545271e-07,-5.3008943,7.881129,8.773415,12.724281,13.231143,20.356565,19.797571,18.009968,12.569743,18.297678,14.849317,11.480908,11.309123,14.165385
0.0,0.0,0.0,0.0,0.0,-100.0,0.005963919,0.9776041,5.8284888e-05,0.54661125,0.15259475,0.40343177,0.36015108,0.5251718,0.65335554,0.6494415,0.88994884,0.8492319,0.79008675,1.0670455,0.8818464,1.0843482,1.2187034,1.2933432,1.2625738,1.455779,1.2443439,1.5196277,1.6216115,1.3587061,1.4927202,1.3924803,1.0062507,0.8258257,0.76448625,0.65460014,3.3722028e-10,3.918656e-09,14700.0,16724.121,17987.402,18403.71,0.0006696869,14820.132,6.800415,27892074.0,-2.1377518,6.8395247,4.741668e-08,9.720548,3.4435902e-07,-4.9582887,9.02014,11.339061,15.124999,17.521101,18.718138,17.413055,19.699585,15.668953,19.038158,12.306332,10.33013,11.76199,11.603139
