F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005938221,0.98834115,2.1037004e-05,0.6759889,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.1250226e-10,3.99975e-09,11039.355,15489.551,16092.48,16408.3,7.877965e-05,13255.926,10.730275,22359056.0,-1.3956429,4.2578125,3.6088574e-09,8.988288,4.324312e-08,-8.895364,4.840988,-0.62801963,9.949903,3.2378137,16.560074,1.7007122,4.7063837,1.1143721,-2.586822,7.5037656,9.387994,11.140693,14.932259
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059901625,0.98834115,2.1498161e-05,0.6609977,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5789364e-10,3.9294368e-09,12087.305,15518.262,16135.547,16422.656,0.00015642372,13514.031,10.267456,20598594.0,-1.5914549,5.0302005,4.8164543e-09,9.152751,4.8633368e-08,-8.413082,5.7686787,1.0037652,8.424218,3.659108,17.835936,7.5447164,5.653834,-2.3387327,0.5228732,5.0571084,5.670037,8.033749,13.5681
0.0,0.0,0.0,0.0,0.0,-100.0,0.005950458,0.98834115,2.1983209e-05,0.63605446,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.2608791e-10,3.6904702e-09,12561.035,15532.617,16149.902,16437.012,0.00023383719,13617.22,9.90809,20047466.0,-1.6812167,5.32428,5.4430203e-09,9.219786,5.1983694e-08,-7.8170166,7.15428,2.5321078,5.342228,4.4959755,20.437616,11.703159,5.993748,-1.0761204,2.51516,-2.1938646,3.2676504,10.00184,10.940547
0.0,0.0,0.0,0.0,0.0,-100.0,0.005994341,0.98834115,2.3234614e-05,0.60430837,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.751355e-10,3.854271e-09,13106.543,15561.328,16221.68,16422.656,0.00024060777,13676.411,9.584367,20269432.0,-1.7683786,5.5008197,5.933519e-09,9.254588,5.5073105e-08,-7.9279,7.286468,3.0843341,7.8967743,6.89205,22.226698,15.547854,6.9520645,-0.89772004,3.0804787,-2.8579733,4.0274334,9.382607,8.44041
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059352876,0.9867015,2.5477186e-05,0.5728143,0.13359784,0.27669823,0.41116366,0.5521001,0.65693206,0.7698522,0.8348873,0.9000121,0.9609504,1.05999,1.103198,1.185306,1.2251577,1.2672181,1.3209084,1.3589042,1.4401973,1.4601231,1.4446669,1.4270377,1.3647375,1.2306881,1.0486163,0.89186573,0.7370577,0.5923708,3.593452e-10,4.0160733e-09,12604.102,15446.484,16135.547,16393.945,0.00025697603,13451.613,9.319009,21344304.0,-1.7417868,5.290767,6.2119256e-09,9.134651,6.412126e-08,-8.004654,6.532885,4.29625,9.882013,7.513552,24.321074,11.320884,9.652508,4.4515576,7.0137763,-1.5034858,6.270027,10.874692,5.621797
0.0,0.0,0.0,0.0,0.0,-100.0,0.006024717,0.9866063,2.8002714e-05,0.54749304,0.14333664,0.2719045,0.3943284,0.5462701,0.6280146,0.80168724,0.8168223,0.85105854,0.91887015,1.0896863,1.1138905,1.217368,1.2815279,1.2928594,1.3337932,1.3266603,1.4462982,1.485998,1.4320602,1.4459201,1.3538781,1.2204229,1.0209632,0.88336587,0.74020165,0.59457594,3.5348932e-10,4.4105284e-09,12747.656,15116.309,16035.059,16379.59,0.0002807127,13338.022,8.885883,20938848.0,-1.8380774,5.6542034,7.1811894e-09,9.0967,7.834371e-08,-8.501945,5.0830274,4.2869797,13.115827,8.001512,21.020023,11.651913,15.307899,4.6613827,9.42331,6.5551124,7.3021474,5.2486196,5.8968673
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058899377,0.9876613,2.8962882e-05,0.53162,0.15656506,0.26587865,0.378311,0.5468982,0.61660725,0.8697715,0.79351777,0.76688576,0.84849924,1.1255476,1.1314992,1.2259507,1.344594,1.3272854,1.4003433,1.2632917,1.4115332,1.5088822,1.4398059,1.4851694,1.3371334,1.2251521,1.0006176,0.8742018,0.7354658,0.5997872,5.2537064e-10,3.8835273e-09,12733.301,15015.82,15920.215,16336.523,0.000301283,13233.69,8.624192,21269242.0,-1.8487601,5.681488,7.3140196e-09,9.045365,8.334962e-08,-7.6800675,7.759327,5.973255,10.1909,7.592791,15.180835,5.849962,13.317349,7.530454,13.126309,9.865817,7.751923,3.1419232,7.7115808
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059547736,0.9900503,2.857609e-05,0.52154195,0.16764222,0.2507182,0.3759294,0.56876945,0.6607124,0.96302253,0.7818201,0.7009139,0.77178144,1.1538867,1.1660835,1.1916323,1.3830199,1.3598541,1.4446217,1.1731933,1.3238263,1.5025915,1.4819275,1.5254198,1.3177167,1.2494605,1.0229958,0.88348407,0.7234235,0.5968616,6.172663e-10,3.739501e-09,11886.328,14800.488,15762.305,16293.457,0.00030967055,12725.62,8.703322,24552200.0,-1.6211377,4.7786436,5.458902e-09,8.724216,7.8708275e-08,-7.329969,9.370652,4.3546643,9.237668,8.509524,10.967193,6.922165,13.162381,9.405253,11.090038,15.911285,10.976203,0.92844015,8.438304
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059486832,0.9937869,2.8384695e-05,0.5113378,0.17432289,0.25504363,0.38961568,0.6019296,0.7768571,1.0482885,0.80532306,0.67756206,0.71867615,1.1540254,1.1661557,1.1577731,1.4036437,1.3622364,1.4541941,1.0708437,1.2484738,1.4498581,1.5214056,1.536746,1.2944908,1.2784542,1.0647041,0.90984684,0.7249611,0.5930311,8.269054e-10,3.5669245e-09,11642.285,14987.109,15791.016,16236.035,0.00031628713,12626.79,8.688506,26252326.0,-1.5201563,4.2718024,4.8978843e-09,8.644107,7.588984e-08,-5.4951577,11.891782,4.241614,9.847182,5.1700635,10.120294,3.2404826,15.739197,13.060707,10.206245,13.227849,10.826759,4.430913,5.7807007
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059968135,0.9979408,2.8538452e-05,0.49546483,0.17777653,0.2882924,0.42527422,0.6701059,0.90721345,1.0830296,0.837306,0.7067516,0.7002346,1.1336051,1.1548103,1.1779894,1.4315268,1.3552709,1.3749118,0.99084264,1.2366699,1.3831278,1.5411453,1.4997174,1.2622296,1.2701577,1.0690452,0.93449897,0.74838704,0.586541,1.4790226e-09,3.6233854e-09,11541.797,15044.531,15905.859,16264.746,0.00030608274,12582.388,8.639729,27929208.0,-1.4759153,4.0261674,4.891829e-09,8.597666,7.639781e-08,-3.4662244,12.30896,4.5149207,13.621918,6.2947445,10.557415,-0.2065285,13.958207,9.980429,3.2167041,7.6766105,8.344928,7.2577662,5.5314097
