F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0054652677,0.98834115,2.9276382e-05,0.64840007,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.4961763e-10,3.2643455e-09,13494.141,15676.172,17097.363,18188.379,0.000118185475,14557.478,9.0134,17591632.0,-2.0475526,7.4722943,1.2400245e-08,9.756969,8.515499e-08,-6.175637,2.4865122,1.9640628,11.59404,13.128079,18.388485,14.820633,7.8790526,3.699684,3.9816778,5.783088,4.6635222,2.6056902,12.6368685
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056677666,0.98834115,2.8776107e-05,0.6403376,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.9642225e-10,3.8435e-09,13379.297,15489.551,17197.852,18231.445,0.00022493252,14481.766,8.917462,18074650.0,-1.9716759,7.150559,1.1969362e-08,9.711497,8.791422e-08,-6.830572,1.5115513,1.9552168,9.038492,11.948609,18.575953,12.383454,3.982626,4.414792,4.071455,8.3075075,8.254195,9.511627,14.840069
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058554015,0.98834115,2.8389317e-05,0.6284959,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.1674374e-10,4.5201904e-09,13379.297,15546.973,17370.117,18260.156,0.0003294237,14475.39,8.970525,18905866.0,-1.9164399,6.791738,1.1297609e-08,9.689727,8.736921e-08,-8.16276,1.2687693,3.4316816,5.9710693,11.017341,19.950567,8.681009,0.16019718,6.4840016,7.6104355,12.695213,9.819561,13.63031,15.301971
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060043447,0.98834115,2.8244258e-05,0.61577225,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6977496e-10,4.797203e-09,13738.184,15791.016,17642.871,18288.867,0.00031239577,14687.276,8.908478,20238126.0,-1.9825894,6.7448726,1.2070731e-08,9.763631,8.624253e-08,-7.5016847,0.9774936,3.542661,5.417158,5.6955237,18.897879,11.388387,2.610322,11.8550005,5.9617143,11.72648,10.497126,11.916806,12.678308
0.0,0.0,0.0,0.0,0.0,-100.0,0.00587994,0.99134713,2.8313772e-05,0.6011589,0.12906848,0.27927756,0.4313089,0.54882294,0.7042783,0.796058,0.8695576,0.93256664,0.9873281,1.008821,1.0852996,1.1735348,1.225046,1.2839515,1.3197514,1.3790807,1.4477978,1.4574203,1.4410071,1.4200133,1.3499438,1.2294856,1.0547982,0.88766956,0.7397936,0.5933425,4.594697e-10,4.3204413e-09,14082.715,16149.902,17786.426,18317.578,0.0003231469,14913.231,8.973836,19837824.0,-2.0819027,7.1398807,1.2460151e-08,9.874324,8.6762476e-08,-6.5058136,2.1586747,3.3912995,4.231682,3.3166208,17.586699,10.017154,5.687657,11.450788,7.886271,9.186867,9.860177,13.138537,11.680041
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060767583,0.9998662,2.791684e-05,0.5787352,0.12975347,0.2936028,0.4543456,0.5421007,0.7625966,0.85045624,0.92279416,0.97848445,1.0311414,0.976219,1.0751116,1.1869427,1.2485223,1.3568255,1.3439308,1.3634024,1.422726,1.4463471,1.4201094,1.3999354,1.3338884,1.2122744,1.0238947,0.86402154,0.7516491,0.6054442,5.4508403e-10,4.8704507e-09,14269.336,16178.613,17800.781,18360.645,0.00033600524,14826.82,8.892258,22118672.0,-2.0530794,6.7711034,1.2334298e-08,9.800465,8.6599606e-08,-4.3610196,1.2405175,-0.33117533,6.035094,1.8209925,16.285324,12.278027,12.495086,5.668199,2.3390274,11.244362,12.263316,9.991298,12.335655
0.0,0.0,0.0,0.0,0.0,-100.0,0.006241929,1.0187215,2.6381747e-05,0.54698914,0.13157777,0.31797746,0.48214602,0.5365556,0.83342,0.8975003,0.987933,1.0831803,1.1248121,0.940814,1.0755097,1.195519,1.2973737,1.5633074,1.4219824,1.3385295,1.3457946,1.4031852,1.3969342,1.3598919,1.3337749,1.2045025,0.99467975,0.8376966,0.76226836,0.6198893,5.186957e-10,5.615141e-09,14298.047,16178.613,17843.848,18360.645,0.00033789346,14593.347,9.264405,25769654.0,-1.8832026,5.7758617,9.935355e-09,9.630981,7.4950464e-08,-4.1338906,0.96665764,0.4350907,8.433293,5.6748557,13.754182,16.167292,14.294353,-0.9176492,-0.3827313,12.090268,13.375439,9.055904,12.657509
0.0,0.0,0.0,0.0,0.0,-100.0,0.00682495,1.0558537,2.5509891e-05,0.51713276,0.13510035,0.34839597,0.5081944,0.5584342,0.91226214,0.9392564,1.0642939,1.2207061,1.2824308,0.9492123,1.1000518,1.1950167,1.3295654,1.8905421,1.597908,1.3026456,1.2246112,1.3417559,1.408856,1.3422893,1.3617076,1.2252525,0.98761606,0.82864094,0.7711789,0.62627333,1.3015184e-09,7.280116e-09,13637.695,16508.79,17872.559,18389.355,0.00030643062,14142.207,9.469432,34441616.0,-1.587684,4.2108855,8.015302e-09,9.274342,6.35003e-08,-2.3864686,0.375502,-1.54765,5.8119006,1.2498598,10.083826,21.611856,17.543503,-3.353896,-4.9155965,20.144547,14.715886,4.5091224,13.626454
0.0,0.0,0.0,0.0,0.0,-100.0,0.0073418394,1.1221503,2.5704103e-05,0.48626855,0.13791788,0.37493715,0.54863244,0.6185296,1.0539093,1.0442787,1.2644982,1.3760238,1.4675508,0.9654657,1.1268247,1.2039129,1.3472246,2.3148735,1.8904432,1.2732033,1.1662272,1.2857876,1.4358859,1.3551912,1.3875207,1.2886237,1.011413,0.8410918,0.7807512,0.61518925,3.9349786e-09,9.068035e-09,13336.23,16910.742,17944.336,18403.71,0.00027795872,14061.294,9.414319,38845504.0,-1.4503897,3.580559,7.908105e-09,9.163445,6.704937e-08,0.19650269,1.169982,-2.5045645,1.0470408,-6.0820003,1.2151102,22.661346,19.448462,-3.7352345,-3.95911,17.882616,11.685886,3.6686103,13.801957
0.0,0.0,0.0,0.0,0.0,-100.0,0.0084088715,1.2215047,2.725137e-05,0.4531368,0.13920377,0.40601835,0.6400502,0.72347164,1.3320466,1.2696227,1.6220826,1.5277079,1.6535403,1.0271307,1.1821679,1.2674624,1.3717026,2.722202,2.2679093,1.2758541,1.2170717,1.2468323,1.4525954,1.4088637,1.3851064,1.3472496,1.0369972,0.85155964,0.78893477,0.5957386,6.4959855e-09,1.9277492e-08,9101.367,16867.676,17886.914,18432.422,0.0002780872,13169.707,9.121343,46959424.0,-1.0964669,2.5631278,5.9737975e-09,8.576742,7.9056065e-08,4.794515,-0.6181691,-4.782642,0.7975648,-11.500767,-2.2552173,19.378185,17.288467,-6.6450844,-3.4397557,19.32419,8.52431,-0.67543334,10.452571
