F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0054646954,0.98834115,1.8835382e-05,0.75686574,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.065576e-10,3.2482177e-09,13049.121,15590.039,17283.984,18346.29,7.386191e-05,14298.535,11.490705,22178008.0,-1.5748959,5.21985,4.923052e-09,9.529819,3.6893564e-08,-8.230311,5.222426,5.172426,8.6084795,2.1832106,9.572405,7.403506,18.84041,17.301802,2.526797,1.6248608,-2.5315208,5.713146,5.45462
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055411947,0.98834115,1.8302857e-05,0.75661373,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.9278718e-10,3.4323666e-09,12690.234,15432.129,17011.23,18331.934,0.00014761624,14056.278,11.909015,23457032.0,-1.4713162,4.8113475,4.2695167e-09,9.38681,3.3757082e-08,-8.767373,3.265052,3.948417,9.137637,4.5265856,8.793946,7.738735,15.008308,13.39762,5.0678053,8.439553,3.210111,3.8465917,1.861184
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057264618,0.98834115,1.7800632e-05,0.7530864,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.094585e-10,3.905568e-09,12202.148,15087.598,16480.078,17973.047,0.0002138815,13638.222,12.022202,23157150.0,-1.3722473,4.5108914,3.5721586e-09,9.181796,3.249968e-08,-9.026425,1.3049257,3.498216,7.470876,3.1962578,10.728147,10.9835005,11.486862,11.590042,11.792732,10.420641,7.7476726,-0.1844166,0.69439554
0.0,0.0,0.0,0.0,0.0,-100.0,0.005807894,0.98834115,1.781011e-05,0.7505669,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.306459e-10,3.7059842e-09,12015.527,14987.109,16523.145,17958.691,0.000210412,13484.063,12.157887,24989102.0,-1.3083199,4.124642,3.123448e-09,9.07291,3.1243488e-08,-8.16639,2.48151,0.7636916,5.0477157,-0.7131686,5.0780015,12.469321,10.067187,14.2588415,16.640795,12.993772,6.9583793,-2.2572582,0.7960904
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059221983,0.99306107,1.8388842e-05,0.7504409,0.12967896,0.2695718,0.41829,0.57137084,0.6609306,0.77709484,0.8583955,0.91896486,0.99034214,1.0517702,1.1343311,1.1732844,1.2071038,1.2958188,1.3420278,1.4033661,1.393269,1.4319025,1.4493666,1.4268152,1.376624,1.2412136,1.0782267,0.88528067,0.7405562,0.59398854,4.848871e-10,4.191396e-09,12273.926,15145.02,16795.898,17915.625,0.00020838331,13648.372,11.653409,23876198.0,-1.396822,4.4238534,3.7655417e-09,9.17628,3.4378683e-08,-8.038597,1.2006844,1.6035146,7.332763,2.295579,7.7522635,13.281159,9.509908,8.181332,14.971105,8.959953,4.098472,-2.427832,4.2412696
0.0,0.0,0.0,0.0,0.0,-100.0,0.005787363,0.99707174,1.8702769e-05,0.7557319,0.13111734,0.27385637,0.43302798,0.6069638,0.62154055,0.7531078,0.85503006,0.9200409,1.0212995,1.0748359,1.1848927,1.1837585,1.1873969,1.3164321,1.3283929,1.4452051,1.3552612,1.4115616,1.4422714,1.4294057,1.402723,1.2629353,1.0703586,0.8810614,0.7409251,0.5904625,4.3468165e-10,3.7519867e-09,12561.035,15647.461,17528.027,18303.223,0.00022534192,14070.766,11.553901,25060046.0,-1.4745282,4.5414133,4.449863e-09,9.366703,3.5180587e-08,-7.8966484,2.393676,1.9756327,9.308417,9.030798,9.028733,10.865214,4.8851357,2.6652687,8.739381,9.106147,2.9353936,-0.66894436,1.5886635
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056677163,0.99595815,1.8607321e-05,0.7603931,0.13345702,0.28498423,0.47775057,0.66792107,0.56361836,0.694287,0.81649965,0.892291,1.0462208,1.1079773,1.2047653,1.1899232,1.204946,1.3244106,1.281382,1.4821634,1.3149225,1.3611389,1.4456264,1.4422487,1.4264437,1.2825674,1.0501022,0.890163,0.7312503,0.57785314,3.861623e-10,3.7659516e-09,12604.102,16049.414,17743.36,18274.512,0.00022361218,14223.4795,11.63819,25273888.0,-1.4936361,4.6048927,4.602955e-09,9.439201,3.603566e-08,-8.089894,2.7427003,6.400575,12.412938,11.735063,9.774078,7.9255433,2.9716456,0.06318108,5.169481,5.116493,2.8873634,2.0524237,0.74289757
0.0,0.0,0.0,0.0,0.0,-100.0,0.005497592,0.98191005,1.8188422e-05,0.75888133,0.13525473,0.31187233,0.52590686,0.712307,0.5053999,0.6052424,0.74599665,0.84669256,1.0150412,1.0886122,1.1430969,1.1872567,1.2473537,1.2938813,1.2084898,1.4932256,1.3184642,1.3321028,1.4563688,1.46373,1.416121,1.2953656,1.0089196,0.9052445,0.70849985,0.5592152,4.1622097e-10,3.1979273e-09,12360.059,16264.746,17929.98,18375.0,0.00021206865,14242.844,11.971782,26605610.0,-1.456803,4.386081,4.3115764e-09,9.422561,3.385095e-08,-7.924816,5.211339,9.337006,13.064822,8.315014,6.3576283,9.2926,3.010226,4.6507564,3.2861793,0.5925713,1.3339504,2.2508926,-0.21521504
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056363423,0.96837944,1.7874496e-05,0.75850344,0.13562733,0.3219794,0.549226,0.74876046,0.4933032,0.56878537,0.70572144,0.81913614,0.9411545,1.0213461,1.047831,1.1794747,1.2958411,1.2620736,1.1690935,1.4632424,1.3571948,1.336214,1.4470838,1.470685,1.4014974,1.2976876,0.9933284,0.91720366,0.68923265,0.54514015,4.678559e-10,3.538094e-09,12647.168,16437.012,18030.469,18403.71,0.0001933186,14322.875,12.222692,27852942.0,-1.4547783,4.237278,4.1535277e-09,9.433557,3.3045016e-08,-8.150636,3.6607864,8.116917,10.970075,4.8669124,3.487726,8.858921,6.6685243,5.7934175,4.340512,0.6277828,4.7359443,4.3058887,3.9961226
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057224925,0.9669642,1.7527973e-05,0.7532124,0.13453071,0.31664062,0.52194065,0.76361537,0.5252847,0.587074,0.67942286,0.8520538,0.8940312,0.9650244,1.0142932,1.2200441,1.3385948,1.2436239,1.1840359,1.4306751,1.3935481,1.3825399,1.4360561,1.474124,1.3677486,1.295422,0.9839794,0.90089434,0.6861131,0.54975843,4.035978e-10,4.035712e-09,12790.723,16250.391,17829.492,18418.066,0.00019909038,14189.815,12.449688,28464120.0,-1.4373039,4.137161,3.8764574e-09,9.360714,3.0555285e-08,-7.896923,1.6544809,4.0602612,10.714196,7.3227296,6.973047,3.8880777,5.7194057,6.425833,8.119107,6.558332,9.765433,6.936423,5.9595113
