F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058027986,0.98834115,2.845114e-05,0.654447,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.523817e-10,4.8766933e-09,13723.828,15819.727,17140.43,18245.8,0.00010912137,14663.946,8.99076,17341408.0,-2.1622086,7.8127675,1.2873024e-08,9.808798,9.270328e-08,-6.8664002,0.28871694,9.085881,11.076154,1.2691008,6.6528172,7.2045074,5.3525257,13.521094,12.43388,20.758467,15.272645,4.0546002,6.4343534
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056435857,0.98834115,2.7395994e-05,0.64852613,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.184076e-10,4.2116213e-09,13336.23,15676.172,17499.316,18303.223,0.00022165485,14550.966,9.100072,19246266.0,-2.0211995,7.1285267,1.1204004e-08,9.722374,8.633933e-08,-7.440365,2.8942478,9.839161,14.885077,6.2070365,7.3354087,4.8219223,3.7705119,12.239113,10.523426,11.53296,11.476303,1.9943327,8.440145
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055852975,0.98834115,2.681274e-05,0.63869995,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.781606e-10,3.5097092e-09,12934.277,15561.328,17585.45,18317.578,0.0003181853,14430.218,9.322267,20470894.0,-1.8746499,6.47586,9.659886e-09,9.64181,7.602197e-08,-7.3556647,4.7120013,7.4944077,13.0339365,6.3786488,8.416008,9.095827,4.9899173,8.958496,8.261398,5.940146,9.355895,3.9716082,11.644086
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056196265,0.98834115,2.704674e-05,0.6286218,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.931559e-10,3.2344236e-09,13235.742,15834.082,17729.004,18360.645,0.00030474152,14593.579,9.2399,20607290.0,-1.9099385,6.55225,1.0612617e-08,9.711333,7.6289005e-08,-7.2639365,5.348686,5.0541277,10.062699,8.741769,7.6954026,6.2158375,6.6652923,6.645073,5.0040317,7.7362456,11.574695,7.643547,14.944489
0.0,0.0,0.0,0.0,0.0,-100.0,0.005767586,0.99246114,2.704674e-05,0.61803985,0.12836352,0.26137453,0.39671433,0.55545306,0.6720834,0.74962574,0.8669215,0.93959635,0.9985978,1.0606216,1.1077898,1.156749,1.2163696,1.3032389,1.3087951,1.3472506,1.4308119,1.4446344,1.4647107,1.4417707,1.4002327,1.241833,1.0664345,0.9044767,0.74565,0.59388727,3.6539374e-10,3.5312142e-09,13479.785,16063.77,17542.383,18288.867,0.0003052958,14730.708,9.356976,19119816.0,-1.9677958,6.868262,1.1030802e-08,9.796285,7.475096e-08,-8.5565605,2.5541222,2.5469887,7.4711018,7.1730766,8.3156595,11.751672,10.917446,8.945785,8.628219,9.892282,15.835029,11.094322,10.306635
0.0,0.0,0.0,0.0,0.0,-100.0,0.005906049,1.006578,2.6863636e-05,0.59599394,0.12805583,0.24503334,0.35147396,0.52959096,0.6657138,0.7607922,0.9093635,0.97737145,1.0322315,1.0903014,1.1405942,1.1292962,1.2185699,1.391601,1.3011074,1.3401581,1.489874,1.4477142,1.4511007,1.4778706,1.5058932,1.2524388,1.0690225,0.92345285,0.7534168,0.588986,3.1704894e-10,3.8968735e-09,13350.586,16293.457,17571.094,18303.223,0.0003187229,14666.843,9.227289,21142244.0,-1.9418155,6.5678535,1.09981e-08,9.732575,7.566635e-08,-9.814407,0.84595186,3.2940924,7.9561143,10.163812,9.011774,14.206363,13.790352,12.423699,14.679299,11.747245,14.513288,8.621643,5.681694
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060442183,1.0278648,2.6610403e-05,0.5750819,0.13069344,0.23611528,0.3055345,0.49931332,0.64089745,0.7933627,0.9408024,0.9963696,1.057832,1.1424057,1.2224902,1.0934752,1.2256789,1.4826912,1.3155835,1.3638605,1.5808734,1.4683619,1.451229,1.5126504,1.6368796,1.2631546,1.0691073,0.9537781,0.7565014,0.58484167,3.4704453e-10,4.4402193e-09,12589.746,15991.992,17585.45,18274.512,0.0003263744,14194.957,9.334302,25242390.0,-1.67075,5.169946,8.72743e-09,9.444291,7.072827e-08,-9.301133,0.7962944,4.593282,8.739707,8.942233,12.649468,16.898775,10.2842245,12.009068,17.202667,13.862259,11.305341,5.769171,5.683541
0.0,0.0,0.0,0.0,0.0,-100.0,0.005987981,1.0448407,2.6430977e-05,0.5662635,0.13708286,0.24294727,0.29709348,0.47061238,0.6052678,0.8465619,0.9702409,0.99386907,1.0656672,1.2023954,1.3062276,1.0449805,1.1981734,1.5252763,1.3946813,1.4432443,1.6308227,1.492053,1.4604157,1.5420169,1.6911045,1.2441416,1.058715,0.9812792,0.74045444,0.58053243,4.0177048e-10,4.3313357e-09,12331.348,15834.082,17484.96,18260.156,0.00031195584,13988.391,9.322341,27360512.0,-1.601511,4.7297726,8.0768165e-09,9.31655,6.908553e-08,-7.487541,2.1500714,5.210254,8.057832,9.196048,14.20102,16.623323,10.987156,7.402989,14.318448,16.911728,5.0283813,1.6686074,8.03104
0.0,0.0,0.0,0.0,0.0,-100.0,0.005879129,1.0489931,2.5332347e-05,0.579743,0.14296184,0.26068667,0.3366023,0.48599616,0.59411883,0.88692194,0.994137,0.9716894,1.0589353,1.2505388,1.3740606,1.0100176,1.1595179,1.4885312,1.4601201,1.4843645,1.5739497,1.4774138,1.4984999,1.5598631,1.6411234,1.2194775,1.0424604,0.994142,0.7276365,0.58005744,4.6195414e-10,4.062246e-09,12747.656,16164.258,17599.805,18317.578,0.0003015394,14258.513,9.557002,26410622.0,-1.6887541,5.0571074,8.084151e-09,9.455287,6.551121e-08,-6.506926,4.016492,4.374005,8.949665,8.8896265,10.732937,11.419381,8.4549265,5.947367,11.695442,15.748439,4.816176,0.19937749,7.8158317
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057633757,1.0400667,2.3995852e-05,0.59498614,0.14609115,0.26195523,0.37804756,0.5219174,0.6229146,0.8825822,1.066585,0.9628873,1.0197171,1.2516581,1.3721098,1.0006515,1.1447172,1.4399256,1.47325,1.4960089,1.468773,1.4232208,1.5189934,1.5805184,1.5234107,1.1820413,1.0268017,0.9783211,0.7174441,0.5811925,4.1679984e-10,3.8780126e-09,10867.09,16437.012,17729.004,18375.0,0.00029074858,13867.444,9.887008,34349524.0,-1.4989842,4.294615,6.309388e-09,9.1282015,5.4502454e-08,-6.9381676,2.6758044,3.971935,8.050824,5.9228387,7.31069,11.473652,14.521332,10.750024,13.848882,14.421117,4.529695,4.336514,13.626404
