F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005860526,0.98834115,1.849238e-05,0.7363315,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.764736e-10,3.993804e-09,12862.5,15575.684,17298.34,18331.934,7.892462e-05,14088.722,11.561668,23739914.0,-1.5130792,4.762321,4.56116e-09,9.402101,3.778712e-08,-5.5340385,3.4572744,2.1727579,6.9017997,1.6660713,1.1346442,-0.35900894,12.074066,13.942046,8.888711,1.0371938,5.293484,1.1222109,0.5028272
0.0,0.0,0.0,0.0,0.0,-100.0,0.005898897,0.98834115,1.7681004e-05,0.717813,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.0880075e-10,4.064576e-09,12302.637,15719.238,17312.695,18317.578,0.00014849745,13856.129,12.269198,27464022.0,-1.3807625,4.1837635,3.7383026e-09,9.220685,3.406016e-08,-5.5719056,2.4976692,2.3257644,8.38169,5.69638,3.509898,3.6734295,8.602904,9.015529,5.786775,-0.6217385,2.9831035,1.0731196,0.3033189
0.0,0.0,0.0,0.0,0.0,-100.0,0.005956085,0.98834115,1.7026716e-05,0.68367344,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.613698e-10,4.0629806e-09,11986.816,15633.105,17370.117,18375.0,0.00021557703,13745.547,12.679237,29626154.0,-1.2939488,3.7835233,3.198246e-09,9.126141,3.1196475e-08,-5.4313903,1.7527195,2.799263,6.5357585,4.2264695,4.856424,6.149229,8.947213,5.5935864,4.6604266,-0.7553509,3.657876,6.005263,0.88739926
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060650515,0.98834115,1.6852851e-05,0.6268582,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.0672357e-09,3.7540517e-09,11254.6875,15604.395,17800.781,18432.422,0.00020194694,13516.759,12.514836,33938636.0,-1.1700001,3.252187,2.9109637e-09,8.941262,3.035537e-08,-3.8762314,5.9124465,4.124934,3.522169,-0.8132868,2.981781,4.9087644,3.0506961,-1.8534784,2.0669062,5.578791,7.0300984,11.996854,3.6427753
0.0,0.0,0.0,0.0,0.0,-100.0,0.00623578,0.9954019,1.6978875e-05,0.5574452,0.12979604,0.26871908,0.43013754,0.6123808,0.77998304,0.8535574,0.8813758,0.8957582,1.0165044,1.0468268,1.0707382,1.1385568,1.1835374,1.2378173,1.3118469,1.3554462,1.4346676,1.4497757,1.4423271,1.4479779,1.3433605,1.238746,1.0681785,0.9049325,0.740887,0.5966137,7.80052e-09,3.5638996e-09,7838.086,14499.023,17528.027,18375.0,0.00020818092,12536.284,12.348435,38634464.0,-0.9282766,2.7469642,1.8726627e-09,8.345039,3.026047e-08,-1.5689996,8.349391,2.11319,-3.463934,-9.961308,-3.8165429,-2.2276452,0.82848245,6.9429955,11.045543,9.8316765,12.249692,11.579011,0.17838319
0.0,0.0,0.0,0.0,0.0,-100.0,0.0067024115,1.0223953,1.7770588e-05,0.47745025,0.13079862,0.2714537,0.4535456,0.7023142,1.0577812,1.1073428,0.99445677,0.85743207,1.0717744,1.1199676,1.049872,1.1127326,1.1382084,1.1922947,1.2525533,1.3465829,1.5106302,1.4646959,1.4253287,1.4630727,1.2946019,1.2411627,1.0632792,0.9070427,0.74540186,0.6079478,1.4208898e-08,5.067489e-09,4062.5977,14283.691,17398.828,18288.867,0.00020980953,11521.023,12.112084,47763052.0,-0.6396324,1.9928049,6.262059e-10,7.668061,3.2901948e-08,1.6141095,9.627491,0.25269806,-6.4315677,-13.587741,-3.2839901,-6.120072,-4.961071,9.91886,17.47663,13.399671,13.426788,5.3927245,-7.0182743
0.0,0.0,0.0,0.0,0.0,-100.0,0.0076149106,1.0877811,1.9555244e-05,0.39191234,0.13198256,0.29024008,0.5139209,0.83165145,1.4945836,1.5693756,1.2406223,0.8404877,1.1517115,1.2854048,1.0588343,1.1000458,1.140611,1.2156172,1.1757916,1.3739195,1.6682811,1.5128928,1.4206176,1.4743756,1.213956,1.2351526,1.0671185,0.90468746,0.75408775,0.6163413,3.3140882e-08,7.9072215e-09,746.4844,11182.91,16910.742,18130.957,0.00021796516,9918.065,11.38181,56133056.0,-0.23673797,1.3935212,-2.1483597e-09,6.62463,4.1188613e-08,4.6574807,7.1191907,-1.217727,-9.344041,-21.06938,-7.3006134,-7.993128,-0.34687075,16.284807,15.810332,11.058304,14.053162,2.3510728,-15.065015
0.0,0.0,0.0,0.0,0.0,-100.0,0.008868053,1.2024342,2.323029e-05,0.31494078,0.13291217,0.32804576,0.5808856,0.9042843,1.9951855,2.1951063,1.6354262,0.9152524,1.2733546,1.5325559,1.1203531,1.1409283,1.2839171,1.4197389,1.133122,1.4716921,1.9065205,1.6164247,1.4602779,1.4961783,1.1492213,1.2139757,1.0779364,0.8832495,0.7690069,0.6277421,8.248418e-08,1.1712221e-08,574.21875,7134.668,16637.988,18087.89,0.00023284314,8405.358,9.481535,58870704.0,0.16297199,1.4319819,-8.300804e-09,5.6048713,6.937396e-08,6.767611,5.1141067,-2.3473828,-10.596528,-25.690115,-5.6841464,-3.8856738,4.135631,13.805622,10.519591,12.320186,17.009363,1.7816249,-18.823458
0.0,0.0,0.0,0.0,0.0,-100.0,0.01020077,1.3575147,2.8494827e-05,0.24212648,0.1327774,0.38233802,0.6853509,1.0186707,2.4261274,2.7969706,2.0660112,1.1472341,1.5387187,1.7816452,1.1992686,1.2374946,1.5439783,1.7973374,1.1778712,1.608436,2.1397154,1.7531,1.5283812,1.5660425,1.1201304,1.2058673,1.1227999,0.8737553,0.8078081,0.6375557,1.3643601e-07,1.563649e-08,516.7969,2426.0742,14355.469,17800.781,0.0002575468,6429.4136,7.9645405,56081292.0,0.68221754,1.7851825,-1.650801e-08,4.339661,1.0130871e-07,9.223331,4.2771626,-5.754438,-12.960334,-28.686018,-11.706009,-5.6017957,2.565051,10.597545,0.39003468,7.469616,18.501587,3.365556,-17.959442
0.0,0.0,0.0,0.0,0.0,-100.0,0.011899538,1.5402995,3.431404e-05,0.19072814,0.12839435,0.42699847,0.80621594,1.1808268,2.8577187,3.3646858,2.4757526,1.4840964,1.9940141,2.045946,1.2976785,1.4052905,1.8857346,2.243042,1.2661512,1.7083293,2.3409684,1.9016749,1.6069852,1.7163662,1.1729928,1.2180548,1.1634552,0.86177593,0.8406241,0.6540196,2.7043632e-07,2.9102146e-08,516.7969,545.5078,9058.301,16078.125,0.0003263322,4429.4683,6.464508,43622580.0,1.4649819,3.8972943,-3.7618626e-08,3.0590363,1.8124433e-07,11.291542,1.2526484,-9.356414,-18.343164,-26.894049,-11.373459,-11.775063,2.7169726,3.076126,2.2234063,7.1829143,22.052393,4.650912,-23.701849
