F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005591056,0.98834115,2.4446099e-05,0.68858653,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.8844097e-10,3.0755452e-09,13264.453,15518.262,17068.652,18245.8,9.6694515e-05,14505.398,9.6726,17390058.0,-1.8502594,6.747223,9.0605345e-09,9.720025,6.501294e-08,-8.204124,5.497928,2.4355633,9.021585,12.520841,8.784149,6.2856545,1.9299917,8.286166,7.2020397,7.666456,13.349742,4.040049,9.385247
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057297056,0.98834115,2.3522836e-05,0.68631893,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.784239e-10,3.3998215e-09,12762.012,15145.02,17441.895,18260.156,0.00019080781,14123.636,9.942456,21174306.0,-1.6386379,5.719749,7.3067508e-09,9.469914,6.000368e-08,-7.63746,5.868702,3.244222,7.7546945,10.249985,11.617253,5.394727,1.3593715,6.7427216,8.929923,10.0421295,11.875248,5.368117,8.078197
0.0,0.0,0.0,0.0,0.0,-100.0,0.005757352,0.98834115,2.1915701e-05,0.68165785,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.271133e-10,3.437268e-09,12288.281,14642.578,17039.941,18274.512,0.00026051307,13607.022,10.554809,23654928.0,-1.442123,4.8389487,5.1459144e-09,9.175099,5.0001404e-08,-6.8706856,6.0863433,3.8494473,7.679535,6.0319314,12.333644,7.827271,2.6654675,7.024193,10.0752945,7.6148267,9.917062,7.1727376,5.6450152
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057624723,0.98834115,2.057439e-05,0.68178385,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.854486e-10,3.7009984e-09,11958.105,14556.445,16637.988,18274.512,0.00023911166,13265.124,11.090149,27042784.0,-1.3365612,4.1506195,3.5838124e-09,8.954719,4.300153e-08,-5.998463,4.425043,2.967001,6.9570346,2.1565306,12.336934,9.66854,5.7880425,4.963879,12.235242,14.9393015,14.231481,8.405849,10.166905
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055626347,0.98368126,2.0582433e-05,0.6796422,0.12935114,0.2725204,0.41202426,0.5469361,0.6584841,0.75414246,0.8679177,0.9443117,0.98855925,1.033605,1.0865717,1.16717,1.2168531,1.2702465,1.3622853,1.3924193,1.3859309,1.4025737,1.443625,1.4384934,1.340448,1.2091805,1.0570506,0.88556975,0.71840686,0.5910341,4.2399173e-10,3.237923e-09,12288.281,14714.355,16594.922,18331.934,0.00022527808,13599.0,10.922925,24164614.0,-1.4622537,4.807421,4.6061044e-09,9.167598,4.7849028e-08,-6.181474,3.796072,1.6768712,7.9722466,4.6087637,11.936997,15.95858,10.09592,3.7125368,8.776832,8.500408,8.748946,9.058684,11.449237
0.0,0.0,0.0,0.0,0.0,-100.0,0.005628828,0.97714496,2.1119995e-05,0.6759889,0.12826906,0.2727056,0.4016712,0.53639746,0.63734454,0.7374436,0.9347512,0.97616273,1.0114139,1.0481949,1.0368943,1.1659092,1.2505774,1.2690072,1.3766279,1.4051765,1.3396026,1.3355085,1.4066215,1.425526,1.336141,1.1672691,1.0391315,0.88309604,0.69532895,0.5889938,4.801461e-10,3.3568612e-09,12503.613,15030.176,17255.273,18274.512,0.000250918,13862.339,10.702825,24412078.0,-1.5367471,4.9439144,5.17854e-09,9.296828,5.3886623e-08,-5.605334,3.7510674,-0.4078928,6.1117034,3.9784496,13.394688,15.295232,11.102631,2.2396011,7.4229646,11.459346,11.502122,9.908451,7.312365
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056183613,0.97222954,2.1562219e-05,0.6725876,0.12726478,0.2799057,0.408347,0.52734894,0.60471225,0.7089861,1.0010301,0.9837583,1.0314785,1.0775131,0.97516745,1.1728328,1.3132616,1.2802393,1.3662599,1.3855367,1.2864673,1.2672201,1.3929944,1.4383383,1.374045,1.1152381,1.0083275,0.8944947,0.66793704,0.5892615,4.7189075e-10,3.2832732e-09,12546.68,15188.086,17800.781,18217.09,0.00025994613,14077.2,10.418889,23935416.0,-1.5712051,5.0783715,5.7708376e-09,9.408485,5.5969565e-08,-5.623547,5.4293685,3.1046114,9.05206,8.934012,12.34111,10.7245865,12.606029,0.8208027,2.5813627,4.3838077,3.9524708,8.594401,1.9801455
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058161393,0.9769196,2.198408e-05,0.6618796,0.12634876,0.29826334,0.47299924,0.5365815,0.5695865,0.688677,1.0450983,0.94881135,0.9859716,1.102866,0.94499826,1.1978317,1.3960232,1.300872,1.3057132,1.3543953,1.2694529,1.2592686,1.4179764,1.4600214,1.438982,1.0967404,0.99126226,0.93353385,0.6667008,0.5909311,7.9350754e-10,3.6837957e-09,12632.8125,15460.84,17786.426,18245.8,0.0002771484,14092.105,10.456921,25198320.0,-1.5829006,4.8963046,5.925523e-09,9.392179,5.097958e-08,-5.3520494,6.3797975,5.1280494,11.056178,6.7917037,8.873071,6.116261,9.536389,2.6841886,0.040634472,4.1002054,2.8156536,4.0882497,1.8644133
0.0,0.0,0.0,0.0,0.0,-100.0,0.005984226,0.996891,2.297471e-05,0.64184934,0.12614919,0.32123637,0.60360855,0.61477613,0.5618519,0.69895846,1.091069,0.9206462,0.8921842,1.1137853,0.9599221,1.2426267,1.4812742,1.3281119,1.3014637,1.3391813,1.2670375,1.3122951,1.5048996,1.4644812,1.4451861,1.105034,0.99017686,0.9658142,0.6822045,0.5851911,3.3770986e-09,3.7807655e-09,12776.367,15834.082,17800.781,18303.223,0.00026520714,14249.392,10.131838,25953666.0,-1.6169671,4.920378,7.08037e-09,9.459529,5.3913272e-08,-3.1065626,7.338061,6.806687,11.617326,4.0023513,3.8011913,3.475978,5.504381,1.8464613,-8.146082,-2.6976411,-5.4473987,-0.9177399,8.575192
0.0,0.0,0.0,0.0,0.0,-100.0,0.0064007416,1.033357,2.3946626e-05,0.60594606,0.12522545,0.34274364,0.7928724,0.7711747,0.58701444,0.76359224,1.2460252,0.97640276,0.79433304,1.0993668,1.0263307,1.3046122,1.5217146,1.2985083,1.343326,1.3656058,1.2553883,1.36871,1.6026392,1.462676,1.390721,1.1488706,1.021264,0.984227,0.69629735,0.5776394,5.1935913e-09,4.0570574e-09,12848.145,16178.613,17815.137,18360.645,0.00028603539,14262.253,9.821559,28387568.0,-1.6206261,4.6955013,7.662183e-09,9.430135,5.7510558e-08,-0.13855505,9.633314,3.3405683,3.984897,-1.419582,1.8089428,1.5775971,2.9260447,2.9341629,-6.4269924,-6.340201,-11.372795,-3.015113,13.776066
