F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0040032486,0.98834115,6.579925e-06,0.9717813,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.9950295e-10,1.0198925e-09,9589.453,14054.004,17154.785,19193.262,2.7255708e-05,12810.208,40.021103,32131480.0,-0.6358593,2.507569,3.6150735e-10,8.552014,5.140162e-09,-6.237596,2.7781534,-6.487698,-2.107759,-2.210569,-4.0664506,-0.83671284,1.5690361,-2.458585,1.3277041,2.3289986,1.034377,0.90912706,-0.66580755
0.0,0.0,0.0,0.0,0.0,-100.0,0.0037715894,0.98834115,6.1991536e-06,0.97203326,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.2563418e-10,9.1020214e-10,8326.172,13494.141,16996.875,19221.973,5.6758396e-05,12379.499,56.97525,34107236.0,-0.4904845,2.2822676,2.6678804e-10,8.255363,4.0710835e-09,-7.7023964,1.3492638,-4.384047,-1.0773498,-2.7659588,-3.4985921,0.57140946,-2.1339743,-4.2106953,1.3093964,2.5145504,-0.7174068,-1.2421794,1.4070257
0.0,0.0,0.0,0.0,0.0,-100.0,0.0036304363,0.98834115,5.2875016e-06,0.9707735,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.6620766e-10,9.013335e-10,6531.7383,12747.656,16480.078,19006.64,7.277079e-05,11762.624,69.327484,36450304.0,-0.35408738,2.0482388,1.5931428e-10,7.8516603,2.8961962e-09,-7.6383376,0.97421247,-1.0085222,-2.1946757,-1.0046548,1.5394083,0.40545425,-2.810582,-4.8742847,4.8436427,2.642815,1.6874186,-2.5198643,1.0637475
0.0,0.0,0.0,0.0,0.0,-100.0,0.0031875188,0.98834115,4.6260666e-06,0.96938777,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.9372044e-11,6.6422795e-10,5340.2344,11972.461,16422.656,19121.484,6.1790575e-05,11204.961,98.99957,39564044.0,-0.18592839,1.8131447,6.9443565e-12,7.471474,1.3756426e-09,-7.5201225,0.88424176,0.048477754,1.5970174,3.6264255,2.7730682,-3.6946764,-2.145069,-5.3544917,4.160164,2.029392,1.1849267,-1.372633,-0.77248484
0.0,0.0,0.0,0.0,0.0,-100.0,0.0035232,0.9859824,4.8971024e-06,0.9672461,0.13214897,0.28788063,0.4197246,0.5473654,0.6650657,0.78074986,0.8390991,0.89841074,1.0076967,1.0124251,1.0988883,1.172927,1.2321402,1.2601637,1.2837728,1.3858838,1.4539121,1.44161,1.4534222,1.4222994,1.3492513,1.2185928,1.0596975,0.8883374,0.73112017,0.59295434,1.7949886e-10,9.537043e-10,6445.6055,12762.012,16795.898,19092.773,6.436477e-05,11713.61,79.68541,38055824.0,-0.3588772,2.0119743,1.4739143e-10,7.7955966,2.700314e-09,-6.610333,2.8536618,1.3837718,1.7068163,1.6214947,4.6743636,-1.9971834,-2.7909298,1.1953945,7.2473083,-0.3732481,3.679499,1.3033352,-3.9759333
0.0,0.0,0.0,0.0,0.0,-100.0,0.0038273616,1.0108688,5.699019e-06,0.9676241,0.14083964,0.3133763,0.43440068,0.5429823,0.67666894,0.8323655,0.8544591,0.8831663,1.0709237,0.9701722,1.1111856,1.2652789,1.3008937,1.2671709,1.2333604,1.4414965,1.5224234,1.4585372,1.5159391,1.4452938,1.3686132,1.2572873,1.111855,0.91375977,0.75220555,0.59793305,1.9600338e-10,1.2427286e-09,7479.199,13565.918,17441.895,19107.129,7.621954e-05,12268.36,65.57678,36356724.0,-0.4872276,2.1246932,2.602778e-10,8.1373415,3.94266e-09,-8.163926,2.525918,0.7216172,3.0207088,4.007677,-1.2586942,-1.6475741,-2.55557,6.137882,2.528574,-2.0712752,-0.29635048,1.8538846,-0.74558085
0.0,0.0,0.0,0.0,0.0,-100.0,0.004255943,1.0620633,6.4649553e-06,0.9685059,0.15659831,0.3482646,0.45972046,0.5506742,0.67591494,0.8900271,0.91106015,0.9179198,1.1698637,0.9090169,1.1392118,1.4160255,1.3946323,1.3170142,1.2225604,1.5586624,1.6092039,1.5113168,1.6302128,1.4840151,1.4309068,1.3362681,1.202391,0.9635418,0.7964289,0.61219627,2.1629365e-10,1.4888167e-09,8283.105,14556.445,17685.938,19265.04,8.764735e-05,12768.129,37.64656,36752716.0,-0.65622073,2.2497313,3.7504808e-10,8.434823,4.782436e-09,-6.8006077,2.407122,2.3334591,0.5027952,3.359045,4.8604126,6.1523056,4.6396236,4.8042006,1.3117963,-8.038558,-0.9763579,2.6267846,1.904564
0.0,0.0,0.0,0.0,0.0,-100.0,0.0041505294,1.1401157,6.6012776e-06,0.96976566,0.17878199,0.3704624,0.47686955,0.57660836,0.6802354,0.9336839,1.0412631,1.0572087,1.3031839,0.90077096,1.1919264,1.5707197,1.5060319,1.4118671,1.3128561,1.707146,1.6700487,1.627666,1.7827988,1.5560297,1.5512363,1.446239,1.2910168,1.0166909,0.8510044,0.630663,1.3973561e-10,1.3771388e-09,7249.5117,14068.359,17571.094,19336.816,7.9650075e-05,12419.234,45.453583,39307716.0,-0.53931546,2.0515745,2.6085442e-10,8.196021,3.943273e-09,-6.8708653,0.2521782,0.6066552,1.2429676,6.9166255,6.0380707,6.245189,7.537576,2.2603414,0.55694133,-3.985675,0.5664641,5.14823,6.201252
0.0,0.0,0.0,0.0,0.0,-100.0,0.003937335,1.1741177,6.01079e-06,0.97140336,0.19183922,0.36497965,0.4608132,0.597849,0.6646026,0.9002649,1.1395959,1.1895095,1.3924111,0.9479378,1.2400006,1.6213168,1.5701708,1.4751953,1.4318374,1.7898778,1.6409339,1.6685556,1.8359579,1.5650883,1.6001898,1.4476458,1.2686615,1.014909,0.86618537,0.6407294,1.2737528e-10,1.1800351e-09,6646.582,13293.164,17542.383,19695.703,7.17103e-05,12031.519,55.670277,42710190.0,-0.40402207,1.8924694,1.6327717e-10,7.9265924,3.08932e-09,-5.77162,-1.1742622,-1.8398314,3.0728056,2.1971786,9.728045,6.7026114,5.201806,-1.2015433,4.377252,-0.52179974,2.240764,6.5511975,5.7807174
0.0,0.0,0.0,0.0,0.0,-100.0,0.0032632984,1.1214565,4.8490474e-06,0.96838,0.18195719,0.32814014,0.40958488,0.5773086,0.64869505,0.8240113,1.119298,1.2027942,1.3618063,0.9933947,1.2212292,1.5006765,1.5259122,1.4236077,1.4494814,1.7364826,1.5333972,1.5854837,1.718966,1.4641777,1.504289,1.3206815,1.1358339,0.94938666,0.8218897,0.61938566,9.2733154e-11,8.510664e-10,5742.1875,12029.883,17154.785,19623.926,6.499452e-05,11457.591,117.40847,42539704.0,-0.20235206,1.7634314,4.4853243e-11,7.5780044,1.9813637e-09,-7.1071124,-2.1958423,-4.0351653,2.0897949,0.41573548,4.478097,2.0625901,0.81134504,0.38292098,4.2960234,3.3560703,1.9543635,5.137532,2.8547573
