F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056393775,0.98834115,2.4226254e-05,0.6943815,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.0134275e-10,3.5284184e-09,13939.16,15877.148,17269.629,18231.445,9.478088e-05,14667.173,9.738723,18224662.0,-2.0303073,7.1766305,9.332962e-09,9.785866,6.1200566e-08,-6.450852,5.1478,5.83708,9.977112,6.249689,7.9923606,8.570588,0.78173655,16.078918,8.5707245,6.1250186,6.9673486,-0.6277774,1.0886656
0.0,0.0,0.0,0.0,0.0,-100.0,0.005721239,0.98834115,2.3427543e-05,0.6900983,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5090276e-10,3.669238e-09,13881.738,15891.504,17370.117,18274.512,0.0001848006,14640.175,10.005637,19510654.0,-1.9647306,6.697664,8.388917e-09,9.746673,5.8536674e-08,-7.389623,5.043499,5.5400376,9.031803,7.7896285,11.144124,8.748646,-3.2102451,9.095998,9.921117,8.786964,9.722772,2.1093566,0.74104816
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057624374,0.98834115,2.2620887e-05,0.67939025,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5531e-10,3.6249483e-09,14097.07,16121.191,17484.96,18217.09,0.00026407576,14738.417,10.290245,20185254.0,-1.9669651,6.4988365,7.666124e-09,9.773314,5.672347e-08,-7.763761,5.625651,5.130795,5.619625,5.550568,13.554985,9.97675,-3.935584,5.131325,11.319562,10.844254,9.683861,8.968596,1.261763
0.0,0.0,0.0,0.0,0.0,-100.0,0.005730295,0.98834115,2.1950023e-05,0.65432096,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.7380716e-10,3.7439176e-09,14455.957,16480.078,17657.227,18303.223,0.000247335,14894.191,10.525851,21896742.0,-1.9925413,6.3360977,7.488885e-09,9.816246,5.187609e-08,-7.1657414,4.7307544,5.7260413,7.5442033,4.804701,13.575072,6.6231933,2.7985218,4.8819795,11.9951935,15.4467745,8.09391,8.652298,4.5224695
0.0,0.0,0.0,0.0,0.0,-100.0,0.005814945,0.9929444,2.1205642e-05,0.60959935,0.13144307,0.2819117,0.42465603,0.59171706,0.72033376,0.76266354,0.85833055,0.90797853,0.9607431,1.0324022,1.1215702,1.1818081,1.2817605,1.2914448,1.3302534,1.3832026,1.357004,1.4337788,1.4947767,1.4325434,1.346251,1.2263392,1.056945,0.8873555,0.72540873,0.59393185,1.6077424e-09,3.715457e-09,14599.512,16724.121,17858.203,18303.223,0.00024127604,14742.395,10.504245,26995330.0,-1.8598722,5.568924,6.8810255e-09,9.664266,4.961761e-08,-4.685756,6.175026,6.4465795,8.26371,3.2591565,4.7449727,0.5693585,2.8308098,6.5627823,10.327067,14.598156,9.825162,10.83781,9.057687
0.0,0.0,0.0,0.0,0.0,-100.0,0.006097808,1.0106784,2.1093476e-05,0.54497355,0.13752785,0.30579737,0.47403327,0.7348977,0.85408527,0.782887,0.9071844,0.8830173,0.93030214,1.0259699,1.1402462,1.184882,1.4159789,1.3330544,1.3360997,1.3634406,1.2862445,1.4065303,1.5409852,1.4697901,1.3073997,1.2170366,1.0665617,0.87312955,0.7047816,0.5957745,5.3754277e-09,4.122851e-09,13680.762,16250.391,17772.07,18418.066,0.0002608073,14075.448,10.428508,32911862.0,-1.5705823,4.3023458,5.622896e-09,9.255862,4.857853e-08,-1.7813209,9.4123535,9.238,9.408511,2.2948682,-1.9394354,-6.938665,-1.574344,0.5598669,4.9852443,16.949728,13.489243,6.351408,8.866982
0.0,0.0,0.0,0.0,0.0,-100.0,0.0065606176,1.0515561,2.1904967e-05,0.47064754,0.15202802,0.36490902,0.6376884,1.0375007,1.0789951,0.8675771,0.9652278,0.84075814,0.89228755,1.0397267,1.1544007,1.1968282,1.5727715,1.4308237,1.3343636,1.3062552,1.2521604,1.3749098,1.5914078,1.5202017,1.2587947,1.2330993,1.103855,0.849366,0.6799204,0.60460275,1.36887595e-08,4.193396e-09,8972.168,15834.082,17714.648,18288.867,0.00028011113,12780.37,9.918446,44810204.0,-1.0941331,2.8016894,3.2504095e-09,8.408535,5.2529032e-08,2.0684261,15.192731,13.77475,10.272491,0.917196,-8.848838,-12.22995,-8.742276,-1.1335567,2.1687152,11.522777,15.254508,3.1652768,3.542426
0.0,0.0,0.0,0.0,0.0,-100.0,0.007037315,1.1186292,2.454941e-05,0.39115644,0.17351949,0.451924,0.9289145,1.4821151,1.3644422,1.0766253,1.0019931,0.8291266,0.8999162,1.0891501,1.1715825,1.2260511,1.665058,1.5289484,1.324583,1.2273638,1.3200817,1.3719243,1.589097,1.5640155,1.2391609,1.263868,1.1737481,0.8367357,0.66961485,0.61480206,2.3854716e-08,4.9155866e-09,4320.996,15561.328,17599.805,18303.223,0.00029384403,11986.046,9.517042,52285108.0,-0.8310785,2.092624,2.161593e-09,7.897347,5.6412954e-08,5.4188714,16.845388,13.6024275,9.9196615,-1.6860509,-8.760211,-16.112059,-10.1991625,-1.6468602,3.7946389,12.988149,14.88108,3.5263329,1.5802679
0.0,0.0,0.0,0.0,0.0,-100.0,0.007710706,1.2059879,2.8077098e-05,0.313807,0.20091867,0.5934944,1.2890291,1.9129671,1.6523396,1.4229633,1.0504843,0.8982752,0.9761875,1.2064732,1.2586703,1.3846315,1.6801262,1.5966334,1.3211071,1.1572509,1.3899912,1.3703476,1.5767936,1.5589024,1.2469753,1.2737528,1.1968937,0.8292113,0.6790388,0.63222814,4.3578734e-08,7.039708e-09,373.2422,13092.1875,17413.184,18145.312,0.00032203956,10450.008,8.786636,61836990.0,-0.40164518,1.4084724,-2.7894993e-09,6.8707805,6.4608656e-08,10.378324,17.727236,9.109313,11.293366,2.5963993,-7.8790817,-20.141565,-8.925117,1.175664,5.938244,8.575713,9.646205,1.1392921,1.4533726
0.0,0.0,0.0,0.0,0.0,-100.0,0.008644832,1.3142437,3.1399773e-05,0.24162258,0.23184729,0.7588634,1.586445,2.2908094,1.9852792,1.8200773,1.2300558,1.0825553,1.1356441,1.4043671,1.4975685,1.748415,1.7006563,1.5767361,1.3373815,1.1371393,1.4077142,1.3705524,1.5531211,1.4929024,1.2774987,1.2303337,1.1607925,0.8295006,0.68726546,0.6368109,9.550138e-08,1.0493474e-08,344.53125,8110.84,15044.531,17858.203,0.00034377945,8298.239,7.9603086,58257636.0,0.16287254,1.7402897,-1.3655705e-08,5.4869533,8.13564e-08,14.932277,15.849792,4.149192,8.3439455,3.6281092,-6.103283,-22.174295,-10.87006,3.6161356,8.355446,8.885421,5.3486156,4.185306,5.9956055
