F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005554896,0.98834115,1.0603463e-05,0.92630386,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.724963e-10,3.636903e-09,8871.68,14700.0,17140.43,18446.777,4.2474785e-05,12686.366,20.61754,35846704.0,-0.7749565,2.4538453,8.661892e-10,8.439537,1.2535142e-08,-4.961865,-1.4686593,-3.4355943,1.6085796,1.1034184,6.0404105,-2.891557,8.361888,0.99895126,-0.6188224,2.6098337,3.0614078,3.8879726,8.857855
0.0,0.0,0.0,0.0,0.0,-100.0,0.00535495,0.98834115,9.80757e-06,0.9300831,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.9966593e-10,3.2203407e-09,8383.594,14341.113,17154.785,18518.555,8.1863334e-05,12600.21,22.64255,35498256.0,-0.69626975,2.3427067,7.092021e-10,8.380799,1.1013003e-08,-6.479689,-0.85631174,-0.86240417,-0.5757458,3.1090071,3.3577116,-2.8748333,9.935001,3.9092844,3.7117527,-2.7483685,-0.8910122,-0.8524335,9.060181
0.0,0.0,0.0,0.0,0.0,-100.0,0.004979899,0.98834115,9.112967e-06,0.9337365,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.705423e-10,2.4186073e-09,7708.8867,14154.492,17183.496,18489.844,0.00011541049,12399.772,27.771194,36203020.0,-0.63276196,2.200568,4.4894877e-10,8.248861,8.370645e-09,-6.4013996,2.8606758,3.0569065,-1.2145203,1.2904048,-3.1865635,-4.002908,6.3023877,4.325506,6.5335965,-3.9186637,-2.5917542,-4.93319,4.6649733
0.0,0.0,0.0,0.0,0.0,-100.0,0.0048043258,0.98834115,8.400631e-06,0.936382,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0604045e-10,2.007339e-09,8211.328,14656.934,17614.16,18575.977,0.00010555576,12806.242,28.531525,36102570.0,-0.6840506,2.270312,5.82593e-10,8.459708,7.903089e-09,-7.5523486,3.8693125,1.6292311,1.105225,7.152842,-1.8787155,-4.165463,3.9134846,2.9399908,0.8383846,-2.6093302,2.3672137,-1.3911057,1.5642062
0.0,0.0,0.0,0.0,0.0,-100.0,0.0045738,0.9723759,7.92847e-06,0.9303351,0.13060196,0.27517125,0.42569163,0.5449922,0.6491647,0.72300196,0.8102181,0.89220905,1.0038639,1.0422226,1.0545536,1.1200837,1.2141348,1.2459697,1.2813381,1.3442383,1.3868319,1.4433155,1.4276985,1.400282,1.3453041,1.1981152,1.0813948,0.91379815,0.73463464,0.59294254,3.981043e-10,1.6897926e-09,7665.8203,14097.07,17556.738,18489.844,0.000100651836,12400.191,34.138035,37502828.0,-0.5888544,2.1510525,3.967312e-10,8.20658,6.0427734e-09,-6.6644835,5.989884,2.9616807,2.6139596,5.194712,1.9461727,-1.855196,1.3389429,1.6461719,-3.4698284,-0.56533736,4.393776,-0.6766493,-0.94594216
0.0,0.0,0.0,0.0,0.0,-100.0,0.0047891573,0.95966053,7.888378e-06,0.91698164,0.13664067,0.28818443,0.43059218,0.5339825,0.6774998,0.70138425,0.76708966,0.8731393,1.0573636,1.0630523,1.0138661,1.0515746,1.2127104,1.1987327,1.2363687,1.3495985,1.3749737,1.4606309,1.4033594,1.3543743,1.3091435,1.1236186,1.0788072,0.9293116,0.73575616,0.5894167,6.710275e-10,2.13896e-09,7924.2188,14355.469,17628.516,18489.844,0.00010564132,12465.108,30.633677,38416024.0,-0.6359159,2.1806135,5.0130144e-10,8.240405,7.2732873e-09,-5.6449533,4.129348,2.6785553,0.6433261,3.9540844,7.462805,-2.6150138,2.259436,5.495714,2.9387448,4.5619946,6.4936843,2.1223547,-0.17530966
0.0,0.0,0.0,0.0,0.0,-100.0,0.0046152393,0.9510949,8.145565e-06,0.8878811,0.14567837,0.30814084,0.4284426,0.5222041,0.73187906,0.66998416,0.7287216,0.8844044,1.1336244,1.1136966,0.98657894,1.0012759,1.2214447,1.1500965,1.1995445,1.3982382,1.3911551,1.4854499,1.3627974,1.3133099,1.2415723,1.0246235,1.0517979,0.9271757,0.72528106,0.581348,7.399046e-10,1.9822595e-09,7019.824,13494.141,17255.273,18375.0,0.00010759922,11819.328,35.005642,39992704.0,-0.49302077,2.0069268,2.6667932e-10,7.867075,6.3493424e-09,-3.591994,3.999737,4.262132,3.510784,1.7078654,8.151437,-1.7699846,-1.163526,2.0203488,2.469344,3.0384586,5.4261284,5.091355,0.9636306
0.0,0.0,0.0,0.0,0.0,-100.0,0.0048795776,0.9645961,8.4034755e-06,0.8481986,0.1510687,0.34679112,0.4289244,0.5428835,0.8563743,0.6915423,0.731541,0.92964005,1.2162417,1.1725365,1.018114,1.0225493,1.2680734,1.1434556,1.2237471,1.5171732,1.435754,1.4784826,1.3150135,1.2922591,1.1728501,0.95477825,0.9876898,0.9033231,0.7098038,0.56888676,9.635654e-10,2.367494e-09,7077.246,14412.891,17269.629,18561.621,0.00010388321,12106.066,30.50498,41640950.0,-0.62252873,2.061443,3.8195158e-10,8.028576,7.385617e-09,-1.4561523,2.7494938,1.604098,4.3564205,1.3283533,2.196886,-5.2075953,-2.4253995,0.8697314,4.1713786,3.9581318,6.6487617,9.063466,-2.5578399
0.0,0.0,0.0,0.0,0.0,-100.0,0.005080716,0.9970624,9.105804e-06,0.79793406,0.15297137,0.38297105,0.45278963,0.61220795,1.0188111,0.7372365,0.78508264,1.0041877,1.2868084,1.2377268,1.0707091,1.1102656,1.3634458,1.1996131,1.2756095,1.6260358,1.4494351,1.4190865,1.2627693,1.2963637,1.1430411,0.94372815,0.9376891,0.8862664,0.7068982,0.5618693,1.9636885e-09,2.341887e-09,6144.1406,14685.645,17154.785,18575.977,0.000109706714,11895.403,29.032003,44583404.0,-0.5883191,1.9311067,3.4768624e-10,7.8815246,8.778419e-09,0.08037162,4.3900094,0.40964532,4.150446,-0.93874645,-2.4419723,-4.6486974,-0.4040184,-2.9417114,-0.11874644,0.66275215,3.853267,8.17929,0.074641384
0.0,0.0,0.0,0.0,0.0,-100.0,0.00565077,1.0473834,1.051822e-05,0.7307885,0.1539415,0.42339563,0.5244164,0.733457,1.1245103,0.8419361,0.90723944,1.1080838,1.3233256,1.3066155,1.1584146,1.2011943,1.5078464,1.3147502,1.3427941,1.6602551,1.4246044,1.3291752,1.2555542,1.3179802,1.1668609,0.98346835,0.9321113,0.8954849,0.72551745,0.5690365,2.92228e-09,3.3153704e-09,6704.004,15704.883,17484.96,18633.398,0.00012361069,12352.329,21.53419,45956052.0,-0.73786443,2.0312362,6.8575295e-10,8.137142,1.2746874e-08,1.8644215,5.1157384,-1.1887386,2.3748596,-0.17367172,-5.3926272,-7.06411,3.6006577,-1.6478807,0.13194649,-0.114844166,-1.78012,0.41695246,-1.764123
