F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058293846,0.98834115,3.30474e-05,0.62761396,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.6770543e-10,3.939452e-09,13666.406,15546.973,16996.875,18202.734,0.00013445682,14541.177,8.465133,17239354.0,-2.097348,7.7013106,1.6300561e-08,9.755441,1.1223068e-07,-7.3940635,4.9451323,9.887631,9.480866,5.830408,8.038786,10.201844,12.562907,15.786522,13.462456,3.7875454,11.096317,7.9785905,7.0267296
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058226087,0.98834115,3.1714022e-05,0.6195515,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.7336274e-10,3.8188626e-09,13336.23,15302.93,16996.875,18245.8,0.0002623115,14332.981,8.6207285,18332702.0,-1.9477979,7.0743203,1.3852297e-08,9.635591,1.03102764e-07,-8.116624,5.912348,9.941079,9.665944,3.18311,5.6310925,9.174132,11.973351,13.894837,11.603631,3.7760296,12.243289,10.212548,8.749246
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059232735,0.98834115,2.974702e-05,0.60922146,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5959822e-10,3.954892e-09,12891.211,14872.266,16480.078,17958.691,0.00036726217,13897.426,8.753247,19001726.0,-1.7931336,6.427423,1.0905975e-08,9.410342,9.324958e-08,-8.781169,6.634969,8.776701,10.224991,4.438888,5.8633037,7.1057973,8.796501,12.179761,11.446286,5.5770917,10.298548,11.401074,10.186618
0.0,0.0,0.0,0.0,0.0,-100.0,0.005964488,0.98834115,2.8950664e-05,0.6033006,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.829215e-10,3.959403e-09,12747.656,14929.6875,16594.922,17958.691,0.0003397242,13823.536,8.864067,20792834.0,-1.7313646,5.847895,9.097142e-09,9.346008,8.4171766e-08,-8.18374,4.9213505,4.416649,8.570565,4.3965096,11.264361,13.466976,8.409244,11.145504,16.64491,9.512273,8.951136,10.186301,8.47184
0.0,0.0,0.0,0.0,0.0,-100.0,0.005913172,0.9893434,3.0273462e-05,0.6033006,0.13117884,0.27265558,0.41172835,0.5349881,0.66644627,0.80488247,0.8731737,0.9439257,1.029466,1.096553,1.123238,1.1716796,1.1865486,1.2603462,1.3208498,1.360761,1.4089279,1.4151906,1.4504734,1.4085513,1.3350824,1.2328281,1.0558487,0.90103894,0.7309297,0.5956337,5.530132e-10,3.7258143e-09,12862.5,15159.375,16824.61,17958.691,0.00033758357,13985.2,8.675384,20891766.0,-1.8171221,6.1207547,1.1279037e-08,9.426585,9.2003255e-08,-6.923513,4.750074,0.27111068,7.547196,6.9563165,14.058002,13.632176,10.524741,16.00741,17.369827,11.862614,9.089747,7.8979893,6.7825336
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057732225,0.9900171,3.2491447e-05,0.60531616,0.13489042,0.28319207,0.4193451,0.51530665,0.6637066,0.88677454,0.9228619,0.9837877,1.1284524,1.144486,1.1438327,1.1805758,1.1563581,1.264957,1.2964,1.315643,1.3928834,1.3401728,1.4546366,1.3739225,1.2835063,1.2149938,1.0274719,0.89987516,0.71670705,0.59570503,7.3970013e-10,3.3049457e-09,13120.898,15747.949,17571.094,18260.156,0.00036371328,14470.663,8.462846,20833982.0,-1.9335781,6.5515866,1.500276e-08,9.664449,1.06711035e-07,-4.686481,5.941101,1.0375911,7.022736,3.6435223,12.85513,15.388709,14.802915,13.066795,12.600411,9.710761,9.40685,6.224523,4.4034386
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056908727,0.98641133,3.332017e-05,0.61085916,0.13915451,0.2896105,0.43515864,0.5010016,0.68021035,0.98138,0.9622035,1.0250854,1.2414423,1.1452436,1.1568507,1.1738251,1.126182,1.2925458,1.2449678,1.2473879,1.3549131,1.2530079,1.4904537,1.3513321,1.215772,1.1862208,0.98707414,0.8750493,0.69525963,0.595361,7.484795e-10,3.2788927e-09,12833.789,15647.461,17542.383,18159.668,0.0003853347,14337.714,8.4426,21103078.0,-1.8425403,6.2484317,1.4808308e-08,9.593341,1.0968294e-07,-4.786953,7.2563186,3.5783885,5.8017287,4.5006537,10.364116,8.484794,16.065718,11.98843,11.548329,10.744701,11.809072,7.0981293,8.882448
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057616034,0.9803048,3.3509106e-05,0.61350465,0.14123563,0.29566047,0.46885487,0.51959306,0.69613963,0.9901983,0.95550424,1.0314027,1.2740752,1.079542,1.1427814,1.1542422,1.1248139,1.3339502,1.1780969,1.1912147,1.3281611,1.2168545,1.573881,1.3711334,1.1916629,1.1565962,0.97612286,0.8357725,0.67063665,0.5897973,6.221262e-10,3.5484369e-09,12718.945,15575.684,17585.45,18087.89,0.00036965797,14323.31,8.400551,20364102.0,-1.7988182,6.192009,1.4773267e-08,9.594169,1.124365e-07,-5.4579616,6.3433404,5.0458293,6.3490987,6.9659023,11.996778,9.024463,12.807495,9.083174,8.044511,8.722522,10.887215,8.015576,9.6013975
0.0,0.0,0.0,0.0,0.0,-100.0,0.005773118,0.9760086,3.41967e-05,0.617032,0.14127639,0.2874353,0.4852843,0.53910303,0.71092147,0.92455536,0.8939077,1.0183864,1.2579414,1.0251464,1.1209782,1.1418929,1.1363401,1.3593103,1.1269232,1.1718543,1.3154672,1.254548,1.6370529,1.4333816,1.2181398,1.1376157,1.0016999,0.80067396,0.6560401,0.58034587,5.098319e-10,3.6870327e-09,12862.5,15575.684,17599.805,18130.957,0.0003619408,14319.526,8.333779,20116930.0,-1.8105354,6.2868805,1.5806707e-08,9.597,1.2252723e-07,-6.6337223,5.4233756,4.1666937,5.68442,9.807769,12.164327,6.80102,12.110489,12.307529,8.959716,11.715031,16.291344,11.89452,10.264515
0.0,0.0,0.0,0.0,0.0,-100.0,0.005657369,0.9725513,3.478414e-05,0.6175359,0.14013726,0.27847126,0.4825318,0.53742075,0.72391367,0.84489137,0.8227046,1.0088441,1.2339045,1.0676345,1.1033617,1.1558971,1.1570747,1.317147,1.0830327,1.1487316,1.3127977,1.3008806,1.6266217,1.4492089,1.2799236,1.1328148,1.0588232,0.8013475,0.65235543,0.56586146,5.621123e-10,3.1700083e-09,13120.898,15733.594,17657.227,18174.023,0.0003800098,14520.603,8.356664,18679190.0,-1.9603577,7.026388,1.7251763e-08,9.721314,1.2622623e-07,-5.3482556,7.116986,1.9270376,5.5859585,11.230205,11.743213,10.495374,8.064067,11.931401,9.077188,9.827291,16.70603,11.500396,4.3671355
