F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005647702,0.98834115,4.608853e-05,0.59019905,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.2434155e-10,2.900298e-09,13766.895,15647.461,16910.742,18159.668,0.00018452626,14668.458,7.7268085,15573717.0,-2.3382452,9.072003,3.280557e-08,9.851595,2.283786e-07,-5.1937513,9.921102,7.002624,8.933777,4.402661,9.971766,14.63914,14.546521,18.50585,13.074581,14.361313,5.518166,0.33180967,2.5865424
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055581513,0.98834115,4.3972144e-05,0.58616775,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.1757083e-10,2.9715723e-09,13364.941,15389.0625,16939.453,18217.09,0.00035917145,14415.555,7.7963524,17129436.0,-2.1397774,8.122058,2.6939189e-08,9.706114,2.0396767e-07,-6.6369224,8.075314,6.740134,8.803205,5.5009227,11.499878,17.299515,13.816321,15.606487,14.002308,15.327167,10.91101,2.442963,4.1559205
0.0,0.0,0.0,0.0,0.0,-100.0,0.00563574,0.98834115,4.083251e-05,0.5762157,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.52945e-10,3.2530736e-09,12805.078,14958.398,16537.5,17944.336,0.00050822203,13949.663,7.818916,18333830.0,-1.9314607,7.127088,2.0573045e-08,9.461208,1.834336e-07,-7.877205,5.7794385,6.4565835,7.9861856,8.06623,12.889165,17.179117,15.047528,11.101875,16.697893,17.105936,15.257319,6.7539926,6.5882277
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056942008,0.98834115,3.923761e-05,0.5724364,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6724598e-10,3.4085585e-09,12647.168,14872.266,16637.988,17901.27,0.00046638973,13834.895,7.878245,19995082.0,-1.8355389,6.373133,1.6212569e-08,9.378809,1.5358593e-07,-7.1131663,5.796861,5.741509,9.680814,10.023385,13.959778,14.392072,14.152619,8.372735,11.937039,14.437217,12.656838,8.479366,7.6648846
0.0,0.0,0.0,0.0,0.0,-100.0,0.005795714,0.99340874,4.071363e-05,0.5762157,0.13011388,0.275121,0.4234523,0.55779415,0.6684045,0.7459716,0.842725,0.925657,0.9872852,1.055287,1.1522597,1.2081107,1.2576925,1.2803836,1.3117143,1.3848375,1.4123201,1.4585762,1.4715089,1.4318348,1.3419895,1.2073215,1.0599406,0.89926773,0.74228793,0.59676796,3.414351e-10,3.7116574e-09,12805.078,15001.465,16752.832,17843.848,0.0004613955,13988.215,7.833549,19256648.0,-1.9645916,6.897436,2.0138605e-08,9.466035,1.6611256e-07,-6.9442115,4.3905673,4.042099,11.387471,13.073021,16.447603,9.639907,14.775191,12.1633,13.273711,14.306534,11.408142,10.641761,9.3304
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057218815,1.0005785,4.39587e-05,0.58591586,0.13231795,0.28576687,0.41327438,0.54190755,0.6768182,0.732001,0.843414,0.9282749,0.9754145,1.0602437,1.2306436,1.3055843,1.3283176,1.2726029,1.297129,1.3943745,1.3786883,1.4649802,1.4999824,1.408357,1.3436867,1.1726446,1.049828,0.92122793,0.7527218,0.6048381,3.1996975e-10,3.5000933e-09,13393.652,15561.328,17456.25,18188.379,0.00048785788,14544.5205,7.7694416,18601458.0,-2.1583345,7.740618,2.8477311e-08,9.742366,1.9263764e-07,-7.384546,4.914238,3.3073893,13.518799,13.315465,14.830422,11.952957,18.028059,19.156927,15.725293,15.007362,9.844634,8.865689,8.570591
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057048746,1.0041941,4.4743443e-05,0.5920887,0.13520919,0.30686364,0.40579507,0.5062451,0.6750695,0.7172182,0.86147267,0.9528765,0.963182,1.0265099,1.2965537,1.4143367,1.4058961,1.256709,1.2832793,1.3833057,1.3539077,1.4723824,1.507713,1.361025,1.322344,1.1275803,1.0455854,0.95948094,0.7614172,0.6070892,2.7812733e-10,3.4614e-09,13120.898,15446.484,17484.96,18145.312,0.00052969594,14428.386,7.792843,19631298.0,-2.0807445,7.361777,2.8035965e-08,9.670094,1.9331253e-07,-7.0308022,4.6245494,4.494129,14.5977745,12.089223,16.191353,16.84381,20.432726,22.860739,11.3226595,11.104073,7.57233,8.779879,7.661073
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057263174,1.0022637,4.341966e-05,0.58528596,0.13744655,0.32821465,0.3846282,0.4661826,0.65318924,0.7343576,0.88963467,0.9815533,0.9341089,0.95220774,1.2879888,1.4637121,1.46497,1.2367995,1.2828016,1.3381203,1.3755385,1.4782171,1.4831901,1.3172177,1.3202296,1.1272038,1.0605226,1.0024811,0.756639,0.6017041,2.9520453e-10,3.2811027e-09,12991.699,15317.285,17685.938,18174.023,0.0004915342,14365.614,7.7911525,20153010.0,-1.9502305,6.8469605,2.655007e-08,9.62682,1.8938009e-07,-7.5501876,5.8615913,4.5623612,12.371734,12.942218,14.287956,19.451082,23.227438,24.105118,10.2008,6.5329022,8.777086,9.882444,5.9037495
0.0,0.0,0.0,0.0,0.0,-100.0,0.005785573,0.9998695,4.2693555e-05,0.5806249,0.13655245,0.34736538,0.3881688,0.45196152,0.61577827,0.7534125,0.8978799,1.0427676,0.9234073,0.8763795,1.2351586,1.4321032,1.4727931,1.2270545,1.2510477,1.2881012,1.4517975,1.4795151,1.4500402,1.345563,1.3222895,1.1696991,1.0864414,1.021554,0.7476682,0.58210784,2.7829342e-10,3.4795107e-09,13063.477,15618.75,17729.004,18188.379,0.00048105963,14497.831,7.764506,19847312.0,-1.9648838,6.967406,2.466597e-08,9.687266,1.803585e-07,-7.274259,6.1404967,6.0268974,9.642129,15.35349,16.576048,16.993567,18.659517,19.821306,6.106867,3.1455762,7.316044,11.660072,5.1173387
0.0,0.0,0.0,0.0,0.0,-100.0,0.005739432,0.9998086,4.2951087e-05,0.57306623,0.13288851,0.34727088,0.40442133,0.47807145,0.5966597,0.765825,0.8675441,1.0771085,0.92811126,0.8420891,1.1737684,1.3537868,1.4552807,1.231589,1.2042027,1.2608007,1.5409864,1.4671551,1.4355692,1.3973588,1.3504843,1.2435578,1.1188039,1.0206951,0.74378556,0.5572093,3.2247596e-10,3.3077623e-09,13494.141,15776.66,17743.36,18217.09,0.00049046555,14779.371,7.71809,17076766.0,-2.1727555,8.317353,2.8670618e-08,9.867864,1.9453621e-07,-8.021526,6.996594,6.7021422,9.780441,13.1235075,9.671233,17.17497,14.44354,18.388885,8.583212,8.116561,12.550034,12.527913,4.25222
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056680995,0.99680036,4.3683875e-05,0.5656336,0.12868138,0.33175206,0.42288676,0.51058626,0.6339596,0.7803912,0.8200398,1.0416725,0.9289815,0.842443,1.1363736,1.2646507,1.3778862,1.2404715,1.1633829,1.2671571,1.6004664,1.4470596,1.4633818,1.4147664,1.3732595,1.2946554,1.1503371,1.0084027,0.739948,0.5332149,3.827161e-10,3.3617151e-09,13881.738,15905.859,17671.582,18245.8,0.00052659935,14907.602,7.7186637,16878422.0,-2.3001215,8.773904,2.9879903e-08,9.935094,1.9898421e-07,-7.2172585,7.034412,8.114373,8.631458,9.711366,10.397972,15.301782,11.023883,20.44091,10.668491,13.294033,12.40594,10.146398,5.1542745
0.0,0.0,0.0,0.0,0.0,-100.0,0.005625492,0.9903586,4.137156e-05,0.5566893,0.12722981,0.30704406,0.43181726,0.5388027,0.69283295,0.7712381,0.7998051,0.9603757,0.9275511,0.865104,1.1334922,1.1940099,1.2800249,1.280323,1.1783863,1.3030478,1.6134931,1.4155043,1.4998182,1.3727627,1.3600968,1.295309,1.1616619,0.98834896,0.7290551,0.5221887,3.505611e-10,3.3640475e-09,13551.5625,15188.086,17183.496,18073.535,0.00050328695,14416.046,7.8867517,18399938.0,-2.1701906,7.953893,2.4486317e-08,9.688492,1.6981373e-07,-7.275191,6.184912,6.7579575,10.427617,9.523423,10.43591,16.42747,12.423801,17.621002,13.318966,14.715566,13.478639,8.406636,8.7910185
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057467245,0.9875603,3.8557908e-05,0.5522802,0.12892433,0.28204858,0.42517766,0.5495592,0.75032353,0.78090024,0.83814365,0.88337517,0.92129177,0.9241497,1.1987563,1.1655532,1.1841308,1.2799988,1.213041,1.3317882,1.6175637,1.4183673,1.5182656,1.341236,1.333043,1.2560753,1.1300939,0.95655316,0.7132253,0.53498244,4.717204e-10,3.9533283e-09,13465.43,15015.82,16767.188,17987.402,0.00044482003,14038.906,8.072918,21995930.0,-2.0045412,6.5467,1.7922007e-08,9.45096,1.3150392e-07,-6.3806853,5.0403504,5.16323,6.5407386,9.860942,17.341093,9.781356,11.579503,20.199472,21.123203,14.491994,9.417172,6.72361,7.474163
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059623853,1.0007921,3.7842412e-05,0.56248426,0.1317332,0.26736093,0.4342785,0.5635179,0.7975328,0.82071096,0.8959489,0.8780916,0.96371335,1.0467511,1.3135175,1.2010747,1.1368451,1.2285905,1.2467455,1.3562784,1.6088055,1.4461347,1.5233135,1.3921986,1.3073196,1.2093359,1.0741047,0.91815966,0.6980655,0.5604697,8.4343926e-10,4.253437e-09,13293.164,15231.152,16724.121,17929.98,0.00043351416,13987.151,8.080432,23369794.0,-1.9513716,6.114383,1.628198e-08,9.403827,1.259901e-07,-5.044454,5.00016,2.9993985,5.3952465,10.7667055,15.09574,7.788077,9.443389,15.612493,20.800228,16.515558,10.405496,9.246681,7.453602
0.0,0.0,0.0,0.0,0.0,-100.0,0.005974488,1.021954,3.926641e-05,0.57659364,0.13389911,0.2581559,0.45583704,0.6023239,0.8616333,0.9198143,0.93475336,0.9204832,1.0370926,1.1668903,1.3636464,1.2479229,1.1832476,1.1345224,1.2684191,1.3424095,1.6015273,1.4736671,1.4806261,1.4641857,1.3098987,1.1996456,1.0372161,0.89960575,0.6948126,0.5785725,1.1373674e-09,3.9143777e-09,13551.5625,15575.684,17025.586,17973.047,0.00044301595,14154.335,7.9891243,23724464.0,-1.9969893,6.2112637,1.826074e-08,9.4773245,1.4516439e-07,-3.666583,6.892977,2.5466797,2.5797188,7.2149334,10.532847,7.6187053,8.651276,19.181501,18.482962,15.480113,15.551251,13.791607,4.34041
