F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010599443,0.98834115,6.8507444e-07,0.9989922,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3207143e-12,9.905358e-12,3689.3555,7364.3555,11039.355,13250.098,3.4833981e-06,7364.3555,8.632051e-06,27011146.0,-6.620725e-08,1.1999938,-3.3598732e-19,4.8872433,1.9154238e-18,-1.2890254,1.6138581,-1.4170855,0.88208586,-0.33648375,0.03544901,-0.024844484,0.16572826,-0.27462295,0.25834754,-0.14950435,0.041939884,-0.00052578753,0.020695807
0.0,0.0,0.0,0.0,0.0,-100.0,0.001046955,0.98834115,3.4253722e-07,0.99899215,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.6035713e-13,4.952679e-12,1866.2109,3703.711,5541.211,6646.582,3.4833981e-06,3682.1777,8.632051e-06,13505573.0,-3.3103625e-08,0.5999969,-1.6799366e-19,2.4436216,9.577119e-19,-0.6445127,0.80692905,-0.70854276,0.44104293,-0.16824187,0.017724505,-0.012422242,0.08286413,-0.13731147,0.12917377,-0.074752174,0.020969942,-0.00026289377,0.010347904
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99886626,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,3.4833981e-06,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99823636,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.984001,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010434963,0.99007225,3.4253722e-07,0.9463341,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.4342805,1.3630542,1.2387905,1.0769267,0.90433955,0.74266046,0.6024082,6.049341e-13,4.5370058e-12,1880.5664,3718.0664,5555.5664,6646.582,3.3340164e-06,3682.1777,8.632051e-06,13505573.0,1.4738518e-08,0.599997,7.1048566e-20,2.4436204,6.956964e-19,-0.50914377,0.67416024,-0.6582667,0.49444354,-0.27324843,0.09188184,-0.006308278,0.012602241,-0.0635493,0.105012126,-0.10740275,0.07502404,-0.032938983,0.005009414
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012405663,1.0231462,8.2695806e-07,0.88158226,0.12947999,0.2726561,0.42115104,0.55843896,0.675252,0.7739994,0.8577235,0.93153816,0.9990111,1.0629951,1.1255803,1.1871374,1.2485566,1.3082123,1.3660069,1.4198979,1.467178,1.5016793,1.5147629,1.495974,1.4292358,1.3059872,1.1412727,0.9636037,0.79559165,0.648874,4.0353567e-12,2.9786316e-11,3703.711,7378.711,11068.066,13250.098,7.946973e-06,7364.3555,90.48089,26986526.0,-1.1397572e-08,1.199992,-1.93251e-19,4.887548,2.5357023e-12,-3.4908931,0.699312,-1.3411487,0.5396938,-0.5986654,0.15077503,-0.18311025,0.06924179,-0.15952863,0.16332014,-0.14503922,0.18663077,0.0106121125,0.09439888
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015926171,1.1272038,1.5120326e-06,0.7947846,0.13036047,0.2806269,0.43260792,0.5783293,0.7028826,0.8080699,0.9011683,0.9842933,1.0629315,1.1334071,1.209155,1.2806531,1.3543707,1.4271641,1.4976982,1.5648488,1.6264205,1.6725959,1.6975459,1.6869761,1.6257125,1.4980687,1.3199934,1.1243387,0.93648463,0.7705903,1.1422227e-11,8.403044e-11,5541.211,11039.355,16580.566,19824.902,1.3535918e-05,11046.995,163.30165,40421744.0,-0.0020403473,1.8000154,6.9679382e-15,7.333346,1.8381602e-10,-6.5032234,0.5291231,-2.3915203,0.31371546,-1.3831044,-0.1985426,-0.91434187,-0.4545535,-0.9696576,-0.4616857,-0.8350536,-0.31907296,-0.55804724,-0.37823787
0.0,0.0,0.0,0.0,0.0,-100.0,0.0035394763,1.4520206,4.5604406e-06,0.6934996,0.15071188,0.3396472,0.5196753,0.70556754,0.86684895,1.0181527,1.148019,1.2990731,1.3864018,1.4912072,1.5574554,1.636529,1.7144127,1.8390452,1.9279537,2.082764,2.1652572,2.1479185,2.141411,2.1585958,2.072486,1.9206213,1.6894941,1.4926577,1.2452011,1.0354277,1.160911e-09,3.1360818e-09,3947.754,7766.3086,14872.266,19121.484,6.256969e-05,9245.222,171.53522,43199180.0,0.34646454,1.9985934,-7.2227135e-10,6.1633897,2.6657796e-09,-2.923422,-2.5936434,-5.3504615,-0.6362302,-4.7932043,4.034158,2.0043662,-2.7908733,-2.1947024,0.90188193,-1.8192497,-1.7926415,1.4369165,-2.177582
0.0,0.0,0.0,0.0,0.0,-100.0,0.006112999,2.1824758,1.0289082e-05,0.5789872,0.2226791,0.5303593,0.87019396,1.1816763,1.4321018,1.6857435,2.0219734,2.3510125,2.381308,2.4841988,2.4420319,2.491458,2.4743435,2.7536583,2.894149,3.0990772,3.2221394,3.107359,2.9767218,3.0623035,2.8814514,2.6560888,2.2447805,2.079459,1.7439085,1.454189,1.8427746e-08,7.0697097e-09,2210.7422,4320.996,9646.875,16207.324,0.00014525566,6364.478,84.46768,37424836.0,1.1845584,4.0345654,-5.6161578e-09,4.309651,1.6659088e-08,5.9035645,-1.3580275,-7.876883,-6.2957573,-7.0766106,4.1239185,0.8130369,-2.8831732,-8.356011,-3.1022146,-4.2706723,-3.8422797,0.23193185,-0.8900016
