F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0035261225,0.98834115,4.5517227e-06,0.9879063,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3274486e-10,8.836248e-10,5813.965,12101.66,16882.031,19078.418,1.6826758e-05,11367.129,80.28162,40468836.0,-0.23241992,1.7895975,3.2330867e-11,7.568312,2.101468e-09,-7.257113,-3.0979478,-4.4210744,0.8940862,-1.2541305,1.4215599,-1.1034621,-2.2668257,-0.8462963,0.38397646,-1.2634054,-4.564529,-0.57062966,-0.5906703
0.0,0.0,0.0,0.0,0.0,-100.0,0.0033659227,0.98834115,4.3086607e-06,0.989166,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.0297752e-10,8.180738e-10,5584.2773,12876.855,16623.633,18690.82,3.0203593e-05,11529.929,88.41668,38816464.0,-0.359538,1.8495331,3.6287414e-11,7.6872315,1.8534808e-09,-8.190235,-4.0483813,-0.045398396,-0.07956433,-1.3196965,-2.5448964,-0.6563403,-1.5894078,0.73110646,1.9238963,0.6803023,-4.141133,-0.14814861,0.7698638
0.0,0.0,0.0,0.0,0.0,-100.0,0.0029152294,0.98834115,3.7665698e-06,0.9901738,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.62261e-11,5.810398e-10,6416.8945,13551.5625,16925.098,19049.707,4.374346e-05,12054.548,110.67901,37207876.0,-0.4475979,1.9943117,4.36761e-11,8.007144,1.2616814e-09,-8.835021,-3.042764,1.7671591,0.5029424,-3.208128,-6.1541142,1.01744,1.8283421,-0.86884254,2.6587055,4.358289,0.031929493,4.7956185,5.0153008
0.0,0.0,0.0,0.0,0.0,-100.0,0.0025988359,0.98834115,2.9475443e-06,0.9875283,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.610259e-11,4.00571e-10,6718.3594,13207.031,17140.43,19566.504,3.705241e-05,12126.45,135.63782,37363828.0,-0.37378243,2.0053132,4.7319672e-11,8.025018,8.528506e-10,-10.150808,-1.584787,1.613789,1.3206832,-0.91181415,-3.0629148,4.1359406,7.8900948,2.941108,4.971888,4.0476713,0.76185733,3.9823897,4.7640347
0.0,0.0,0.0,0.0,0.0,-100.0,0.0018926958,0.9133771,1.6209036e-06,0.9829932,0.12393003,0.26329955,0.3930842,0.50972444,0.62917227,0.7209889,0.7914174,0.8629325,0.9278908,0.96441,1.0199558,1.077741,1.1172982,1.1774215,1.2039021,1.2553835,1.3009841,1.3245775,1.3436432,1.3151331,1.2466432,1.1356568,0.98505634,0.8231961,0.6789067,0.555455,1.6590283e-11,1.5570169e-10,4809.082,8441.016,11642.285,13508.496,3.8043996e-05,8092.1797,104.03425,25463306.0,-0.16736722,1.3454725,2.5538904e-11,5.338648,3.0304642e-10,-6.7661843,-0.09980675,-1.1139098,1.5302358,-0.88337237,-0.204827,4.38606,7.4422507,1.4681271,2.675395,2.6086578,2.0029852,4.4459157,4.437241
0.0,0.0,0.0,0.0,0.0,-100.0,0.002004508,0.815053,1.4995602e-06,0.97304106,0.11665389,0.25327942,0.36074686,0.44636747,0.5695131,0.657228,0.7015745,0.787864,0.89576006,0.8955825,0.91803074,0.95940226,0.97472316,1.0382693,1.0518552,1.0896829,1.131679,1.1835953,1.1833272,1.1484407,1.094481,1.0069302,0.87362736,0.7332142,0.6109242,0.5086236,1.1030929e-11,2.078158e-10,3675.0,7493.5547,11111.133,13293.164,4.171346e-05,7389.2017,105.456474,26893056.0,-0.0012403553,1.2014233,6.9359595e-13,4.902307,2.8134448e-10,-7.58433,-0.5988317,-1.2579881,1.72479,3.4936783,5.849111,4.95248,2.5353034,-0.072010994,3.0956306,5.9689612,3.491746,-1.1282555,-0.032214165
0.0,0.0,0.0,0.0,0.0,-100.0,0.0022483098,0.7409374,2.3185855e-06,0.95767194,0.11179885,0.25791886,0.3517512,0.39910066,0.53427476,0.62019455,0.6189172,0.7257948,0.9242533,0.8703138,0.86215717,0.86246854,0.8449502,0.8995903,0.92655486,0.9401276,0.9933772,1.1147228,1.0402247,1.0053579,0.97962445,0.90834063,0.77081066,0.6612138,0.56291586,0.47761703,6.3133755e-11,2.7943145e-10,3818.5547,7464.8438,11096.777,12905.566,4.3962238e-05,7364.7163,81.71622,26789704.0,-0.04125329,1.2127166,-2.0620283e-13,4.902336,6.805892e-10,-5.675068,1.4591565,-0.6668082,1.2415823,1.2816827,4.4255404,-1.0258819,-2.1167529,-4.8744054,4.4002876,5.4299903,5.6950817,1.207877,-1.608508
0.0,0.0,0.0,0.0,0.0,-100.0,0.0031065217,0.803916,4.194739e-06,0.9251701,0.12044302,0.2936152,0.41316804,0.44606972,0.6085666,0.68850774,0.62823015,0.7737414,1.1402763,1.0017352,0.9514158,0.90871286,0.883714,0.9241975,1.007574,0.9801424,1.0496451,1.2902092,1.0617757,1.0710125,1.0453005,0.9789183,0.789615,0.7112196,0.6114177,0.52259237,1.15953046e-10,6.2139555e-10,5254.1016,11513.086,16494.434,18977.93,4.5397348e-05,10964.714,108.174255,40309572.0,-0.1397735,1.7960186,-6.7559938e-12,7.328369,1.3067302e-09,-6.7576847,0.60116786,-1.473383,0.8252222,0.8860867,5.912132,0.7664283,-1.2682322,-6.6339703,2.9371605,6.6971583,8.914214,2.978439,-2.7952757
0.0,0.0,0.0,0.0,0.0,-100.0,0.0038242564,1.0201447,5.285789e-06,0.88259006,0.15356132,0.38993835,0.5730633,0.604979,0.8239038,0.88023704,0.823211,1.0161033,1.5837597,1.2910489,1.196519,1.1535625,1.1481308,1.1803068,1.2608045,1.1842064,1.3041866,1.6302227,1.2411793,1.3368078,1.2819706,1.2285877,0.91834927,0.8874934,0.7627825,0.66884834,3.995988e-10,1.1606457e-09,3847.2656,11340.82,16580.566,18446.777,5.7010155e-05,10574.97,73.28271,45024940.0,-0.18592405,1.6445421,-9.267803e-11,7.077245,2.7208904e-09,-0.97557354,1.9527383,-4.658061,2.3857768,-0.71911985,3.1664565,0.5915756,4.569856,-7.642854,-2.6409929,-2.400872,6.966145,4.9545712,-2.9669487
0.0,0.0,0.0,0.0,0.0,-100.0,0.0044621355,1.2979535,6.271233e-06,0.8279164,0.21151362,0.53753525,0.82291937,0.89109784,1.1682464,1.1288604,1.2615136,1.4576937,2.139064,1.6795983,1.5137426,1.5305389,1.5236864,1.5272549,1.5425822,1.4299651,1.5953096,1.9203634,1.454863,1.6018509,1.4853922,1.490126,1.0472099,1.0624288,0.9047494,0.81868356,1.2072946e-09,1.7864729e-09,2138.9648,11182.91,16523.145,18073.535,7.339438e-05,9899.606,49.551056,49974532.0,-0.15755866,1.4552943,-2.7691274e-10,6.6474824,4.260343e-09,3.7487962,1.8090924,-5.5149326,1.9242014,0.560565,5.6515846,2.4408953,3.2306015,-7.4077415,-4.2806263,-1.6820761,7.040729,3.4273472,1.8831139
