F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056946035,0.98834115,2.4575971e-05,0.6936256,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.4806447e-10,3.4191732e-09,13350.586,15647.461,16996.875,18188.379,9.846271e-05,14522.352,9.617925,17011406.0,-1.9280733,7.0155206,9.1927355e-09,9.73711,6.353721e-08,-8.143063,3.0822146,1.4495703,6.698914,6.154612,11.167087,9.995446,7.4461656,6.5499077,3.151161,7.3138423,8.75098,6.1530385,10.181603
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057272487,0.98834115,2.3892833e-05,0.6906021,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.61984e-10,3.5153827e-09,13207.031,15460.84,16853.32,18231.445,0.00020348986,14372.185,9.708763,17565358.0,-1.867298,6.751396,8.232376e-09,9.657287,6.1058046e-08,-7.724417,2.236676,0.74175096,5.4228463,4.060423,9.894252,9.998826,7.081178,6.9018993,4.728788,6.4691315,6.571413,9.63971,11.140579
0.0,0.0,0.0,0.0,0.0,-100.0,0.005635163,0.98834115,2.279474e-05,0.6874528,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.473538e-10,3.4242742e-09,12848.145,15116.309,16451.367,18217.09,0.0002812729,13989.417,10.042922,19001710.0,-1.7119585,6.114702,6.578207e-09,9.447576,5.5357077e-08,-6.713522,3.0940564,2.3903954,7.686238,3.0611258,9.292811,11.515976,3.3865979,7.713255,7.9634666,0.9349801,6.432203,9.451957,7.211954
0.0,0.0,0.0,0.0,0.0,-100.0,0.005726911,0.98834115,2.216088e-05,0.68568915,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.2971205e-10,3.3152947e-09,12503.613,14987.109,16781.543,18245.8,0.00026810105,13802.169,10.254161,21780906.0,-1.5701842,5.2754674,5.463724e-09,9.308146,5.0353908e-08,-5.994141,5.215063,2.1893437,7.7408347,0.2650449,7.345862,13.926235,6.564915,11.207492,10.080669,-0.78897256,6.7251244,7.515363,8.682584
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056014066,0.98650914,2.2634953e-05,0.68430334,0.1301079,0.28471503,0.42062357,0.5481979,0.6857752,0.77377963,0.8404266,0.8986729,0.9769725,1.0356327,1.0874127,1.1537077,1.227682,1.2760376,1.3172041,1.37821,1.3789371,1.4289303,1.4781097,1.4047648,1.3519646,1.2503139,1.0868062,0.88974077,0.7396923,0.6048172,4.4209678e-10,3.0603644e-09,12575.391,15245.508,17341.406,18288.867,0.0002528757,14131.75,10.099944,21641218.0,-1.5923611,5.385086,6.561248e-09,9.461175,5.4030618e-08,-6.411718,6.096885,2.972678,10.439665,3.5713227,7.3788567,12.891517,7.978083,10.892343,8.48953,-0.5592101,10.000122,3.3085852,5.9326806
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056848954,0.983974,2.318834e-05,0.68342155,0.13296227,0.30175576,0.41621068,0.5238603,0.6763737,0.79544616,0.8249278,0.8568969,0.99307513,1.016938,1.0755944,1.1558911,1.2609113,1.3030479,1.2875537,1.37041,1.3208095,1.4023708,1.5462142,1.3848621,1.3436466,1.2678561,1.1033889,0.8706264,0.737408,0.61428434,4.3302653e-10,3.2850467e-09,12661.523,15661.816,18001.758,18389.355,0.00027841018,14374.161,9.890709,23773712.0,-1.6261377,5.25318,7.3887034e-09,9.546824,6.0094834e-08,-6.8310075,3.924796,2.2712297,8.623052,5.8662567,8.585183,12.574218,15.602414,13.439659,7.6477466,3.2839127,8.947706,3.3793185,7.420482
0.0,0.0,0.0,0.0,0.0,-100.0,0.005601466,0.9848607,2.3085362e-05,0.6790123,0.1354727,0.30374065,0.4067997,0.49315283,0.6732178,0.8251043,0.78925866,0.8068035,1.0404145,1.0131936,1.0873886,1.1706392,1.2923844,1.3492562,1.2491306,1.3680719,1.2357765,1.3605257,1.6575152,1.4289271,1.3336192,1.2687548,1.1208068,0.8453286,0.7311327,0.6199629,4.5353188e-10,3.370338e-09,12905.566,15948.926,17815.137,18375.0,0.00028093634,14522.172,10.023972,23111806.0,-1.6948671,5.487202,7.52502e-09,9.628431,5.8391134e-08,-6.986281,3.041565,2.244175,8.913987,8.303362,7.638993,7.6190915,9.782506,7.746323,10.548443,10.90329,10.559096,5.2827716,7.3486953
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057717487,0.9907872,2.2398757e-05,0.6743512,0.13713722,0.28884888,0.40336713,0.47955716,0.6806431,0.83665633,0.75561494,0.77656597,1.1253802,1.0305427,1.1187162,1.1992508,1.3113642,1.374679,1.2253491,1.3661844,1.1846124,1.3402262,1.7234488,1.5560929,1.3427505,1.2393986,1.1251612,0.8151236,0.71202725,0.61176765,5.782546e-10,3.5006336e-09,13077.832,16121.191,17743.36,18360.645,0.00027149162,14435.255,10.221032,24459846.0,-1.7126561,5.326532,7.0687016e-09,9.567487,5.490813e-08,-5.8927593,3.4347413,2.0285256,5.665049,7.050877,7.28002,8.464879,12.334663,7.9448104,10.522833,7.184501,10.688954,9.21788,9.883881
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057708696,1.001427,2.1910766e-05,0.66250944,0.13633709,0.28231052,0.41515526,0.5198943,0.7883504,0.8694841,0.72339433,0.7812741,1.1755352,1.0380187,1.1322957,1.2111212,1.2945764,1.3214498,1.2092795,1.3750205,1.172361,1.3310803,1.7085541,1.7168436,1.3722876,1.217818,1.1346797,0.7995002,0.7005095,0.6099717,1.5268778e-09,3.0089995e-09,13221.387,16279.102,17757.715,18303.223,0.00025503445,14539.293,10.486019,23633846.0,-1.7426214,5.4644012,6.875929e-09,9.627065,5.035942e-08,-4.859714,8.260288,3.6801355,3.7588005,3.4686444,1.508196,0.73670894,5.37392,4.788671,13.653053,8.717174,13.4825945,13.152538,9.292443
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058891643,1.0126361,2.1584456e-05,0.64562863,0.13535613,0.30398452,0.445485,0.6157367,0.93924505,0.911571,0.70220894,0.7918455,1.1669217,1.0401603,1.1058868,1.2009357,1.2622296,1.2322161,1.1939867,1.3672795,1.2077756,1.3256084,1.6527494,1.8105782,1.4354397,1.2279958,1.1429986,0.80030745,0.69711214,0.6129214,1.7533246e-09,3.102543e-09,13364.941,16207.324,17772.07,18288.867,0.0002481423,14383.008,10.559579,26588602.0,-1.6979653,5.052652,6.4650094e-09,9.505665,4.7647557e-08,-3.8802826,9.384505,5.881493,3.410649,3.7643187,0.2761904,0.4154992,5.153645,4.5808473,12.902649,6.7376246,12.039246,12.629956,7.1250453
