F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015071258,0.98834115,1.4532624e-06,0.99697655,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.0531409e-11,7.9140104e-11,5526.8555,11053.711,16566.21,19867.969,9.0836365e-06,11053.66,68.12207,40414308.0,-1.6748673e-06,1.7999921,1.2413059e-13,7.3362045,2.0587733e-10,-6.2310348,2.129659,-1.7275699,-0.42200425,-1.3254429,0.020913282,-1.0222449,-0.7277727,-1.174061,-0.53999645,-0.9539301,-0.6403097,-0.7919438,-0.6800336
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014634077,0.98834115,1.3113789e-06,0.9940791,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.6230255e-12,7.230519e-11,5526.8555,11053.711,16551.855,19867.969,1.9933454e-05,11053.661,68.12208,40465668.0,-9.252795e-07,1.8000008,1.2413264e-13,7.335565,1.9329659e-10,-4.696611,0.936691,-1.3939486,-0.4266819,-1.1099919,-0.27234086,-0.92784786,-0.72780013,-1.0750177,-0.67497706,-0.9056818,-0.6446505,-0.7568765,-0.72370476
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014196895,0.98834115,8.2695806e-07,0.9875283,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.5526525e-12,6.425537e-11,3703.711,7393.0664,11039.355,13264.453,2.165872e-05,7371.4844,68.12208,27011462.0,-1.7569162e-07,1.2000126,1.2413468e-13,4.8913045,1.8071582e-10,-3.1621866,-0.25627705,-1.0603272,-0.43135962,-0.8945407,-0.56559503,-0.8334508,-0.72782755,-0.9759745,-0.8099577,-0.8574335,-0.6489914,-0.7218094,-0.76737595
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012009579,0.98834115,6.8507444e-07,0.9671202,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.993063e-12,2.2447974e-11,3689.3555,7364.3555,11039.355,13250.098,1.9787642e-05,7364.3555,89.80041,27011146.0,-3.9473522e-09,1.199994,-1.2761286e-19,4.887242,3.6501475e-18,-2.9437459,0.083513536,-0.6089967,0.13243029,-0.2293214,0.15762101,-0.08355823,0.1410559,-0.020075558,0.13550684,0.011341038,0.10785533,0.020112487,0.059351236
0.0,0.0,0.0,0.0,0.0,-100.0,0.0017782813,1.0177594,1.3113789e-06,0.92076087,0.13740079,0.27848762,0.4327722,0.5765576,0.702699,0.79795814,0.87831384,0.9501252,1.026678,1.0805813,1.1376325,1.2051598,1.2380241,1.3085046,1.3395218,1.396545,1.424757,1.4744996,1.495721,1.4819247,1.4131641,1.284964,1.1127293,0.92674416,0.7515554,0.6087238,5.008589e-11,1.282953e-10,3459.668,7866.797,11010.645,12776.367,2.1004997e-05,7270.74,134.10023,27035496.0,-0.089174815,1.1937412,-3.4778378e-12,4.8581767,2.123939e-10,-3.7967052,1.3706878,-2.665724,-1.9888606,2.1852648,-1.990068,-0.2651365,0.35996714,-0.029730998,0.846039,1.5983075,1.5733503,0.7588403,1.1250405
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023317626,1.1637826,2.8810816e-06,0.8367347,0.15829569,0.30958328,0.48871383,0.66733956,0.8279953,0.9199683,0.99713284,1.057171,1.1606469,1.2462786,1.3120956,1.3996667,1.3510698,1.498888,1.5124067,1.5518938,1.5742073,1.6854059,1.6971422,1.7380959,1.643597,1.524068,1.3048826,1.0764407,0.85935813,0.6960027,9.5316706e-11,2.716719e-10,4766.0156,11900.684,16365.234,18906.152,2.8262439e-05,10832.349,183.0122,41018264.0,-0.16890065,1.7659006,-7.295922e-12,7.250406,3.9444292e-10,-4.7868733,1.3191868,-1.6669258,-2.0405595,1.491366,-4.1191826,-2.9598668,-2.1875012,-0.01617411,3.5751412,4.0239086,0.7183652,-2.1427367,1.6156564
0.0,0.0,0.0,0.0,0.0,-100.0,0.00322982,1.4840409,4.5937677e-06,0.7229781,0.21210271,0.4086078,0.6511752,0.90960765,1.1341281,1.2160534,1.2762184,1.2942985,1.4248368,1.5621492,1.6695999,1.8061438,1.6593932,1.9702379,1.9707623,1.9051987,1.9275388,2.1921284,2.1540806,2.221631,2.0686197,1.9887575,1.6769549,1.3657163,1.0657047,0.8534172,5.800782e-10,7.489358e-10,3316.1133,12273.926,16365.234,18375.0,4.744188e-05,10421.386,108.99301,45623292.0,-0.23641692,1.6107515,-7.369422e-11,6.991652,1.3285787e-09,0.12995403,2.7528489,2.805832,-0.3891867,0.27721485,-8.3555155,-2.828633,-1.1505098,1.9053761,-0.1628952,5.111619,2.1548893,-4.74097,2.3746397
0.0,0.0,0.0,0.0,0.0,-100.0,0.004457023,1.9940304,7.2822236e-06,0.5975057,0.31776786,0.6298303,1.0312892,1.3921213,1.6806997,1.7055439,1.7860705,1.7722028,1.8794283,2.047633,2.2298822,2.4414318,2.2992394,2.7210188,2.7648456,2.484448,2.5122626,2.9845352,2.8275058,2.8764298,2.6086648,2.5660398,2.1293745,1.7251114,1.3573593,1.0740603,2.5600126e-09,2.2202882e-09,1837.5,10465.137,16307.8125,18303.223,7.653531e-05,9644.112,71.61985,51862416.0,-0.08956081,1.4474545,-5.1001275e-10,6.4503484,5.3921814e-09,3.5612938,3.073848,4.9539375,3.3818939,-2.1100469,-5.773302,-4.1665053,0.21889813,-1.5748569,-5.12272,-0.2868112,0.67440814,-3.602644,2.4485137
0.0,0.0,0.0,0.0,0.0,-100.0,0.0063639563,2.6370099,1.1772623e-05,0.47014365,0.4936881,1.043806,1.7420484,2.1155093,2.4062212,2.3648562,2.6206982,2.621761,2.4765284,2.54997,2.8438063,3.202612,3.359292,3.599541,3.8281195,3.2978108,3.3165805,3.815281,3.5463893,3.4777305,3.1602726,3.046302,2.5276368,2.083915,1.695398,1.3264923,8.572395e-09,4.9208384e-09,588.5742,6617.871,14341.113,17843.848,0.00013224615,7688.0464,26.506935,53703500.0,0.3668389,1.7313155,-3.2499212e-09,5.1491036,1.381363e-08,8.601306,6.083196,5.8297553,6.0542755,-4.9913707,-5.1806493,1.727657,6.0305657,-2.0330627,-10.553,-9.604766,-3.840006,1.2595798,1.6282496
0.0,0.0,0.0,0.0,0.0,-100.0,0.0087043615,3.4696598,2.0213804e-05,0.3542454,0.75443405,1.7962885,2.9360523,3.220925,3.4324305,3.2383487,3.7907498,3.9063327,3.2723217,3.1112309,3.4273899,4.0458393,4.991575,4.554333,4.89315,4.3511143,4.389467,4.695315,4.4501004,4.115456,3.8951433,3.508751,2.9414997,2.5709896,2.1985624,1.7233663,3.576466e-08,1.1478278e-08,258.39844,2655.7617,9216.211,15532.617,0.000220377,5258.5737,12.900857,43452172.0,1.1499659,3.4366424,-1.4022256e-08,3.5630815,4.090776e-08,9.431472,10.303298,7.1295495,7.662685,-7.901957,-3.308073,-4.0610166,5.570088,-4.617045,-13.610703,-13.308486,-3.6941097,4.0047946,-3.0817337
