F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99722856,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9906778,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9696397,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9329806,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016153209,1.0576043,1.1865837e-06,0.8767951,0.1405981,0.29483864,0.45631012,0.608434,0.74072784,0.84856683,0.9289882,1.0033827,1.0757307,1.1335027,1.1978525,1.2676096,1.3096993,1.3383274,1.3422953,1.4003721,1.5043644,1.5510116,1.5567304,1.5566138,1.4584984,1.3092179,1.1235936,0.94006795,0.7848959,0.62547827,1.3253865e-10,1.4105837e-10,330.17578,3588.8672,5785.254,6230.2734,1.7731041e-05,3176.8643,45.434223,21018050.0,0.006872335,0.4179373,-1.8032608e-11,2.0802948,6.5693374e-11,2.4372575,1.368291,-2.1939888,-4.2294273,3.331252,0.44535288,-6.215858,2.338889,3.3944314,-0.73892003,-1.5152124,2.0708103,2.5036135,-2.6868582
0.0,0.0,0.0,0.0,0.0,-100.0,0.0026071507,1.2971305,3.4327504e-06,0.8020912,0.17900854,0.36920118,0.58559585,0.7880959,0.9868605,1.1350771,1.200635,1.2894672,1.3911253,1.4316133,1.5104502,1.6175267,1.6043224,1.5650855,1.4761974,1.5562834,1.8010238,1.8871354,1.8788123,1.9573854,1.7947048,1.5899115,1.3353659,1.108923,0.953317,0.73226714,5.1786264e-10,5.075977e-10,602.9297,6258.9844,11068.066,12417.48,3.2555337e-05,6052.9585,69.34244,39288100.0,0.076813124,0.8999384,-9.206233e-11,4.0027204,8.332262e-10,4.1730676,2.5089676,-3.445749,-7.2183013,4.3537664,-0.7652605,-7.5765395,1.7127618,4.873018,0.08681258,-1.5419226,2.527625,3.9215794,-3.3001459
0.0,0.0,0.0,0.0,0.0,-100.0,0.0044916724,1.8770102,7.3682036e-06,0.7157974,0.27549624,0.54544026,0.9197183,1.2102952,1.6750116,1.9335613,1.839996,1.989151,2.2690642,2.2130804,2.254283,2.5122359,2.2746332,2.0967557,1.9070368,2.0000374,2.489467,2.6365013,2.5960546,2.7702036,2.506587,2.2137372,1.8243294,1.5224017,1.332625,0.9945609,5.399356e-09,3.2046152e-09,746.4844,6574.8047,14987.109,18389.355,8.500137e-05,7855.9316,75.83502,56477820.0,0.41416025,1.6535822,-1.1666162e-09,5.2270393,6.4325096e-09,8.223739,3.0439422,-7.428343,-9.251134,3.4884596,-0.1432482,-10.208549,-0.21924019,6.790913,2.7753522,1.5301241,5.6610565,5.4358063,-4.44495
0.0,0.0,0.0,0.0,0.0,-100.0,0.0064308704,2.8951352,1.1296791e-05,0.62055933,0.43970004,0.85744095,1.5695881,1.9658402,3.1359403,3.592467,2.8070507,3.0768032,4.044376,3.7005522,3.4425209,4.04728,3.38272,3.0955713,2.953106,2.9157162,3.7614434,3.7866726,3.7379436,3.9026859,3.5192013,3.2313955,2.675555,2.2622051,1.9359941,1.4337498,1.9729177e-08,8.31433e-09,602.9297,3186.914,10134.961,17470.605,0.00011699577,5921.2964,34.558918,47323164.0,0.9624168,2.637562,-3.8377705e-09,4.0196977,1.7665386e-08,9.560437,2.0834792,-6.487206,-5.583208,-3.2037277,-4.1977286,-5.8625827,-9.168326,2.3794653,4.6878552,9.241849,8.786115,2.8783073,-5.824291
0.0,0.0,0.0,0.0,0.0,-100.0,0.008205492,4.1025796,1.4983543e-05,0.5361552,0.61367077,1.2155528,2.3986518,2.8484027,5.204083,5.8745956,3.7349622,4.1149564,6.433232,5.5749664,4.586434,5.617019,4.6274257,4.4595637,4.798594,4.2638917,5.292635,5.065656,5.0457644,4.940017,4.4122396,4.298651,3.6133854,3.1149557,2.5593374,1.9584309,4.052696e-08,1.4474573e-08,473.73047,674.70703,5182.324,15618.75,0.00014597329,3996.6477,14.170001,38276652.0,1.6301647,4.2900176,-7.689314e-09,2.7781022,3.220458e-08,11.5960245,0.8940281,-6.1604514,-5.4007735,-9.613523,-4.9444785,-7.743168,-10.445409,-2.064813,4.596078,16.88514,14.166041,-0.236969,-8.180589
0.0,0.0,0.0,0.0,0.0,-100.0,0.009263923,5.1714144,1.8159348e-05,0.4547745,0.7376533,1.5504268,3.1979744,3.64884,7.4449525,8.295247,4.2964587,4.6983056,8.682908,7.2194343,5.4926553,6.612377,5.6621785,5.922849,6.800072,5.59078,6.698416,6.262894,6.2660594,5.6474957,4.977177,5.115916,4.3745155,3.7644818,3.0465415,2.4501555,6.6898494e-08,1.789161e-08,473.73047,516.7969,1708.3008,14714.355,0.0001469325,3299.7295,10.575419,32248666.0,1.9205046,5.188668,-1.1646102e-08,2.3339818,4.6604004e-08,11.164566,1.4682301,-3.1361437,-5.125898,-12.738868,-7.4109936,-10.8869295,-13.346242,-4.216933,5.4396286,19.457815,16.870678,-5.9345145,-10.872161
0.0,0.0,0.0,0.0,0.0,-100.0,0.009822417,5.699384,2.122931e-05,0.38586545,0.74845904,1.7149202,3.600825,4.0373616,8.866354,9.797225,4.3402944,4.6440682,9.575578,7.7672315,5.8452396,6.564916,6.1414475,6.9608073,7.915211,6.453995,7.364473,7.024586,6.953531,6.017615,5.230913,5.5836053,4.8929343,4.04192,3.259452,2.8410156,9.241679e-08,1.7841963e-08,473.73047,516.7969,1148.4375,13608.984,0.00014847537,3024.7483,8.964788,29589464.0,2.1000102,5.9773617,-1.5139094e-08,2.1528435,6.138102e-08,9.763958,3.4102201,-5.108917,-7.46373,-13.240012,-9.879121,-13.78288,-10.777574,-3.4100523,7.921346,16.736116,18.666098,-7.687835,-10.686958
0.0,0.0,0.0,0.0,0.0,-100.0,0.010204313,5.7319374,2.4359075e-05,0.3218695,0.6986921,1.7515246,3.6361694,4.0581994,9.37972,10.320582,4.160074,4.3758197,9.238843,7.322832,5.7926784,5.883154,6.0292954,7.133049,7.6101093,6.619538,7.20693,7.154415,7.027227,6.1197257,5.4105916,5.8992233,5.3837943,4.1738286,3.3120549,3.3322964,1.3106927e-07,1.4593024e-08,473.73047,516.7969,2024.1211,11857.617,0.00017404983,3037.2422,7.6271853,27787966.0,2.0639875,6.1172137,-2.062589e-08,2.1761005,8.639736e-08,8.32381,9.906849,-7.908945,-7.338943,-15.142147,-12.391388,-11.152684,-13.503245,-4.2716618,10.666011,13.810176,20.850433,-9.212635,-9.645219
0.0,0.0,0.0,0.0,0.0,-100.0,0.010657792,5.4450817,2.733378e-05,0.26581,0.6259014,1.705327,3.4618514,3.8802779,9.158166,9.989258,3.8395836,4.068456,8.122195,6.3330116,5.3117046,5.0174565,5.498326,6.5526433,6.5068016,6.335757,6.613415,6.6278896,6.5515056,5.963743,5.489489,6.2173195,6.117088,4.4057484,3.2792685,3.8999398,1.8205075e-07,1.3192365e-08,473.73047,502.4414,1737.0117,8641.992,0.00018354239,2518.6594,6.6705604,21107366.0,2.5366218,9.139466,-2.8252003e-08,1.8454305,1.1905811e-07,7.568039,14.262151,-9.281678,-7.890415,-17.04788,-15.143895,-9.445621,-16.178795,-4.866192,9.84574,12.657814,22.516565,-8.742475,-7.4798675
0.0,0.0,0.0,0.0,0.0,-100.0,0.011105816,5.0835643,3.1384465e-05,0.21869488,0.5740226,1.6738914,3.3437684,3.749472,8.782705,9.447345,3.5558865,3.799021,7.056688,5.3986645,4.5182447,4.2757483,4.7337165,5.536532,5.4679074,5.866259,5.9772925,5.8713455,5.9068255,5.4955354,5.4695973,6.5325284,6.767492,4.72711,3.2009118,4.444159,2.590768e-07,1.1424881e-08,473.73047,488.08594,1564.7461,6316.4062,0.00019828843,2092.8337,5.8164554,15803229.0,2.95562,12.129761,-3.9578037e-08,1.5733589,1.5998792e-07,7.846129,19.37999,-6.9349403,-8.719581,-20.328848,-15.534016,-9.011022,-21.14736,-5.7781386,11.506493,9.257648,23.43221,-11.822356,-8.209943
0.0,0.0,0.0,0.0,0.0,-100.0,0.011766531,4.763595,3.710654e-05,0.1766188,0.55343384,1.7018722,3.3692558,3.7787788,8.4326315,8.957817,3.328519,3.5307522,5.9313526,4.6175904,3.9061491,3.7990296,4.004492,4.7986946,4.933044,5.424989,5.607662,5.365776,5.2633576,4.8980117,5.2921176,6.7878184,7.025366,4.8588653,3.0983076,4.587789,3.90306e-07,1.2341695e-08,473.73047,473.73047,516.7969,3962.1094,0.00021204575,1540.874,5.015255,11335731.0,3.7608929,17.967756,-5.79014e-08,1.2027599,2.217876e-07,9.410535,19.616411,-4.135651,-6.6118054,-21.35347,-21.10116,-9.2381935,-21.904879,-0.98959297,14.99252,6.3819604,20.473612,-15.58838,-7.128
0.0,0.0,0.0,0.0,0.0,-100.0,0.012463175,4.484255,4.4637116e-05,0.1447468,0.5483282,1.716247,3.414488,3.8875716,8.160525,8.658175,3.2845345,3.3616912,4.9332657,4.0286446,3.608867,3.5311244,3.434061,4.475264,4.7708416,4.956537,5.287136,5.1448264,4.7334766,4.411196,5.0137486,6.858065,6.57987,4.5898194,2.9062386,4.2960963,6.4940133e-07,1.3653391e-08,473.73047,473.73047,516.7969,2268.164,0.00025943387,1235.1925,4.1866403,8299931.5,4.8813014,30.300375,-9.3094236e-08,1.005102,3.4570405e-07,11.714592,19.943073,-4.734404,-8.963847,-23.218893,-23.391344,-9.780136,-17.93695,-3.779291,16.527071,7.250294,20.94922,-19.193682,-5.642158
0.0,0.0,0.0,0.0,0.0,-100.0,0.013092252,4.231785,5.288777e-05,0.11426052,0.55080146,1.69971,3.373932,3.944337,7.987619,8.531476,3.3575306,3.3494196,4.2144995,3.6771336,3.7026255,3.3604631,3.1108854,4.5438466,4.8063016,4.459842,4.8816566,4.8661084,4.2184334,4.070067,4.598789,6.602654,5.6566586,4.0539293,2.6698895,3.7377987,9.3071594e-07,1.7669826e-08,473.73047,473.73047,516.7969,588.5742,0.00025680746,951.7215,3.5026414,5641862.5,6.256874,46.504864,-1.3152003e-07,0.82153416,4.957253e-07,14.582141,17.72429,-7.547746,-7.943363,-22.778616,-25.397697,-9.771027,-14.481862,-5.898806,16.611343,12.953235,20.024248,-19.03342,-6.5901227
0.0,0.0,0.0,0.0,0.0,-100.0,0.013785616,4.015184,6.059861e-05,0.091206856,0.5422728,1.6353525,3.2095964,3.8410118,7.816477,8.416574,3.4569416,3.424906,3.9417756,3.5744686,3.9392395,3.260844,3.13603,4.7671227,4.9376206,4.046502,4.4817595,4.446177,3.8243096,3.950606,4.1800437,5.9211464,4.6333117,3.4525573,2.4433343,3.1148088,1.1755207e-06,2.1836856e-08,473.73047,473.73047,516.7969,516.7969,0.00026078385,794.7573,3.0900915,3934172.8,7.331966,60.52852,-1.6595736e-07,0.7207685,6.2464704e-07,16.095633,15.0329485,-6.8847084,-8.091903,-23.576612,-24.796957,-11.552677,-12.096086,-7.787478,15.937701,14.861824,17.664461,-15.283765,-12.128993
0.0,0.0,0.0,0.0,0.0,-100.0,0.014372508,3.8185968,6.6602246e-05,0.07407408,0.5174702,1.5874053,3.0187037,3.5806992,7.4990096,8.126046,3.4540737,3.4251041,3.9813995,3.6234572,4.079926,3.2216756,3.3920205,4.8340697,5.0340796,3.9063091,4.120995,3.9914913,3.5306947,3.8484814,3.8570492,5.031119,3.7742634,2.9629908,2.2911859,2.5937986,1.3521552e-06,2.7445859e-08,473.73047,473.73047,516.7969,516.7969,0.000236131,744.5784,2.9598505,3451017.8,8.059218,72.33316,-1.9246824e-07,0.68636113,7.29545e-07,17.41388,12.702825,-6.531383,-4.4197397,-23.238571,-25.61188,-12.060533,-12.892139,-7.7588444,16.930813,13.541415,13.781045,-13.303505,-14.845553
0.0,0.0,0.0,0.0,0.0,-100.0,0.017171446,3.7304394,0.00012906636,0.063995965,0.52625865,1.6418673,2.996538,3.4221485,7.008394,7.652079,3.45638,3.458122,4.11934,3.757061,4.1208453,3.385101,3.8169975,4.8283176,5.1244154,4.103491,3.931326,3.7798283,3.402735,3.8388443,3.7076638,4.2626004,3.4086354,2.7612102,2.2503083,2.2309194,2.0819446e-06,4.814107e-08,401.95312,473.73047,516.7969,516.7969,0.0005339089,718.2698,3.1836834,3163240.8,7.880173,70.970116,-3.1691783e-07,0.6592246,1.0714615e-06,18.530718,15.629211,-5.421055,-2.5965192,-20.52892,-23.612204,-8.155418,-13.211995,-6.236956,9.57907,13.026272,11.283364,-10.757567,-10.391383
0.0,0.0,0.0,0.0,0.0,-100.0,0.023914881,3.8489444,0.00029217982,0.058956917,0.6937577,2.1035824,3.505973,3.8332434,6.5094166,7.1773887,3.657943,3.8199883,4.4024773,3.981879,4.074329,3.7271287,4.139926,4.7212768,5.1537876,4.391817,3.799897,3.8043358,3.5418408,3.926842,3.7666197,4.0919695,3.7201111,3.0001194,2.310394,2.216512,9.003012e-06,6.446974e-08,287.10938,373.2422,416.3086,430.66406,0.0038886063,536.765,3.0529168,2022124.5,11.580444,184.96948,-6.2233516e-06,0.5016369,9.649409e-06,22.420145,26.717958,-3.5019429,2.4745963,-10.659791,-17.853922,-1.251469,-14.396645,-7.153375,2.1430101,8.437103,11.63763,-13.799693,-0.8743108
0.0,0.0,0.0,0.0,0.0,-100.0,0.028046377,4.168274,0.0004703123,0.057823125,1.2875499,3.34865,4.555692,4.973179,6.0180497,6.565382,3.9945958,4.456161,4.7037997,4.169094,4.0131316,4.044939,4.2628016,4.5908766,5.0351467,4.5448537,3.69989,3.9193642,3.861246,4.1361837,4.020729,4.6737742,4.7618003,3.6913357,2.4586837,2.5882218,1.0156841e-05,6.68067e-08,157.91016,258.39844,287.10938,315.8203,0.006175458,355.7686,2.7213488,1135977.8,15.8168,338.61868,-1.2623903e-05,0.3349253,2.0478908e-05,23.829391,38.647217,3.8513908,10.450462,0.9789718,-11.51975,7.830706,-11.879883,-4.4554625,1.2359995,3.899667,15.787274,-11.85867,5.577555
0.0,0.0,0.0,0.0,0.0,-100.0,0.028935717,4.5166044,0.0005153795,0.07067271,2.432736,5.3128257,5.755495,6.2334228,5.43157,5.8013997,4.127806,4.8449073,4.7797704,4.135158,3.8879783,4.1095943,4.1776605,4.3045373,4.801783,4.480945,3.5712826,3.9524508,4.199922,4.364109,4.4305263,5.7417407,6.160154,4.5749497,2.6399548,3.1790378,1.0124668e-05,5.4306046e-08,100.48828,143.55469,172.26562,215.33203,0.00808113,202.8205,2.426933,444241.1,17.248793,370.26328,-1.409608e-05,0.19808291,2.154962e-05,23.672928,45.214603,9.164254,18.39638,9.010239,-9.394776,11.586761,-10.432208,-4.6776195,6.5347157,2.777404,16.252747,-13.762927,7.4821076
