F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0022795617,0.98834115,2.3631571e-06,0.99420506,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.1800518e-11,2.4161612e-10,4981.3477,11757.129,16408.3,19078.418,8.2198285e-06,10906.485,195.39696,40177804.0,-0.1333951,1.7667418,-3.7305337e-12,7.2924466,3.8189282e-10,-6.3694897,-2.0407002,-2.071038,-1.801515,-0.7413049,-2.371767,-1.0486478,-1.8375133,-0.487076,-0.7324235,0.333317,1.5200768,2.9868977,3.3810432
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023239844,0.98834115,2.2091901e-06,0.99458295,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.549657e-11,2.6568583e-10,5612.9883,12345.703,16752.832,19322.46,1.765431e-05,11371.4375,175.94688,39590076.0,-0.22143881,1.8122033,9.94324e-12,7.57489,4.1676917e-10,-7.041117,-1.8248557,-0.895132,-0.5040602,2.1627786,2.831586,4.0802975,-0.14212506,-4.119498,-5.021781,0.55359054,3.6022158,-0.07166958,-1.5667826
0.0,0.0,0.0,0.0,0.0,-100.0,0.001993697,0.98834115,2.1360854e-06,0.99483496,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.6514839e-11,2.1706019e-10,7493.5547,13766.895,17513.672,19710.059,2.7607615e-05,12604.524,195.00179,35138588.0,-0.4362383,2.1066287,1.7142584e-11,8.327549,3.304348e-10,-5.595881,-0.26968718,-0.8433251,0.47148958,2.4914672,3.5410511,4.5672355,0.6737583,-4.2751555,-4.6325326,0.049746055,2.6144803,-1.64323,-3.4498308
0.0,0.0,0.0,0.0,0.0,-100.0,0.001979279,0.98834115,2.2169472e-06,0.99458295,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.8846066e-11,1.8460851e-10,8469.727,13006.055,17929.98,20112.012,3.0949086e-05,12717.192,189.78587,35188460.0,-0.35000956,2.1387308,2.0007994e-11,8.374948,4.2997947e-10,-6.6226153,1.9234957,-4.7521544,3.5158634,-0.7858903,5.0165615,3.003946,0.93706274,-5.193981,-5.035141,-0.5699088,2.3789976,-2.4156303,-4.2086277
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019375617,0.9803384,2.2169475e-06,0.9934492,0.124866135,0.26032007,0.42077813,0.55147505,0.6575241,0.77989864,0.8265001,0.9069937,0.956227,1.02942,1.0876603,1.1637136,1.2044783,1.2460915,1.3055032,1.3710779,1.3916383,1.4236637,1.4449224,1.4066986,1.3476874,1.221666,1.0756887,0.9081239,0.7569836,0.619196,3.597926e-11,1.6621503e-10,7809.375,12302.637,17556.738,19911.035,3.0511632e-05,12258.942,208.84538,35858300.0,-0.2573434,2.0933073,6.443846e-12,8.094448,4.0713397e-10,-6.336405,0.9643245,-5.552543,1.9804312,-3.9517365,-0.15065265,-2.6148875,-1.133907,-2.6157782,-1.7720189,-2.204644,-1.3174571,-1.7604507,-1.6550918
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023296704,0.99769586,2.0443028e-06,0.9900479,0.12173069,0.24851143,0.4211154,0.5547776,0.67633134,0.86090976,0.836361,0.9053176,0.91939515,1.0454941,1.1249561,1.2216498,1.2399894,1.2437621,1.3102497,1.456402,1.388792,1.435524,1.4985514,1.3943192,1.3780719,1.2210895,1.0984269,0.9191615,0.77864665,0.6405551,4.9069904e-11,2.5152633e-10,5455.078,11182.91,16523.145,19135.84,2.7751807e-05,10940.555,182.86324,40332340.0,-0.110509306,1.7869674,-2.4534565e-12,7.3120093,4.486356e-10,-6.9704795,-2.319927,-4.1344333,0.382404,-3.7164829,0.24549194,-0.84875375,1.6545485,1.7538449,2.4352114,1.1739575,-0.6933334,-4.463674,-3.942381
0.0,0.0,0.0,0.0,0.0,-100.0,0.0020841423,1.0444244,1.9634408e-06,0.9826153,0.12229488,0.24018979,0.41502503,0.5567455,0.70469946,0.96506184,0.8724143,0.91529435,0.892741,1.0975655,1.2058009,1.2963108,1.3240148,1.2914482,1.3572022,1.6141605,1.440333,1.5164009,1.6292949,1.4324322,1.4672337,1.2566781,1.1451405,0.9392281,0.80027366,0.65705043,2.9646317e-11,1.8858e-10,4852.1484,11714.0625,16192.969,19078.418,2.3019975e-05,10906.134,221.00609,40325410.0,-0.13290249,1.7819947,-2.1492862e-12,7.2912216,2.2276708e-10,-7.434738,-2.7999232,-1.5964645,-1.2621464,-1.1794707,-0.0045396783,0.911009,2.9596126,3.877371,4.7386603,2.9761133,0.20898712,-4.035567,-3.3906677
0.0,0.0,0.0,0.0,0.0,-100.0,0.0021287506,1.0815789,2.1174076e-06,0.97266316,0.12464967,0.24319361,0.39377725,0.54922247,0.73370355,1.0171843,0.91587895,0.90995646,0.8765905,1.128513,1.2760653,1.3337396,1.387076,1.3381238,1.3985821,1.7450672,1.4991035,1.6043843,1.7638069,1.4948164,1.5672722,1.3018445,1.1751174,0.9330595,0.7803442,0.62997574,2.859118e-11,1.9929786e-10,4837.793,11757.129,16149.902,19078.418,2.1431422e-05,10902.206,215.60371,40259540.0,-0.13323052,1.7822968,-2.2054912e-12,7.289369,2.754521e-10,-7.277144,-2.6457567,-1.5776587,-1.6381973,-1.2954181,-0.22670107,0.8768583,3.0268486,3.9633305,4.6847873,2.6085362,-0.45040464,-4.330903,-3.6832294
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023769208,1.1175679,2.7106996e-06,0.95704204,0.13085735,0.26145503,0.3858681,0.5571051,0.78137827,1.0230125,0.96781445,0.9123444,0.92647475,1.1526467,1.3022379,1.3653507,1.4129194,1.3709444,1.4257263,1.7823023,1.5507269,1.6752251,1.8726935,1.5912226,1.6751794,1.3782862,1.2201735,0.9457043,0.7719517,0.61716413,7.212088e-11,2.6526922e-10,4952.6367,11627.93,16221.68,19207.617,2.643909e-05,10915.846,188.9016,40422544.0,-0.12753554,1.797602,-4.025601e-12,7.2923794,4.9379006e-10,-6.487247,-0.10949564,-2.257715,-3.8662148,0.58903354,-1.6575913,-1.3934202,1.4846932,0.8686824,2.0344818,1.2186776,1.6268854,-1.270803,-2.1464012
0.0,0.0,0.0,0.0,0.0,-100.0,0.0032426522,1.1967683,3.870244e-06,0.9313429,0.14126776,0.29382756,0.42670575,0.62953806,0.92364717,1.0814357,1.0821506,0.96560353,1.0650259,1.222589,1.3321677,1.5367727,1.457614,1.4072962,1.5043026,1.7924341,1.6566402,1.7588207,1.9869345,1.7402058,1.8277394,1.5223188,1.3058916,1.0026371,0.8047913,0.6476153,3.1119532e-10,8.0424983e-10,4565.039,11814.551,16336.523,18977.93,4.2464122e-05,10864.73,118.29434,41726284.0,-0.17185026,1.7634249,-2.0530917e-11,7.2658405,1.6379066e-09,-5.0266633,-0.42206416,-3.3574116,-5.6903634,-1.3651701,-4.2354136,-3.4248734,0.90247726,2.1979046,5.040602,0.2970177,2.7134993,-0.6479317,-2.6949308
