F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005575838,0.98834115,1.750876e-05,0.6723356,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.952896e-10,2.5543512e-09,13608.984,16121.191,17614.16,18446.777,6.917335e-05,14445.414,12.146119,24713712.0,-1.6091517,4.8913207,4.5939195e-09,9.549808,3.7803307e-08,-4.714112,7.852572,1.3510627,3.6593468,1.6895932,0.4967363,6.210362,11.071551,8.001824,4.6658473,0.54981774,3.5592139,2.503465,7.721621
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057790293,0.98834115,1.7439714e-05,0.60758376,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.371728e-09,2.9221574e-09,13020.41,15776.66,17571.094,18461.133,0.00014805433,14078.9795,12.544075,27002918.0,-1.4639145,4.34276,3.8075956e-09,9.331986,3.5266158e-08,-3.5329857,7.989311,1.0628495,3.564375,2.2650497,1.7983637,3.2009916,6.089186,8.184241,3.2768486,-0.9082727,0.4537189,3.1297867,4.5303445
0.0,0.0,0.0,0.0,0.0,-100.0,0.006142533,0.98834115,1.772702e-05,0.50340134,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.6545341e-09,3.8100545e-09,12632.8125,15690.527,17398.828,18360.645,0.00022337178,13689.013,12.402677,31242416.0,-1.3412448,3.702711,3.3222294e-09,9.075574,3.5483563e-08,-2.0588896,8.47358,3.4842918,4.3657684,0.7159683,2.1804504,-0.064197384,3.388693,7.844599,2.0213013,-1.9335085,-2.4070485,0.57686776,2.123255
0.0,0.0,0.0,0.0,0.0,-100.0,0.0068557677,0.98834115,1.9489138e-05,0.39216426,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.205113e-09,5.6932605e-09,8426.66,15360.352,17312.695,18303.223,0.0002376925,12608.183,11.421718,40750468.0,-1.0140699,2.7650127,2.2651208e-09,8.376841,4.1660822e-08,2.1252267,8.85278,4.730923,5.86557,-2.5887396,0.32392073,-3.3930728,3.7126293,4.432455,-4.1986685,0.24472539,-2.2184887,1.3356816,2.26332
0.0,0.0,0.0,0.0,0.0,-100.0,0.008745869,1.0454997,2.3754632e-05,0.28420258,0.13916408,0.29079634,0.48471275,0.6477893,0.72024566,0.84177727,0.9504032,1.0534191,1.1631225,1.1336895,1.1432561,1.223606,1.3266903,1.3825558,1.4087526,1.4597335,1.4448408,1.4864813,1.4994828,1.4534379,1.3576918,1.2218715,1.0854071,0.91877836,0.7449706,0.60031086,2.7221203e-08,1.1674834e-08,4694.2383,10666.113,15862.793,18159.668,0.0002913653,9930.511,9.822078,47138196.0,-0.28545237,2.311148,-5.826101e-09,6.6210785,6.4428114e-08,6.575831,6.819286,0.29532942,4.4919553,-5.0530047,1.5457373,2.5228443,3.783191,-2.875396,-14.2525,-2.9555454,-1.4779145,3.6541297,4.944521
0.0,0.0,0.0,0.0,0.0,-100.0,0.0122490525,1.2136708,3.4415658e-05,0.19223987,0.15773028,0.33458808,0.5995577,0.84869033,0.8527596,1.0187637,1.3513662,1.537666,1.6334165,1.4048051,1.2777413,1.4466144,1.6530424,1.7304015,1.6439434,1.6568626,1.559729,1.5586743,1.5977411,1.5232214,1.4014335,1.2424005,1.1407137,0.9954343,0.76822895,0.61991566,4.7391186e-08,4.3131468e-08,818.2617,5656.0547,10522.559,16580.566,0.00044549807,6405.6855,7.99646,42921644.0,0.9109168,3.4947433,-3.412345e-08,4.3551292,1.6079838e-07,10.849594,1.7212807,-7.8626304,0.7839403,-6.884372,-0.54693526,9.700245,8.74712,-3.1789143,-21.858114,-6.41554,-3.1458597,8.080146,5.310472
0.0,0.0,0.0,0.0,0.0,-100.0,0.01755747,1.5728546,5.3270054e-05,0.127614,0.18865542,0.4167489,0.7519629,1.1342949,1.0958198,1.3571659,2.334568,2.712183,2.4826083,2.0594509,1.5835959,2.0211449,2.3162346,2.4533205,2.0978677,2.0268087,1.87147,1.6840321,1.7691263,1.7042857,1.5617851,1.3242978,1.2833003,1.1818236,0.8181136,0.6635537,8.71183e-08,1.5199451e-07,674.70703,803.90625,5124.9023,11139.844,0.0006398172,3261.0654,5.808101,28065182.0,2.3954604,8.800038,-1.1273293e-07,2.3490047,4.8323335e-07,12.4904175,-3.300164,-13.639905,-2.29477,-6.1665435,-0.08465048,19.085344,13.530647,1.5793289,-21.314371,-9.459759,-7.409822,9.316161,2.9981802
0.0,0.0,0.0,0.0,0.0,-100.0,0.023712924,2.1214597,8.2404214e-05,0.089443184,0.22466111,0.4944477,0.8494868,1.3487011,1.4325114,1.8513738,3.9292965,4.6240554,3.4957352,3.117236,2.1592824,2.9890354,3.2405312,3.53914,2.7547905,2.5240939,2.4353545,1.8963462,2.0547435,2.0689795,1.9012083,1.5353727,1.5658332,1.4859496,0.89890957,0.74087507,1.8636963e-07,3.4820644e-07,746.4844,760.83984,961.8164,5656.0547,0.00088507,1930.1615,4.41631,13576739.0,3.8609173,18.973955,-2.836563e-07,1.5025053,1.1472471e-06,12.471344,-8.040338,-16.927502,-4.936176,-5.3527617,-3.0887194,19.334166,19.630608,9.359124,-15.999181,-5.707043,-8.854133,7.980207,5.0630774
0.0,0.0,0.0,0.0,0.0,-100.0,0.030336054,2.7824593,0.00011810533,0.07420005,0.26582634,0.56781363,0.91686344,1.4757532,1.8912783,2.5536547,5.641529,6.897389,4.3583508,4.1330533,2.9619064,4.356144,4.4204664,4.6638913,3.559147,3.0317147,3.1644974,2.2754095,2.546961,2.7306736,2.4010904,1.8866094,1.9592952,1.8112574,0.99633694,0.87702537,5.1296075e-07,6.644337e-07,760.83984,775.1953,818.2617,1722.6562,0.0010374589,1407.8472,3.695303,6918511.5,5.3238297,34.136898,-6.3048714e-07,1.16385,2.5532906e-06,12.373281,-8.759062,-16.663242,-8.6633835,-4.0713224,-4.1982536,14.791181,24.856592,11.385232,-14.58844,-10.354329,-6.626412,8.704652,10.425931
0.0,0.0,0.0,0.0,0.0,-100.0,0.036765143,3.423239,0.00015964899,0.06563366,0.3127983,0.63695663,0.9829688,1.5700673,2.459154,3.4463503,6.8236394,8.956859,5.171023,4.671412,3.7779388,5.765911,5.625694,5.4217706,4.3272347,3.457744,3.9520156,2.777455,3.2423913,3.6282775,2.9461358,2.3692482,2.4423532,2.0757043,1.0833468,1.07977,1.448541e-06,1.1024845e-06,760.83984,775.1953,818.2617,1579.1016,0.0011464375,1181.7877,3.4225342,4028660.8,6.506874,50.708466,-1.155685e-06,1.0173959,4.56303e-06,12.713237,-8.141066,-16.299612,-13.201267,-5.408088,-6.5868936,13.070144,28.784266,14.716495,-13.537838,-11.737096,-0.44657525,11.223414,14.720734
