F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014875798,0.98834115,1.6710045e-06,0.90047866,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.4007875e-12,9.322548e-11,5354.59,11025.0,16695.41,19982.812,1.1119078e-05,11037.044,58.79184,40309916.0,8.234636e-06,1.7877741,-1.6929606e-13,7.332502,4.0036266e-11,-5.1792874,-0.6429291,-6.475181,1.7088199,4.259501,-5.441218,3.6600077,3.5241315,-5.9055405,6.0860705,-2.7504966,0.53322387,-0.9328783,1.8565288
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014690891,0.98834115,1.0777127e-06,0.82640463,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.6963596e-12,8.764122e-11,3545.8008,7364.3555,11182.91,13364.941,2.537984e-05,7356.022,58.791843,26823994.0,4.105142e-06,1.1889095,-1.6749091e-13,4.88887,2.7165456e-11,-4.3381586,-1.6308985,-5.737081,1.4409295,4.125567,-5.1823125,3.5628643,3.3328311,-5.4948297,5.6269417,-2.3851142,0.30326483,-0.7967803,1.7540966
0.0,0.0,0.0,0.0,0.0,-100.0,0.0018553616,0.98834115,1.5676186e-06,0.70861673,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.6308197e-11,1.5185309e-10,3919.043,7019.824,11340.82,13020.41,3.9788323e-05,7287.733,116.91482,26897672.0,-0.041328795,1.1886253,-1.8021545e-12,4.8702693,1.5908191e-10,-3.9496372,-2.1212919,-7.369269,3.9177637,2.5239031,-3.290825,2.553922,4.482029,-5.3019524,5.8197246,-1.0973209,-0.7071163,0.16351135,1.8133739
0.0,0.0,0.0,0.0,0.0,-100.0,0.0025569445,0.98834115,4.8041043e-06,0.59246665,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.7626582e-10,5.0190246e-10,2411.7188,6115.4297,10809.668,12374.414,5.7285302e-05,6482.4644,73.18408,30477254.0,0.011993565,1.1209046,-1.4209299e-10,4.3564987,1.3464239e-09,0.10067618,4.064571,-1.2429961,5.365303,0.43341652,5.7699094,1.3788949,0.6013681,-0.73830837,0.7588323,2.6199043,-0.86707324,0.66299856,-1.9038042
0.0,0.0,0.0,0.0,0.0,-100.0,0.0041961484,1.1205012,1.2086545e-05,0.47455278,0.19558688,0.3993474,0.56873125,0.7084846,0.8238767,0.91229534,0.96176594,1.0772581,1.1509875,1.1529908,1.1915547,1.2524363,1.3006331,1.3730305,1.4458942,1.5318985,1.6129669,1.693494,1.6616167,1.5844532,1.4663538,1.3385868,1.1829654,1.0252839,0.859404,0.6611323,2.7158336e-09,1.0611578e-09,2426.0742,6144.1406,10852.734,14570.801,0.00017048605,7063.22,75.53268,38205108.0,0.95907587,4.2776947,-8.0071345e-09,4.751839,4.108811e-09,4.305402,12.23051,3.060374,9.889305,3.7800713,11.082629,6.4853444,2.0092905,-2.2434046,-0.08791836,2.9693651,0.7060728,3.5250313,-0.41234827
0.0,0.0,0.0,0.0,0.0,-100.0,0.0054864474,1.4974025,2.0302461e-05,0.37540945,0.42725325,0.81926614,0.98064613,1.158205,1.239082,1.3252453,1.3076826,1.5826257,1.6317981,1.491149,1.4720942,1.5962505,1.6097778,1.7161707,1.795485,1.9283113,2.068833,2.2407858,2.1392238,2.0149288,1.8342171,1.6951942,1.5073519,1.3312825,1.1581239,0.8614834,5.34707e-09,1.9294024e-09,244.04297,2856.7383,5211.035,8814.258,0.00021440764,3946.0664,20.056036,31026978.0,2.0467534,7.463453,-1.461932e-08,2.6700704,1.544172e-08,10.228488,17.175573,7.1728764,11.50784,8.783482,13.273941,9.6596985,6.235096,-1.5070053,-0.71295047,0.60897464,4.1664066,4.854034,0.38585034
0.0,0.0,0.0,0.0,0.0,-100.0,0.0064720996,2.0563383,2.8822169e-05,0.31317714,0.92093563,1.5889057,1.5965942,1.8534937,1.8948888,1.9740677,1.8529396,2.4032307,2.3214748,2.015427,1.9051353,2.096029,2.0581436,2.1922445,2.3063624,2.466198,2.6841576,3.01581,2.8191483,2.6526058,2.4087334,2.254766,1.9167832,1.6854206,1.4940311,1.087268,7.0522934e-09,3.4137388e-09,57.421875,114.84375,129.19922,2784.961,0.0003247862,1248.7574,6.227739,16183501.0,4.0587077,20.732199,-3.9395104e-08,0.8626445,1.7453024e-08,14.234706,18.5034,10.685176,11.001082,12.923401,15.804405,12.915593,11.642503,1.2198839,4.7389636,2.8382514,6.239098,6.4073577,3.3271282
0.0,0.0,0.0,0.0,0.0,-100.0,0.0072994344,2.5701473,3.329629e-05,0.2688335,1.4670434,2.3312972,2.0937912,2.4664242,2.4872117,2.6027944,2.4374602,3.23442,2.8275337,2.5385647,2.394064,2.6322815,2.5664413,2.7352555,2.8416293,2.88782,3.1629362,3.6972091,3.4233563,3.1633518,2.9784443,2.803253,2.1940682,1.9053602,1.6969656,1.2548455,8.0051406e-09,5.9059393e-09,43.066406,86.13281,114.84375,1291.9922,0.00030262032,1139.938,5.499147,14517328.0,4.1980157,21.682343,-4.6606903e-08,0.7895751,2.0220483e-08,13.910045,14.496608,9.889257,11.767999,12.965229,13.641094,11.068272,16.029608,5.202993,6.2189765,2.385877,6.564092,0.34157467,1.6570414
0.0,0.0,0.0,0.0,0.0,-100.0,0.008001768,2.865575,3.2526284e-05,0.2426304,1.7268997,2.6662884,2.2702644,2.7293453,2.7824209,3.0217016,2.7773237,3.7010195,2.9868333,2.9833953,2.7554433,2.9196146,2.955197,3.1653519,3.2529764,3.086539,3.3846524,4.161997,3.834965,3.3935497,3.4025648,3.171838,2.3038056,2.0172298,1.7511991,1.3025287,9.975877e-09,7.2392257e-09,57.421875,86.13281,244.04297,5440.7227,0.00034992382,1533.3354,5.3500824,18535720.0,3.847911,19.851639,-4.6823374e-08,1.0512303,2.3418332e-08,11.898913,15.402092,9.4717455,10.96067,13.066814,11.698747,12.944728,11.315505,1.9673837,4.3439217,7.513725,6.9173913,-1.9007269,-1.9884491
0.0,0.0,0.0,0.0,0.0,-100.0,0.008730182,3.0046222,3.178493e-05,0.21604937,1.6312071,2.5663106,2.272556,2.753235,2.8044453,3.1972742,2.8643348,3.7783966,2.8900592,3.2785804,3.0098827,2.9835548,3.1770794,3.503454,3.5313222,3.1730196,3.4240625,4.421366,4.1429076,3.6073475,3.8292859,3.4146254,2.411029,2.2386158,1.8334173,1.3828038,1.6369972e-08,9.543425e-09,57.421875,86.13281,272.7539,6847.5586,0.00030139773,1851.7301,6.010406,21710984.0,2.8743827,10.462941,-3.5363495e-08,1.2661304,3.0009705e-08,10.262858,17.691742,7.716442,10.769058,12.464206,7.855058,6.6077213,11.749168,-3.2714388,0.7528755,6.6118283,1.5622381,-2.5926807,-3.2421865
