F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.006097716,0.98834115,2.6999214e-05,0.049634665,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.1198988e-09,3.3310714e-09,43.066406,43.066406,14312.402,16178.613,5.1089755e-05,5741.597,8.697819,50750788.0,0.64469737,1.6780858,-8.767211e-09,3.9038868,1.8541988e-08,-0.952282,10.433524,0.9567666,12.2441,12.888188,10.718488,15.642425,9.432746,10.824639,10.289384,5.7632966,6.9372945,11.712543,8.879275
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061493497,0.98834115,2.6868429e-05,0.06286218,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.407523e-10,3.7832364e-09,43.066406,43.066406,14585.156,16178.613,0.000104347455,5924.047,8.822296,51533836.0,0.5952599,1.6111498,-8.399155e-09,4.024774,1.8855367e-08,-1.1880345,7.898993,0.86902255,11.077119,11.364663,12.73109,16.686487,10.821445,10.440103,12.591733,6.881533,5.9133606,11.096012,11.27307
0.0,0.0,0.0,0.0,0.0,-100.0,0.006148184,0.98834115,2.6691414e-05,0.07495591,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.9783575e-10,3.96779e-09,43.066406,43.066406,14743.066,16149.902,0.00015896617,6093.496,8.8702135,51790228.0,0.5356279,1.5325614,-8.173732e-09,4.1456985,1.9246256e-08,-1.2747384,7.358644,2.0645392,11.513455,8.091087,12.261447,15.944411,11.462916,13.112981,15.91322,10.417671,5.988819,8.138775,10.245962
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062135695,0.98834115,2.6795964e-05,0.077097505,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.0275962e-09,4.5161497e-09,43.066406,43.066406,15073.242,16135.547,0.00015945348,6191.2026,8.919993,52778540.0,0.50839823,1.474439,-8.0853875e-09,4.2057576,2.0029605e-08,-0.49806538,6.5180397,4.132162,14.903934,8.919906,14.794934,10.7876005,8.58483,11.054024,11.86515,12.171046,9.8805485,6.550222,7.3726315
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062521915,0.9920775,2.7357913e-05,0.07218442,0.13115269,0.29955506,0.4526112,0.5883971,0.68971914,0.7759032,0.83801174,0.8764868,0.9849787,1.046851,1.1029978,1.181729,1.2652496,1.3088707,1.3353449,1.3339964,1.4050022,1.4743849,1.4971031,1.4134693,1.3461012,1.19574,1.0504695,0.8731902,0.7339006,0.59279513,2.910949e-09,4.429888e-09,43.066406,43.066406,11039.355,15920.215,0.00016811385,5308.227,8.297305,48374612.0,0.8031661,2.0404358,-1.1022202e-08,3.6088028,1.9873887e-08,2.1625156,10.352563,7.693772,18.630486,8.987338,10.350484,3.2590196,9.670764,9.211435,6.934069,12.830127,10.530643,0.3548058,1.8051286
0.0,0.0,0.0,0.0,0.0,-100.0,0.007893828,1.0349927,3.6925278e-05,0.06727135,0.1361567,0.40276885,0.5852802,0.7159843,0.80226785,0.8899689,0.9086072,0.87733835,1.0478772,1.0756768,1.1187047,1.2352635,1.3378545,1.3627316,1.3702179,1.2828358,1.3885626,1.5582108,1.5763069,1.4462214,1.3889672,1.1694154,1.0360897,0.8483958,0.75074893,0.59735435,3.7675946e-08,6.9445836e-09,71.77734,114.84375,6316.4062,15087.598,0.00025768482,4062.2803,7.5678787,39877116.0,1.3613878,3.5839577,-2.1032603e-08,2.7812817,3.750442e-08,7.665259,13.6127,8.02467,11.4719515,6.7057605,8.754318,-0.52792907,9.607575,1.9550138,1.656847,5.904467,3.9621668,-1.9994968,-1.3249472
0.0,0.0,0.0,0.0,0.0,-100.0,0.014292084,1.2224128,9.679526e-05,0.053917866,0.16189493,0.69625354,0.9814269,1.1352924,1.1490942,1.2742321,1.2303009,1.1262177,1.330681,1.2847127,1.2643539,1.4323212,1.5496144,1.5326492,1.5940561,1.3805819,1.4619461,1.747769,1.761254,1.6343802,1.5438722,1.1968464,1.0648556,0.8474558,0.78177005,0.61889815,7.5155134e-07,8.2303195e-08,86.13281,143.55469,1335.0586,9819.141,0.0011898433,2120.4846,5.717921,22515376.0,5.7786446,74.75968,-5.4272533e-07,1.4895586,1.3397481e-07,17.043493,14.169067,9.142304,7.9852943,3.1022959,4.208655,1.8596998,8.6785345,-3.6868865,0.86301976,2.4301505,-4.4870057,-2.4225576,1.3461175
0.0,0.0,0.0,0.0,0.0,-65.90904,0.02656466,1.7478803,0.00024714178,0.037792895,0.22697373,1.299102,1.9346222,2.4333463,2.103102,2.2461777,2.2718961,2.0369356,2.050967,1.8186488,1.6975117,2.0052426,2.0166714,1.9079337,2.260042,1.9639769,1.7602125,2.1090734,2.1199625,2.1255324,1.9130377,1.412228,1.2444929,0.9481258,0.85995525,0.6791196,1.619712e-05,3.4923764e-07,157.91016,229.6875,416.3086,4780.371,0.0031133683,1033.7958,4.3229904,9225081.0,12.1592455,256.94614,-3.2202163e-06,0.79231304,6.5544896e-06,24.325804,13.843347,8.219386,1.6294745,-4.0011506,-0.8453153,4.452686,0.23998992,-11.225907,-0.7779474,-1.6292788,-9.810989,3.1447642,9.369904
81.11189,0.7738234,0.0,0.0,0.0,-31.57357,0.046893835,2.8944333,0.0005795253,0.021919878,0.37135372,2.4695475,3.8531294,5.804075,4.2745633,3.9404638,4.300701,4.1570225,3.7903683,2.9713764,2.6146648,3.3608005,3.0571918,2.7120354,3.80243,3.4837449,2.4779372,2.7526429,2.8317597,2.976389,2.5742466,1.9442507,1.6714941,1.227911,1.0245948,0.8105748,9.812079e-05,1.6155709e-06,172.26562,244.04297,301.46484,373.2422,0.007350361,305.01062,3.1167653,494488.22,19.36932,552.82196,-2.1341557e-05,0.30894482,5.363766e-05,29.619303,12.583049,10.013653,7.0191765,-2.528406,-5.62759,6.1821876,-6.7793784,-17.954771,-4.6795125,-1.3639134,-6.672268,9.79709,17.138008
106.34821,0.781677,0.0,0.0,0.0,4.539596,0.06943015,4.7143564,0.0011315326,0.01612497,0.6230808,4.185985,6.678388,12.305911,7.696324,5.727899,6.77409,7.111013,6.6577697,4.8363976,3.9959831,5.832966,4.9495387,4.1484675,6.4264946,6.0694966,3.673483,3.790105,4.0479107,4.2121387,3.5550525,2.8319826,2.3719332,1.710905,1.3248286,1.0351224,0.00027194535,5.3699146e-06,186.6211,301.46484,344.53125,358.88672,0.01014284,300.58755,2.9446383,173044.55,20.505796,672.1579,-6.0856488e-05,0.31648016,0.00017399438,29.989584,11.949079,12.45306,8.011601,-1.0955148,-8.046975,0.43171868,-11.409436,-22.367264,-9.286653,-3.3289433,-4.2091546,16.70371,21.55242
