F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.001899538,0.98834115,2.422104e-06,0.98022175,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.9456397e-11,1.388764e-10,6129.785,12474.902,17154.785,19537.793,1.3413131e-05,11719.3125,108.94354,38598572.0,-0.19495173,1.8356978,1.7602452e-11,7.759086,5.0275667e-10,-6.9211497,0.16258056,-2.1829433,-0.0037341185,0.63351727,-2.3960621,-1.7977847,-2.4168522,-0.32434455,-0.7993634,-0.5487732,-0.7922476,2.5400236,-0.50225663
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019355608,0.98834115,2.219199e-06,0.9646006,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.5228694e-11,1.5965063e-10,5742.1875,11843.262,16752.832,19623.926,2.627613e-05,11356.96,111.20724,39539964.0,-0.1202093,1.8166658,8.0835685e-12,7.536514,5.1986265e-10,-6.019535,0.26145074,-0.5484776,0.22081035,-1.5142614,-2.0574477,-0.18355457,-4.146378,-2.5127852,-2.956132,-4.18138,-0.3056551,0.15270352,0.7901247
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023607556,0.98834115,2.7822305e-06,0.9411691,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.6484253e-10,3.498525e-10,5656.0547,11312.109,16609.277,19322.46,4.9141247e-05,11033.358,76.47528,40690236.0,-0.115691245,1.8222531,4.1663843e-13,7.353306,1.099517e-09,-3.650232,3.656291,3.8799744,3.7955334,-2.8436568,-1.459901,0.20889,-3.1038637,-3.6320693,-3.5901725,-4.292132,1.1589082,0.25324216,0.48618004
0.0,0.0,0.0,0.0,0.0,-100.0,0.0034151108,0.98834115,4.1424287e-06,0.8999748,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.2691758e-10,1.1117168e-09,4823.4375,12058.594,16480.078,18776.953,5.910678e-05,10950.848,92.30136,42060172.0,-0.25232628,1.7891889,-1.17358345e-11,7.3349395,2.0698274e-09,-3.4912832,1.9803014,5.273789,7.184177,4.579225,1.2575237,1.0331267,-6.369671,-5.800739,-0.83575124,-3.3805714,-0.36609244,2.057212,4.0990443
0.0,0.0,0.0,0.0,0.0,-100.0,0.003925368,1.112062,5.7248094e-06,0.835097,0.15825877,0.320446,0.49302983,0.62864184,0.74723166,0.84805584,0.9443161,1.0461315,1.0949464,1.1873978,1.2819223,1.3332156,1.3658333,1.4069446,1.4585158,1.5295471,1.5794072,1.6049567,1.6088122,1.5948181,1.5567775,1.4152441,1.1937923,1.0083866,0.82636565,0.6806166,4.3337986e-10,1.2964275e-09,5268.457,12345.703,16953.809,18375.0,7.37626e-05,11023.651,49.53363,42950916.0,-0.34561953,1.7890258,-2.7648272e-12,7.3891788,2.9108271e-09,-0.8403408,5.5032554,4.8308516,9.220038,8.543095,3.0945406,0.44570816,-3.0258865,-3.33819,3.0419,-6.108955,-0.22402035,2.502197,2.8524017
0.0,0.0,0.0,0.0,0.0,-100.0,0.004582284,1.3131483,7.719573e-06,0.7396069,0.21731643,0.41547418,0.63012594,0.7460906,0.8931343,1.0499402,1.1021757,1.2669989,1.2987195,1.398703,1.5783807,1.6424745,1.5748373,1.615572,1.6342851,1.7563057,1.8214792,1.8857712,1.854476,1.8539175,1.8642155,1.709293,1.3726848,1.1729451,0.97383887,0.8127014,8.6832913e-10,2.00132e-09,4191.797,12273.926,16810.254,18375.0,8.2035585e-05,10719.884,38.95766,45799740.0,-0.30134866,1.6717755,-1.0136123e-10,7.1677322,4.567181e-09,-0.1036365,5.2156577,4.8035083,6.9895167,9.639544,4.793689,0.39745188,-3.0050542,-0.51830816,4.43181,-8.095323,-0.20618892,0.44674572,2.9374125
0.0,0.0,0.0,0.0,0.0,-100.0,0.005331481,1.5797958,9.642863e-06,0.6182918,0.29217708,0.56769705,0.85905695,0.93654317,1.1168374,1.4204527,1.341452,1.6013652,1.6116062,1.6605558,1.9394268,1.9884132,1.7859246,1.834665,1.8534139,1.982688,2.1244345,2.3573728,2.2045782,2.1874874,2.2054465,2.0805311,1.6047503,1.3801864,1.1569537,0.9806781,5.155169e-09,2.507198e-09,3244.336,8842.969,16810.254,18159.668,0.000112581554,9552.708,28.13083,50509536.0,-0.039889634,1.5619584,-1.1136233e-09,6.36998,8.516479e-09,2.4078002,12.478236,6.6627674,3.0824442,2.677351,5.638283,-2.9475956,-3.0313046,0.48439884,-2.082433,-9.656606,1.4665046,-5.326975,-0.72318476
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062036156,1.7931212,1.2053225e-05,0.49067774,0.3520263,0.71212333,1.1194633,1.1474893,1.3594818,1.983868,1.6043848,1.9193639,1.950543,1.8514522,2.1443374,2.1412525,1.8664021,1.9591273,1.971326,2.0424778,2.313421,2.862767,2.5018342,2.4592578,2.3865368,2.2994854,1.7606713,1.5099063,1.293826,1.108328,6.716769e-09,4.0683874e-09,1335.0586,8039.0625,16537.5,18145.312,0.00013608999,8873.776,20.690645,55159070.0,0.08752087,1.4037021,-1.4671491e-09,5.9141235,1.1872835e-08,4.759587,10.610664,5.6276507,-1.3132484,3.1404572,8.100261,-4.266469,-3.2104514,-1.1598176,-2.372742,-3.1120856,2.200822,-7.259409,-1.602616
0.0,0.0,0.0,0.0,0.0,-100.0,0.0074068024,2.034001,1.8530787e-05,0.3567649,0.4251121,0.87327385,1.4057764,1.4495455,1.6780144,2.7088032,2.0172036,2.300183,2.4357755,2.2189581,2.36825,2.226042,1.9926065,2.0706494,2.1407092,2.0919611,2.5059483,3.3488886,2.831665,2.751691,2.5007975,2.4322598,1.9322758,1.622529,1.3824297,1.1726782,1.8050914e-08,6.5678214e-09,387.59766,4306.6406,11340.82,16853.32,0.00020808286,6460.7593,14.26429,49431136.0,0.7788074,2.6187325,-7.691074e-09,4.33363,1.9918886e-08,9.675314,12.144801,3.7745678,-3.5012627,5.668387,9.053071,-1.3048644,-3.851205,1.3178345,-2.009071,-0.8418541,2.6949108,-7.2455983,-2.3541453
0.0,0.0,0.0,0.0,0.0,-100.0,0.0097626895,2.3434613,2.9822831e-05,0.23998487,0.5616693,1.0920738,1.8081617,1.9479418,2.127773,3.6287982,2.6548135,2.7056053,3.0266209,2.7783086,2.6852105,2.3958724,2.2508934,2.2251022,2.360226,2.287001,2.7531044,3.7139947,3.135934,3.1080158,2.690706,2.522563,2.090096,1.7341572,1.45574,1.1896073,1.5834824e-07,1.3894248e-08,358.88672,3373.5352,6043.6523,11168.555,0.00040285478,4275.675,10.728371,32293430.0,2.5432541,13.957699,-5.3587026e-08,2.8987396,7.347745e-08,13.042844,12.853339,7.238598,-3.3539762,5.357882,6.647965,-1.7099991,-3.9312427,2.307524,3.1349812,-0.5673482,-0.77744293,-2.2141368,-4.1313553
