F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9989922,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99433106,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9827413,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.95553035,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0013604393,1.0344863,4.844208e-07,0.9099269,0.13322215,0.28079093,0.4338092,0.5750428,0.6954345,0.7974275,0.88333607,0.959179,1.0287019,1.0941978,1.1583314,1.2209846,1.2831064,1.3434349,1.4011282,1.4544348,1.4997152,1.531365,1.5398251,1.5103067,1.4277816,1.2884085,1.1089935,0.91771346,0.7356381,0.5943311,1.21454175e-11,6.694085e-11,1105.3711,4277.9297,5239.746,5900.0977,1.0600882e-05,3516.384,78.19161,13377396.0,-0.13770583,0.5541171,-2.114858e-12,2.388868,6.5969707e-13,0.3393995,-3.4579942,2.3566506,-2.5613873,1.761355,-1.6321912,1.0449392,-0.8594916,0.43781158,-0.24968024,0.020570213,0.13548717,-0.21102409,0.3034565
0.0,0.0,0.0,0.0,0.0,-100.0,0.0021288882,1.2062594,2.5108984e-06,0.8318216,0.14311755,0.31475663,0.49128285,0.65547293,0.8087866,0.9329296,1.0214607,1.1029835,1.2037257,1.3181163,1.3967875,1.4276217,1.5222034,1.6031004,1.64126,1.6921092,1.8227314,1.8161408,1.8481766,1.7292448,1.6300453,1.486492,1.2561036,1.0273827,0.8089928,0.66171616,9.77425e-11,3.941157e-10,1564.7461,6474.3164,9575.098,12058.594,2.31573e-05,6165.595,119.90774,29273626.0,0.061363865,1.222539,-4.4281984e-11,4.1605115,2.0132175e-10,-0.0874964,-5.2794857,-0.6857238,-2.6821022,-1.7046369,-0.3814702,-4.451006,-3.9444208,0.7059772,-0.33520493,-0.116522856,2.364287,-4.921513,-2.7535126
0.0,0.0,0.0,0.0,0.0,-100.0,0.004499597,1.7043611,5.612705e-06,0.7190728,0.17986654,0.44354358,0.68058944,0.9106898,1.1529541,1.3446668,1.4523411,1.5134622,1.7140361,1.9804783,2.128127,1.9816971,2.2261682,2.3474543,2.3405313,2.3298774,2.7174072,2.5732095,2.6481154,2.3324833,2.2335835,2.0572407,1.6729221,1.3675493,1.0843301,0.9000619,1.4904202e-09,4.7368434e-09,1780.0781,7163.379,12733.301,17843.848,7.474754e-05,8044.184,126.931366,43775268.0,0.43339083,2.1430013,-9.432977e-10,5.423462,4.3853414e-09,1.2570852,-6.3164306,-0.5295733,-2.0668583,-1.100701,-1.1805292,-5.070546,-4.3952327,-1.1226971,0.96380764,-0.6662798,1.5250043,-8.030293,-7.029288
0.0,0.0,0.0,0.0,0.0,-100.0,0.0064649037,2.6706905,9.594423e-06,0.58314437,0.28278467,0.76452285,1.1499535,1.4831756,1.9358563,2.2036133,2.3037994,2.2958791,2.608607,3.1653683,3.5293949,2.9001763,3.4284708,3.6544673,3.6647637,3.468562,4.3898797,4.027944,4.0958524,3.5163295,3.4463577,3.172244,2.5590973,2.1321566,1.7938439,1.4648514,5.0642845e-09,7.115234e-09,775.1953,3330.4688,9704.297,16594.922,0.00011242703,5970.86,54.805103,41070780.0,1.0543692,2.964885,-2.3199194e-09,4.018414,8.136081e-09,1.8658122,1.8478603,0.09754022,1.0743233,-4.364863,1.0440288,-7.437586,-5.65637,-0.48861217,2.5732834,1.453132,0.26641664,-9.274425,-8.2968645
0.0,0.0,0.0,0.0,0.0,-100.0,0.008055869,3.933952,1.3714557e-05,0.44507432,0.53102756,1.3703604,2.0249531,2.4094975,3.0176594,3.2244842,3.309185,3.2299454,3.6298141,4.4093566,5.0841193,3.9129703,4.771055,5.196728,5.4191546,5.0450225,6.329319,5.9214077,5.8519363,5.2009244,5.1375337,4.6768417,3.8696861,3.3011885,3.0307057,2.3778718,8.059117e-09,9.9388755e-09,330.17578,1191.5039,6503.0273,14240.625,0.00016120904,4306.3696,16.778597,33989852.0,1.4801794,4.1218724,-5.701206e-09,2.9267876,1.5682195e-08,3.071317,8.54243,9.75142,7.7721066,0.5213716,2.6630664,-1.1859628,-3.3167403,-4.2222123,1.8741604,2.4043338,-2.325143,-4.1039863,-4.1114783
