F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005803604,0.98834115,2.5517276e-05,0.6835475,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.1668094e-10,4.1879646e-09,13738.184,15747.949,17312.695,18274.512,9.458209e-05,14653.2295,9.568812,18114858.0,-2.056143,7.335772,1.0013888e-08,9.787164,7.268773e-08,-5.3080316,2.3875086,5.8323035,9.095342,2.5434086,5.6891403,1.544624,8.810468,5.306309,7.843621,11.008527,10.788456,9.69095,8.459327
0.0,0.0,0.0,0.0,0.0,-100.0,0.005747121,0.98834115,2.4913688e-05,0.6849332,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.002196e-10,3.842391e-09,13695.117,15848.4375,17470.605,18288.867,0.00019440473,14714.917,9.595729,18293376.0,-2.023804,7.2152467,9.822308e-09,9.810943,7.08292e-08,-4.8845177,4.0201163,5.1808677,6.4393177,-0.3272338,6.797352,5.2296824,11.177437,6.604795,7.025774,7.7923627,8.32083,9.080495,4.7836013
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057515553,0.98834115,2.4093419e-05,0.68392545,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.5933553e-10,3.621368e-09,13436.719,15805.371,17556.738,18288.867,0.00028459833,14528.785,9.90219,20602394.0,-1.8804235,6.3599916,8.317369e-09,9.67805,6.126373e-08,-6.6335845,4.436255,4.050884,5.0130024,2.6596992,10.244626,14.177035,13.3346405,9.861866,9.285683,12.679875,8.601834,8.368675,1.0511584
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057237768,0.98834115,2.304961e-05,0.6739733,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.6008516e-10,3.6714904e-09,13264.453,15963.281,17642.871,18317.578,0.00026797294,14399.558,10.125755,23519434.0,-1.7479253,5.618637,7.3687154e-09,9.563561,5.4924e-08,-8.034104,5.1023602,4.8990436,5.436194,7.03565,11.821103,10.992043,18.657146,12.428848,8.9611225,12.405898,10.860152,3.0549495,0.27106786
0.0,0.0,0.0,0.0,0.0,-100.0,0.005833061,0.98975736,2.2347996e-05,0.65495086,0.1322373,0.29481897,0.43679547,0.54535836,0.6522781,0.7589101,0.8484536,0.91665775,0.9827857,1.0611955,1.0738088,1.1752872,1.1944617,1.2533538,1.3312489,1.3524147,1.3956043,1.4602629,1.4760748,1.4296528,1.3697896,1.2708358,1.0800246,0.8957711,0.74179167,0.6038139,5.4679283e-10,3.4790604e-09,12561.035,15647.461,17398.828,18260.156,0.00026031953,13744.473,10.489238,30084154.0,-1.4818755,4.2309294,5.1694258e-09,9.140129,4.4995588e-08,-6.2549477,7.9426064,5.960697,8.273311,11.066085,14.523422,17.351583,15.741988,7.722929,5.772901,8.228471,6.806131,-0.17220433,-0.8781233
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059800446,1.001152,2.255731e-05,0.6286218,0.13717216,0.357371,0.52337134,0.57765466,0.6375849,0.7584009,0.84654874,0.9395265,0.99260634,1.0871376,1.0416914,1.2286817,1.17449,1.2181811,1.3675874,1.3450241,1.341287,1.4526963,1.4940413,1.4275166,1.3823508,1.320768,1.1234487,0.89515376,0.74606204,0.6135985,1.8673492e-09,3.5149705e-09,13207.031,15891.504,17556.738,18303.223,0.00026247156,13981.909,10.219968,30294970.0,-1.598065,4.5668235,6.3300996e-09,9.251908,4.7876537e-08,-2.71017,11.467856,8.601217,9.798118,9.504152,8.892152,10.45027,10.823501,0.3827637,-2.306925,-1.8628087,-0.67976093,-3.1814888,2.209863
0.0,0.0,0.0,0.0,0.0,-100.0,0.005949424,1.0179507,2.3774135e-05,0.5822625,0.14282574,0.4613701,0.7425842,0.7217796,0.6625254,0.76867074,0.8510273,1.0008534,1.0025088,1.0763179,1.0032853,1.2697499,1.1426159,1.1426754,1.3824553,1.3311154,1.282569,1.4315361,1.4789659,1.4165365,1.3740529,1.3427476,1.1840513,0.88079786,0.75078684,0.6223116,3.52874e-09,2.9536997e-09,13623.34,16020.703,17642.871,18288.867,0.00029498257,14141.798,9.850432,30077190.0,-1.684316,4.8381343,7.635585e-09,9.337705,5.8972788e-08,-0.17623925,16.539991,10.713483,8.641724,6.0948734,7.3558903,8.202834,0.5769345,-4.7306957,-6.574454,-4.73494,-2.1142635,0.8169427,4.4642963
0.0,0.0,0.0,0.0,0.0,-100.0,0.006121837,1.0431658,2.510669e-05,0.53187203,0.14443912,0.5629267,1.0101217,0.9960806,0.76619416,0.80988353,0.85995936,1.0440631,1.0187186,1.007743,1.036512,1.3017982,1.1260424,1.0585107,1.3712392,1.3375107,1.2899712,1.3941358,1.4482265,1.4042711,1.3601818,1.3061575,1.2458558,0.8700562,0.7384015,0.6133134,5.661324e-09,3.3304015e-09,14226.27,16437.012,17915.625,18317.578,0.00028628606,14491.202,9.519826,28955206.0,-1.8028158,5.1546154,8.853335e-09,9.532934,6.447031e-08,1.2683372,16.747322,12.419219,7.275539,5.1663456,0.40182766,-3.5136473,-3.4658363,-0.23171298,-4.7370887,-5.59791,-2.1830494,2.5649157,6.6678643
0.0,0.0,0.0,0.0,0.0,-100.0,0.0064629987,1.0766226,2.5669558e-05,0.46119928,0.14357495,0.6350884,1.2715304,1.3222996,0.9563039,0.88606554,0.91343975,1.0245383,1.0253018,0.91945964,1.1921483,1.3631874,1.1269693,1.0161251,1.3050586,1.3302646,1.3274703,1.3883958,1.4459866,1.4022903,1.3428763,1.2360803,1.2648607,0.85105413,0.7118945,0.5899226,1.37585765e-08,4.345044e-09,9661.23,16236.035,17786.426,18260.156,0.00028904373,13442.403,9.354706,38804016.0,-1.385363,3.7408302,6.342438e-09,8.860984,7.2317e-08,4.9546595,16.852028,12.409682,6.9221325,4.9356227,-2.748269,-8.735889,-5.795218,2.9615042,-2.4188166,-6.331234,-7.0615354,-1.1860977,5.1549277
0.0,0.0,0.0,0.0,0.0,-100.0,0.0071545043,1.1319636,2.5717382e-05,0.39619553,0.14565194,0.699498,1.4357628,1.6135,1.1479872,1.0436839,1.0367745,0.9648625,1.0579512,0.91291356,1.490509,1.5078888,1.1421272,1.0320805,1.276756,1.3384916,1.3961124,1.4209167,1.4678723,1.398553,1.3543211,1.2114271,1.2416227,0.84881026,0.68376946,0.5612076,2.0660329e-08,5.8485523e-09,5053.125,15963.281,17628.516,18231.445,0.00029043472,12325.843,9.319341,48352780.0,-0.9625702,2.4692516,3.2031757e-09,8.131881,6.957928e-08,6.996956,15.038933,10.973454,6.4536514,6.1009007,-4.8199544,-11.719075,-7.9493484,6.2046585,4.666498,-6.5474854,-12.380554,-8.005967,2.1682537
0.0,0.0,0.0,0.0,0.0,-100.0,0.007909867,1.2211041,2.7544456e-05,0.3276644,0.15401636,0.7793587,1.6367208,1.8551105,1.2885107,1.3109878,1.2261598,0.94895715,1.1413039,1.0544239,1.8849683,1.6893791,1.2110665,1.1330514,1.3255476,1.396402,1.4256259,1.5009416,1.5060147,1.4225878,1.3745266,1.2271438,1.1856536,0.8514058,0.6712218,0.54762316,4.884731e-08,7.435626e-09,645.9961,10795.3125,17169.14,18188.379,0.00033446215,10200.283,8.553668,58361410.0,-0.36712083,1.5194098,-4.2582466e-09,6.755942,8.8965464e-08,10.138141,15.700184,9.73146,7.114393,5.991705,-1.8875586,-11.020062,-9.186745,-1.2810291,1.2534857,-3.2445114,-13.059784,-13.004986,-2.5035608
0.0,0.0,0.0,0.0,0.0,-100.0,0.008671275,1.3299403,2.9609024e-05,0.27488032,0.16885583,0.882489,1.8693851,2.0544267,1.3762835,1.6217614,1.4275612,1.0550499,1.3305115,1.3637581,2.182495,1.8142136,1.331769,1.2633487,1.4108199,1.4800094,1.4583901,1.5816269,1.5139996,1.4509999,1.3990234,1.294449,1.1279052,0.8757332,0.6899646,0.5536151,6.829279e-08,9.52652e-09,287.10938,5727.832,16652.344,18001.758,0.00032876024,8642.413,8.116097,60976510.0,0.0122873485,1.3421668,-9.93614e-09,5.749844,8.967319e-08,12.032078,15.422105,6.602736,5.6187,7.03126,-0.032443523,-8.8541355,-9.551384,-3.310458,-1.0549932,-5.454605,-7.381471,-9.235671,-7.5590806
0.0,0.0,0.0,0.0,0.0,-100.0,0.009551491,1.4465688,3.3452194e-05,0.2425044,0.18630083,0.97336274,2.1203756,2.240724,1.469127,1.8539253,1.6051903,1.2660125,1.6268185,1.7854391,2.3273072,1.9098407,1.5493034,1.4265035,1.4887134,1.5684279,1.5024132,1.6118846,1.5307732,1.490263,1.4213418,1.367823,1.0846144,0.9042638,0.7289526,0.5710867,1.2099707e-07,1.3532078e-08,229.6875,631.6406,15704.883,17815.137,0.00031923145,6650.9746,7.226232,60197630.0,0.5214982,1.4812165,-2.186153e-08,4.4533706,1.1876535e-07,15.134053,14.210564,4.4640822,7.4625793,7.969099,-0.7816694,-9.35703,-8.850315,-9.088647,-7.4376054,-6.4748626,-6.939659,-6.3551674,-8.511476
0.0,0.0,0.0,0.0,0.0,-100.0,0.010460466,1.5574468,3.7028138e-05,0.2068531,0.19729167,1.0430602,2.3740313,2.3939269,1.5923033,1.9492326,1.7635294,1.5969242,2.0202293,2.1969075,2.3618693,2.020622,1.777974,1.573916,1.5784527,1.6961598,1.5920242,1.5699706,1.5544957,1.5090982,1.4407315,1.3980788,1.0482388,0.9153871,0.7577415,0.57142335,1.933543e-07,1.8872862e-08,229.6875,401.95312,10522.559,17470.605,0.00030555887,5364.446,6.5618978,53669284.0,0.9237899,2.1597784,-3.57994e-08,3.6125834,1.379732e-07,17.020521,11.151363,3.4099092,4.847731,6.5391574,0.49350962,-5.6362495,-13.709175,-13.662629,-7.542618,-10.498342,-12.197894,-2.7875793,-6.1362395
0.0,0.0,0.0,0.0,0.0,-100.0,0.01133825,1.6598314,4.1858595e-05,0.1840514,0.20232856,1.0783283,2.4769144,2.4664023,1.7103343,1.9987663,1.9399346,1.9973831,2.4186666,2.5046644,2.4504826,2.23483,1.9581429,1.6981395,1.7534407,1.9116449,1.7343178,1.4765897,1.5564164,1.4717098,1.4676245,1.3979921,1.0203223,0.9033058,0.77164966,0.55528396,2.052066e-07,2.6629701e-08,215.33203,287.10938,6660.9375,17327.05,0.00037004272,4421.873,6.2161193,48736428.0,1.2152666,2.6467228,-4.4811998e-08,2.9972107,1.5889678e-07,19.259155,8.778178,1.4154505,6.7649574,3.6148942,0.9775122,0.58292884,-14.077034,-15.609131,-3.240322,-10.963925,-14.87154,-2.006303,-4.738626
0.0,0.0,0.0,0.0,0.0,-100.0,0.0129662,1.7707039,4.7087193e-05,0.1526833,0.19991934,1.1087928,2.5419238,2.477871,1.8603929,2.1151745,2.132038,2.4012597,2.7791474,2.6869555,2.6278477,2.4786437,2.0824273,1.8294725,2.0714588,2.2729988,1.8729326,1.457439,1.570017,1.43742,1.4942708,1.3467827,1.0054508,0.87882787,0.7689402,0.5398976,3.7988306e-07,3.903342e-08,215.33203,272.7539,2024.1211,15245.508,0.0004926088,3384.1755,5.4576592,38739364.0,1.790198,4.757608,-8.063512e-08,2.3226323,2.197276e-07,20.729631,5.8818126,1.9468066,4.9225526,-1.8351135,0.19642942,-0.8042558,-14.520401,-16.21782,-3.75084,-11.3964615,-16.850674,-3.40544,-4.7712836
0.0,0.0,0.0,0.0,0.0,-100.0,0.0141729675,1.8843552,5.1942276e-05,0.13605441,0.19759966,1.1257595,2.446789,2.3977313,2.1002262,2.3807456,2.3429043,2.6613476,3.0646,2.754344,2.8309963,2.7596033,2.2223332,2.0182161,2.385834,2.6857471,2.0109081,1.5733255,1.5815486,1.4485482,1.5224848,1.297973,1.0119243,0.86631197,0.7620308,0.54340035,3.815475e-07,5.1101917e-08,215.33203,287.10938,1937.9883,14685.645,0.00056916586,3022.037,5.611366,34533776.0,2.00887,5.562673,-8.90594e-08,2.0915434,2.5177266e-07,21.767,4.0031743,1.3650403,5.5345993,-4.0892677,-3.2499192,-4.4643674,-9.482548,-9.152709,-0.75443935,-8.157922,-12.767335,-3.3963125,-7.3503575
0.0,0.0,0.0,0.0,0.0,-100.0,0.015923955,2.0086567,6.152539e-05,0.11300075,0.19398673,1.1490641,2.3976371,2.3704243,2.439757,2.6707268,2.5548384,2.7632644,3.2489998,2.791065,2.965235,3.0200958,2.4226024,2.301988,2.6424074,2.9821694,2.1487415,1.8306516,1.6898484,1.5859638,1.5624857,1.2499269,1.0452777,0.87045544,0.75700563,0.5704598,6.704084e-07,6.5073436e-08,215.33203,272.7539,516.7969,9517.676,0.0006478364,2123.756,4.738402,24830224.0,2.6593854,8.547257,-1.453669e-07,1.5085157,4.2901618e-07,22.05145,3.0809119,4.7000313,1.1803786,-6.7314363,-3.185212,-10.798439,-10.972165,-13.801784,-7.6845107,-8.093776,-14.240493,-5.805193,-6.7999916
0.0,0.0,0.0,0.0,0.0,-100.0,0.017324647,2.125127,6.953951e-05,0.09070295,0.1890903,1.1631666,2.391289,2.4372642,2.7851942,2.9339383,2.7141368,2.8013713,3.3799908,2.855364,3.0350883,3.2348938,2.5955045,2.544643,2.7805722,3.0978143,2.3262694,2.1272142,1.9157788,1.8137869,1.6425229,1.1940969,1.0710763,0.8875723,0.73754627,0.59812665,1.0087691e-06,8.757265e-08,215.33203,272.7539,516.7969,6043.6523,0.0006171037,1845.7402,4.672088,21101988.0,3.1490614,11.923608,-2.1301291e-07,1.3293918,5.19695e-07,24.018463,2.157289,4.521992,-1.2134012,-6.798247,-1.9305496,-14.088016,-10.320104,-14.295524,-7.222927,-6.4367423,-15.043485,-3.6538804,-7.848745
0.0,0.0,0.0,0.0,0.0,-100.0,0.01887058,2.2135012,8.292737e-05,0.07634165,0.1855495,1.1809711,2.413531,2.564293,3.0485413,3.0338218,2.8371086,2.9340134,3.4309733,2.9543312,3.0517168,3.3410788,2.6835086,2.6663108,2.9059098,3.0851548,2.462464,2.2817762,2.2272696,2.041629,1.7494284,1.151346,1.0842806,0.9059086,0.7223668,0.60775274,1.278223e-06,1.06213e-07,215.33203,258.39844,401.95312,1248.9258,0.0006236534,1350.1864,4.156935,14870625.0,3.7931614,16.00569,-2.7949872e-07,1.0076512,6.4087106e-07,25.146734,1.7744555,5.1703,-3.9681103,-6.998047,-3.026575,-14.181129,-9.997058,-19.20883,-11.729176,-5.4124207,-20.58126,-3.3871968,-3.5412223
0.0,0.0,0.0,0.0,0.0,-100.0,0.02049603,2.2807302,9.6930504e-05,0.06790123,0.183133,1.2075624,2.4999752,2.7512722,3.2473233,3.0562294,2.9162862,3.1471083,3.3251736,3.0611286,3.141425,3.3643644,2.682614,2.6963062,3.0910454,3.1035306,2.52308,2.2782419,2.5598884,2.2016556,1.8387505,1.1077434,1.0732677,0.9252491,0.7162466,0.6003888,2.1972853e-06,1.4824468e-07,215.33203,258.39844,401.95312,846.97266,0.0007840149,1072.9706,3.8891346,11090983.0,4.7077627,24.651024,-4.479953e-07,0.8269041,8.0944636e-07,27.00598,1.5034385,5.532125,-1.7577101,-9.014031,-6.58762,-18.03502,-10.546161,-18.03678,-8.629073,-1.8480285,-26.006973,-4.907662,-2.427338
0.0,0.0,0.0,0.0,0.0,-100.0,0.022265345,2.3280017,0.00011149278,0.068405144,0.18619795,1.2236916,2.463332,2.9035873,3.4479082,3.0477479,3.014962,3.292752,3.0530872,3.1332772,3.3587468,3.3931942,2.6722682,2.780571,3.2888868,3.2086709,2.5007095,2.181956,2.788604,2.2923768,1.8816042,1.102831,1.0668966,0.93730044,0.72456807,0.58231467,2.6886457e-06,2.0816249e-07,215.33203,287.10938,401.95312,789.5508,0.0010468004,932.9451,3.8922024,8667789.0,5.432186,32.57604,-5.434983e-07,0.7417554,9.787443e-07,27.317251,0.060310442,6.941321,-2.5681736,-9.702984,-10.008449,-17.9807,-10.855929,-17.99603,-6.325294,-0.10369098,-27.650274,-6.772663,0.7864196
0.0,0.0,0.0,0.0,0.0,-100.0,0.024096644,2.3717375,0.00012407218,0.06676745,0.18604644,1.2212344,2.42396,3.0886166,3.5402,3.0636387,3.1052577,3.3101413,2.7624912,3.182206,3.6208346,3.4409354,2.6846569,2.914418,3.4691856,3.3472974,2.4687774,2.138874,2.9381998,2.366296,1.9149381,1.1377773,1.0831187,0.9436447,0.7378309,0.57459605,3.854961e-06,2.531476e-07,215.33203,287.10938,373.2422,645.9961,0.0013462544,764.8816,3.5930173,6354665.5,6.1699853,40.353306,-7.455571e-07,0.6335716,1.2757185e-06,28.415213,-0.68716544,5.950559,-3.4631014,-9.638383,-11.673333,-21.997599,-12.869092,-19.772032,-6.317219,-2.8465042,-28.209803,-8.54416,-0.87048435
0.0,0.0,0.0,0.0,0.0,-100.0,0.024694381,2.3874078,0.00012794336,0.06827917,0.18945356,1.2006936,2.27538,3.1737077,3.460386,3.1031735,3.126272,3.1230218,2.668266,3.186467,3.8358202,3.4874814,2.7612534,3.024826,3.4550953,3.3938522,2.4811802,2.2177525,3.001707,2.4264545,1.9579535,1.1712703,1.0991362,0.93904644,0.73623496,0.57671285,3.2475918e-06,2.7777256e-07,215.33203,272.7539,387.59766,775.1953,0.0014566119,837.69604,3.7707102,7443737.5,5.8008423,36.200565,-7.1439996e-07,0.6776161,1.3666346e-06,28.558777,-1.7252544,7.3138375,-4.2751107,-6.606894,-7.986957,-23.008368,-9.9532995,-16.275671,-7.192468,-1.7853795,-23.201239,-6.8910923,-3.128157
0.0,0.0,0.0,0.0,0.0,-100.0,0.025633058,2.3735297,0.00013846617,0.06979088,0.19604059,1.1547668,2.112944,3.1296217,3.2391465,3.027415,3.0047667,2.8786247,2.839184,3.1122656,3.831855,3.5143497,2.8775768,3.0584528,3.327114,3.337528,2.507328,2.3860924,3.0950584,2.4718516,2.0315723,1.2102194,1.1227504,0.9264655,0.72916347,0.58961433,3.998586e-06,3.0971387e-07,229.6875,272.7539,373.2422,717.77344,0.0014783862,808.48956,3.655659,7059359.5,6.063479,39.84435,-8.265584e-07,0.6577401,1.5304935e-06,28.405943,-1.9359807,8.405582,-2.8808804,-5.281988,-6.925093,-24.86907,-10.152968,-18.159203,-9.25541,-1.4288467,-17.663385,-4.658468,-1.7975723
