F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005339475,0.98834115,1.0376156e-05,0.91332823,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.3720823e-10,2.5091271e-09,9259.277,14886.621,17283.984,18403.71,4.246227e-05,12871.255,21.267227,32672838.0,-0.79199284,2.4929998,8.540435e-10,8.561111,1.1509016e-08,-7.9977317,5.153168,1.8537437,-7.6976743,-7.584208,0.9507959,10.824088,10.701989,0.88199466,-1.2030745,-1.13331,11.38581,3.0096443,0.25165352
0.0,0.0,0.0,0.0,0.0,-100.0,0.005187862,0.98834115,1.03589e-05,0.9121945,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5219142e-10,2.428619e-09,9977.051,14972.754,17427.54,18446.777,8.389893e-05,13166.25,21.14535,31092442.0,-0.8482298,2.688918,1.0054071e-09,8.745987,1.2041011e-08,-8.4216585,3.233002,1.2426175,-2.4616432,-5.3669033,1.5734005,11.542169,8.947225,3.678963,2.6790826,-0.33496842,3.8849008,-0.5189912,0.8357318
0.0,0.0,0.0,0.0,0.0,-100.0,0.005072545,0.98834115,1.0182186e-05,0.91068274,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.3395884e-10,2.3098792e-09,9532.031,14685.645,17197.852,18446.777,0.00012521025,12896.444,22.843084,33183386.0,-0.81965685,2.6217644,8.4029095e-10,8.586369,1.1002669e-08,-5.863495,2.4273803,0.06324395,2.3649495,-3.9843657,4.9708705,11.045502,6.4101205,6.03257,3.7459946,0.83091,-1.0505759,-1.4336957,1.3544903
0.0,0.0,0.0,0.0,0.0,-100.0,0.004980324,0.98834115,9.798994e-06,0.9026203,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.3059878e-10,2.3612334e-09,8972.168,14656.934,17384.473,18518.555,0.00011982905,12808.461,23.833006,35596420.0,-0.78175974,2.5041182,7.565542e-10,8.502076,1.0236227e-08,-4.824631,3.192228,2.0054212,6.851393,-1.9862269,6.5724883,11.133174,4.4854064,5.5670304,1.9882151,1.2397685,-4.059336,-0.71011114,0.70650595
0.0,0.0,0.0,0.0,0.0,-100.0,0.0051156753,0.9872179,9.374508e-06,0.8896448,0.13359876,0.28212515,0.4287322,0.5538938,0.6784126,0.76879233,0.8412493,0.91806775,0.9688384,1.0552378,1.1087688,1.1648713,1.2440752,1.284171,1.3198155,1.3450226,1.388649,1.4104944,1.4542717,1.4621996,1.3525558,1.2351812,1.0592161,0.8915028,0.72609764,0.5918216,5.5205923e-10,2.470501e-09,7278.2227,14097.07,17298.34,18518.555,0.00011539657,12166.743,25.911951,39769340.0,-0.6165473,2.1334217,4.0860237e-10,8.086842,8.504475e-09,-3.2505443,3.8552837,0.586188,4.6090293,1.6564088,4.591694,8.8633995,8.628147,3.3473508,3.4937918,1.796261,-0.7478843,-0.24575901,1.0493387
0.0,0.0,0.0,0.0,0.0,-100.0,0.005290734,0.99810475,9.244825e-06,0.86255985,0.14277901,0.29892442,0.4441239,0.54246706,0.7074452,0.79458165,0.8544653,0.9562745,0.95591027,1.1131874,1.1313986,1.2002681,1.3109517,1.2811887,1.3056697,1.3139863,1.359506,1.377986,1.4736639,1.520209,1.3751909,1.2649151,1.0513167,0.8656712,0.7147567,0.59388417,5.066912e-10,2.7951703e-09,6402.539,14039.648,17599.805,18547.266,0.00010755224,12038.348,25.73306,42000636.0,-0.55243003,1.982159,3.6698297e-10,7.9712715,8.580446e-09,-4.114408,2.689265,0.8517421,3.7115405,4.543544,5.3257923,9.820831,12.476665,6.682415,8.887883,-1.1892968,-2.3221626,-2.8516977,0.32761112
0.0,0.0,0.0,0.0,0.0,-100.0,0.00528912,1.0148025,9.263241e-06,0.8303099,0.15350102,0.3151728,0.46242115,0.52602553,0.78114027,0.85095376,0.8961766,0.9796,0.9490278,1.1795497,1.1477723,1.2388048,1.3790008,1.2638676,1.2873368,1.2800741,1.3485742,1.3655368,1.5086575,1.5850409,1.397576,1.3160665,1.0528746,0.820584,0.6953223,0.60420686,1.1675737e-09,2.5983502e-09,4837.793,13838.672,17772.07,18547.266,0.00010495894,11675.757,26.67283,46313296.0,-0.4705375,1.7907878,2.1522069e-10,7.710527,8.326726e-09,-2.247094,4.277925,1.0711925,0.47091088,-0.2855946,3.3971615,7.1578574,14.317042,10.178174,11.241398,1.446349,3.62523,-5.442702,-0.7256209
0.0,0.0,0.0,0.0,0.0,-100.0,0.005458955,1.0383233,9.806743e-06,0.7836986,0.16545306,0.33539224,0.49173677,0.5312538,0.9083547,0.96393347,0.9825702,0.95270324,0.96218634,1.2640508,1.1471778,1.269358,1.418245,1.2187933,1.2811848,1.2861916,1.3740221,1.4302474,1.5644569,1.5848588,1.3953665,1.3563596,1.055595,0.77045816,0.6808155,0.6056388,1.8448553e-09,2.9786253e-09,3517.0898,13680.762,17585.45,18532.91,0.000105037376,11300.898,24.75313,50493684.0,-0.4361489,1.6581815,8.272929e-11,7.461924,9.735917e-09,0.6343636,5.412352,4.586877,2.0090494,-2.7217982,5.3302627,4.6094246,5.439592,13.293424,13.643386,3.623722,2.8725348,-7.9799843,-3.954788
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057637827,1.0661107,1.0801086e-05,0.72310406,0.18268895,0.37699857,0.56470895,0.6391892,1.0910368,1.1335176,1.0872232,0.85681385,0.99316245,1.3021358,1.123814,1.2281804,1.4375271,1.2094709,1.2803545,1.3257421,1.4386905,1.5135111,1.6029621,1.5387812,1.3603226,1.3401951,1.0735852,0.744718,0.67516494,0.59838635,5.3752114e-09,3.0392409e-09,1937.9883,12604.102,17298.34,18532.91,0.00011778119,10427.302,21.4965,54754450.0,-0.2730033,1.4767019,-4.5381912e-10,6.903855,1.21358825e-08,3.7448585,10.304706,7.9419746,1.531262,-7.798237,-3.4222615,0.03166608,3.17665,8.650772,10.639467,7.4406257,7.497677,-7.4156394,-6.702453
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061199493,1.1071936,1.2534364e-05,0.6574704,0.20689858,0.44080496,0.7059911,0.8925492,1.3301436,1.3573618,1.1837296,0.7625329,0.9944474,1.3122449,1.1193956,1.1610523,1.4818338,1.2665539,1.2779566,1.3479382,1.4808966,1.5421071,1.6012678,1.5006396,1.3577944,1.3173933,1.108143,0.7561632,0.68756694,0.59362704,9.030081e-09,3.1330698e-09,1062.3047,11168.555,16752.832,18461.133,0.00013145951,9603.403,17.907269,56142624.0,-0.119683184,1.3961515,-1.0785587e-09,6.400574,1.5380914e-08,5.1526647,13.932818,9.298959,4.6737714,-6.949238,-11.771343,-3.5171154,3.6690772,8.481685,11.829457,5.5349107,3.3187182,-9.1669655,-8.7773
