F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9960947,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9876544,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9536407,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012177922,0.98834115,3.4253722e-07,0.88813305,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.125466e-12,2.3440994e-11,1880.5664,3703.711,5541.211,6646.582,7.5782878e-06,3682.1777,90.54615,13505573.0,-2.182236e-09,0.599997,-4.883876e-20,2.443621,2.4033147e-18,-2.9840457,0.020660933,-0.6909825,0.03595785,-0.33479202,0.04902802,-0.18948059,0.04305312,-0.10584247,0.06505735,-0.042109195,0.071644224,3.947545e-05,0.053189788
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019857734,1.091736,1.985288e-06,0.8093979,0.14521782,0.29143795,0.45055977,0.6041971,0.725368,0.8146004,0.89067334,0.99327713,1.0585552,1.1574239,1.2292265,1.3010285,1.3607422,1.3894693,1.4706112,1.4927226,1.5587049,1.5974221,1.61509,1.6089822,1.5290222,1.362999,1.2097789,1.0335644,0.828438,0.6660232,5.5888485e-11,2.8780137e-10,3631.9336,7909.8633,10895.801,12718.945,2.8080345e-05,7287.3477,116.544525,26967022.0,-0.12046009,1.2104266,-6.290168e-12,4.878822,3.780919e-10,-3.968443,0.46518067,-0.73750204,3.257315,4.3250556,-0.11749798,-1.9470539,-0.9430628,2.085209,0.4172698,4.053724,0.585493,4.118982,1.9388705
0.0,0.0,0.0,0.0,0.0,-100.0,0.003418003,1.4242945,4.63857e-06,0.707105,0.21341805,0.37970185,0.5686023,0.76406187,0.9226801,1.0020587,1.0724797,1.2250323,1.297028,1.4896923,1.6508656,1.7434114,1.8138591,1.7796124,1.9178457,1.87419,2.069635,2.1262267,2.11345,2.1105537,2.0663426,1.7761078,1.6372938,1.4050713,1.117544,0.89489347,3.0396005e-10,1.36636e-09,4521.9727,12058.594,16652.344,18848.73,6.9658156e-05,10792.25,124.275154,43920892.0,-0.2284166,1.7304095,-8.09168e-11,7.213351,3.0534997e-09,-4.0210366,2.0692568,2.6325371,6.9741263,6.4904575,2.5870335,-1.9177171,1.3462249,7.5718255,4.75753,2.8275194,3.3800046,3.1569908,1.3983464
0.0,0.0,0.0,0.0,0.0,-100.0,0.0041953647,2.0264826,9.3882145e-06,0.6084656,0.38851738,0.5858989,0.8079142,1.0844699,1.3135495,1.345768,1.4378017,1.6478571,1.748282,2.056672,2.3489473,2.5032716,2.6300178,2.524279,2.7965333,2.6002188,3.0253317,3.0581806,3.0117474,2.979102,3.0673885,2.535487,2.3323042,1.9911932,1.583567,1.2842522,4.2147277e-10,1.7286635e-09,2698.8281,11082.422,16422.656,18274.512,9.744199e-05,9791.831,47.525654,49244908.0,-0.16199589,1.5985821,-2.768384e-10,6.567516,4.1728576e-09,-0.39623252,3.7485733,8.086909,10.233966,9.70385,3.7523153,2.5172794,5.2482896,6.0775223,7.496989,4.8229556,6.662287,6.194779,3.2979534
0.0,0.0,0.0,0.0,0.0,-100.0,0.004998376,2.7368762,1.4815353e-05,0.49105573,0.7747672,1.0090183,1.1500342,1.6088457,1.9441735,1.9134583,2.0078409,2.1075585,2.3146143,2.6295826,3.0152137,3.2852561,3.5443466,3.4625723,3.939263,3.4961178,4.092674,4.075691,4.0338874,3.904166,4.1598964,3.4168797,3.009826,2.5312135,2.0301826,1.7017139,2.100052e-09,2.3053799e-09,947.46094,6890.625,11096.777,14700.0,0.00020118481,6753.6597,23.660624,43378460.0,0.90887684,4.1882634,-8.622022e-09,4.515133,7.1903377e-09,3.4870613,9.303428,14.651576,11.871495,5.6026516,3.4298995,8.046518,13.433704,8.396072,13.947632,8.006442,11.160197,2.9488776,2.8917465
0.0,0.0,0.0,0.0,0.0,-100.0,0.0049225995,3.237117,1.8891858e-05,0.39695135,1.2513407,1.544939,1.4309524,2.1423125,2.584121,2.5638497,2.6190138,2.3931968,2.7258217,2.8863952,3.3099735,3.6504505,4.0156436,4.0941114,4.721232,4.2252955,4.765829,4.6617794,4.745141,4.464721,4.884842,4.077399,3.3929965,2.8118994,2.267912,1.9338856,2.643638e-09,1.7977649e-09,57.421875,2756.25,8785.547,14269.336,0.00024258869,4746.916,20.389267,43270036.0,1.3968488,4.499104,-1.0539501e-08,3.1754763,6.5239356e-09,5.6474113,12.808417,15.917492,9.709134,6.192324,1.5540295,11.259152,13.387807,11.551469,16.639013,12.364245,8.293068,5.832569,3.913745
0.0,0.0,0.0,0.0,0.0,-100.0,0.005596096,3.4275234,2.5365065e-05,0.33938017,1.7239279,2.0932002,1.6984981,2.6766274,3.1903353,3.141877,3.1091728,2.5221279,2.9882793,2.9612267,3.2894344,3.6220791,3.995409,4.223326,4.8254485,4.4469943,4.7725883,4.6053185,4.909078,4.5670547,4.9370027,4.3215804,3.4765577,2.859191,2.2471704,1.9121041,6.7094015e-09,2.2662607e-09,43.066406,71.77734,3531.4453,8297.461,0.00033144155,2275.8843,8.236632,27148022.0,3.115894,14.313331,-2.4847928e-08,1.5271829,8.138634e-09,10.919823,17.667698,15.37959,9.788297,9.652557,1.9884721,9.554735,8.841391,14.062507,14.563399,12.8559065,9.630812,3.666762,2.9740982
