F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061474056,0.98834115,1.909624e-05,0.48715043,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.387492e-10,3.7903e-09,4320.996,14168.848,15920.215,16322.168,5.357308e-05,10591.115,11.996409,43183876.0,-0.5780314,1.8368584,-5.534704e-10,7.195188,2.5342223e-08,-7.0121117,4.8665915,-1.3798186,2.2019608,-3.1782324,7.7291617,16.16194,23.584833,14.911366,12.7962675,15.043262,14.434123,9.999686,10.960717
0.0,0.0,0.0,0.0,0.0,-100.0,0.00608658,0.98834115,1.9322413e-05,0.47064748,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.2710255e-10,3.927559e-09,4005.1758,14211.914,15934.57,16350.879,0.000114051065,10626.038,11.888022,44006640.0,-0.58626395,1.8286668,-5.207746e-10,7.20904,2.6434194e-08,-7.1482415,4.315577,0.36570135,4.991263,-0.3695787,9.048566,14.050811,21.885246,17.508074,15.747146,10.143399,10.640918,6.9356704,8.827024
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059901564,0.98834115,1.960172e-05,0.44948348,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.323739e-10,4.024464e-09,3933.3984,14039.648,15862.793,16379.59,0.00017444848,10595.895,11.792121,44308540.0,-0.57049936,1.8290986,-5.6974053e-10,7.1878448,2.6238704e-08,-7.305612,4.211908,1.7965707,7.141126,2.2592022,10.431739,7.705115,18.949999,19.156042,19.63146,6.297951,6.9310822,7.98996,9.725742
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061939885,0.98834115,1.9810672e-05,0.43335852,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.4363744e-10,4.2116146e-09,3287.4023,13709.473,15604.395,16379.59,0.0001857714,10364.866,11.581116,44548236.0,-0.5143546,1.7671357,-8.679082e-10,7.042193,2.8249254e-08,-6.0401,6.301039,3.7430522,7.530619,3.1818736,8.033994,5.0883236,13.955391,15.328383,12.429189,1.6087288,9.721574,9.125377,12.010264
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062261834,0.9952221,2.0046535e-05,0.41735956,0.13018481,0.28442976,0.43069968,0.5851994,0.705081,0.7563198,0.8452291,0.94578034,0.99561805,1.0714039,1.0892657,1.1605247,1.2102573,1.2488084,1.3283774,1.3532991,1.4176348,1.4723724,1.4714519,1.4427277,1.3588818,1.224435,1.096595,0.9158825,0.7339256,0.6013859,9.596216e-10,3.9598507e-09,3229.9805,13049.121,15389.0625,16365.234,0.00018750779,10133.702,11.534591,43426668.0,-0.4652935,1.7540542,-1.1794491e-09,6.9130473,2.8152902e-08,-5.7945957,7.8478265,0.8770382,4.4119487,1.6745993,11.203052,4.61793,12.21711,14.547061,12.690372,7.2882724,9.6921835,11.548804,14.380782
0.0,0.0,0.0,0.0,0.0,-100.0,0.00632026,1.0045924,2.0506923e-05,0.3969514,0.13225311,0.28374225,0.444079,0.6220173,0.7473488,0.7335565,0.84746027,0.9788014,1.0288571,1.138834,1.0684272,1.1651062,1.1960243,1.2273697,1.3353157,1.3349737,1.4205064,1.481608,1.4811527,1.4485493,1.3565668,1.2123718,1.1242365,0.946785,0.74517316,0.6182855,9.32292e-10,4.1614228e-09,2239.4531,12991.699,15360.352,16307.8125,0.0001976724,9915.014,11.152591,44353164.0,-0.42836103,1.6699181,-1.5606938e-09,6.7696686,2.9335988e-08,-6.185799,6.796074,-0.21410573,6.3904014,1.6170949,11.36925,6.751147,11.019422,11.847748,11.72541,6.9661636,12.206784,11.73629,13.546943
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061302003,1.0100797,2.1031317e-05,0.37515748,0.13568486,0.28035352,0.44350877,0.6367863,0.77509475,0.6855283,0.8300645,0.99325055,1.055786,1.2401226,1.0266167,1.1525068,1.1707697,1.2126064,1.3454499,1.3372074,1.4407583,1.4759611,1.4925267,1.4624295,1.3583866,1.2004766,1.1457766,0.98293185,0.74578637,0.63570434,6.4372824e-10,4.3535953e-09,1234.5703,13278.809,15661.816,16365.234,0.00019741005,9981.011,10.874756,46926556.0,-0.42905092,1.6109066,-1.5098739e-09,6.779753,2.8553588e-08,-7.6352744,5.7990932,2.4513838,7.9109397,4.4836164,15.142154,7.5300574,11.345245,12.241044,16.4424,12.187268,13.363875,13.545419,12.713768
0.0,0.0,0.0,0.0,0.0,-100.0,0.006028146,1.0003059,2.1099657e-05,0.36583522,0.13911322,0.26905644,0.41663694,0.6094301,0.7433005,0.6332779,0.7789555,0.9343073,1.0393175,1.3165112,0.99301624,1.1549417,1.1623222,1.2117285,1.3403028,1.3642974,1.4800678,1.4322158,1.4733881,1.4825484,1.3712918,1.1648661,1.132079,0.9871123,0.7396414,0.6382278,4.803273e-10,4.372208e-09,1349.4141,13766.895,15934.57,16379.59,0.00019629432,10174.343,10.810196,48022220.0,-0.45755425,1.6246599,-1.2604532e-09,6.884659,2.6888168e-08,-7.917748,5.1347957,4.519117,11.703385,7.5176063,13.226638,4.6566854,10.426644,11.863408,16.919016,8.616495,12.5146,16.65079,10.4530325
0.0,0.0,0.0,0.0,0.0,-100.0,0.005966376,0.9851477,2.1033351e-05,0.36205593,0.14137562,0.28223333,0.3897073,0.5832227,0.703327,0.5817376,0.72860193,0.8635445,1.0086048,1.3079505,0.9539964,1.1334453,1.1511399,1.2080606,1.314234,1.4131843,1.516532,1.4170042,1.4380975,1.5320345,1.398889,1.1396602,1.1080374,0.97094774,0.7140543,0.6142187,5.0824733e-10,4.0283474e-09,1349.4141,13508.496,16078.125,16422.656,0.0001849396,10225.155,10.951802,48314050.0,-0.45471933,1.6406254,-1.1377023e-09,6.9112763,2.577132e-08,-7.0070596,7.432152,6.8094573,6.819462,6.370836,15.517617,9.283786,10.435529,10.861087,14.967849,9.95991,10.129401,17.241257,10.156738
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060059745,0.9735902,2.1180831e-05,0.3553792,0.14187928,0.3134773,0.3903366,0.58064747,0.7018593,0.58019274,0.7205699,0.81101185,1.0199274,1.2279108,0.92776376,1.1289248,1.1373867,1.1779004,1.2795314,1.4356989,1.4920293,1.3931203,1.429092,1.5795193,1.4222122,1.1262764,1.0837547,0.9528103,0.6825752,0.57693744,7.9097395e-10,3.833017e-09,846.97266,13364.941,15920.215,16408.3,0.00018905658,10066.9375,10.879939,48483228.0,-0.4400322,1.601314,-1.3728427e-09,6.8208594,2.6523836e-08,-4.9261217,8.037091,5.8481045,6.422728,6.485897,9.667699,6.9775352,11.886012,11.143176,12.889384,8.024985,8.254383,14.682324,9.713073
