F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.93121696,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,3.4253722e-07,0.88284206,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6562594e-14,2.7421948e-13,1880.5664,3718.0664,5555.5664,6646.582,8.196571e-07,3682.1777,8.632051e-06,13505573.0,2.2445732e-09,0.599997,4.3837185e-22,2.4436216,2.682271e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016691973,0.98834115,1.7957996e-06,0.79868984,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.2551739e-10,1.1107775e-10,3100.7812,7550.9766,11254.6875,12604.102,2.2045011e-05,7210.737,34.43115,29028618.0,-0.09881414,1.1477591,-8.3833435e-12,4.809077,3.402726e-10,0.7025931,3.0883925,0.65233773,-0.13639364,-2.4102848,-1.6178287,2.1108196,1.0597649,-0.8408902,0.10257626,-1.5075727,2.4727297,-0.89113766,0.35873613
0.0,0.0,0.0,0.0,0.0,-100.0,0.0033009667,0.98834115,5.2890077e-06,0.6924918,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.507246e-09,1.9874375e-09,3215.625,9115.723,16480.078,18662.11,6.413412e-05,9883.762,42.881516,47928108.0,-0.006618798,1.6037992,-3.921218e-10,6.5968285,2.7398095e-09,2.9315603,4.08274,3.2079926,4.351993,1.7639241,-6.42528,-3.3603528,1.957853,-1.7562351,-1.9899775,0.66294765,4.2717605,-4.3047004,2.7925422
0.0,0.0,0.0,0.0,0.0,-100.0,0.005864579,1.2534486,1.0554046e-05,0.5723104,0.1842583,0.38293588,0.5747241,0.76633483,0.9015433,0.97418946,1.0891265,1.1804727,1.1854969,1.3094865,1.4912294,1.5648915,1.5745815,1.6389917,1.7063788,1.705124,1.7051011,1.8155171,1.8357725,1.7820755,1.6530555,1.5195729,1.3216156,1.0937265,0.90128106,0.7321777,6.5729666e-09,7.612458e-09,1421.1914,5670.41,13307.52,17298.34,0.00012701399,7654.5337,46.988117,48304980.0,0.4296131,2.0368416,-3.012138e-09,5.1487784,8.55962e-09,6.777477,5.3609023,5.0682015,8.236896,3.5602467,-7.3382626,-5.9318566,3.4412506,1.8877615,-0.75480133,-0.17698114,0.4084727,-4.725317,8.765474
0.0,0.0,0.0,0.0,0.0,-100.0,0.00809311,1.915804,1.7470195e-05,0.46145126,0.3463757,0.72265625,1.0341289,1.3722678,1.5434879,1.5048379,1.7351519,1.9159485,1.6880726,1.9968342,2.5981638,2.6953022,2.4458454,2.4922583,2.559727,2.4485261,2.465784,2.6704872,2.709218,2.6479125,2.3366556,2.1479833,1.8793665,1.5553228,1.274675,1.0239118,1.991605e-08,1.3411888e-08,244.04297,1909.2773,7881.1523,15245.508,0.00017253116,4909.049,15.546665,41268564.0,1.340161,3.9963639,-9.085812e-09,3.3333817,2.1109484e-08,11.30632,5.0614586,6.5546317,10.1355295,9.322526,-6.3998694,-11.783084,1.408142,5.022747,-1.638361,-1.9579191,-4.8712516,-2.4531548,9.716807
0.0,0.0,0.0,0.0,0.0,-100.0,0.010149275,2.8730404,2.4400482e-05,0.36407152,0.60383254,1.3098226,1.8179502,2.354442,2.5884297,2.282154,2.7473156,3.1890488,2.4928315,3.0251758,4.378931,4.494155,3.7102957,3.6955729,3.6471283,3.4142935,3.5529125,3.8877678,3.8342812,3.8343096,3.173568,2.8584144,2.566714,2.1557076,1.7231475,1.3608475,6.1060376e-08,2.2667171e-08,172.26562,416.3086,2784.961,9661.23,0.00022234417,2629.4392,9.246999,26124822.0,2.7130435,10.8184,-2.4300427e-08,1.8424305,5.0975675e-08,15.764903,6.219513,5.551065,8.088352,6.7429223,-3.139431,-9.832948,0.7205932,7.027139,-5.6311874,-6.4573607,-6.163946,0.78012115,10.145291
0.0,0.0,0.0,0.0,0.0,-100.0,0.012372286,3.752677,3.2156247e-05,0.2883598,0.86927575,1.955863,2.6695626,3.4226391,3.745837,3.1799324,3.8709996,4.7669535,3.4352863,3.9237077,5.9830184,6.143638,4.759519,4.6372585,4.3927712,4.262468,4.646033,4.888443,4.5874715,4.7447224,3.783683,3.381842,3.1813467,2.6608784,2.06389,1.6125575,1.4669762e-07,3.795808e-08,157.91016,272.7539,617.28516,4895.215,0.00027852782,1532.359,7.025309,15132005.0,3.8992355,18.982664,-4.987594e-08,1.1207474,1.0241964e-07,17.833757,8.267381,4.1854706,6.469797,5.720257,-5.46942,-7.6601233,-2.5271814,7.0589843,-6.841986,-8.978156,-1.7808639,1.9006981,8.917832
0.0,0.0,0.0,0.0,0.0,-100.0,0.0152825015,4.376917,4.6805744e-05,0.22171831,1.0400785,2.446758,3.4710243,4.3856063,4.8962884,4.15233,4.8365664,6.1215625,4.4035597,4.5732503,6.9910493,7.228813,5.359549,5.3129764,4.6761117,4.8624578,5.3880696,5.415566,4.8351893,5.2078276,4.115951,3.602579,3.57948,2.9623034,2.201117,1.7337695,4.5662568e-07,6.849547e-08,172.26562,301.46484,473.73047,1248.9258,0.00044212502,960.02295,5.5597253,7671842.5,5.8699784,42.997868,-1.1340412e-07,0.75653833,2.889108e-07,20.59805,7.7406,2.6895723,4.901437,1.8556352,-9.112519,-8.864832,-3.4468696,5.2040563,-5.181737,-7.002607,-3.6931152,1.7855897,8.553878
0.0,0.0,0.0,0.0,0.0,-100.0,0.0178858,4.830408,6.465973e-05,0.17145376,1.161103,2.7910993,4.10617,5.1410465,6.0246787,5.327109,5.72493,7.2614594,5.2762547,5.0818,7.4955654,7.771473,5.6561923,5.763128,4.785515,5.4321723,5.7398667,5.5551834,4.8660097,5.4263616,4.34553,3.783388,3.8633537,3.122278,2.2518427,1.83711,7.204688e-07,9.602621e-08,157.91016,272.7539,459.375,990.52734,0.0007043884,694.6529,4.708678,4299160.5,8.692051,101.823204,-2.5042166e-07,0.58053064,5.134482e-07,23.261469,9.293761,2.0277565,3.0457,3.0636835,-8.991886,-7.629997,-1.2157885,6.0316734,0.7733901,-6.8176613,-5.242054,1.7446879,8.3865385
