F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0056727487,0.98834115,2.8360257e-05,0.011589821,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.8335547e-10,3.0745166e-09,43.066406,43.066406,3603.2227,15087.598,4.513114e-05,3513.3098,7.9615273,38372840.0,1.4863939,3.6498845,-1.2478059e-08,2.3808305,1.3141313e-08,-1.238996,8.153088,4.210418,16.819296,10.7586565,18.311064,16.413527,21.264927,9.8219,13.924668,5.0228667,8.058882,7.1823754,5.3497252
0.0,0.0,0.0,0.0,0.0,-100.0,0.005894646,0.98834115,2.8216173e-05,0.011085916,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.531426e-10,3.3705305e-09,43.066406,43.066406,7335.6445,15489.551,9.1722795e-05,4092.327,8.171571,42134220.0,1.238715,2.9654386,-1.1486904e-08,2.777279,1.473277e-08,-0.9560602,8.300725,0.92537576,13.092991,10.085063,18.370697,15.972187,17.225803,10.414608,8.523365,7.108816,13.331268,7.2379584,9.995463
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059706555,0.98834115,2.805946e-05,0.011085915,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.9076395e-10,3.8114254e-09,43.066406,43.066406,11326.465,15991.992,0.00014042173,4741.5435,8.432214,46953764.0,0.97964144,2.2601693,-1.0281241e-08,3.213609,1.5593038e-08,-1.3989564,7.424085,-0.6466953,13.224195,11.85786,14.911595,11.725274,16.617311,16.116014,6.136823,9.652145,16.75116,10.773605,11.0266075
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059920647,0.98834115,2.8182345e-05,0.011589821,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.588629e-10,4.060309e-09,43.066406,43.066406,10450.781,15791.016,0.00014211719,4571.7954,8.33924,45380084.0,1.037356,2.4110582,-1.06237295e-08,3.1035593,1.4522276e-08,-1.6835623,6.8752475,0.23427184,15.107606,11.203855,15.694481,14.094601,11.723502,18.356882,8.160853,15.644015,15.855686,10.781654,10.251419
0.0,0.0,0.0,0.0,0.0,-100.0,0.005801597,0.98552924,2.8584012e-05,0.015873017,0.12961699,0.27163064,0.41801527,0.5475796,0.6592295,0.77390146,0.8421292,0.8870725,0.99136657,1.0200888,1.0684962,1.1772895,1.1788354,1.2894951,1.3450135,1.4067715,1.473868,1.4094901,1.4417509,1.4075903,1.370509,1.2161671,1.07869,0.9046397,0.7319801,0.5825408,6.2760724e-10,3.7097523e-09,43.066406,43.066406,10407.715,15805.371,0.00014087073,4478.1016,8.150807,45597436.0,1.0706158,2.4622498,-1.1076341e-08,3.034155,1.3915652e-08,-2.0722308,6.813553,2.3449955,16.42287,9.788318,14.468364,17.698143,12.470033,18.586607,10.537177,12.1729,13.485973,14.020968,7.0748773
0.0,0.0,0.0,0.0,0.0,-100.0,0.005737224,0.9764435,2.8821201e-05,0.025447214,0.13073379,0.2662122,0.4180589,0.54349184,0.6483572,0.7890865,0.830604,0.8587101,0.9837391,0.97522837,1.016118,1.166792,1.1075023,1.3004743,1.3757435,1.4772285,1.5521412,1.3532568,1.4153992,1.3555079,1.3883413,1.1739978,1.0697213,0.9078336,0.7162268,0.5670228,8.1360413e-10,3.2671392e-09,43.066406,43.066406,8842.969,15704.883,0.00013924636,4130.0728,7.917052,43653460.0,1.1963981,2.7412212,-1.1841799e-08,2.7973812,1.3635298e-08,-1.0908726,7.5345974,2.8997276,13.327439,4.06409,17.047812,21.195333,9.001164,14.027592,11.2595825,13.927897,13.769673,12.857402,11.5447645
0.0,0.0,0.0,0.0,0.0,-100.0,0.005708287,0.9666268,2.8642493e-05,0.048248928,0.1321037,0.2683516,0.4354057,0.5475399,0.64276713,0.81455785,0.8298448,0.8672788,0.97068304,0.92065215,0.96376944,1.1085643,1.016512,1.2725751,1.3974746,1.552188,1.5943686,1.3099598,1.4082788,1.3132755,1.4300036,1.128568,1.0604216,0.90312743,0.68483233,0.55919033,8.9569324e-10,2.9000355e-09,43.066406,43.066406,9847.852,15891.504,0.00013708527,4285.4688,8.035545,44861060.0,1.1366647,2.587026,-1.15054535e-08,2.901449,1.456591e-08,-0.43820956,9.868169,4.4328938,10.695516,6.3401427,15.354625,18.412659,14.576256,12.461548,9.667644,8.254649,10.120063,11.136649,11.06388
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059138485,0.9669788,2.8606117e-05,0.07734946,0.13262926,0.2764353,0.46348146,0.5773512,0.66348,0.86846805,0.85496324,0.9159259,0.92042226,0.88861895,0.9739836,1.0282073,0.99338365,1.2080379,1.3772272,1.5846511,1.5601902,1.3229581,1.4219332,1.3569263,1.4962972,1.1105274,1.0346287,0.88366467,0.6514778,0.5755764,1.319861e-09,3.2919008e-09,43.066406,43.066406,10895.801,16006.348,0.00014425207,4678.435,8.094757,47095604.0,1.0266937,2.402091,-1.0989112e-08,3.1598883,1.5712795e-08,0.053343017,10.1569195,4.1189733,9.48464,6.214699,14.104812,11.160695,14.288132,14.842151,14.601026,11.507782,9.0889015,9.253871,10.870365
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061842445,0.9863138,2.8957162e-05,0.112244904,0.1321372,0.31024644,0.48998836,0.6364825,0.7201812,0.95099545,0.9193328,0.986615,0.8821953,0.9043293,1.0553619,0.99815965,1.0209962,1.1607054,1.3421102,1.5562367,1.4755138,1.3790239,1.4692321,1.4594898,1.5275043,1.1212357,1.027433,0.86607057,0.6472768,0.6053042,2.0048334e-09,3.5138727e-09,43.066406,43.066406,11800.195,15905.859,0.0001563054,4820.8096,8.174611,47563260.0,0.9576709,2.2225416,-1.1013263e-08,3.264678,1.7310567e-08,1.7175564,11.380737,2.4203773,9.417486,6.4111805,13.414234,9.245344,16.613127,15.849438,11.690879,8.805302,6.6583877,6.157229,9.914595
0.0,0.0,0.0,0.0,0.0,-100.0,0.006713912,1.0281423,2.9536555e-05,0.14827412,0.13118291,0.35964882,0.521683,0.7091815,0.79155177,1.117744,1.0687696,1.0544323,0.8848135,0.936336,1.147453,1.0642711,1.086345,1.1800348,1.3282447,1.4983996,1.4349841,1.4448713,1.5162282,1.5657133,1.5295014,1.1644121,1.0314497,0.8558127,0.6738465,0.6347895,4.7219086e-09,4.073448e-09,43.066406,43.066406,12819.434,16049.414,0.00016991992,5054.398,8.053832,49222404.0,0.89176255,2.0711806,-1.1470953e-08,3.421652,2.0659208e-08,3.7688668,11.15499,0.3856355,6.0912023,0.08863652,10.532664,10.427583,19.1614,18.516073,11.412334,6.387703,5.89504,2.3307145,8.746024
