F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061607435,0.98834115,1.9569574e-05,0.4114386,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.1195043e-10,4.505217e-09,2540.918,14111.426,15747.949,16365.234,5.529056e-05,10361.648,11.735985,45794404.0,-0.47953597,1.7278161,-8.5340246e-10,7.022712,2.3430127e-08,-4.6098733,5.5066075,3.7207057,14.067723,6.5667114,11.106949,11.357968,13.792206,3.0173664,23.380503,12.159375,8.734942,3.270813,-1.3498572
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061224713,0.98834115,1.9569574e-05,0.38271606,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.134237e-10,4.3987614e-09,2942.871,14010.9375,15848.4375,16393.945,0.00011532765,10463.433,11.71447,45695860.0,-0.499734,1.754748,-7.259915e-10,7.0856338,2.3844876e-08,-5.2187123,4.389771,3.6190178,12.199169,6.029236,11.498229,15.486137,13.007942,8.247715,22.209696,9.575981,8.398286,4.724126,2.186167
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059216805,0.98834115,1.9676425e-05,0.34240365,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0145687e-10,4.0704413e-09,3043.3594,13738.184,15762.305,16437.012,0.00017234687,10411.149,11.654685,45289940.0,-0.4923316,1.7707952,-8.046411e-10,7.061705,2.4183963e-08,-5.799288,3.7458057,4.8082223,11.134312,4.875152,16.817144,15.015076,11.456787,7.581081,21.354248,7.5377426,7.013445,6.6577225,5.848554
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059347395,0.98834115,2.0507854e-05,0.30347696,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5811688e-10,4.184171e-09,2124.6094,13580.273,15676.172,16422.656,0.00017576135,10227.4795,11.409385,46251904.0,-0.46415558,1.7140793,-1.0944684e-09,6.9437485,2.5124882e-08,-5.3094144,3.4874876,3.8216364,12.279958,9.002475,15.323945,10.151853,7.6345468,8.7104845,16.226114,8.248715,7.853334,10.144814,9.749508
0.0,0.0,0.0,0.0,0.0,-100.0,0.005881501,0.9885521,2.1969272e-05,0.27135298,0.13209738,0.26625606,0.43567514,0.58398575,0.68321663,0.7634886,0.809787,0.9418605,1.0044155,1.0535439,1.1306678,1.1689736,1.2192892,1.223646,1.2968519,1.3340559,1.4142176,1.4520603,1.4587111,1.4663872,1.3493694,1.2103966,1.0744753,0.90553564,0.73522,0.5881681,6.454645e-10,3.939116e-09,933.10547,12704.59,15288.574,16279.102,0.00017702761,9489.332,10.803284,47545760.0,-0.33009142,1.5554258,-2.334068e-09,6.47797,2.731799e-08,-4.383913,6.0744348,4.2425475,10.942749,10.157933,19.75467,5.4737473,2.6129673,4.8032055,16.256235,10.9484,8.807422,13.369174,9.208264
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060330355,0.9908733,2.3235314e-05,0.25497606,0.13883881,0.26243827,0.4571785,0.61249506,0.70841074,0.7866848,0.74996847,0.9833336,1.0653225,1.060771,1.1655048,1.1714462,1.225809,1.162168,1.2176338,1.2581223,1.4127365,1.4650427,1.4649628,1.529089,1.3405137,1.1971849,1.0766844,0.92733,0.7423489,0.58068365,7.06728e-10,4.0303156e-09,43.066406,12604.102,15317.285,16135.547,0.00018396543,9093.317,10.08899,50427852.0,-0.25243255,1.3958105,-3.1580496e-09,6.2013817,2.8897437e-08,-4.094008,6.7864156,2.5053918,8.859523,13.459146,17.562775,7.1708717,5.5311704,12.112672,14.0443735,11.524026,13.897578,16.306326,6.313923
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060652965,1.0006341,2.3730754e-05,0.24212648,0.14842263,0.26440862,0.48287115,0.6359215,0.7477412,0.8561039,0.70637923,1.0801845,1.1479415,1.0568668,1.177931,1.1729016,1.2427034,1.0932357,1.1093593,1.1738476,1.4091759,1.4729005,1.4815296,1.6133977,1.3349609,1.2190561,1.0973982,0.96409196,0.7595292,0.56762576,8.302443e-10,3.6797791e-09,43.066406,12288.281,15432.129,16149.902,0.00018754539,8847.875,9.740825,52334060.0,-0.1963913,1.3041166,-3.674048e-09,6.022967,2.9004122e-08,-3.4014368,8.65972,2.2004974,4.2311764,10.78526,19.086344,9.855664,9.754623,12.064174,13.484494,8.776994,11.846249,18.944984,6.6355305
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061657676,1.0143305,2.3962168e-05,0.22474174,0.15622357,0.28632197,0.5082322,0.6347409,0.75090486,0.97834706,0.7543896,1.192501,1.212627,1.0200071,1.1213226,1.1868174,1.2395797,1.099459,1.013399,1.1123661,1.4064684,1.4747494,1.5302988,1.6459951,1.3402275,1.259813,1.1073112,0.9921382,0.77888376,0.569468,1.0860121e-09,3.6631527e-09,43.066406,12848.145,15704.883,16250.391,0.00019192965,9098.548,9.677522,53455776.0,-0.23254228,1.3140501,-3.3507355e-09,6.1677346,2.8968698e-08,-2.3399642,9.695552,1.9086739,6.0557466,10.475663,18.808403,11.468453,17.041252,15.931872,5.933592,2.2800596,8.388401,10.043199,3.5858297
0.0,0.0,0.0,0.0,0.0,-100.0,0.0065823146,1.0421928,2.4493298e-05,0.19135803,0.15903042,0.33649698,0.5509184,0.6509127,0.73030615,1.1068763,0.91483593,1.3452953,1.2714669,0.98624444,1.0735725,1.2992074,1.2740512,1.1777105,0.9801968,1.0872027,1.3850302,1.4484848,1.5671262,1.6155766,1.333995,1.3000289,1.1207123,1.0014486,0.7920646,0.5882191,1.4995963e-09,5.147324e-09,71.77734,11814.551,15676.172,16365.234,0.00019945437,8935.215,10.081439,52898496.0,-0.16502814,1.3313955,-3.430836e-09,6.0667763,2.9121324e-08,0.5744486,9.775693,-1.0731395,7.912104,9.695544,17.836313,11.852189,17.5643,12.226677,3.858082,-6.204786,2.2417192,7.710058,5.8016186
0.0,0.0,0.0,0.0,0.0,-100.0,0.008804557,1.1290884,3.679258e-05,0.15192744,0.16330975,0.45710015,0.663765,0.7414791,0.7398079,1.2610179,1.1980048,1.558026,1.4280719,1.0230236,1.1574663,1.5377764,1.3729181,1.321558,1.0552064,1.1414824,1.4293809,1.4892458,1.6926914,1.5915304,1.3515209,1.3385748,1.1412477,1.0252748,0.83133703,0.64548,5.369919e-09,1.6554775e-08,100.48828,8010.3516,12876.855,15934.57,0.0002631083,7349.813,9.300231,46395796.0,0.31017333,1.93816,-1.11069065e-08,5.0169363,4.452517e-08,3.2129097,9.044254,-1.037443,9.1167,9.804249,20.441198,8.238758,16.404348,13.234914,-0.26562405,-9.111118,-1.3902155,3.4994183,4.13312
