F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061464556,0.98834115,2.5942354e-05,0.072814316,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.5437616e-09,3.4927634e-09,43.066406,2426.0742,15001.465,16393.945,5.4407337e-05,6880.761,9.304123,54027628.0,0.3573451,1.4124428,-6.634272e-09,4.6669245,2.2076525e-08,-1.2164968,10.710358,2.5751622,10.398617,5.6181984,8.454646,7.730368,11.403809,4.96911,16.094315,18.969732,12.0345,7.5353913,11.644397
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062945397,0.98834115,2.613075e-05,0.08062484,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.6773049e-09,4.354981e-09,43.066406,1751.3672,14929.6875,16279.102,0.000110078014,6585.623,9.216262,53180052.0,0.43998826,1.4942671,-7.1587585e-09,4.467651,2.1837371e-08,-0.5495916,8.526717,0.0438385,12.3498335,4.119452,8.611879,5.001653,12.505055,7.9600887,16.546738,14.970661,10.226577,9.50763,12.945806
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061235963,0.98834115,2.6285801e-05,0.08969513,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.2877989e-09,4.267744e-09,43.066406,1019.2383,14915.332,16250.391,0.00016654634,6438.804,9.137306,53330788.0,0.4737022,1.5075259,-7.412472e-09,4.366504,2.0995747e-08,-0.8837133,7.264005,-0.17190497,15.5326,5.2483115,15.185165,8.237608,10.331748,7.8240223,12.17365,11.238688,9.18575,10.189239,12.326688
0.0,0.0,0.0,0.0,0.0,-100.0,0.006239804,0.98834115,2.6156611e-05,0.09914336,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.1671374e-09,4.4701145e-09,43.066406,315.8203,14958.398,16135.547,0.00016403198,6297.975,9.015254,52824500.0,0.5033751,1.5220882,-7.727874e-09,4.274245,2.1420917e-08,-0.7415762,7.3101172,1.3236245,14.554866,7.8536105,15.695621,9.521053,14.261833,7.784834,9.867317,8.457358,6.6122475,9.370528,11.861794
0.0,0.0,0.0,0.0,0.0,-100.0,0.006034573,0.98803633,2.5635296e-05,0.1101033,0.12854142,0.2730522,0.41724047,0.5368324,0.6844786,0.7464033,0.84694546,0.9162144,0.9515586,1.0359572,1.0670253,1.1247435,1.1928524,1.2942232,1.325889,1.3739371,1.4396976,1.4494901,1.5023746,1.4832678,1.3630496,1.2386465,1.0800517,0.9025137,0.72100616,0.5929479,8.072634e-10,3.980246e-09,43.066406,3373.5352,15288.574,16279.102,0.00016956775,7098.1157,9.274521,53780036.0,0.29253882,1.3939215,-6.3909504e-09,4.812965,2.2078112e-08,-2.8395584,8.289958,4.8438725,11.605256,5.6203494,16.753408,12.72458,12.68197,7.888855,9.542298,14.055253,9.192261,7.346269,11.796405
0.0,0.0,0.0,0.0,0.0,-100.0,0.006271497,0.98703146,2.5047679e-05,0.12244898,0.12688483,0.2622777,0.40535906,0.5038547,0.6854365,0.7302863,0.8277147,0.8967162,0.8737088,0.99436694,0.9664299,1.0641793,1.1831616,1.3254261,1.3312672,1.3853232,1.4889597,1.4583629,1.5758047,1.5835024,1.3846239,1.2821212,1.1303912,0.9030416,0.7037215,0.5898938,8.8229934e-10,4.781334e-09,43.066406,5727.832,15360.352,16293.457,0.00017147519,7506.7046,9.435542,53807500.0,0.19373012,1.3445902,-5.7376845e-09,5.0880427,2.5001832e-08,-4.760074,7.614801,6.892546,10.20148,2.752119,7.517969,12.026624,20.634321,12.200387,11.978142,10.83776,11.290227,9.237592,12.949536
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061925487,0.99021864,2.4762034e-05,0.13441671,0.12463633,0.23817615,0.3850889,0.47634372,0.6930546,0.72717243,0.8100874,0.863853,0.76562005,0.9273241,0.8490916,1.0122674,1.2064265,1.3645,1.371919,1.4141344,1.5315685,1.4578562,1.6388493,1.701457,1.4383496,1.3686919,1.1925745,0.90477157,0.68815297,0.5937167,8.461943e-10,4.590548e-09,43.066406,7493.5547,15288.574,16322.168,0.00017547165,7713.5806,9.622956,53238270.0,0.12908334,1.312162,-5.3357234e-09,5.238542,2.4977837e-08,-5.9013095,7.581075,6.9005446,12.1741905,0.50525784,3.9908428,12.930408,20.252771,9.305585,14.205018,12.848691,13.102409,11.2888975,15.528605
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061235246,0.98925996,2.4676694e-05,0.14285713,0.12283495,0.21235283,0.36059442,0.46850482,0.687862,0.72834414,0.7727914,0.825819,0.68490815,0.86985236,0.77099204,1.0151407,1.2811364,1.3485451,1.4391896,1.4441985,1.5270935,1.4154048,1.6251448,1.7480108,1.5052551,1.4717692,1.2154678,0.8948321,0.69257355,0.59214133,7.2405726e-10,4.235764e-09,43.066406,7522.2656,15345.996,16293.457,0.00017290644,7658.711,9.6200285,54103572.0,0.13284378,1.2788843,-5.420608e-09,5.1974373,2.5503432e-08,-5.298948,6.901747,5.8803654,13.765923,6.3821583,2.9872491,13.13902,20.724072,9.001079,16.915506,8.28217,10.858153,15.730855,14.918121
0.0,0.0,0.0,0.0,0.0,-100.0,0.006038789,0.9880402,2.4604766e-05,0.16414714,0.12202349,0.20570767,0.3506012,0.48870096,0.71576196,0.7230498,0.7412136,0.8168411,0.69277453,0.86859626,0.794295,1.0931644,1.3459965,1.2904524,1.4903436,1.4650937,1.4585133,1.3516611,1.553738,1.6987177,1.5575141,1.5175959,1.1670946,0.8960355,0.7044162,0.5791442,1.1390979e-09,3.782493e-09,43.066406,8369.238,15546.973,16336.523,0.00017366186,7916.174,9.712756,54476260.0,0.06721554,1.2605258,-4.9480144e-09,5.3709273,2.4637162e-08,-2.953255,6.9705257,3.0315316,13.075719,6.767491,5.940601,8.792344,11.130389,6.246384,17.364632,15.389569,10.645173,18.255333,15.729114
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062640826,0.98784465,2.4562134e-05,0.19249181,0.12160134,0.22600661,0.35686,0.52173144,0.7761715,0.71132594,0.7090365,0.8441203,0.7886358,0.9634588,0.8804622,1.1700312,1.3000954,1.213319,1.5102061,1.4615144,1.3874326,1.3064052,1.4972557,1.6164719,1.5643405,1.4957609,1.095148,0.89424866,0.7184177,0.5539036,1.323155e-09,4.2842316e-09,43.066406,8785.547,15575.684,16393.945,0.00017787318,8038.0586,9.721419,55069588.0,0.05046649,1.2538472,-4.73884e-09,5.444145,2.5650456e-08,-1.5754414,7.23617,2.6769493,10.86338,8.481498,9.230155,8.09265,8.863736,2.4015276,17.282648,16.98372,10.581475,15.202868,13.975642
