F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016370598,0.98834115,1.529121e-06,0.98929197,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.5035624e-11,7.8070474e-11,5627.3438,11225.977,16681.055,19738.77,8.60335e-06,11040.935,158.90237,40430356.0,-0.013422565,1.8001286,-6.849159e-14,7.332665,1.4250996e-10,-5.2764335,1.4405646,-3.164364,0.61961776,-0.55704266,-0.5756072,0.008225482,-0.5034958,-0.10969234,-0.28124925,0.007062195,-0.005337104,0.40850675,0.4778988
0.0,0.0,0.0,0.0,0.0,-100.0,0.0013355128,0.98834115,9.358291e-07,0.9540186,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.617185e-12,3.9780537e-11,3746.7773,7464.8438,11111.133,13192.676,1.0514358e-05,7361.5566,79.451195,26967962.0,-0.0067112925,1.2000628,-3.4245813e-14,4.8881435,7.125498e-11,-2.6382167,0.7202823,-1.582182,0.30980888,-0.27852133,-0.2878036,0.004112741,-0.2517479,-0.05484617,-0.14062463,0.0035310974,-0.002668552,0.20425338,0.2389494
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012094734,0.98834115,6.8507444e-07,0.8817083,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.1765994e-12,2.3824496e-11,3689.3555,7364.3555,11039.355,13250.098,1.7911523e-05,7364.3555,90.31008,27011146.0,-2.6248365e-08,1.199994,-1.4845841e-19,4.8872433,2.2372963e-18,-2.9675047,0.04658741,-0.65686995,0.07661037,-0.28956196,0.09670284,-0.14150885,0.08931621,-0.063022934,0.10308239,-0.009786959,0.09783123,0.02011236,0.067573376
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012247293,0.98834115,6.8507444e-07,0.77676994,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.6731126e-12,2.7548344e-11,3703.711,7364.3555,11039.355,13250.098,1.31310735e-05,7364.3555,90.31007,27011146.0,-5.431556e-09,1.199994,-1.1975238e-19,4.887241,2.2768246e-18,-3.6955948,0.9287471,-1.3816476,0.47085288,-0.39346418,0.087646365,-0.18313038,0.22719066,-0.23279531,0.21839194,-0.042105425,0.08651916,0.017837174,0.106081605
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012743572,0.996648,3.058242e-06,0.65558076,0.14096604,0.29539946,0.45177007,0.58833784,0.6901109,0.76589614,0.8548654,0.9371757,0.9885265,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4485469,1.4764671,1.43568,1.3629695,1.2422137,1.0746506,0.90541154,0.7395377,0.5992344,2.3710499e-11,3.119475e-11,3732.4219,7565.332,15977.637,18805.664,1.6777934e-05,9673.844,179.97527,45844844.0,0.116292186,1.6380177,-8.024708e-12,6.456114,5.378633e-12,-0.40774855,5.2906213,2.7949162,3.2391183,2.0228045,1.7151598,0.10261234,-0.49994922,-2.0278814,-2.9341698,-1.2177993,-0.073044114,0.9357663,2.266361
0.0,0.0,0.0,0.0,0.0,-100.0,0.002709475,1.1280193,7.726591e-06,0.52897453,0.21488895,0.4380056,0.609108,0.75983024,0.8500374,0.88361853,0.98407197,1.0710119,1.0852245,1.1154704,1.151175,1.2521781,1.3316816,1.4246389,1.4830304,1.5165377,1.5852947,1.6006347,1.7012701,1.604586,1.5386101,1.3989525,1.1924213,1.0233165,0.8381462,0.674761,1.2944068e-09,8.472501e-10,1923.6328,3947.754,15188.086,17843.848,0.00011502908,7805.8633,93.17346,50217268.0,0.38156986,1.6467463,-2.6593578e-09,5.232976,7.732795e-09,4.469881,12.889469,11.313312,6.4897714,1.2917731,2.3736823,4.3449802,6.3944144,-0.6512713,-2.8879073,0.76911813,1.4568229,1.7611669,0.5304844
0.0,0.0,0.0,0.0,0.0,-100.0,0.004491333,1.511754,1.4462236e-05,0.4031242,0.46213427,0.9375116,1.0560795,1.2174112,1.3460325,1.3231293,1.4092194,1.4184623,1.4136453,1.3860196,1.3523849,1.5704274,1.6724482,1.877051,1.9379125,1.9236149,2.0371006,2.0269654,2.2390468,2.028106,2.0244086,1.837382,1.5253378,1.3349403,1.0872223,0.86160547,3.5971874e-09,1.7251692e-09,114.84375,330.17578,9890.918,16738.477,0.000173249,5265.7827,96.17695,50172704.0,0.9174387,2.3289776,-7.002896e-09,3.561527,2.0212903e-08,9.167531,18.545145,15.598488,9.546456,3.7810192,2.256214,8.772246,8.202431,2.5668185,-0.010797501,2.2854688,2.343867,-0.96219254,-2.9237149
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061238767,2.3168411,2.0437425e-05,0.29642227,1.0568987,2.130573,1.8354794,1.975778,2.3492327,2.4133518,2.3252132,2.0788786,2.0843327,2.0330298,1.8101279,2.2368767,2.4032688,2.8238735,2.907756,2.8261604,2.9787166,2.9382145,3.2348385,2.9207973,3.0784943,2.7581666,2.2258546,1.9586369,1.6150967,1.2382153,5.287628e-09,2.5144857e-09,100.48828,157.91016,4981.3477,13077.832,0.00024363179,3521.6682,8.71606,38710596.0,1.7633991,5.147622,-1.4911516e-08,2.3807967,3.8515925e-08,9.673518,20.618591,16.835638,10.27826,3.4169176,3.6101487,15.525296,15.982518,8.562327,9.371728,7.2106533,3.3345213,-2.8737037,-9.88731
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062768427,3.3367674,2.6144176e-05,0.22789116,1.8996874,3.658427,2.5375087,2.6743615,3.4867675,4.075617,3.6392071,2.9200385,3.0923736,3.08488,2.5550053,3.1577547,3.3851426,4.0061336,4.1436434,3.9122534,4.099291,4.0747647,4.2744784,4.066831,4.3654304,3.8727214,3.063472,2.716673,2.2888925,1.7045931,5.4719362e-09,2.7882445e-09,100.48828,129.19922,301.46484,7637.1094,0.00021694471,2160.5042,6.897775,26952704.0,2.605446,8.6860485,-2.4505853e-08,1.4713098,3.4494647e-08,12.41163,17.781666,11.203647,10.555629,9.556359,9.599579,17.902403,17.625158,12.073583,13.757577,10.193324,3.0714657,-3.872444,-11.21087
0.0,0.0,0.0,0.0,0.0,-100.0,0.006369877,4.0065646,3.0048575e-05,0.20282187,2.573912,4.569238,2.780986,3.018243,4.063221,5.2608724,4.6734767,3.6281157,3.9774663,3.9828079,3.2531345,3.868141,4.090996,4.7027535,4.950542,4.5852513,4.739076,4.884896,4.772138,4.873581,5.0765343,4.4769692,3.5422518,3.1536636,2.6943843,1.9780272,5.4229683e-09,2.9812997e-09,71.77734,100.48828,114.84375,2167.6758,0.00023502484,1293.0658,5.2461867,17003442.0,3.5610085,14.662654,-3.9990653e-08,0.8929465,2.5810762e-08,12.944389,17.527775,12.546684,10.077939,9.657231,14.564614,19.751337,22.582285,13.466405,12.055312,11.059235,3.8578815,1.2792736,-5.8368936
