F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059622773,0.98834115,1.295769e-05,0.7931469,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3915709e-09,4.2073407e-09,7350.0,14211.914,15848.4375,17083.008,4.265466e-05,11602.214,16.97412,37774380.0,-0.72306776,2.2369735,3.883911e-10,7.843487,1.5492413e-08,-1.7256012,3.7283585,-0.729441,-2.5651674,-2.9258468,9.85241,3.3016875,6.205487,2.5801194,6.092003,14.456191,3.3649042,-3.9054623,3.3060627
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059234356,0.98834115,1.3195621e-05,0.7903754,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.7939339e-09,3.5947878e-09,7120.3125,14226.27,15891.504,16853.32,9.711339e-05,11488.583,16.90851,37761560.0,-0.71323425,2.2030935,3.1274872e-10,7.7789664,1.5923566e-08,-1.23636,6.4902916,0.37865913,-0.15756766,-0.87086505,5.268658,2.4515533,5.808523,2.7011235,6.05537,7.9105563,2.7985954,-0.059978485,3.0111122
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060100574,0.98834115,1.3342531e-05,0.78180903,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.6124325e-09,3.5779213e-09,6976.758,14283.691,16006.348,16652.344,0.00014283978,11512.703,16.512424,36936916.0,-0.714564,2.2237716,3.588759e-10,7.7956777,1.6131844e-08,-3.02822,6.627357,-0.16971605,2.9450197,1.9742996,1.958978,3.4822724,10.04366,6.5955067,7.389342,6.308473,4.9155397,3.9740431,2.17128
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061028213,0.98834115,1.3719934e-05,0.75661373,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.4102605e-09,3.6533925e-09,6976.758,14341.113,16049.414,16637.988,0.00015211028,11478.617,15.572696,37369772.0,-0.6979856,2.2047281,3.3825662e-10,7.768482,1.7629391e-08,-3.8462884,6.031256,-2.6211443,5.4264464,5.602177,2.9563687,6.2569594,9.401165,10.729687,9.476687,1.7625632,3.8342345,4.3244195,2.946845
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061304905,0.9905506,1.419702e-05,0.6985387,0.12940468,0.25697276,0.40910935,0.54735214,0.66061634,0.7439084,0.8452177,0.9189252,0.9653093,1.0396377,1.1318823,1.1756268,1.2692345,1.2803959,1.3334354,1.3976356,1.4127555,1.4200054,1.4547075,1.420056,1.3541622,1.2385819,1.1063932,0.90413505,0.74111,0.5977429,8.453525e-10,4.025479e-09,7838.086,14527.734,16121.191,16637.988,0.0001557367,11856.153,14.908015,35017250.0,-0.7852985,2.474091,7.0150225e-10,8.011474,1.8880256e-08,-5.8187165,3.22697,-3.4846718,5.876,4.787666,1.514541,8.507945,11.96067,11.978625,9.9412565,5.817611,4.6362557,5.5125732,7.4952493
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059908684,0.99116355,1.4526403e-05,0.60707986,0.12995867,0.238182,0.3892269,0.5285594,0.6629579,0.721309,0.85929316,0.91546965,0.9493901,1.0689944,1.1458007,1.179656,1.316008,1.2666038,1.3636489,1.4407994,1.419651,1.3863548,1.4622418,1.4058019,1.3196803,1.2257406,1.1387821,0.90104795,0.737089,0.59800416,1.258392e-09,3.744325e-09,8125.1953,14470.3125,16135.547,16666.7,0.00016139926,11822.0,14.780429,36016572.0,-0.7832467,2.4676223,6.811612e-10,7.9913616,1.9005387e-08,-3.505576,4.12836,-2.7055798,3.9404023,2.395488,4.337721,8.6307955,8.249342,11.062035,12.654643,6.0794983,3.827884,4.3794303,7.1285357
0.0,0.0,0.0,0.0,0.0,-100.0,0.00608379,0.9929244,1.4746103e-05,0.50604683,0.13278472,0.23569147,0.3829449,0.54341966,0.72496384,0.71415234,0.8897478,0.9291606,0.92589206,1.1165549,1.1522113,1.1744634,1.3317784,1.2422897,1.3924528,1.4747344,1.4480914,1.3493582,1.4585929,1.3500658,1.2832241,1.196919,1.1563294,0.88880634,0.7202218,0.6011822,2.350832e-09,3.641848e-09,6660.9375,13723.828,15891.504,16508.79,0.00016252685,11372.134,14.63133,37785180.0,-0.6877439,2.3390481,3.045161e-10,7.700352,1.8897481e-08,-1.1550294,6.564594,-1.7805408,4.557019,-1.9260559,-0.3707424,3.4501235,5.5304084,9.815587,12.797576,8.163344,8.876432,5.8440633,7.6548977
0.0,0.0,0.0,0.0,0.0,-100.0,0.006401723,1.003281,1.5877524e-05,0.41194257,0.13899566,0.2692186,0.40287736,0.63900346,0.9620536,0.7638585,0.9418456,0.9358411,0.9350092,1.1630431,1.1462723,1.1460991,1.2658147,1.2048422,1.4079264,1.4606034,1.5015764,1.3608294,1.4527818,1.2954516,1.2589624,1.1303172,1.1228944,0.8744386,0.69594306,0.6088062,1.0746131e-08,3.5769359e-09,3531.4453,11642.285,15633.105,16437.012,0.00016363442,9906.766,13.806857,44905856.0,-0.33366168,1.7625548,-1.3659672e-09,6.7373824,2.255571e-08,2.4390254,10.584121,-0.75020856,1.676452,-5.6745796,1.1271361,-1.8006902,1.0269699,11.278106,17.881363,11.075386,10.72728,6.4939575,4.969235
0.0,0.0,0.0,0.0,0.0,-100.0,0.014124602,1.1480223,6.051666e-05,0.3271605,0.1662248,0.40494624,0.5264348,0.8998506,1.4424995,0.94887596,1.1182075,1.0362964,1.0466554,1.2293578,1.249607,1.2287723,1.3251872,1.3278261,1.5148048,1.5886563,1.8046452,1.5926222,1.6121372,1.4277134,1.4499817,1.2127223,1.2269139,0.97858435,0.78236437,0.7066913,1.1856139e-07,1.3441534e-07,803.90625,7393.0664,12159.082,13465.43,0.000569349,7047.6772,11.102154,36464268.0,0.33954084,2.471432,-7.851124e-08,4.827575,1.4204079e-07,1.7379967,14.80656,5.6665883,3.3364537,-8.360222,-4.00957,-3.249916,3.9014187,10.10451,11.431233,3.0112026,8.469104,7.5573997,2.5944939
0.0,0.0,0.0,0.0,0.0,-100.0,0.0268152,1.6217419,0.0001685613,0.24955909,0.26553866,0.79551977,0.89962053,1.5239,2.2789667,1.3985472,1.5818361,1.3737863,1.4244179,1.4268026,1.5813524,1.55769,1.7562963,1.8695239,2.006726,2.2313874,2.6186867,2.31162,2.254564,2.1037142,2.127485,1.664076,1.660021,1.3458271,1.1241798,0.9832031,7.899148e-07,5.055554e-07,229.6875,3703.711,7149.0234,8139.551,0.0024046104,3983.951,7.107883,22583942.0,2.2911718,14.705151,-2.0437208e-06,2.7545283,3.5847304e-06,3.9793465,18.32563,13.146075,4.670786,-7.6477103,-1.0652968,0.48347282,6.9836698,5.6056066,9.265256,3.7607448,5.2097116,9.465374,0.63461375
