F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0027785588,0.98834115,2.7767246e-06,0.97871,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.338879e-11,4.7079857e-10,4536.328,11972.461,16078.125,18647.754,1.058199e-05,10814.367,139.92122,40302540.0,-0.19055988,1.7550207,-8.364326e-12,7.256456,8.826106e-10,-5.7406235,-3.8637903,-0.09582349,0.44267538,2.7766006,1.0817823,0.7537277,-3.1822097,-1.7156545,2.2584743,0.5435708,-1.0585868,1.1905698,4.5264378
0.0,0.0,0.0,0.0,0.0,-100.0,0.0025916928,0.98834115,2.4929575e-06,0.95049125,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.7247623e-11,3.7658357e-10,5153.6133,11513.086,16422.656,19092.773,1.9990011e-05,10947.372,151.88461,40570680.0,-0.09546653,1.7884688,-3.7594246e-12,7.2972145,7.551813e-10,-6.774448,0.8508477,0.5430804,-3.2533112,0.451859,6.6503716,-3.8785563,-1.5529246,-4.6093516,3.9291246,-0.96401864,-2.0059063,1.52002,3.3307683
0.0,0.0,0.0,0.0,0.0,-100.0,0.002135292,0.98834115,2.2900522e-06,0.89077854,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.4198096e-11,2.2369022e-10,5727.832,11039.355,16666.7,19666.992,2.9629702e-05,11078.69,195.61565,40632740.0,-0.002099135,1.8121041,5.53787e-13,7.344423,4.5059875e-10,-8.466545,2.9342425,-0.20239444,-2.2727919,0.53145784,8.415457,-4.548763,-2.6604087,-6.4034476,4.1945033,0.33073202,-2.6444411,1.1540223,4.070332
0.0,0.0,0.0,0.0,0.0,-100.0,0.0023887118,0.98834115,2.9440962e-06,0.7957924,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.324894e-11,3.7965844e-10,5325.879,10881.445,16767.188,19422.95,3.792403e-05,10959.945,176.27098,42055436.0,-0.040409684,1.7644385,-7.18945e-12,7.2720017,8.505954e-10,-6.0686398,3.21455,0.56701297,-0.21758334,-2.2941582,8.24497,-6.792879,-2.6349561,-2.931445,2.2530549,1.2519621,2.947199,0.90770334,1.8471016
0.0,0.0,0.0,0.0,0.0,-100.0,0.003556466,1.0648569,5.083656e-06,0.67586297,0.14310749,0.3069854,0.4490018,0.62525576,0.74982244,0.8423392,0.92930955,0.98746234,1.105782,1.131071,1.1987165,1.2645025,1.3611245,1.4282767,1.4248685,1.4439901,1.5167285,1.5958856,1.537446,1.4855943,1.412683,1.2877421,1.1285172,0.9436868,0.7681701,0.61820716,5.2566934e-10,1.8197376e-09,4062.5977,10379.004,16480.078,19164.55,6.002009e-05,10419.31,130.16864,45268844.0,-0.013455617,1.6433564,-1.4224448e-10,6.9235787,2.7816955e-09,-4.1276975,0.12904465,-0.57497025,3.3171952,0.12112701,5.541612,-4.85366,-4.6433926,-1.0911405,-1.9054333,3.6509697,7.1878242,1.1397413,2.8698094
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059443847,1.3418683,9.234053e-06,0.54333586,0.19734211,0.41918492,0.57613134,0.86537236,1.0375217,1.15371,1.2657429,1.2648867,1.523764,1.4736342,1.5455638,1.6288708,1.8411411,1.9428921,1.813014,1.7524542,1.8526745,2.033636,1.8259077,1.7075745,1.6057831,1.5022626,1.3584763,1.1205627,0.88438845,0.6960783,5.7836345e-09,5.751758e-09,2339.9414,7134.668,14570.801,18130.957,0.00010806359,8542.975,46.38023,46558036.0,0.31916714,1.8473864,-1.6240591e-09,5.7148156,1.01126405e-08,1.3008738,0.96145415,0.1926524,0.18548329,-3.8860302,5.7915254,-4.3737903,-2.414933,2.3417737,-1.9162692,5.5982094,9.160776,-0.037668865,0.90133715
0.0,0.0,0.0,0.0,0.0,-100.0,0.008489525,1.9797987,1.4752531e-05,0.409549,0.3468071,0.73834056,0.99249965,1.4434224,1.7403532,1.9806887,2.1284444,1.9994956,2.4297583,2.2626622,2.3014266,2.3011007,2.8531463,3.051101,2.7179153,2.4756043,2.607624,2.9932582,2.5475676,2.2601478,2.1010017,1.9910612,1.8152376,1.4176445,1.122667,0.85578233,1.9576015e-08,1.5308851e-08,904.39453,3703.711,9618.164,16135.547,0.00017807558,5914.574,19.359205,41143064.0,1.0945545,3.463793,-7.181262e-09,3.9834588,2.424231e-08,6.310354,1.4814028,4.762042,-1.8391215,-2.2956915,5.459452,0.35686192,1.0183346,-2.6646607,-3.3524144,4.8753605,7.279255,-6.63421,-1.2482727
0.0,0.0,0.0,0.0,0.0,-100.0,0.011422674,2.8829584,2.8380382e-05,0.29264298,0.6005325,1.2890427,1.7359486,2.3009844,2.9108622,3.3538435,3.4073515,3.1655934,3.6107454,3.4150124,3.3534825,3.0719242,4.190677,4.573299,4.1293354,3.5411215,3.6502972,4.1928997,3.5336208,3.0265777,2.8147402,2.617238,2.3656862,1.7143297,1.3695073,1.0222598,6.4539925e-08,3.731647e-08,287.10938,660.35156,4694.2383,11125.488,0.0002675094,3399.621,10.602035,29953318.0,2.1281831,7.073939,-2.0741078e-08,2.3459501,5.9089604e-08,11.62963,1.4028529,8.830909,-1.0135328,-5.4086742,3.2943814,2.078004,-0.0148329735,-2.6511703,-0.0368131,7.7465367,8.612831,-8.366422,-2.085903
0.0,0.0,0.0,0.0,0.0,-100.0,0.015539306,3.924132,4.7985985e-05,0.2028219,0.94622976,2.1713314,2.9515927,3.5364969,4.705338,5.27099,4.803596,4.6800866,4.693955,4.6406817,4.670164,3.963707,5.581804,6.222147,5.68483,4.638912,4.791539,5.40328,4.57266,3.8352015,3.5670364,3.1795623,2.84412,1.9372573,1.5761628,1.1587378,4.7420403e-07,7.84954e-08,186.6211,330.17578,1234.5703,5799.6094,0.000577972,1790.9707,6.942772,16252024.0,4.41985,29.806646,-1.2056667e-07,1.2847253,2.06351e-07,16.310978,3.0104809,11.693824,0.73185664,-3.0323439,-0.31184086,-5.450091,-2.1306136,-2.9696515,-2.729619,4.42154,5.3469367,-8.466667,-1.3683877
0.0,0.0,0.0,0.0,0.0,-100.0,0.019920833,4.910665,6.710846e-05,0.14890401,1.3002881,3.2135792,4.4830093,5.090997,6.7244816,7.10895,5.9891953,6.110569,5.3861327,5.771851,5.998091,4.9278426,6.8430734,7.781015,7.027653,5.5382857,5.9016113,6.444126,5.3542857,4.5851903,4.203772,3.5739868,3.2058136,2.1259487,1.7394494,1.2480814,8.6091177e-07,1.552878e-07,200.97656,330.17578,689.0625,1866.2109,0.0007258916,1071.1373,5.361822,7760143.5,6.203158,51.456696,-2.3241297e-07,0.82282495,3.3478457e-07,18.475973,4.039128,12.169899,0.5073737,-6.137745,-2.6021285,-8.690444,-4.417345,-0.2805864,-2.553295,5.243454,4.2054625,-5.991726,-3.7363884
