F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99924415,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.9979844,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99647266,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.99193746,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.98551273,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0011307448,1.0041012,9.688416e-07,0.9706475,0.1342372,0.2827563,0.43639192,0.5774924,0.69667023,0.7960567,0.8776145,0.9469746,1.0073618,1.0613223,1.1141019,1.1714983,1.2361311,1.3005613,1.3576411,1.4009514,1.4228252,1.4484811,1.4693128,1.4620477,1.3801974,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3234032e-11,1.2734053e-11,401.95312,4608.1055,5813.965,6086.7188,6.269902e-06,3452.0974,80.75732,18267988.0,-0.111405425,0.45401624,-1.0266682e-12,2.301035,2.3148911e-12,2.5019095,0.5954236,0.8627029,-0.88530105,-0.9576733,-1.488515,0.9407058,2.2604222,-2.7586353,0.18523227,1.3743211,-1.3503985,0.8304238,-0.06996181
0.0,0.0,0.0,0.0,0.0,-100.0,0.00198225,1.1266671,2.0520395e-06,0.9431847,0.15838587,0.33814883,0.5169359,0.6846664,0.8280565,0.94741654,1.0233694,1.1028659,1.1456841,1.1864988,1.2187288,1.280121,1.3816355,1.4728376,1.5505193,1.586927,1.5587765,1.5698751,1.6278995,1.6668425,1.555504,1.335908,1.1513363,0.9682047,0.79269916,0.64349955,2.167055e-10,2.7895672e-10,1148.4375,8728.125,11541.797,12159.082,2.8383429e-05,6957.5625,105.33799,35201250.0,-0.21256459,0.9506342,-1.6634154e-11,4.637572,4.698039e-10,3.972142,1.5000343,2.6673682,-2.1270685,-2.439347,-2.2819726,1.8561531,4.483009,-5.0815754,0.47920194,2.204374,-2.1297019,1.4266592,-0.96696115
0.0,0.0,0.0,0.0,0.0,-100.0,0.002365212,1.3769417,3.6947902e-06,0.904006,0.20045264,0.44329807,0.6854325,0.90555805,1.0555639,1.1756269,1.2513193,1.3384038,1.3627558,1.4141961,1.4648023,1.4935611,1.6742083,1.8346733,1.968341,1.9870552,1.9028922,1.8500694,1.9554319,2.1022077,1.9274673,1.6007137,1.3627237,1.1378294,0.9396276,0.76627225,2.5123384e-10,3.52834e-10,2311.2305,12604.102,16925.098,18245.8,4.7685757e-05,10416.371,172.50984,50026988.0,-0.27474925,1.4971927,-2.0635956e-11,6.957339,5.658422e-10,2.9542687,2.2240114,6.1579576,1.323296,-2.4293022,-5.0868797,-0.514777,0.011294047,-9.788253,1.0536865,0.67434007,-4.1976175,0.20951088,-0.5412752
0.0,0.0,0.0,0.0,0.0,-100.0,0.003698893,1.8460884,4.9458436e-06,0.8556311,0.2711275,0.6378105,0.9892637,1.3168702,1.3849527,1.4769936,1.5299044,1.662742,1.6844969,1.7945846,1.9802481,1.9092175,2.2377436,2.5377963,2.7746363,2.7890537,2.6729186,2.409407,2.5876622,2.9055374,2.630163,2.1688764,1.8392458,1.518763,1.2526737,1.0356096,8.8957375e-10,1.4999691e-09,2627.0508,11886.328,16637.988,18087.89,8.204268e-05,10198.542,101.80301,48050868.0,-0.2126294,1.5295277,-1.5175385e-10,6.831894,3.1835696e-09,0.5891743,2.672801,9.987851,7.449537,-0.69038635,-5.9553666,-2.0628712,-5.636015,-11.846295,0.80215025,-1.0494405,-4.9377956,0.3779173,-0.01670579
0.0,0.0,0.0,0.0,0.0,-100.0,0.0039627347,2.4131725,6.8878526e-06,0.7959184,0.34997058,0.8647442,1.364069,1.7775478,1.6495241,1.6548437,1.7010394,1.8837608,2.0257404,2.246292,2.58292,2.4668076,2.9217167,3.435421,3.7567616,3.7817624,3.7362049,3.1233733,3.3870938,3.8138638,3.4470482,2.9778411,2.5789135,2.0939224,1.6978067,1.4234953,9.2989927e-10,1.8100046e-09,2540.918,11082.422,16494.434,18446.777,9.31428e-05,9923.034,95.02124,49101600.0,-0.09792096,1.5203428,-1.9840984e-10,6.625445,3.903599e-09,-1.394086,3.5646465,11.124623,13.636746,3.026563,-5.393681,-1.9946045,-11.909886,-13.9904585,-3.4353497,-1.6400476,-3.0345643,-0.6781335,0.41153774
0.0,0.0,0.0,0.0,0.0,-100.0,0.0061121047,3.044747,9.564333e-06,0.72978085,0.45694938,1.1762414,1.8138839,2.2105064,1.9222918,1.8790636,1.8832464,2.0610049,2.5394027,2.8388402,3.2575486,3.2082455,3.702263,4.4950614,4.81306,4.847574,4.829313,3.922885,4.3200173,4.670525,4.2116137,3.8506296,3.481393,2.7566183,2.1711204,1.8441159,3.7691232e-09,6.4994015e-09,1421.1914,7450.4883,14168.848,18030.469,0.00014651123,8110.133,32.22805,50110996.0,0.3478068,1.8557367,-2.2508784e-09,5.406915,1.1150537e-08,2.064392,3.888612,11.296367,13.9295,4.904548,-3.009834,0.75090146,-8.34707,-9.88942,-3.0194924,3.0499885,-1.7931687,-4.6712246,-2.843168
0.0,0.0,0.0,0.0,0.0,-100.0,0.0070364997,3.751438,1.2425085e-05,0.6510456,0.6051033,1.5801563,2.327301,2.5573318,2.3198063,2.4112148,2.272753,2.3172364,3.3437042,3.6100035,3.9208977,4.2213006,4.506517,5.626843,5.9336205,5.9831104,5.7308426,4.9321404,5.4940796,5.4650474,4.9199853,4.7721467,4.385519,3.4199631,2.628033,2.2527266,5.510266e-09,9.4310115e-09,832.6172,4364.0625,12460.547,17657.227,0.00015787793,6795.017,28.464508,48516940.0,0.72254586,2.185506,-3.152785e-09,4.518082,1.3069132e-08,2.912138,3.7324417,10.961003,11.116234,3.484021,-2.872393,0.59675074,-5.466099,-6.2543206,-0.6500767,3.959607,-2.316731,-9.723213,-2.9058769
0.0,0.0,0.0,0.0,0.0,-100.0,0.0090496,4.413818,1.479416e-05,0.5799949,0.7628174,2.0257826,2.856472,2.8255002,2.910202,3.337804,2.9607236,2.6835775,4.1660285,4.3861127,4.6451797,5.3717265,5.1980553,6.552197,6.8105454,6.826918,6.2485595,6.1159344,6.690958,6.104721,5.498796,5.5405946,4.922196,3.8325508,2.965141,2.5201757,1.3410911e-08,1.6659131e-08,215.33203,1134.082,7737.5977,14972.754,0.0001942878,4510.936,14.170928,39110308.0,1.4370166,3.9073963,-7.3003874e-09,3.0395107,2.18364e-08,6.0938783,3.6811771,11.890092,8.605517,2.9377325,-3.888686,-4.441732,-1.3549929,-0.0041418076,3.0181587,2.3284614,-5.243072,-13.265826,-4.984722
0.0,0.0,0.0,0.0,0.0,-100.0,0.00976191,5.0587864,1.7222132e-05,0.5076845,0.8975594,2.4091914,3.3289518,3.0846717,3.67018,4.6269736,3.8640792,3.23155,4.719364,4.9129624,5.4698863,6.6646695,5.853618,7.223057,7.6225924,7.697805,6.6931458,7.3593216,7.7906585,6.7572384,6.175244,6.1994133,5.180392,4.1055512,3.273401,2.7169826,1.8116284e-08,2.1327859e-08,244.04297,1363.7695,6029.297,14197.559,0.00018383942,4118.166,13.735088,33470760.0,1.6437601,4.6560755,-8.420002e-09,2.7924137,2.5972474e-08,5.2637677,3.5439835,11.406018,7.4823036,-0.80001205,-7.232723,-4.601747,0.48461393,2.6870382,5.0020156,-1.8386682,-9.456347,-9.508083,-2.213311
0.0,0.0,0.0,0.0,0.0,-100.0,0.010848485,5.338941,1.9808504e-05,0.4452003,0.9407081,2.565531,3.617819,3.29166,4.2594357,5.5335217,4.5327163,3.795421,4.7425933,4.9312863,5.798345,7.478708,6.139271,7.353607,7.8379865,7.9310756,6.9895005,7.9707336,8.09644,7.047119,6.480816,6.2023025,5.054332,4.112188,3.3531158,2.7562332,3.7695347e-08,2.6257387e-08,200.97656,674.70703,2540.918,11470.02,0.00022364443,2925.8596,10.03225,26014448.0,2.2004435,6.780058,-1.5713796e-08,2.0179372,3.800103e-08,8.731117,4.401489,11.901481,6.845775,-3.6808243,-6.3458476,-5.145207,2.2093122,1.7352396,-0.03274377,-3.979481,-9.227025,-6.1137195,-3.584302
0.0,0.0,0.0,0.0,0.0,-100.0,0.01153623,5.432934,2.337928e-05,0.38737717,0.9514753,2.625249,3.796507,3.4682877,4.734092,6.059225,4.7949214,4.3717403,4.765016,4.7597337,5.7258644,7.7794623,6.3853574,7.445211,7.8842406,7.9876275,7.417565,8.045295,7.947003,7.24682,6.4318404,5.7446485,4.8188367,4.0383124,3.3057518,2.7262042,4.5329415e-08,3.4435175e-08,215.33203,717.77344,2339.9414,9862.207,0.00022109,2733.8008,9.424115,23770422.0,2.4159002,8.041236,-1.8697266e-08,1.8885177,4.489306e-08,9.089854,2.9450753,13.251775,7.7163773,-7.136125,-4.7536335,-3.874843,2.4932559,-1.7370459,-2.5871332,-0.381032,-6.0515637,-1.9396586,-4.4827332
0.0,0.0,0.0,0.0,0.0,-100.0,0.012603377,5.2933173,2.6665553e-05,0.33824643,0.9351864,2.6004086,3.8754013,3.5691555,4.906607,6.049202,4.659865,4.845568,4.868416,4.4914203,5.200132,7.3447995,6.3663583,7.532416,7.710842,7.6232414,7.7367578,7.8172164,7.4245434,7.194887,5.91345,4.967995,4.447224,3.8452156,3.086879,2.6130674,7.596655e-08,4.3254392e-08,186.6211,315.8203,1191.5039,5957.5195,0.00025818573,1974.6471,7.537651,17838750.0,3.075143,12.088956,-3.1759484e-08,1.3905602,6.1946e-08,11.759791,3.5121472,15.230395,7.6831365,-8.640618,-1.5378729,-4.4302793,3.1647036,-3.3064554,-9.571655,-1.2553695,-3.3843594,-3.7027848,-6.3100643
0.0,0.0,0.0,0.0,0.0,-100.0,0.013557121,5.162481,3.0023764e-05,0.303099,0.931581,2.6046193,3.9205768,3.6080396,4.9301343,5.8425813,4.4382,5.1485553,5.1111646,4.2857175,4.7992473,6.633044,6.211212,7.766394,7.49351,7.2555046,7.994168,7.7865233,7.136383,7.181797,5.401791,4.523812,4.1395326,3.6787007,2.923775,2.4779313,8.046728e-08,5.264971e-08,200.97656,330.17578,1650.8789,5081.836,0.00026294007,1976.1558,7.3981895,16614061.0,3.1407397,12.655285,-3.458172e-08,1.3808271,8.047257e-08,9.79034,4.1453137,16.301329,6.08931,-8.081033,-1.9771456,-1.2886175,2.4593434,-3.3349054,-9.294784,-1.2396005,-3.5628662,-3.385378,-5.5708065
0.0,0.0,0.0,0.0,0.0,-100.0,0.0148459785,5.0288177,3.3418557e-05,0.27210885,0.91047883,2.5377872,3.877509,3.5020828,4.7437706,5.5647655,4.3480115,5.23078,5.0299907,4.0148807,4.5941167,5.9430346,5.777485,7.7751613,7.2284164,6.9847627,7.994583,7.8013186,6.981735,7.2404084,5.2511067,4.5458674,4.100212,3.5963345,2.8292592,2.3453918,1.2192355e-07,6.164395e-08,186.6211,258.39844,1177.1484,4234.8633,0.00031858412,1706.0834,6.3870316,13996456.0,3.4744937,15.268268,-5.1006406e-08,1.204101,1.09279206e-07,10.023629,6.2595725,17.250315,2.5287738,-6.2836804,-5.4257846,1.404286,2.8168285,-1.1252362,-6.4865966,-4.7323313,-9.51162,-7.7628007,-4.6137977
0.0,0.0,0.0,0.0,0.0,-100.0,0.015849978,4.9160743,3.799822e-05,0.2474175,0.88256025,2.435701,3.754522,3.3251123,4.5514073,5.348316,4.510687,5.2071815,4.690069,3.7344878,4.4587893,5.47826,5.167543,7.426807,6.926574,6.889441,7.798168,7.71677,6.879068,7.438919,5.4951005,4.833746,4.314512,3.5742261,2.7715137,2.2084513,1.344638e-07,7.772808e-08,186.6211,301.46484,1550.3906,4450.1953,0.00033346599,1724.4585,6.435955,13183605.0,3.540331,16.231108,-5.6008133e-08,1.210808,1.355416e-07,8.973155,6.5454984,18.706215,-1.0092285,-7.0878158,-7.2478924,5.0592217,3.3871775,-0.45653996,-1.9708891,-3.5465496,-12.438207,-5.419679,-2.6881778
0.0,0.0,0.0,0.0,0.0,-100.0,0.017037336,4.795411,4.2944186e-05,0.22260015,0.8467626,2.2996147,3.5597403,3.0739272,4.390738,5.3108797,4.6961694,5.0100904,4.2029376,3.5455391,4.322778,5.2736545,4.744604,6.794126,6.6714873,6.8669662,7.3404202,7.5002503,6.717715,7.5748897,5.8021255,5.1883197,4.5777917,3.5660198,2.7155702,2.0875766,2.0211455e-07,8.89763e-08,172.26562,272.7539,961.8164,3273.0469,0.0003912601,1311.3608,5.625547,9172252.0,4.3394694,24.114525,-8.4764395e-08,0.94686705,1.7041543e-07,10.319196,7.274342,18.167889,-0.008757512,-5.7418275,-9.319623,2.5058682,4.805462,3.919937,-2.21579,-4.802898,-12.148753,-9.458324,-4.889961
0.0,0.0,0.0,0.0,0.0,-100.0,0.017978383,4.653976,4.89987e-05,0.20433359,0.81969714,2.197492,3.3698204,2.9264023,4.3141093,5.3580475,4.899875,4.8934216,3.8048885,3.407387,4.0508704,5.2424316,4.540931,6.057181,6.5768065,6.8046074,6.7657437,7.2638016,6.4079194,7.4347363,5.840157,5.275297,4.5908713,3.5039666,2.6358693,2.0210469,2.4629276e-07,1.0878216e-07,172.26562,287.10938,976.1719,2885.4492,0.0003928827,1201.5209,5.5603485,7615690.0,4.70455,28.642096,-1.0005804e-07,0.8782694,1.9617126e-07,10.602096,7.9359207,17.72866,0.2648079,-10.8025465,-8.480876,4.4113865,7.4325233,2.9359245,-1.685417,-6.87686,-13.559566,-5.3542404,-0.6201064
0.0,0.0,0.0,0.0,0.0,-100.0,0.01965947,4.512001,5.477732e-05,0.18707483,0.79073244,2.101678,3.2155619,2.8675985,4.278052,5.4022713,4.958361,4.6502733,3.6824026,3.3863373,3.7180321,5.2946906,4.5809956,5.4574523,6.4517403,6.591112,6.1686573,7.0624447,6.2096653,7.0665193,5.562761,5.299353,4.410858,3.4338481,2.6075442,2.0630915,4.2957467e-07,1.2924083e-07,186.6211,244.04297,574.21875,2440.4297,0.0004443672,997.02,5.089794,5622298.5,5.240057,35.960125,-1.4491737e-07,0.75383884,2.6476798e-07,11.133808,9.406821,16.062864,0.2717503,-9.61243,-9.300083,-0.35862914,6.8332543,2.207619,-3.0791998,-6.2781367,-8.880344,-9.879636,-2.640324
0.0,0.0,0.0,0.0,0.0,-100.0,0.021077342,4.3938394,6.042399e-05,0.17334342,0.7619481,2.007205,3.105879,2.9020977,4.2700186,5.3837714,5.0105624,4.5371523,3.7564356,3.4646351,3.4559872,5.2759843,4.583571,5.0590105,6.304709,6.2677016,5.7733216,6.807032,6.0639815,6.637736,5.223239,5.2546678,4.267368,3.3297756,2.5659063,2.1701298,5.163268e-07,1.5253933e-07,186.6211,258.39844,602.9297,2569.629,0.00044599912,1006.5408,5.2467804,5154429.5,5.2659545,37.528015,-1.628044e-07,0.76425576,3.0804253e-07,11.424808,9.054303,15.237549,-2.7862864,-11.451207,-7.658762,3.264281,5.589063,-0.8381688,-1.7807878,-5.99305,-7.1580787,-8.377773,0.57970876
0.0,0.0,0.0,0.0,0.0,-100.0,0.023383064,4.3228364,6.524921e-05,0.1617536,0.7193734,1.8526272,2.957825,2.8635614,4.2320504,5.3286247,5.0151095,4.4215097,4.1344833,3.7192936,3.2997532,5.135382,4.5290585,4.9218926,6.1477733,6.0947495,5.622502,6.559384,6.081528,6.338135,5.0028186,5.1972275,4.2925057,3.2106876,2.5007937,2.2150958,6.6497614e-07,2.3334168e-07,200.97656,344.53125,717.77344,2627.0508,0.0005239772,1014.22186,5.1782684,4425076.0,5.243341,38.558453,-1.9935071e-07,0.77826405,4.0958798e-07,11.647721,6.07945,13.370453,-4.431316,-9.125516,-6.837979,4.485742,2.894293,-0.44173944,-3.6493523,-1.490942,-3.518195,-11.789024,-4.570457
