F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015114032,0.98834115,2.2802203e-06,0.9860167,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.089185e-12,5.8833695e-11,8799.902,14685.645,17757.715,19595.215,6.497099e-06,13079.353,220.73671,35717228.0,-0.62884,2.3901556,2.7061802e-11,8.550878,4.3784837e-11,-7.9032197,3.5992243,0.6886403,-1.411078,4.648739,3.9795008,-1.3050542,-2.1665971,-1.6625843,-0.19984424,0.72940797,1.6218203,-0.607567,-0.974591
0.0,0.0,0.0,0.0,0.0,-100.0,0.0013217758,0.98834115,1.3113789e-06,0.957798,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.4344276e-12,3.609061e-11,5340.2344,9201.855,11656.641,13120.898,1.2215616e-05,8380.766,143.86823,24611400.0,-0.31442,1.4950762,1.3530901e-11,5.497249,2.1892418e-11,-5.1787896,2.1540623,0.32223102,-0.46249473,2.2599633,2.025286,-0.7718167,-1.0746075,-0.8689685,-0.037109613,0.3650111,0.8441861,-0.3279516,-0.49269554
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015949858,0.98834115,9.358291e-07,0.8983371,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.13908405e-11,1.0185364e-10,3746.7773,7364.3555,11068.066,13264.453,2.6843161e-05,7368.453,124.148476,26942998.0,-0.00020999298,1.2000078,9.951786e-14,4.8903985,1.5934205e-10,-5.9594994,0.30227554,-1.127734,-0.07187315,-1.3079612,-0.75007814,-0.8847106,0.71697956,1.512277,1.9516073,0.77825767,-0.34292087,-0.21767949,1.8957763
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019647316,0.98834115,1.4995602e-06,0.8092718,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.2328221e-11,1.7890289e-10,3631.9336,7507.91,10981.934,13163.965,2.8683078e-05,7338.4766,115.34671,26910378.0,-0.023166493,1.1988415,-6.052465e-13,4.8803134,3.619325e-10,-6.198452,-0.7413599,-1.5073522,-0.39403462,-1.251031,-0.6469646,-0.8824186,0.48803672,0.91729516,0.94086343,-0.3567493,-1.1511298,0.5025666,4.357706
0.0,0.0,0.0,0.0,0.0,-100.0,0.003069387,1.1130365,4.0856594e-06,0.7028219,0.15561782,0.316967,0.48816785,0.6711478,0.77271193,0.8565142,0.9480772,1.0623637,1.1137227,1.1515057,1.2342464,1.2860312,1.3388857,1.4337807,1.5010233,1.5705379,1.6003832,1.6324468,1.6379315,1.6016778,1.5241982,1.3773056,1.180437,1.0004072,0.81444615,0.6684113,5.807708e-10,6.0313843e-10,3919.043,11886.328,16422.656,19236.328,5.6278095e-05,10689.423,128.56378,45027936.0,-0.10378336,1.6699724,-6.8744024e-11,7.1121182,1.654244e-09,-5.0354195,2.4533906,1.996266,0.93184847,-2.5333996,0.9513635,-0.11294118,-0.5937166,-2.483773,1.1158444,0.15947437,1.0472685,3.7735975,7.888691
0.0,0.0,0.0,0.0,0.0,-100.0,0.0043028793,1.4547507,8.023709e-06,0.584908,0.25385842,0.4875598,0.7204282,1.0879561,1.1148556,1.1992959,1.2662939,1.4725881,1.4702206,1.4172624,1.5724698,1.5932903,1.6682382,1.8383154,1.9912099,2.0603354,2.039038,2.076248,2.099698,2.0581105,1.9443785,1.7467065,1.4702221,1.285574,1.0244642,0.86490077,5.4453966e-09,1.3594202e-09,2110.254,8441.016,16336.523,18676.465,9.4444404e-05,9291.642,76.758995,52452692.0,0.0684452,1.5464064,-1.1290673e-09,6.182482,7.429121e-09,2.1997087,8.084086,5.9516635,1.9070023,-4.1826186,-0.38438287,1.4378804,1.6438891,-3.9370759,0.62001675,2.0944104,0.29137436,4.9770784,9.422547
0.0,0.0,0.0,0.0,0.0,-100.0,0.005741132,2.0031493,1.4302564e-05,0.47152936,0.5040645,0.9265998,1.280408,2.0203478,1.7783899,1.989375,1.8260689,2.157257,2.1650171,1.8725071,2.1555967,2.03319,2.1594157,2.3816726,2.7008536,2.7135756,2.6580124,2.6995375,2.7487872,2.683586,2.4913151,2.1825016,1.8667722,1.6650127,1.2924476,1.1295727,1.3595454e-08,2.5315414e-09,401.95312,4679.883,11699.707,17757.715,0.00014978393,6924.836,22.0279,53893644.0,0.56336,2.011564,-4.7117417e-09,4.614143,1.3477247e-08,9.765519,14.126813,9.186655,3.2418423,-3.1743305,3.5177364,0.0035122235,-0.09751526,-3.0411718,2.3939025,5.9224515,1.0773603,3.0957673,8.07338
0.0,0.0,0.0,0.0,0.0,-100.0,0.006954456,2.6656892,2.0681518e-05,0.3684807,0.9671481,1.7173928,2.2924345,3.5777645,2.9065666,3.2615623,2.5260375,2.8623,3.1299908,2.46931,2.7626126,2.4771082,2.800987,2.92851,3.4362366,3.3463423,3.2807016,3.326124,3.3509676,3.2364464,2.9711905,2.5182483,2.2507248,2.0094206,1.5261564,1.3756326,5.070865e-08,3.966245e-09,129.19922,387.59766,6359.4727,12245.215,0.00020778808,4107.8823,11.108268,42531972.0,1.7181898,5.4901557,-1.5114031e-08,2.7597024,2.639103e-08,14.877004,16.875216,11.522328,6.0793934,-4.29744,0.33048978,-2.4201667,-1.9569097,-2.8676364,0.9193861,8.107566,6.1987915,3.7333791,3.8894637
0.0,0.0,0.0,0.0,0.0,-100.0,0.007763365,3.2159708,2.6024523e-05,0.29503652,1.4765168,2.6087224,3.4823349,5.222836,4.2167478,4.41126,3.025399,3.2614555,4.0686717,3.068968,3.1622798,2.8771172,3.6143627,3.323699,3.9280236,3.6962624,3.713073,3.7490005,3.67291,3.501648,3.1814702,2.6191654,2.4603245,2.1556375,1.6383739,1.4789687,8.0405414e-08,6.241521e-09,86.13281,244.04297,1047.9492,6747.0703,0.00021134836,2348.382,7.9354973,28181264.0,2.6150265,8.952465,-2.6024386e-08,1.6178967,3.46558e-08,17.383505,16.45471,14.601909,11.236674,-1.2758557,-0.5529084,-7.0430584,-5.6262126,-5.188602,-3.1046467,7.6805367,13.681439,9.089824,0.83416826
0.0,0.0,0.0,0.0,0.0,-100.0,0.008561282,3.5851269,3.2193962e-05,0.24111867,1.8862214,3.3774416,4.371126,6.4298253,5.467921,4.869585,3.1972272,3.2757227,4.7753577,3.4977608,3.3008919,3.2913272,4.6757827,3.6338236,4.150117,3.8744583,4.0478363,4.027054,3.8459742,3.504298,3.205822,2.6340086,2.542611,2.1831045,1.6777703,1.4702291,1.0876219e-07,8.552731e-09,86.13281,215.33203,344.53125,1277.6367,0.00025988912,1308.6969,5.9514294,15966936.0,3.9046237,18.019493,-4.7024603e-08,0.9377151,4.661797e-08,19.19649,15.939075,17.427626,15.476188,-0.7222484,-5.290282,-8.59188,-4.6417475,-0.15825398,-6.5481567,7.5072293,19.455193,14.910534,1.483486
