F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.005573198,0.98834115,2.7311069e-05,0.5983875,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.8905598e-10,3.3098688e-09,13752.539,15360.352,17312.695,18188.379,0.00010452833,14531.333,9.201423,18286496.0,-2.0868049,7.480224,1.0848235e-08,9.731941,7.995169e-08,-6.298699,5.316419,7.0281777,11.960342,6.260426,10.578792,13.103932,8.031922,5.2920623,0.87913114,1.7816972,11.975951,10.500848,10.617307
0.0,0.0,0.0,0.0,0.0,-100.0,0.005679143,0.98834115,2.6146765e-05,0.57382214,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.3794893e-10,3.7275254e-09,13781.25,15791.016,17571.094,18303.223,0.00021474069,14613.32,9.208276,21064008.0,-2.0161731,6.8020816,1.0366776e-08,9.719195,7.381108e-08,-6.3876476,5.371134,9.530431,9.440166,7.1457505,9.786486,9.776329,11.360008,3.6204147,5.896393,7.853655,9.211335,7.85269,8.387283
0.0,0.0,0.0,0.0,0.0,-100.0,0.0059191384,0.98834115,2.4866242e-05,0.5197783,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.4977634e-09,4.1631822e-09,13149.609,15834.082,17614.16,18389.355,0.0003157507,14116.602,9.466518,27786272.0,-1.7088598,5.20717,7.93631e-09,9.365268,6.291152e-08,-4.678715,8.184763,13.389587,7.628288,7.1575036,7.7218194,3.8237636,9.904061,-0.8835136,3.829173,10.89457,6.522171,6.172655,10.026973
0.0,0.0,0.0,0.0,0.0,-100.0,0.0060734134,0.98834115,2.4295417e-05,0.44948348,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.523014e-09,3.7658827e-09,12618.457,16279.102,17585.45,18331.934,0.0002975857,13735.952,10.065325,34693356.0,-1.4775629,4.012893,6.209705e-09,9.061997,5.0627268e-08,-1.6247743,12.799042,13.562293,4.9749417,3.127251,1.228885,1.6649809,9.257376,-0.45086923,6.7908607,10.225124,5.2796597,4.7135396,7.5267277
0.0,0.0,0.0,0.0,0.0,-100.0,0.00669511,1.0108484,2.5223291e-05,0.36671707,0.1358894,0.2978226,0.46907067,0.6283729,0.75693464,0.8608964,0.9487705,0.9796074,1.0015293,1.0497216,1.099245,1.1577059,1.2255571,1.2626082,1.3213058,1.38618,1.4414674,1.4415814,1.4207088,1.4264134,1.3620855,1.2523435,1.1023191,0.91453,0.7380639,0.6013274,8.603984e-09,3.8917163e-09,8067.7734,16250.391,17657.227,18331.934,0.00029208034,12706.941,9.886394,46517250.0,-1.039267,2.5645552,3.4873304e-09,8.363027,5.074999e-08,2.8643503,17.157919,12.649606,2.3308797,-3.2576416,-1.3180946,4.4714503,4.691462,1.1816922,3.913266,2.3053942,3.2423353,4.820107,8.494821
0.0,0.0,0.0,0.0,0.0,-100.0,0.0073716007,1.0699214,2.814446e-05,0.28772992,0.15391742,0.3762711,0.59324247,0.7760728,0.93996686,1.1226506,1.214599,1.1792692,1.1098233,1.0709739,1.1149246,1.161604,1.2497869,1.231345,1.3247901,1.4458841,1.4914247,1.4257258,1.3543152,1.3696566,1.3520669,1.2904686,1.1610236,0.9432152,0.7527471,0.6121907,1.6780454e-08,3.7324255e-09,4033.8867,11211.621,17513.672,18303.223,0.0003131992,10900.249,8.988275,56725388.0,-0.5328178,1.8731428,-3.5080863e-09,7.148332,5.793434e-08,7.9254546,19.703104,9.464737,-0.9369529,-7.6327376,0.06542301,13.157185,7.124265,4.549241,8.202363,-1.3633229,0.4368905,2.7133372,3.9794922
0.0,0.0,0.0,0.0,0.0,-100.0,0.008265371,1.1697494,3.5163346e-05,0.21441169,0.19221932,0.53359747,0.8060368,0.9982996,1.1916609,1.5958972,1.6003288,1.4918046,1.342713,1.1534089,1.1676527,1.1982012,1.2952691,1.1782075,1.3491839,1.5204948,1.5657825,1.4050506,1.2728467,1.2821552,1.3334961,1.338695,1.2222997,0.98229784,0.7784063,0.6174798,5.4812585e-08,4.387483e-09,229.6875,5871.3867,15546.973,17944.336,0.00039629836,7963.3325,7.1098676,59835692.0,0.23988716,1.7379469,-2.7629754e-08,5.2240505,8.5097724e-08,12.983433,22.546463,9.817702,0.8282096,-4.2430215,3.9008534,14.367053,2.625367,3.9273708,3.2127883,-1.3295683,0.58079106,3.804732,3.3382356
0.0,0.0,0.0,0.0,0.0,-100.0,0.00910627,1.2914311,4.899691e-05,0.14449483,0.2563814,0.76027054,1.0889794,1.2427003,1.4373322,2.0960824,2.0153947,1.8634796,1.682724,1.3116641,1.2679015,1.2665371,1.4068079,1.169741,1.3715883,1.5652004,1.6154042,1.4007211,1.246097,1.1773969,1.3100704,1.3568851,1.2388551,1.0122346,0.8083953,0.60836154,1.0971138e-07,4.768403e-09,86.13281,287.10938,9603.809,16824.61,0.00046652788,4774.303,5.5855904,49443900.0,1.2268242,3.3191242,-7.907275e-08,3.1767206,1.2571384e-07,17.814621,25.065454,9.633698,2.7458515,-1.775959,4.5865846,13.503356,5.8147125,5.040243,0.50961447,-1.2910208,2.024019,1.7329215,-1.8662857
0.0,0.0,0.0,0.0,0.0,-100.0,0.0106886355,1.426087,6.274361e-05,0.0941043,0.3411382,1.0092269,1.4462034,1.5501944,1.6915703,2.6191986,2.4222882,2.1066296,2.0070255,1.6024424,1.4111832,1.3817616,1.59382,1.2393762,1.4007775,1.540888,1.6283349,1.407381,1.2795166,1.1197764,1.2997247,1.3406707,1.209899,1.0132061,0.82348275,0.59255034,3.0205047e-07,8.4559355e-09,86.13281,100.48828,4105.664,10967.578,0.00054991845,2637.5063,4.5038795,32486462.0,2.283704,7.2380204,-1.6750111e-07,1.793801,2.0634388e-07,22.118475,25.137985,10.019563,3.8116024,-1.4609543,1.077304,6.5427666,4.416536,4.8779955,0.7151143,1.0312454,3.3018703,-2.0707436,-3.6102898
0.0,0.0,0.0,0.0,0.0,-100.0,0.011703041,1.5618916,8.266561e-05,0.056185436,0.42363763,1.1420165,1.8258761,1.9230595,1.9970618,3.0519621,2.8483365,2.2638862,2.2237294,1.943396,1.6100903,1.5666953,1.809647,1.4194225,1.4295782,1.4691858,1.5773784,1.4291383,1.3484216,1.1191587,1.3011587,1.2978672,1.1782387,0.9956505,0.82492906,0.5896588,4.2688964e-07,1.0400973e-08,71.77734,86.13281,272.7539,5426.367,0.0005495599,1626.4945,3.8759944,21454088.0,3.0496051,10.847751,-2.308135e-07,1.1285123,2.5550483e-07,24.570051,23.986513,5.3887353,2.0617218,-2.9276378,-3.3815937,3.6855412,11.1123085,5.4143753,0.93783146,3.9421704,3.5173962,-3.2462728,0.8284362
