F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0013075474,0.98834115,1.3113789e-06,0.9833711,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.1092514e-12,3.3672943e-11,5512.5,11025.0,16537.5,19911.035,5.7632665e-06,11059.458,169.86723,40530540.0,-6.807972e-06,1.800807,6.3023026e-14,7.3380294,2.8101839e-11,-5.2014756,1.1665102,-1.1619542,-0.21616483,-0.76839703,-0.039194867,0.7492835,2.5024436,2.6625168,2.0045943,-1.5422233,-3.9013793,-2.9041164,3.0489588
0.0,0.0,0.0,0.0,0.0,-100.0,0.0017566482,0.98834115,1.5928945e-06,0.9659863,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.834546e-11,1.8025208e-10,5282.8125,11340.82,16379.59,19537.793,2.2951432e-05,11000.042,129.65549,40431692.0,-0.053913504,1.7967235,-1.9064023e-12,7.319842,2.6730293e-10,-4.9594626,-0.049333096,-0.06921371,1.5297774,0.8351057,-1.489828,-3.596481,0.085570574,2.4897294,-0.536756,-1.7347482,0.83563393,-1.8291763,2.3760579
0.0,0.0,0.0,0.0,0.0,-100.0,0.0018528248,0.98834115,1.8744103e-06,0.9242883,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.197242e-11,1.9807662e-10,5139.258,11570.508,16307.8125,19351.172,3.4033317e-05,10960.016,133.18797,40319750.0,-0.08871933,1.7950863,-2.2217035e-12,7.3079343,3.047097e-10,-4.990594,-1.0713421,0.53682244,2.4108748,1.5988222,-2.0271165,-5.7247815,-1.5215316,1.7710834,-1.6596583,-0.17650501,6.1472244,2.3126628,3.7823
0.0,0.0,0.0,0.0,0.0,-100.0,0.0021677858,0.98834115,2.5594848e-06,0.8677249,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.9015787e-11,2.4299177e-10,5096.1914,11584.863,16350.879,19336.816,3.4132798e-05,10944.594,212.23466,40616564.0,-0.092844345,1.7880516,-2.4129585e-12,7.29645,4.633395e-10,-7.641659,-0.97196454,-0.33250025,2.0827599,1.0786856,-2.1611836,-6.236198,-1.7133111,1.3965319,-1.9717788,-0.7233669,5.608742,1.7331144,3.3478518
0.0,0.0,0.0,0.0,0.0,-100.0,0.002951341,1.0938215,4.468849e-06,0.7854623,0.15256184,0.31883875,0.47033057,0.604492,0.73938054,0.8638689,1.0169764,1.0935541,1.1238877,1.1571347,1.2234938,1.2615763,1.300446,1.3925518,1.4445165,1.4840479,1.498567,1.5556823,1.5639421,1.5890121,1.488555,1.3701271,1.2145718,1.0240449,0.8118167,0.675379,3.8138284e-10,5.7974625e-10,3732.4219,11355.176,16652.344,19135.84,7.299745e-05,10436.465,175.13568,47633556.0,-0.051858287,1.6178098,-2.5026484e-10,6.9346023,2.2386861e-09,-3.074626,3.6562634,-4.5978074,0.031738,3.1730154,2.730297,5.9090257,5.1640344,2.2136838,-2.2885401,-0.5979598,0.55171424,-0.4713656,5.7733283
0.0,0.0,0.0,0.0,0.0,-100.0,0.004347485,1.322596,7.2626644e-06,0.6904762,0.22406697,0.4675201,0.6132539,0.73159367,0.9406784,1.1405939,1.5367771,1.5875689,1.5040201,1.4322277,1.465238,1.5269235,1.4886996,1.6076937,1.6974443,1.7201315,1.6224061,1.7005047,1.7287844,1.8554178,1.6846079,1.5974435,1.4727358,1.2629417,0.96212703,0.8160947,1.3414745e-09,1.658904e-09,2196.3867,9173.145,16724.121,18733.887,9.541258e-05,9447.142,93.95523,54341856.0,0.07229786,1.4546661,-7.321925e-10,6.273815,5.404246e-09,2.7870605,6.463036,-7.6096635,1.2710147,3.5835896,4.560147,11.5619545,9.69001,5.0703425,-3.6583881,-2.7406127,-4.4879613,-0.49574313,6.0328126
0.0,0.0,0.0,0.0,0.0,-100.0,0.0062481477,1.8231269,1.1486049e-05,0.5891912,0.40583506,0.85984755,1.0054107,1.0274056,1.35333,1.7684727,2.7943647,2.7485037,2.3169324,2.1103675,2.0161498,2.2184217,1.9533558,2.1081188,2.2664678,2.1761925,1.9407574,2.0142882,2.0806553,2.3422527,2.04448,2.0056353,1.9189306,1.6565233,1.2365277,1.0320728,2.7583111e-09,4.889722e-09,459.375,5727.832,11843.262,17585.45,0.00013791383,6996.168,19.93661,53267404.0,0.6350348,2.246226,-2.8221943e-09,4.676308,1.11743175e-08,9.6002245,6.895078,-8.054678,3.5011044,8.837317,8.229843,17.511261,14.093114,7.5466156,-7.0149803,-5.922259,-8.614658,-2.4840603,7.045292
0.0,0.0,0.0,0.0,0.0,-100.0,0.007353066,2.5031152,1.5381751e-05,0.48702443,0.736654,1.5082086,1.5826178,1.4093436,2.0093486,2.665592,4.6143727,4.4997,3.4163463,3.1221254,2.7271404,3.3725216,2.7264879,2.8095732,3.0578625,2.7992728,2.3861227,2.4049346,2.5156953,2.8409176,2.4368145,2.4211445,2.2970316,1.9846629,1.5221906,1.2143143,5.000976e-09,8.623896e-09,229.6875,2009.7656,6445.6055,14527.734,0.00015527032,4566.5034,15.266149,40875056.0,1.5305882,4.678402,-8.2754275e-09,3.0889409,1.7441483e-08,12.009097,3.728936,-5.573602,6.069408,8.059981,8.413388,16.177946,18.329123,10.02626,-2.3979146,-6.1818786,-5.7443676,2.0291944,4.3309674
0.0,0.0,0.0,0.0,0.0,-100.0,0.0086017735,3.158925,1.9759704e-05,0.39808515,1.0709586,2.1556401,2.166101,1.7601992,2.668164,3.5081882,6.2028832,6.094942,4.3124404,4.0312576,3.250352,4.7929893,3.652047,3.509201,3.8775017,3.4792144,2.991603,2.8634255,3.0708468,3.348652,2.8359003,2.7686625,2.488073,2.1476698,1.7434293,1.3417087,9.573012e-09,1.3483576e-08,100.48828,358.88672,1191.5039,11225.977,0.0001758975,2610.3425,10.61728,28571056.0,2.3484786,7.272016,-1.5441595e-08,1.8069276,2.782219e-08,13.506675,3.731517,-1.8232702,4.8211446,8.106013,10.44917,16.143198,24.62972,10.100978,-4.098533,-11.564515,-7.7827516,2.882209,5.26224
0.0,0.0,0.0,0.0,0.0,-100.0,0.009873371,3.6312373,2.6404174e-05,0.308516,1.3283314,2.6186135,2.6618798,2.0468202,3.1918268,4.0981236,7.2659154,7.253878,4.7484837,4.4631944,3.426961,6.0199,4.4336224,4.077135,4.493215,4.1065173,3.5095375,3.2820137,3.5944202,3.8187935,3.1485584,2.9542074,2.4783583,2.1554015,1.8189014,1.41756,2.4917753e-08,1.9767848e-08,86.13281,200.97656,775.1953,6431.25,0.00018818169,1870.1304,7.9457283,20305234.0,3.0954177,11.847474,-2.4732678e-08,1.3246479,4.9287326e-08,14.951747,4.4968104,0.5612481,4.76931,3.357753,6.968433,13.57511,28.3953,9.614706,-6.110831,-13.77639,-8.55525,6.9889092,9.265336
