F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.002542736,0.98834115,3.1384213e-06,0.9872764,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.601642e-11,2.6108696e-10,5598.633,11326.465,17169.14,19394.238,1.0146844e-05,11130.3545,155.30647,42139260.0,-0.1018466,1.76583,1.8555747e-12,7.382817,8.3161433e-10,-6.4620357,2.7389686,-3.6368,-2.3891838,-3.5188816,-0.5003168,-0.72508526,-0.030439535,-0.4476973,1.1824353,-0.9227011,-1.1343781,-2.4965117,-1.7048883
0.0,0.0,0.0,0.0,0.0,-100.0,0.0026765272,0.98834115,3.1384213e-06,0.98097754,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.125874e-11,3.2467384e-10,5914.453,12072.949,17255.273,19365.527,2.3164102e-05,11476.481,138.23131,40281824.0,-0.188354,1.8228875,2.2454672e-11,7.6082687,9.564637e-10,-8.131123,2.284848,-3.619278,-1.3404593,-3.9295027,2.2530367,2.8331373,2.7355416,6.9545608,3.0102832,0.33473405,-4.285435,-4.9011445,-3.2519836
0.0,0.0,0.0,0.0,0.0,-100.0,0.0026240286,0.98834115,2.9498508e-06,0.96334094,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.92596e-11,3.3703154e-10,5957.5195,11972.461,17025.586,19566.504,3.7275546e-05,11496.091,141.23409,39223180.0,-0.15574193,1.840295,2.305201e-11,7.6223316,7.920857e-10,-10.070426,1.2126226,-1.1120218,2.7560527,-2.427272,0.84596556,0.27485338,-0.38526407,12.133372,7.3598785,2.142272,2.3470452,-3.2405517,-3.2495508
0.0,0.0,0.0,0.0,0.0,-100.0,0.0027552105,0.98834115,2.8354946e-06,0.9366339,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.7865777e-11,4.098485e-10,5742.1875,11843.262,16896.387,19566.504,3.776226e-05,11398.382,125.88815,39346864.0,-0.1265276,1.8409748,2.0875428e-11,7.56008,8.605237e-10,-10.134079,1.6722975,1.5805601,6.813825,1.9412593,1.349322,-2.3295407,-2.8874733,13.0208235,6.4546266,-1.8812884,1.2311692,-2.0802686,0.4493834
0.0,0.0,0.0,0.0,0.0,-100.0,0.002976041,1.01615,3.4859659e-06,0.8999748,0.13630956,0.2818626,0.45347998,0.6133372,0.67922515,0.77794665,0.8547864,0.94663125,1.0342902,1.0714058,1.1355829,1.2082864,1.2572085,1.3055196,1.3654615,1.3776922,1.4608616,1.4580549,1.4879593,1.4637848,1.4167854,1.2950813,1.0990373,0.9031892,0.74015504,0.5959633,1.25155e-10,4.9556487e-10,5182.324,11498.73,16738.477,19566.504,4.1592994e-05,10989.409,119.007484,41403052.0,-0.04446285,1.7691278,-5.8033426e-12,7.293549,1.0447846e-09,-8.351533,1.9144973,2.2080724,4.995774,4.978428,-3.475536,-3.3904326,-6.3118215,4.756578,3.8707466,-3.6636095,5.5201364,-0.34345856,0.55089945
0.0,0.0,0.0,0.0,0.0,-100.0,0.0039808326,1.1082454,5.093129e-06,0.8504661,0.15231436,0.31252065,0.54042655,0.7642134,0.73044896,0.87383986,0.93822,1.0470196,1.2082796,1.1798192,1.2185189,1.3362256,1.3847479,1.465733,1.5027059,1.432754,1.5545044,1.503424,1.602619,1.6007115,1.5701513,1.4187795,1.1609313,0.93033046,0.77189916,0.61324143,5.483837e-10,1.5039873e-09,4234.8633,11053.711,16566.21,19135.84,5.537651e-05,10535.185,78.98554,43784976.0,-0.010852779,1.6986779,-1.0784728e-10,7.0009384,2.955736e-09,-5.725225,1.6367291,0.4402564,2.0408816,2.7595348,-3.4463902,-0.64921975,1.5836554,1.5679473,-0.3568623,-2.2247026,-1.5814992,-3.1605313,-2.0376968
0.0,0.0,0.0,0.0,0.0,-100.0,0.005544876,1.343256,7.907735e-06,0.7903754,0.19094563,0.39198148,0.70903474,1.0155,0.9072893,1.2272611,1.2793555,1.342528,1.6272899,1.4698759,1.4016913,1.6425858,1.7084612,1.8618523,1.8420948,1.6423049,1.7657919,1.6405882,1.854289,1.9677187,1.8663217,1.6201164,1.3450156,1.0293182,0.8867903,0.68865395,2.2898676e-09,4.035543e-09,3000.293,9689.941,15977.637,18604.688,8.7137836e-05,9662.868,43.381382,46247380.0,0.08097853,1.6307608,-6.0568556e-10,6.4530034,7.599586e-09,-2.46685,1.6443261,-3.5103767,-0.38912615,-2.434028,-7.111525,2.3759372,7.4510612,3.429053,2.8725584,2.830635,2.6083982,-1.0778239,-5.382143
0.0,0.0,0.0,0.0,0.0,-100.0,0.0069689215,1.7183851,1.0812488e-05,0.7155455,0.24391405,0.48496076,0.9230959,1.3423795,1.274545,1.9533888,1.9357501,1.8199902,2.2729673,1.9833536,1.6666518,2.110697,2.2608347,2.3990972,2.2850351,2.018625,2.0529435,1.886505,2.2027419,2.5022175,2.284509,1.8655971,1.7004589,1.2528545,1.1069031,0.8479945,4.0617585e-09,6.1252723e-09,2698.8281,7895.508,14972.754,18288.867,0.00011720625,8972.05,23.342604,45172430.0,0.24785702,1.7022129,-1.1843041e-09,6.0207458,1.4679323e-08,-2.6276987,2.3573701,-7.928923,-1.3135389,-4.5978575,-8.960541,-0.60930586,7.8515735,10.616363,4.3497944,3.7331874,0.44677463,0.28805542,-5.017184
0.0,0.0,0.0,0.0,0.0,-100.0,0.008042298,2.1525536,1.3258693e-05,0.63744015,0.2989063,0.5652361,1.1405452,1.7114474,1.7218496,2.8641357,2.7314403,2.3410022,2.7743175,2.4509957,1.9964727,2.7733247,2.9963167,2.9484453,2.7179687,2.488093,2.3748744,2.2023535,2.5559692,3.12928,2.7458065,2.1315043,2.2184565,1.5759419,1.4317673,1.0799457,7.0834894e-09,9.087924e-09,2325.586,6718.3594,13752.539,17929.98,0.00014326145,8193.733,16.140892,42429840.0,0.41006503,1.861689,-2.1138924e-09,5.537993,2.0741853e-08,-3.1495988,3.9390957,-9.016958,-0.8000188,-6.5725226,-17.263788,-3.7352505,9.004307,13.764621,4.0495725,-1.7091188,-2.36926,3.5879047,-1.9664202
0.0,0.0,0.0,0.0,0.0,-100.0,0.009030354,2.5132914,1.5621858e-05,0.54925674,0.33389997,0.5924391,1.3668685,2.1854484,2.1156614,3.6260376,3.3578398,2.7312324,2.9940033,2.6519701,2.2487488,3.2605994,3.5986261,3.3581285,3.0339928,2.8558369,2.6008477,2.468926,2.7885282,3.684887,3.2039382,2.444579,2.775111,1.9695946,1.7679859,1.3298458,1.436258e-08,1.143606e-08,2024.1211,6330.7617,11785.84,17470.605,0.00017205771,7577.5806,13.624245,38028684.0,0.59817606,2.2459648,-3.934565e-09,5.1406975,3.0628595e-08,-4.0169086,7.78293,-8.44045,-2.1750245,-10.790988,-23.193922,-4.8357954,7.4093843,6.4766564,-2.1742437,-1.6855202,-5.158674,3.5789568,-0.11145071
