F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019465848,0.98834115,1.7798756e-06,0.99659866,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.9916879e-11,1.2779355e-10,5656.0547,11283.398,16752.832,19753.125,5.936025e-06,11041.246,233.52412,40367604.0,-0.014834075,1.8001394,-6.4050294e-14,7.333555,1.66826e-10,-8.400102,2.3535078,-2.7496023,3.7800589,3.3431623,1.1629745,-4.251612,-4.6362753,2.066016,2.2650342,-3.8675404,0.9961527,3.7718458,-2.4541543
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016985866,0.98834115,1.6710045e-06,0.9967246,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3312229e-11,9.778866e-11,5627.3438,11240.332,16752.832,19824.902,1.2700791e-05,11042.5625,154.07295,40360064.0,-0.009529369,1.8000807,-3.3223224e-14,7.332369,9.888828e-11,-7.273533,2.376276,-1.7078037,4.0087557,3.6436532,2.0365546,-5.372771,-5.0117097,3.358676,3.6178713,-6.008055,1.0194844,4.9460006,-3.770558
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015725471,0.98834115,1.42025e-06,0.9967246,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.871644e-12,8.183262e-11,5569.922,11139.844,16681.055,19882.324,1.6431028e-05,11045.362,164.93184,40403244.0,-0.0028181027,1.8000116,1.0224418e-15,7.3314686,2.76333e-11,-7.6028214,1.7025809,-0.7824915,3.7755573,3.6326125,2.421061,-5.518393,-4.670645,3.3504992,3.8615782,-6.0213737,1.1199841,4.7618594,-3.9419343
0.0,0.0,0.0,0.0,0.0,-100.0,0.0013250002,0.98834115,1.3113789e-06,0.99647266,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.0833712e-12,4.040873e-11,5541.211,11082.422,16623.633,19867.969,1.4159301e-05,11045.05,111.414215,40413264.0,-0.0014069852,1.7999917,-3.4198038e-15,7.3312325,1.575073e-11,-6.392746,1.8929176,-1.2886242,0.75880176,-0.6431448,0.81245345,-1.2717443,-0.37398914,1.0535817,1.3077863,-2.1928163,0.20731974,1.3730068,-0.994477
0.0,0.0,0.0,0.0,0.0,-100.0,0.0014757374,0.9801855,1.42025e-06,0.9954648,0.12593956,0.2652954,0.4102253,0.54525524,0.66521925,0.77418584,0.8578255,0.9341473,0.98117334,1.0244628,1.0675315,1.1220456,1.1916524,1.2808366,1.3659483,1.3626848,1.3765286,1.4158149,1.4868722,1.4215393,1.3197538,1.2390714,1.0565057,0.8770997,0.7354374,0.5817682,7.566515e-12,5.85671e-11,5526.8555,11025.0,16551.855,19853.613,1.1784882e-05,11047.134,201.65852,40422556.0,9.089225e-08,1.8000458,4.39266e-15,7.3323708,2.144543e-11,-7.869407,1.1783237,-1.4095064,0.34435415,-0.8144314,0.5939737,0.032574773,0.5576062,-0.34710166,-0.0814279,-0.16899104,0.5108425,0.15670888,0.032754704
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016925618,1.0153462,1.5621334e-06,0.99420506,0.12784675,0.26800892,0.41160497,0.5397583,0.66146237,0.78541404,0.8999006,1.0026855,1.0393081,1.0570518,1.0426896,1.0995859,1.2314059,1.377597,1.4583645,1.4117573,1.4047947,1.4279004,1.6204456,1.4944395,1.3277665,1.3316911,1.101278,0.89475924,0.78545016,0.5960327,7.44508e-12,1.0823989e-10,5541.211,11039.355,16566.21,19911.035,1.5099224e-05,11054.276,175.57927,40436384.0,-6.917448e-06,1.8008605,1.4418551e-13,7.336167,6.7540445e-11,-8.409443,1.3525146,-1.0773758,1.1279131,1.350059,4.566877,4.8281927,3.4933023,-2.5001159,-4.72053,-2.083114,3.0837257,1.2558404,-2.4892433
0.0,0.0,0.0,0.0,0.0,-100.0,0.0016599525,1.0454423,1.6710045e-06,0.9930713,0.13215728,0.2751241,0.41729394,0.5335934,0.6544266,0.7908161,0.94584036,1.0804005,1.1080328,1.0950669,1.0086694,1.0683194,1.2739413,1.4783736,1.5357078,1.4549866,1.4413099,1.4271008,1.7311987,1.5410738,1.3105525,1.3920332,1.1214381,0.9066618,0.83970714,0.6176758,6.578017e-12,1.0582666e-10,5842.676,10551.27,16681.055,19336.816,2.1537395e-05,11020.534,154.47511,39186780.0,-0.0314485,1.7338415,8.274656e-14,7.328842,5.5679236e-11,-7.6361084,1.2384242,-2.0711694,3.0734098,-1.1684109,6.783668,3.7261097,3.820242,-2.859596,-4.3778253,-2.019231,2.8022883,1.5128417,-2.8691976
0.0,0.0,0.0,0.0,0.0,-100.0,0.0020022623,1.1257873,1.8436491e-06,0.989166,0.14341182,0.29030034,0.44485542,0.54576206,0.67418617,0.807343,1.0097641,1.1774861,1.218459,1.1979946,1.0588827,1.1291575,1.405543,1.6454965,1.651476,1.5914074,1.5952988,1.5287577,1.8760204,1.6420822,1.3628169,1.4688975,1.1829739,0.98068887,0.94475573,0.6966532,1.2797276e-11,2.1356063e-10,6072.3633,10307.227,16795.898,18834.375,3.0722265e-05,10992.434,111.13595,38181420.0,-0.052550357,1.6834974,-8.540202e-13,7.3206954,3.424867e-10,-8.660868,0.047954243,-2.9176686,5.1502967,-3.5017977,8.396023,2.6383886,4.1273313,-2.3742042,-4.2724495,-1.1701016,2.8375027,2.1313927,-2.209243
0.0,0.0,0.0,0.0,0.0,-100.0,0.0019687647,1.1865546,2.32807e-06,0.9653565,0.15190087,0.2986494,0.47264776,0.5658241,0.7216247,0.85309595,1.0671592,1.2314049,1.2724355,1.2669989,1.1436071,1.2148198,1.4979571,1.752162,1.7721125,1.7212977,1.7082958,1.6308436,1.9379963,1.6778116,1.3919197,1.4759051,1.2029802,1.03723,1.0179037,0.76583457,1.8099883e-11,1.976445e-10,6000.586,10379.004,16724.121,18676.465,3.321233e-05,10969.57,118.9812,38069410.0,-0.073896796,1.6835127,-1.2367242e-12,7.3156495,4.4743562e-10,-7.677437,-0.17443584,-2.8102179,4.56644,-6.170452,4.211218,-0.8689907,2.1560822,0.32509717,1.4293875,0.27719775,-0.070586264,0.21931894,-0.38507557
0.0,0.0,0.0,0.0,0.0,-100.0,0.0027172389,1.3149359,2.8179759e-06,0.90614766,0.16676192,0.3155816,0.52756524,0.6315467,0.8420751,1.0007907,1.2183069,1.318755,1.3641262,1.3867239,1.3645595,1.3899933,1.6721268,1.9390913,2.0298831,1.9833775,1.8782781,1.8347155,2.0767503,1.8039188,1.5238014,1.5899864,1.2899024,1.0968074,1.0937548,0.8491513,8.0095625e-11,4.541265e-10,5440.7227,11039.355,16580.566,18705.176,4.0073253e-05,10914.215,146.55699,39260936.0,-0.14002372,1.7411386,-7.874284e-12,7.306002,9.332753e-10,-6.824392,-2.2907698,-1.860835,2.442289,-4.441733,2.0815985,1.791804,4.7894588,-0.70822954,5.102353,-2.751888,1.9309201,-2.463506,-0.35701358
